ŁACINA wraca do szkół. W 2023 roku 😆 | Dla każdego coś przykrego #41
🔗 https://www.youtube.com/watch?v=aJl49ch-56s

0:  Wybudowałem pomnik trwalszy niż ze Spiżu.
4:  Pod wspaniałymi szaty jednak jest w dekliżu.
7:  To jest ta jedna rzecz, której nie powiedzieliby sobie chociaż powinni chorzy reformatorzy polskiego systemu oćmiaty, którzy wpadli na genialny pomysł rozwiązania wszystkich problemów, o jakich kiedykolwiek mówiliśmy w serii Dla Każdego Coś Przykrego.
21:  Zobacz zdjęcia, mianowicie...
24:  Wprowadzona zostanie łacina.
26:  Nie przypuszczaliście, że to jest ten właśnie inteligentny pomysł, prawda?
30:  Siódma, ósma klasy szkoły podstawowej, podstawówka to jest bezwzględnie najlepszy moment do tego, żeby się nauczyć języka martwego.
38:  Będzie oto wprowadzona łacina, moi drodzy, i żeby nie było, zostanie wprowadzona jako opcja, tylko że opcja bardzo znacząca w miejsce języka nowożytnego i też w znaczący sposób
49:  tłumaczona, oto znajomość języka łacińskiego, czytamy na stronie magistratury Niełuki i Szkodnictwa Wyższego, jest umiejętnością obcowania z tekstami, jak wiadomo to jest ważne, ponieważ teksty są ważniejsze od mediów innych, obraz, muzyka, zwłaszcza taka współczesna, nieklasyczna i nieinstrumentalna,
66:  A gry wideo to już nawet nie musimy mówić nic o grach wideo, poza tym odczepcie się, jest tam w lekturach nadobowiązkowych zagrzebane This War of Mine, a jak wiemy dobrze, jeżeli chcecie ukryć trupa, to są dwa miejsca do tego, druga strona wyszukiwania Google oraz lektury nadobowiązkowe.
79:  Więc niech nie czepiają się ci zwolennicy gier wideo, już mamy to zagospodarowane.
83:  Wróćmy może teraz do tego, co jest ważne, okej, we współczesności, dobra, do łaciny wróćmy może, okej, wracamy, lecimy.
90:  No, w związku z powyższym wszyscy obywatele powinni mieć możliwość zgłębiania, interpretowania
95:  tłumaczenia koniecznie, katalogowania i upowszechniania wiedzy o tym dorobku.
100:  Zwracam uwagę na czasownik katalogowanie, prawda?
103:  To jest znaczące, znaczy rzeczownik katalogowanie, że to, że chcemy katalogować kulturę, tak?
110:  Coś wam to przypomina, nie?
112:  Taki XIX-wieczny pruski system oświaty, który mówi o transmisyjnym przekazywaniu wiedzy, żeby w takie pudełeczko ją poukładać w encyklopedii.
119:  No, no, no, to jest to.
121:  Następnie dowiadujemy się, że łacina jeszcze uczy logiki.
125:  W odróżnieniu od matematyki na przykład.
126:  Myślenia, kultury jest również ogromną pomocą w nauce języków obcych nowożytnych.
132:  W związku z powyższym wedle wszelkiej logiki uczeń wybiera sobie w szkole łacinę w ramach drugiego języka nowożytnego, którego wtedy się nie uczy.
144:  Ale łacina pomaga, bo w nauczeniu się drugiego języka nowożytnego, czego nie rozumiecie.
149:  No i jeszcze oczywiście będzie wprowadzona, jak wiadomo, matura, bo dobrze wiemy, że jeżeli została wprowadzona... Podstawa programowa z nowego i bezużytecznego przedmiotu.
168:  To musi być oczywiście także egzamin maturalny, który będzie...
172:  weryfikował wiedzę i umiejętności ucznia pozyskane w toku kształcenia i następnie wyrażał to jedyną słuszną oceną procentową, a nie opisową, ponieważ chętno żyć prawo oświatowe i jego zalecenia.
190:  I w takich to, moi drodzy, okolicznościach jeszcze, żeby dodać dzikciu do tej beczki już i tak mocno zgorzkniałego miodu, wchodzę sobie na Twittera, żeby poznać, tak ja wiem, nie powinienem wchodzić na Twittera, żeby poznać wyjaśnienia magistratury niełuki i szkodnictwa wyższego, no i wszedłszy do rzeczonego Twittera, ściśle mówiąc, wszedłszy doń przez portal Głos Obywatelski,
217:  No poznałem następujące wyjaśnienie z ust, chciałbym powiedzieć, że z ust najświetlejszego, z ust samego ministra, ale nie moi drodzy, to nie minister nam wyjaśnia dlaczego powinna zostać wprowadzona opcja nauki języka łacińskiego w szkołach.
238:  To jeszcze jedno ostatnie pytanie znów dla naszych uczniów i dla naszych rodziców i nauczycieli.
242:  Czy uważasz, że lekcje łaciny i filozofii powinny wrócić na stałe do programu nauczania w szkołach?
248:  Tak, absolutnie.
255:  Łacina i filozofia są ważną częścią naszego dziedzictwa historycznego i rozwoju intelektualnego.
262:  Warto, że te przedmioty powinny być traktowane jako podstawowe w edukacji młodych ludzi, ponieważ zwiększa to ich zdolności anantyczne i twórcze oraz otwiera drzwi do nowych możliwości naukowych.
279:  Czy nie widzicie tutaj pewnego malutkiego problemu?
283:  To znaczy czat GPT, który tutaj przemawia głosami Kopernika?
288:  Bo wiecie, to jest przewrót kopernikański w nauce, wprowadzenie łaciny na powrót i zawracanie kijem rzeki, konkretnie Wisły, bo taka u nas płynie przede wszystkim.
297:  Wiem, że są też inne, ale mieszkam w Krakowie, tak?
299:  Niech mam chociaż tę jedną radość z życia, że płynie przez moje miasto Wisła.
305:  skisła wprawdzie już w Krakowie od smogu, ale jednak płynie, tak?
310:  Więc przewrót kopernikański nadchodzi, tak?
314:  I dowiadujemy się tego z ust robota, który wykorzystuje całą wiedzę dostępną czatowi GPT, modelowi OpenAI, o którym sobie opowiadaliśmy ostatnio, tylko że w znaczącym kontekście, mianowicie w tym kontekście, że ten model AI
330:  Świetnie pokazywał, jak system edukacji pruski kapituluje właśnie przed nauczoną jak papuga tego, co umie człowiek sztuczna inteligencja, nie mająca dostępu do internetu, a jedynie dysponująca zamkniętym zbiorem do 2021 wiedzy, wiadomości i informacji, które składają się na, wiecie, te 40 tysięcy razy już przetwarzane i młócone dzieła wybitnej literatury polskiej.
355:  Albo jest w stanie zdawać prymitywnie przygotowane egzaminy, jak chociażby egzamin medyczny w Stanach Zjednoczonych, czy egzamin MBA, Master in Business Administration, bo to są durne teściki.
