🔴 Ciężkie próby w Muspelheimie — GOD OF WAR Livestream #6
🔗 https://www.youtube.com/watch?v=ER53xJaRijw

92:  Dzień dobry.
316:  Witam wszystkich zgromadzonych barbarzyńców!
321:  Witam przedstawicieli Kolegium Magii Rozczarowanego, że Kratos dalej wymachuje toporem zamiast wyłącznie używać potężnej runicznej mocy!
331:  Witam wszystkich silnych i dbających o formę!
334:  Urszula Giewon, Rafał Biurkowski, Matt Pederson, Bartek Lewandowski, Jakub Wdowiak, Kapłanka Chaosus, Gretyk95 i reszta naszych wspaniałych moderatorów, Bocik, Serenoks,
345:  Nie ma muzyki.
345:  Soywich, Dyktoforcja, Jakub Wdowiak, Pademi Furnes, Jaszczur Król, muzyka odpala się, muzyka się powinna była już odpalić.
352:  Dobrze, Rapture 2003, Płonąca Pyrka, Jakub Wdowiak, Wilson, Adrian Steplewski, Chimerzyca, Serenox, Mega Fuka, Dobre Me, Mim, Eri Greenleaf, która zapytuje, jaka herbatka, herbatka zielona dzisiaj, tym razem nazywa się Laponia, Rosół Skóry Domowej,
367:  Rej Wiło, Kruszynka Iska, Trash Panda Filip, Urszula Giewon, Czerwony Lis, Marcin Gaboris, Czas, Baletus Etulis, Balrok72, Ania Szymańska, Kilia Linia oraz Bartek Lewandowski, Jorwet15, pozdrowienia od wywiadu temerskiego niezmiennie, Urszula IPB1990, Iwil Maciek, Misiek Milan, Wasiu Ocylotka,
393:  Przeczytałem, prawdopodobnie, albo Private QLS, Trash Panda, Jamonika, Wyznawca Roga Tego Szczura, Tomiasz M, Boletus, Wasiu i Alex Gry i Gojo Katoru i Kwiatuszek Borowiczek, Marcin Karolowski, Kwiatuszek i Borowiczek to są dwa niki, ale zabrzmiały razem pięknie, Karol Adamczyk, Venzant i Mr. Magic Hook i Venefica Lanares, Daniel Alejandra, Evil...
420:  Ksariks i Kajetan Sługocki, Weronika Choroszucha, Dziwny, KapiCapi, Baldwin IV, Zatoici, Rys Kowalski, Nenu, Grzybnia Pierwotna, Kain, Majestic Dwarves, Szeptucha, Demini, Ruwa, Andre, Minkron, Remiten, Frogett67, Veokam, Okamig, Citrux, Crowncrow, Jesioł,
446:  Biko Meza, Muminak i Evil Maciek jest, moi drodzy, jeszcze do tego wszystkiego.
450:  Jan Mikołajem.
453:  Niuch!
455:  Biedny niuchacz.
456:  Alicja Sanescik, James Wade, Haoa Sakura, Futbol, Wenzant, Rafał Piórkowski, Martyna, Darek Masiajczyk, Justyna Neko, Baletus Edulis, jeszcze raz Cię czytam, Car Mikołaj III, Ovidiusz,
471:  Kryk, ciotka Og, czy to krew na niani Og, Paula, Szymon Zajdel, Oliwia, Lunatella Komorowska, Kacperski12, Sher, Jasilos, Neriem oraz Jamonika.
482:  Wszyscy niewyczytani, wszyscy stali, nie stali, widzowie kanału, wszyscy, którzy przyszli po prostu oglądać bitkę i wszyscy, którzy przyszli tutaj dla dygresji oraz wszyscy, którzy będą to oglądać w formie zapisu streamu.
493:  Witajcie moi drodzy, najserdeczniej, radośnie do go włożymy.
499:  Tylko czekajcie, muszę wpierw usunąć moje, znaczy nie usunąć, wyłączyć moje świeczuchy.
503:  Świeczuchy off.
505:  Świeczuchy zoffowane moi drodzy.
507:  To jak kurwa będzie gramy?
509:  Oczywiście robimy interes moi drodzy.
512:  Tak, czy ja słyszę wszystko?
514:  Kontynuuj.
516:  Oczywiście, kontynuujemy moi mili, nie ma innej opcji.
519:  Jaki sprzęcior daje takie piękne, kolorowe światło za Tobą?
523:  Dziękuję, dziękuję za pochwałę sprzęciora.
