🔴 God of War jest zbyt dobry — GOD OF WAR Livestream #2
🔗 https://www.youtube.com/watch?v=sdorZAsNpHc

12:  Zdjęcia i montaż
220:  © PTA & TVP
616:  Dzięki za oglądanie!
799:  KONIEC
912:  Jamniun Gondr!
916:  Wita wszystkich!
918:  Jamnik opasujący wszechświat!
930:  Witam drugiego dnia God of Warowego!
933:  Wszystkich przybyłych!
936:  Czerwony Lis, Lindel, Enea, Gramor oraz Trash Panda, Vegary, Agnieszka, Saraneri, Greeny, Froggen, Asia, Wojtek Pszczelarz, Pawel Zetew, Lina Bardzińska, Bartosz Nowak, Mega Fułka, Ania Szymańska, wszyscy stali i nie stali, widzowie kanału, Trybutariusze wspierający, Jan Nikołajowie, ludzie mówiący niuch,
958:  Ludzie wielbiący jamniki, ludzie czczący Jormungandra, wszyscy zaniepokojeni o to, że Krzysztof stwarza zagrożenie pożarowe, witam najserdeczniej wszystkich zgromadzonych
970:  Podczas najkrótszego naszego wyczytywania nazwisk, a wiecie dlaczego?
974:  Dlatego, że gramy w tę doskonałą grę.
977:  I ja nie wytrzymam ani jednej sekundy bez God of War'a, moi drodzy.
981:  Nie było jeszcze czegoś takiego nigdy, żebym tak strasznie chciał zagrać w grę, w którą tak strasznie nie chciałem zagrać.
989:  Co to się dzieje, moi drodzy?
990:  Wspaniałości absolutne z God of War'em.
993:  Tak jak wam dziękuję za namówienie mnie do tej gry, to nie macie pojęcia.
997:  Mieliśmy dzisiaj grać w Horizon Zero Dawn.
1000:  I nie będziemy dzisiaj grać w Horizon Zero Dawn, będziemy słuchać wrzasków potworów.
1005:  Kain za to jest Jan Mikołajem, moi drodzy, jest polski dublarz zgodnie z obietnicą, Grzybnia Pierwotna otrzymuje wsparcie, Erard cywilizowany, Druid Gummi, Paweł Z. Kratosoholik ze mnie, tak jest, moi drodzy, nie mam zielonego pojęcia, gdzie jestem i co się dzieje.
1023:  I dlaczego wylądowałem w tym miejscu?
1030:  Okej, bardzo mi się nie spodobało to, co usłyszałem.
1033:  Czy kaszojat będzie do nas w ten sposób mówić?
1038:  No dobrze.
1039:  Może, może Kratos nas uraczy jakimś głębokim basem, moi drodzy.
1044:  Takim barbarzyńskim i wspaniałym.
1048:  Krzysztof wreszcie się nawrócił na chwalebny język polski.
1050:  Nie wiem, nikomu niech będą dzięki.
1053:  Moi drodzy, gdzie byliśmy wczoraj?
1055:  Otwieraliśmy świątynię.
1058:  Mianowicie, i otwarłszy świątynię, uruchomiliśmy ten most.
1064:  Karo, dzięki za wsparcie od 14 miesięcy oznajmiam, że młodszy brat nazywa cię pan Jamnik.
1069:  Pozdrowienia dla młodszego brata Karo.
1072:  Co więcej, jamnicze pozdrowienia.
1078:  Nie zagram w Fallouta New Vegas.
1080:  Moi drodzy, są takie piękne rzeczy, a wy mi mówicie, żeby w jakieś postapokaliptyczne rzeczy.
1084:  Wiesz, nigdy się nie przyzwyczaję do chodzenia po świetle.
1088:  Okej.
1089:  Tak, czyli zapis był w dobrym miejscu.
1092:  Drzwi nie mają szczeliny.
1096:  Co?
1096:  Mamy problem.
1098:  Okej.
1099:  Pasuje ten głos do Kratosa.
1102:  Idealnie reprezentujesz postawę nimą pojęcia, co robię.
1105:  Zawsze się staram, moi drodzy.
1110:  Czemu nazywasz go... Czemu nazywasz go krasnoludem?
1112:  Uwielbiam ciekawe rzeczy.
1115:  Zaraz.
1116:  Zabiliście pradawnego?
1118:  Tak.
1119:  Było ciężko?
1121:  Tak.
1122:  Czy to wszystko, co mi powiesz?
1124:  Tak.
1125:  No jak tu nie uwielbiać Kratosa, moi drodzy?
1130:  Daremny jest ten dubbing i już motion capture był robiony razem z dubbingiem.
1133:  Żaden dubbing tego nie uchwyci.
1134:  Zobaczymy, moi drodzy.
1135:  Dzisiaj oceniamy dublaż polski, a wczoraj ocenialiśmy angielski.
1139:  W jaki sposób dotarłeś tu przed nami?
1142:  Powiedziano nam, że światy łączy tylko jedna droga.
1145:  Może i dla was to jest jedyna droga, ale krasnoludy mają swoje sposoby.
1150:  Odpowiedz na pytanie.
1153:  Krasnoludy.
1153:  Po świątecznym żarle trzeba ćwiczyć!
1159:  Bicka robić!
1160:  Tricka robić!
1162:  Zadowolony?
1174:  Poza tym mamy jeszcze komiks obok, racja absolutna, zaraz go ogarniemy.
1178:  Germofobia, dobrze pamiętam.
1180:  Mówi o tym.
1180:  Nie...
1199:  Naprawdę?
1201:  A, gdy przenikną do organizmu, to choruje.
1203:  Tak.
1204:  Ale wiedźma zdradziła mi, że pewne drewno, dębina, może jej odstraszać.
1210:  Więc teraz wszystkie rękojeści robię z dębu.
1213:  Wiesz.
1214:  A, spryciarz.
1216:  Proszę bardzo.
1217:  Ok, wracam do pracy.
1220:  Proszę bardzo.
1221:  I jeszcze coś miałem zrobić, ale nie pamiętam.
1223:  Dalej?
1224:  Czemu brok jest niebieski, a ty nie?
1225:  Chłopcze.
1226:  O, w porządku.
1227:  Chłopcze.
1230:  Ghost of Tsushima ogrywamy 16 maja, moi drodzy.
1234:  Albo później.
1236:  Zobaczymy, w zależności od tego, kiedy wypadnie.
1239:  Bo to moje urodziny.
1244:  Bartosz Warachewicz, dzięki ci serdecznie za dołączenie do wspierających!
1253:  Powiedzcie mi, dlaczego tak rzadko podczas dialogów postaci niezależne robią rzeczy?
1259:  Przecież gdyby to była każda inna gra, Sindri, nawet pamiętam jego imię, stałby tutaj jak kołek.
1268:  Jestem NPC-em.
1270:  Najważniejsza misja w moim życiu to rozmawiać teraz z tobą.
1274:  Pozwól, że opowiem ci ostatnie trzy tysiące lat historii cesarstwa.
1279:  Nie, nie, nie musisz!
1280:  Otóż kiedy trzy tysiące lat temu.
1282:  Cesarz i lecimy.
1284:  Sindri, czemu po prostu nie pogodzisz się z bratem?
1288:  Ja?
1289:  Pytasz czemu?
1293:  W Starfield jest tak zawsze?
1297:  Tak, tam jeszcze postaci stoją na baczność.
1301:  Kratos nawet teraz trenuje.
1312:  Wam się wydaje, że on stoi, ale tak naprawdę on trenuje.
1316:  Napręża mięśnie i rozkurcza mięśnie.
1320:  Teraz komiks.
1321:  Barbarzyńca lubić komiks.
1323:  Komiks nie używać słów.
1326:  Komiks używać trudne runy.
1328:  Chłopcze, tłumacz.
1338:  Nie ma przydechu walenrodycznego, macie rację.
1343:  Chłopczyk tylko ma pewien problem, to znaczy on każde zdanie kończy pytająco, ale poza tym nie mam się czego czepiać.
1350:  Jakie słuchawki?
1351:  Odyssey LCDX Creators Edition, czy jakoś tak.
1356:  Nie zdążyłem otworzyć dziennika.
1358:  Co za rozpacz.
1360:  Moi drodzy, to są jamniki.
1361:  Słuchajcie, dwa jamniki.
1362:  Proszę bardzo, jeden jamnik.
1364:  Kratos pokazuje głową.
1365:  I drugi jamnik.
1367:  Te jamniki podróżują.
1368:  I niosą wszędzie oświecenie wielkiego jamniungandra.
1374:  Jamnika opasującego świat.
1376:  Ania Szymańska się, widzę, też wkręciła w God of War'a.
1378:  Proszę bardzo.
1379:  Czy w połowie live'a dasz ankietę, jaki język?
1381:  Mieliśmy ostatnią ankietę, szejku truskawkowy i było 50-50.
1385:  Dobra, i teraz pytanie.
1387:  Okej.
1388:  Inteligentny interfejs nam pokazał, nie... ...że potrzebujemy zdrówka.
1394:  A ja właśnie miałem spytać, skąd mam wiedzieć, czy nie mam zdrówka, czy mam.
1399:  I wjeżdża ta muzyka piękna, daj.
1403:  Fruuuu!
1407:  Kukuku?
1408:  Kukuku?
1409:  KKK?
1410:  Nie pamiętam sterowania, ale to zaraz naprawimy.
1414:  Kuku!
1416:  Kuku!
1418:  Kuku!
1422:  Au.
1423:  Dobra, już.
1428:  Dobra.
1429:  Okej.
1433:  Zaraz sobie wszystko przypomnę.
1437:  Niestety silniejsi widzę.
1443:  Chodź, ja płuk!
1451:  Chacia fuk!
1456:  Gotów!
1457:  Ok.
1457:  Jestem pewien, że byłem zasłonięty akurat, ale co tam.
1468:  Uwaga!
1469:  On jeszcze żyje?!
1471:  Oh, come on!
1472:  Wywracał!
1479:  Oh boy, oh boy, oh... Dobra.
1483:  Dobra, dobra, dobra.
1485:  Ratuj, Atreus.
1487:  Ragnarok będzie okrywany, jak tylko wyjdzie na pecety, moi drodzy.
1494:  Chciałbym, żeby regenerowało nam zdrowie, ale nie regeneruje nam zdrowia, niestety.
1500:  Głuszaj ich.
1501:  Łatwo powiedzieć, trudniej zrobić.
1502:  Muszę sobie przypomnieć wszystkie, moi drodzy, przyciski.
1507:  I dzisiaj do sprzątania włączyłem soundtrack z God of War i pomaga.
1511:  Oczywiście, że tak.
1512:  Dobrze.
1514:  Kuj e, właśnie, zapomniałem o leczeniu jeszcze.
1517:  Dokładnie.
1529:  Okej.
1529:  Spacja to jest unik.
1531:  Okej, dobra, dobra, dobra.
1533:  Działa, działa, działa.
1553:  Jeszcze mam jedną runę.
1557:  Czemu nie działa?
1558:  Okej, ta.
1570:  Ciągnij mój szału, odblokowacz, ale nie dostaję szału.
1588:  Jest!
1589:  Aaaa, masz!
1590:  Au!
1598:  Nie nauczę się, nie oduczę się tego kontrola horizonowego.
1607:  Come on!
1608:  Dobra, muszę usiąść.
1610:  Nie da rady.
1618:  Lecz się, lecz się.
1619:  Lecz się, lecz się, lecz się, lecz się, lecz się!
1627:  Dobra, jest jeden, good!
1639:  F!
1640:  Do Vakina!
1642:  Ja ci dam do Vakina!
1648:  Dobrze jest!
1651:  Batista!
1653:  Leczonko!
1654:  Dobrze, mamy!
1655:  Huuu!
1657:  A masz.
1658:  Silni, moi drodzy.
1660:  Batista!
1663:  Bardziej pamiętam Batistę niż sterowań.
1665:  Dobrze, jest, jest.
1666:  Trzeba było usiąść.
1668:  Nawet Kratos powiedział, że nie jest łatwa.
1670:  Proszę bardzo.
1672:  Proszę bardzo.
1674:  Puuu, zaktualizowana Bestiariusz.
1677:  Te elfy potrafią przyzywać posiłki, więc powinniśmy się z nimi rozprawiać w pierwszej kolejności.
1681:  Aaa!
1682:  Ich skrzydła lśnią jasnym blaskiem, dzięki czemu łatwo je wytropić.
1685:  Ciekawe, ile ciemnych elfów żyje w Alfheimie.
1690:  Ehm, co?
1691:  Dlaczego?
1692:  Co się stało?
1693:  Okej, dziwne rzeczy się stały.
1695:  Spaczeń uzdrawiający, tak, tak!
1698:  Teraz, moi drodzy, dzisiaj ledwie, Legend of Total War rozpoczął kampanię z cavernami.
1703:  No jaki dramat.
1706:  Nawet sączaki gadowo są bardzo dobre, mówicie, z Ragnaroka.
1711:  Daj Kratosowi lepszy pancerz, może to nie jest zły pomysł.
1716:  Mówiliście mi, że ten Kashoja nie jest tak strasznie piskliwy jak oryginalny, więc let's agree to disagree.
1733:  Strzelaj do niego!
1740:  Dobra, koniec tego!
1748:  Koniec!
1749:  Gut!
1752:  Au!
1753:  Nie!
1754:  Batista!
1761:  Au!
1768:  Batista!
1772:  Dobrze.
1772:  Dobry!
1774:  Good boy!
1780:  Siś!
1782:  Dobrze, ten lepszy pancerz jest absolutnie konieczny.
1786:  Chociaż... Pancerz, dobrze, to jest tutaj.
1789:  Czy mamy taki?
1790:  Porównaj.
1793:  No powiem wam, że nie do końca.
1799:  Obrona kosztem siły niedobre.
