🔴 Kratos w Milfheimie — GOD OF WAR Livestream #7
🔗 https://www.youtube.com/watch?v=ftqXveb6KD8

160:  Dzięki za oglądanie!
440:  Witam wszystkich przybyłych na Kratoszenie, na Godowłorowanie i na podróż do Milfheimu.
453:  Muszę... Dlaczego ja siebie... Dlaczego ja siebie słyszę?
460:  Muszę... Nie mam zielonego pojęcia, dlaczego się je słyszę.
467:  Czy wy też macie echo?
470:  Rany boskie.
473:  Wiedziałem, że Filip coś spieprzył, moi drodzy.
477:  Rany boskie.
479:  Wiedziałem, że Filip coś spieprzył, moi drodzy.
492:  Ja na razie nic nie będę mówił, okej?
498:  Ja na razie nic nie będę mówił, okej?
499:  Ja na razie nic nie będę mówił, okej?
511:  Muszę teraz przemyśleć, dlaczego ja siebie słyszę i co się w ogóle stało.
516:  Bo nie mam, szczerze powiedziawszy, moi drodzy, bladego, zielonego pojęcia.
528:  Rany boskie.
558:  Wszystko jest w porządku, nic nie zmieniałem, nie mam zielonego pojęcia z czym to może być związane moi drodzy.
565:  No przecież to jest jakiś kompletny absurd.
568:  Tak, sabotaż mamy ze strony Filipa moi drodzy.
571:  No przecież to jest jakiś kompletny absurd.
574:  Tak, sabotaż mamy ze strony Filipa moi drodzy.
584:  Rany boskie, nie wiem, nie wiem, nie wiem, nie wiem, czekajcie, wszystko wyłączam jednocześnie.
590:  Rany boskie, nie wiem, nie wiem, nie wiem, nie wiem, czekajcie, wszystko wyłączam jednocześnie.
592:  Rany boskie, nie wiem, nie wiem, nie wiem, czekajcie, wszystko wyłączam jednocześnie.
607:  Dobra, a jeżeli zrobię w ten sposób?
612:  O!
614:  Nie.
617:  W dalszym ciągu.
619:  Czy to jest kwestia przeglądarki?
621:  Mogę spróbować, moi drodzy.
623:  Właśnie sprawdzam też ustawienia mikrofonu w Windowsie i czy to jest ta kwestia, ale nie, to nie jest ta kwestia.
639:  Windowsie i czy to jest ta kwestia.
641:  Ale nie, to nie jest ta kwestia.
643:  Mówicie, że teraz było git?
648:  Nie, nie mam otworzonej drugiej sesji.
650:  Moi drodzy, nigdy czegoś takiego nie robię.
653:  W związku z powyższym miał praktycznie żadnych szans, żeby coś takiego się zdarzyło.
658:  Drugi mikrofon jest wyłączony.
660:  Czy ja siebie też słyszę tak cicho?
663:  Nie, nie słyszę siebie tak cicho.
666:  I dalej mówicie, że słychać.
668:  Jezus Maria.
672:  Jest git?
675:  Nie ma już echa?
678:  Jakim cudem to się zdarzyło w takim razie, to ja nie wiem.
686:  Nie ruszaj, nie działaj już, nie ma pogłosu.
689:  Ale co to było?
691:  Co to było w ogóle?
694:  Bo najgorsze jest to, że równocześnie miałem gdzieś
701:  Nie wiem, czym to jest spowodowane.
703:  Nie mam zielonego pojęcia, czym to jest spowodowane.
705:  Wiem natomiast, że kraszuje mi co jakiś czas jeszcze chrome do tego wszystkiego.
711:  Tak to jest, moi drodzy.
713:  Dopuścić kogoś po koleżeńsku dobrze do tego, żeby korzystał z wieży.
718:  Dlatego nie należy być koleżeńskim.
721:  Dlatego nie należy nikogo wspierać i należy robić po swojemu rzeczy.
726:  Zdenerwowałem się.
728:  No naprawdę się zdenerwowałem.
730:  Najgorsze jest to, że ja nie mam bladego pojęcia, co ja zmieniłem, co zrobiłem, a już wiem.
741:  A może nie?
745:  Nie, to nie ma sensu.
746:  To nie ma sensu.
747:  Autentycznie to nie ma żadnego sensu.
751:  Każdy dobry uczynek jest doraźnie karany.
753:  Tak jest mi okun.
754:  Właśnie tak się dzieje.
756:  Właśnie tak się dzieje.
758:  Nie wiem.
759:  Do teraz nie wiem.
760:  Nie wiem, co to jest.
762:  Filip zostawił w pluskwe.
765:  No nie mam bladego pojęcia, ale to jest tak stresujące, powiem wam.
768:  To jest tak giga stresujące, że po prostu od razu odpalam go do włora.
773:  Dziękuję wszystkim jamnikołajom, moi drodzy, którzy zajamnikołaliźli się na samym początku.
779:  Więc dla was ogromne i serdeczne niuch.
784:  O Boże.
785:  Jakie zmienianie ustawień.
787:  Nie wolno takich rzeczy robić.
789:  Nigdy się tego nie robi.
790:  Czy wy w ogóle słyszycie cokolwiek?
793:  Bo ja tak średnio słyszę.
795:  Dobrze.
795:  Kontynuuj.
797:  No horror absolutny.
798:  Dla tych, którzy w ogóle nie wiedzą, o co chodzi, Philips bez schematu przeprowadza się, nie miał studia, w związku z tym u mnie nagrywał parę rzeczy.
808:  I tak się to skończyło.
812:  Jakieś ptaki słychać.
814:  Rany boskie.
815:  Przeżyłem po prostu chwilę grozy.
818:  Chyba, że grę to nie.
819:  Nie.
825:  Rany boskie.
827:  Powiedziałem rany boskie chyba jakieś 50 razy, bo się tak zdenerwowałem.
833:  Ja jestem człowiekiem, który uważa, że technologia to jest magia.
840:  I jeżeli cokolwiek się zmienia, to ja jestem nieszczęśliwy.
845:  Czyli jeżeli cokolwiek się zmienia, to wpadam w panikę.
849:  I ja najchętniej w takiej sytuacji bym w ogóle wyłączył stream.
854:  Naprawdę.
855:  Naprawdę i autentycznie.
857:  Miałem opóźnienie jakieś 40 minut, musiało się to naprawić.
860:  Ja w ogóle sam siebie słyszałem przez cały czas, jak ja mówiłem, by rzeczywiście pobierało mi skroma, czy cokolwiek.
866:  Idiotyczne kompletnie.
868:  Nie, nie, moi drodzy.
868:  Fabułę to robimy jutro.
871:  Fabułę robimy jutro.
872:  Do Jamniongandra idziemy jutro.
874:  Zresztą zobaczcie, że mamy wszystko rozgrzebane.
876:  Nie wiem, co się dzieje kompletnie.
878:  Musimy bezwzględnie poeksplorować, posprawdzać wszystkie rzeczy.
883:  Nawet nie pamiętam, jakie mamy questy poboczne.
885:  Proszę bardzo, musimy odnaleźć pozostałe Walkirie.
888:  Trzeba odblokować Milfheim.
891:  Więc odblokujemy Milfheim.
894:  Będziesz teraz kazać Jamniongandrowi zleżeć z otwartą paszą przez najbliższe parędziesiąt godzin.
898:  Tak jest, tak właśnie będzie.
906:  Mnie wczoraj zasabotował Xbox przez Last Romantę, nie mogłem przejść przez ekran tytułowy HD, zagrała się w nieskończoność ładowała.
912:  Mówię, to jest magia, tak?
914:  To nie jest logiczne.
916:  Nikt kto pracuje w serwerowni nie powie, że rozumie co się tam dzieje.
921:  Czy będzie jeszcze Hollow Knight?
922:  Hollow Knight przecież mam w środę.
924:  Rurek, dzięki ci serdecznie na trybut.
926:  Mam nadzieję, że dobrze zniszczy dzisiaj Królową Walkirię.
929:  Jestem z tobą podczas bitki na randce z koleżanką.
931:  Proszę pozdrowić serdecznie koleżankę.
935:  Jamnika pokazać.
936:  Znaczy tego!
939:  Dobrej randki dla was.
940:  Dziękuję ci za trybut.
942:  Idziemy, moi drodzy, odblokować Milfheim, tak a propos.
946:  Czy byłem na targach książki Vivelo w Warszawie w maju?
950:  Powiedziałeś kluczowe słowo, powiedziałeś, przepraszam, Vesper, Warszawa.
954:  To znaczy, że nie.
955:  Ja nawet na targi książki w Warszawie, w WTF, czyli Warszawskiej Targi Fantastyki, czy coś takiego, nie przybywam właśnie z uwagi na pierwszy przymiotnik.
