🔴 Ogień, lód i wrogów w bród — GOD OF WAR Livestream #5
🔗 https://www.youtube.com/watch?v=okvPYO1mCR4

337:  © PTA & TVP
364:  Dzięki za oglądanie!
547:  Dzięki za oglądanie!
613:  Witam wszystkich najserdeczniej na sobotnim streamie dogowłorowym, kiedy psy wojny są spuszczane ze smycz i rzucają się do kardeł straszliwych wrogów, barbarzyńcy Magosa Kratosa.
629:  Witam najserdeczniej, niech będą powitani Ania Szymańska-Żytluskawkowy, Jamnicza Kapłanka z Allenstein.
634:  wspierająca już od roku i przez tak wspaniałej grze, to prawda, Anime Dziewczyna, GraphicWidth, Płonąca Pyrka, Destiny, Emka, Maria Skoczyla z Ministra Twojej Reklamy, Rys Kowalski, Justin Nenu, Alejandra, Płonąca Pyrka, Victor Winter, CzerwonyList, Sara Gawrońska, CrownCrow, Jormungandr, Destiny i Weronika, Lunares oraz Capizapi i Szymon Fajdel, Adrian Steplewski, Matt Patterson, Catty Snape, Borowiczek, JustWhiteLee oraz Simon...
660:  Ulkiorra, kammo, 124, dziękuję za wsparcie, 118 miesięcy, czerwony list, Jakub Wdowiak, Ulkiorra, nie było żadnej minuty spóźnienia, równo byliśmy, Newrast, Marcin Małachowski, Parmediano, Reggiano, istota żyjąca, car Mikołaj III, Karolina Jurewicz, Trash Panda, Michał, Agnieszka, Styczyńska oraz, oraz towarzysz Tatar, Lovely Flames, Bakker, Kruszynka, Iza, Dyktoforsja, Rekskelion Ekstraordynaryjny, Cichy Luj, Niebiesko Oki, Maharadża,
688:  wspaniałe, kerdysphinx.pl, Zderzacz Hadronów oraz Jakub W. Wdowiak, Rexkelion, wszyscy moi drodzy stali i niestali widzowie kanału, wszyscy wspierający, takoż ludzie, którzy przychodzą tutaj tylko po to, żeby popatrzeć na wspaniałą, wyprężoną klatę barbarzyńcy Kratosa, Agnieszka, Michał Mazur,
708:  Astaroth, Dawid, dzięki za wsparcie od 9 miesięcy.
711:  Jak wrażenia z gry?
711:  Czy będzie ogrywany Ragnarok?
713:  Będzie, jak tylko będzie na pececie.
714:  Wrażenia z gry są wspaniałe.
716:  Jest to najlepszy tytuł ogrywany przeze mnie tego roku.
719:  Jeden z najlepszych ogrywanych w życiu.
721:  Kacper, Wiktor Winter, Simon, Magiczny Proszek, Wiktorius, Froget 67, Hysza Olevales, Jafri, Kamil F., Mieszko Świerczyński, Majestic Dwarves, i Astray, i Baker, oraz...
738:  Arti Niezłomny, Crazy Denix, Gerwazy Jorgen, Lizusus, Ksaan.
745:  I wszyscy przybyli, moi drodzy.
746:  Without further ado.
748:  Bez większego adowania idziemy do gadoworowania.
752:  Nie ma to tamto.
754:  Wyłączam świeczuchy.
756:  Powiedziałem, wyłączam świeczuchy.
757:  Świeczuchy wyłączone.
759:  Ojej, i ta muzyka.
760:  Już się zaczyna pięknie, moi drodzy.
762:  Już się zaczyna pięknie.
763:  Nawet trzy świeczuchy się w tle paliły, moi drodzy.
765:  Jestem przygotowany na nasze live o fantastyce.
768:  Mam nadzieję, że się dobrze macie dzisiaj.
771:  Taki jest najlepszy tytuł, jaki kiedykolwiek grałem.
772:  To są ruchome miejsca u mnie zawsze.
774:  Krzysztof woli zagrać Barbarzyńca, a nie Magiem.
777:  Jeżeli Barbarzyńca jest tak pięknie zaprojektowany, to tak.
780:  Ale jeżeli Mag byłby zaprojektowany tak jak Kratos, to Kratos nie miałby szans.
783:  Ale musiałby być gameplay w ten sposób zaprojektowany i postać cała.
786:  Ach, wspaniałości.
791:  Może ta muzyka, dajcie spokój, no niesamowite.
795:  Teraz zamiast grać będzie 10 minut słuchania muzyki w menu.
798:  Tak!
799:  Żartuję, idziemy moi drodzy.
801:  Gramy na polskim dubbingu cały czas, przyzwyczaiłem się jakoś.
806:  Polecam przesłuchać soundtrack po skończeniu God of War.
808:  Wiecie co, ja teraz rozumiem dlaczego ludzie przy R.I.P.
811:  mówili mi, ale Krzysztof to Bear McCreary komponował, to dobre, bo on komponował do God of War, no teraz już rozumiem.
817:  Moi drodzy, mieliśmy tutaj quest i ja nawet ten quest pamiętam,
822:  Mianowicie byliśmy w tej jaskini, musieliśmy otworzyć jakieś grodzie straszliwe i walczyliśmy z golemem.
828:  Tak było, nie kłamię.
831:  Czy widziałem wywiad z Sargem u Natarczywych?
834:  Nic mi to nie mówi.
835:  Jako opinia serialu Fallout?
836:  Oliverze może uda mi się nakręcić jakąś recenzję, ale na razie mogę powiedzieć, że Filip na bez schematu nie przesadza.
843:  Serial jest wybitny.
847:  No robiłeś mistrzami ochotę, żeby jeszcze po raz czwarty raz przejść tę cudowną grę, pisze Borowiczek.
853:  No proszę.
854:  Moi drodzy, więc tak.
856:  Co my robimy w pierwszej kolejności?
858:  Muszę sobie przypomnieć, w jaki sposób
863:  Ale kusi.
865:  Na razie wrócimy, o, wrócimy do magazynu Fafnira, a potem sobie ogarniemy może jakąś Walkirię Radosną, no.
872:  Albo jakieś inne rzeczy.
873:  Muspelheim jest, jeszcze Muspelheim jest przed nami, tak.
877:  Tylko w Muspelheim jest bardzo trudna i ciężka walka i nie wiem, czy nie powinniśmy troszeczkę pokwestować przedtem.
883:  Ewentualnie, jeżeli chodzi o mapy i inne tego typu rzeczy, to na razie nie.
887:  Myślę.
889:  No i oczywiście jest quest główny.
891:  Magazyn Fafika.
892:  Czy polecam serial Fallout osobom, które nigdy nie grały w Fallouta?
895:  No ja jestem taką osobą, bo nie można powiedzieć, że grałem w Fallouta, jeżeli koledzy grali, a ja się przyglądałem i oświadczam, że tak.
904:  Było super.
905:  Czy myśmy tutaj byli?
908:  Czy ja płynę w dobrą stronę?
911:  Czy ja płynę w dobrą stronę?
913:  Ja płynę w nową stronę, moi drodzy.
915:  Co to się dzieje?
918:  Czy myśmy tutaj nie byli?
919:  Czy myśmy tutaj właśnie byli?
920:  Ja nie pamiętam.
922:  Nie byliśmy tutaj.
930:  Tu chyba się jeszcze nie da...
932:  Chyba się jeszcze nie da przejść.
935:  Witamy Lucifera.
936:  Ja map w ogóle nie robiłem, nie warto, oświadcza Miłosz.
940:  Czy bym w stanie podać jakiś top 3 gier?
942:  Jestem ciekaw twojej perspektywy.
943:  Nie mam żadnej topki, musiałbyś mnie spytać konkretnie o gatunek.
947:  Na przykład do Bioshocka Infinite bardzo często wracam, ale zupełnie z innych względów, niż ktoś mógłby przypuszczać.
953:  Głównie dlatego, że w Bioshocku Infinite jest świetnie prowadzona narracja w sposób, który można nazwać multimodalnym.
960:  Czyli masz różne strumienie komunikacji.
962:  I to, w jaki sposób jest tam tutorial zrobiony, to jest absolutne mistrzostwo.
966:  Lepiej nawet niż w Wiedźminie.
967:  Dobrze, to w takim razie się tepniemy, moi drodzy, w ten sposób.
972:  Czy ostatnio zmieniałem coś z mikrofonem?
974:  Pyta Szeik Pruskawkowy.
975:  Tak jest.
976:  Mikrofon był ustawiany, moi drodzy, przez naszego moderatora Szymona Wróblewskiego.
980:  Chodziło o to mianowicie, żeby brzmiał podobnie do tego, który mam nad sobą.
985:  Wejście do magazynu Fafika.
988:  Czyli tutaj mamy wrócić.
989:  Dobrze mówię?
992:  Tak.
993:  Tu mamy wrócić.
995:  Ale nie mogę z jakiegoś powodu tutaj się przemieścić.
999:  Chyba dlatego, że mogę ze sklepu Brocka dopiero.
1006:  Pytanie, moi drodzy, czy ten mikrofon teraz brzmi lepiej, czy brzmi gorzej?
1012:  Jest przekonany, że giganci są kluczem do zmiany przeznaczenia podczas Ragnaroku.
1017:  Są w końcu najstarszymi wrogami asów i to ich armia ma go ostatecznie pokonać.
1024:  Ale to nie wszystko.
1025:  Zazdrości im przepowiedni.
1027:  Chce wiedzieć to, co oni.
1029:  Widzieć to, co oni.
1031:  Wszystkim żyłoby się o tyle łatwiej, gdyby nie jego nienasycona ciekawość nie brała góry nad mądrością.
1038:  Co masz na myśli?
1039:  A, przypomnij mi, bym ci wyjaśnił, czemu zwą go władcą wisielców.
1044:  Ło!
1050:  Tak, Kanye z Janem Nikołajem, dziękuję serdecznie za wsparcie kanału, nie chciałem przerywać Kratosowi oraz Kaszojadowi, moi drodzy, bo jesteśmy w pięknym miejscu.
1060:  Dobrze, dobrze, moi drodzy.
1065:  Nie możesz tam, bo to była ikonka celu.
1066:  Niefortunnie jest obok innych.
1068:  Co tu się dzieje?
1068:  Kamo124 w takich okolicznościach przyrody pięknych, niebieskich podawał 20 pakietów wsparcia, czyli 20 osób będzie mogło używać jamników.
1077:  Agnieszka Styczyńska, Ksaan, Citrux, Zenri Farek, Gerwazy Jorgen, Omikamig, Michał oraz Rudabroda.
1089:  Prism i Zawisz i Bezdomny oraz Houdinius i Coldwitch oraz Skwieria13 i Karo25 oraz ToniaDub i OneIdiotToRuleThemAll.
1105:  Co za nick.
1115:  O nie.
1117:  O nie.
1119:  Nie wiem, czy dobrze rozumiem.
1120:  Ty i Sindri stworzyliście Mjolnira?
1122:  A Thor zabił nim wielu ludzi.
1123:  No i co?
1123:  Wściekacie się na siebie nawzajem, zamiast na Thora.
1146:  Młody, lubię cię, ale ni w ząb nie pojmujesz zawiłości relacji kształtujących się w rodzinie.
1152:  Widzisz, ja nie pouczam twojego staruszka na temat twojego wychowania.
1156:  A wierz mi, jest co krytykować.
1157:  Przepraszam, Brock.
1158:  Chcę tylko pomóc.
1164:  To by się zgadzało.
1177:  To jest przykład randomowych wiadomości, które wysyła na czatach autorka wszystkich jamniczych emoji, opiekująca się graficznie miniaturami streamów na kanale.
1188:  Jak widzicie, odpowiedzialna, rezolutna graficzka.
1195:  Jakie w uwierzanie się scyca Sfinksa, o co tu chodzi?
1203:  Ja nic nie mówię.
1205:  Jak oceniam dialogi w God of War?
1207:  Właśnie takie, tak, że ja przerywam gadanie, jak są te dialogi.
1212:  Miałem to ostatnim razem w Wiedźminie.
1214:  Co więcej, ludzie poczytywali mi to za jakiś, nie wiem, błąd, że Krzysztof zagaduje dialogi w grach.
1221:  O, przepraszam, przepraszam najmocniej.
1223:  Nie będę zagadywać dialogów, jeżeli będą napisane dobrze!
1227:  Więc jak dialog jest napisany w sposób nudnawy, to jest tragedia.
1230:  Co to tutaj jest?
1231:  Tu jest jakieś kółeczko naokoło tego.
1233:  Jeszcze nie zrozumiałem, co znaczą te rzeczy.
1236:  Dziki las.
1238:  Okej, czyli tu jest ikonka Questa, tu jest magazyn Fafnira, a my możemy się do dzikiego lasu tepnąć.
1244:  Zrobimy tak.
1248:  Porządny grafik nie może być poważny.
1251:  Dzisiaj będziemy dużo, moi drodzy, łazić w limbo.
1256:  Odyn spędził dziewięć dni jako trup.
1259:  Tak, powiesił się na jednej z gałęzi Yggdrasilu, przebił sobie bok włócznią i wykrwawił się do studni przeznaczenia.
1266:  Przemierzał krainy umarłych i zgłębiał sekrety drzewa świata.
