🔴 Wyzwania w Hauhalli — GOD OF WAR Livestream #4
🔗 https://www.youtube.com/watch?v=X4MzV4hFc6c

53:  Muzyka
337:  Zdjęcia i montaż
365:  Dzięki za oglądanie!
550:  Zdjęcia i montaż
597:  Jamnion Gondr przybywa!
600:  Jamnion Gondr przybywa, żeby opasać cały świat!
606:  Żeby był God of War, żeby był Dog of War, a nie inne gry!
611:  Bo nic nie jest lepsze od Dog of War'a!
614:  Witam wszystkich przybyłych o tej dziwnej godzinie, kiedy nikt się nie spodziewał gry!
619:  Mikał Fatak dołączony, gra wspierających!
621:  Witam najserdeczniej wszystkich!
624:  Dzisiaj w skrócie
626:  W skrócie, bo trzeba szybko, szybko iść do gry, więc witam wszystkich widzów, wszystkich wspierających i wszystkich, którzy rozpoznali referencję do Food Emperora!
638:  Niech Jamnion Gondr Wam sprzyja!
643:  Lecimy, lecimy, lecimy, lecimy, lecimy, od razu, od razu, kontynuuj, kontynuuj grę.
648:  Nie, nie możemy ani sekundy stracić.
653:  Ani sekundy, moi drodzy.
654:  Najszybszy wstęp, szybkie wyjaśnienie.
656:  Tak, graliśmy w Horizon Zero Dawn, Forbidden West, ale stwierdziłem, że nie ma co narzekać, trzeba dokończyć God of War'a, zrobić z tego godną serię.
664:  I dzisiaj będziemy ogarniali głównie rzeczy, które są raczej sidequestowe, żeby nikt, kto był nastawiony, że w sobotę dopiero będzie God of War, przepraszam, Dog of War, nie był rozczarowany.
676:  Tak zrobimy.
678:  Zrzuta na PS5 i Ragnarok za miesiąc.
680:  No!
681:  I to jest co?
682:  To rozumiem!
684:  Taki system walki, tak?
686:  Zrozumiały system walki.
689:  Pitoki będą dzisiaj fruwać, będziemy odrąbywać pitoki i wysyłać do Valhalla!
694:  Tak będzie, moi drodzy.
696:  Czekajcie, muszę wyłączyć muzykę na spot.
702:  Bo inaczej będzie dziwnie.
705:  Jesteśmy w mitologii.
706:  Gdzie jest jamnik jamnioboros?
708:  Nie mieści mi się na głowie.
709:  Mam za dużą głowę.
712:  Barbarzyński system walki.
713:  Przepraszam najmocniej.
716:  Co powiedzieliście?
719:  To jest barbarzyński system walki?
724:  Porównajcie sobie ten strzał promieniem mrozu z tym, co było w Dragon's Dogma.
729:  Piu, piu, piu, piu, piu, piu, piu, piu, piu.
733:  Otwórz te duże drzwi na jeziorze.
736:  Czy Krzysztof może otworzyć duże drzwi na jeziorze?
739:  Czy ograłbym gierki ekskluzywy na PS-ach, gdybym miał urządzenie pozwalające grać na klawiaturze i myszy?
745:  No tak, ale wtedy wiecie, będzie problem straszny z tym, że to jest jednak niedostosowane mimo wszystko do takiego sterowania.
751:  Ręczny kostum masz, no dzisiaj w poboczne.
753:  Gajusie, Flaviusie, Waleriusie, Konstantinusie.
756:  Boże, jakie to jest miano.
757:  Gdybym miał nick na YouTubie, to byłby podobny do twojego.
761:  Na co narzekałem w Horizonie?
762:  Wiesz co, Donald, to głównie na generyczną fabułę.
765:  Naprawdę, dialogi dla samych dialogów mnie dobiły.
768:  Bardzo daje się to odczuć po takiej grze jak God of War.
772:  Bardzo.
772:  Co myśmy w ogóle tutaj robili?
774:  Mieliśmy parę questów, z tego co pamiętam, pobocznych.
780:  Proszę bardzo, dowiedź swego... Sprawy rodzinne.
782:  O!
783:  Zabij sługi Hel z załogi kapitana.
785:  To mieliśmy zrobić.
787:  I jeszcze możemy wrócić sobie radośnie do wyzwań w... Muspelheimie.
796:  Ho!
796:  Pamiętam!
797:  Pamiętam, czyli świecie ognia.
799:  Dobrze, więc to sobie śledzimy.
803:  To jest relatywnie niedaleko nawet.
804:  Dobrze.
806:  Jedna Valkyria i stream z głowy, pisze Taon.
808:  Dzięki za wsparcie od 30 miesięcy.
810:  Ej, do Valkyrii w sumie też możemy dzisiaj, no.
813:  Jesteśmy w Hauchalli.
815:  Jakie piękne!
818:  Hauchalla.
821:  Jamniongandr w oddali.
824:  Tak jest, moi drodzy, chociaż pamiętajcie, że Jamniongandr jest tylko jeden.
836:  Nie wiem, czy jestem w stanie tak długo grać.
838:  Chyba nie.
841:  Muspelheim.
843:  Muspelheim lepiej rozumiany w Ragnaroku.
845:  Nawet nie mówcie.
845:  Ragnarok and Roll.
847:  Hauchalla zostaje.
849:  Wiecie co?
851:  Tak zatytułujemy ten stream.
855:  W Hauchalli.
860:  Tak jest.
862:  Od Horizona.
865:  Do hałhalli.
868:  Świetnie.
869:  Dziękuję za... Jak zapiszę sobie w tytule streamu, to nie zapomnę.
874:  W tym kadrze Jamnion Gander wygląda jak parówka.
877:  Każdy jamnik wygląda jak parówka przy odrobinie złej woli.
883:  Niech ktoś załatwi szalik podobny do jamnika.
885:  Mam taki.
887:  Ja wszystko mam z jamnikami.
889:  Dzisiaj, moi drodzy, dla wytrwałych na streamie będzie...
894:  Pokaz jamniczego szalika.
895:  Mam nadzieję, że go odnajdę.
899:  Może się zdarzyć, że go nie odnajdę.
901:  Zastrzegł Krzysztof.
905:  Proszę bardzo.
906:  Nawet sam odnalazłem kruka.
909:  A po tej grze żadna gra nie będzie taka sama.
911:  Nie załamujcie mnie nawet.
914:  Nie załamujcie mnie.
915:  Jestem tak rozindyczony horizonem.
918:  Jazda jest dla biała gwiazda.
920:  O!
921:  No i to rozumiem!
922:  To jest walka!
925:  To jest walka!
927:  Jak śmiesz.
928:  Dwardruna!
931:  Dwardruna!
932:  Używaj!
938:  Jeszcze chwila!
968:  Proszę bardzo.
970:  Porobionet!
975:  Nie doceniasz podstępu technologicznego w Dragon's Dogmie, który całkowicie wyeliminował odrzut broni?
981:  Say what?
983:  Ulepszyć ostrze chaosu też.
984:  O, to też zrobimy.
986:  Kiedyś się bałem, ale teraz już nie.
989:  Co się zmieniło?
989:  No bo, gdy tu jestem z tobą, czuję się doroślejszy.
998:  Truma!
1000:  Czy ja czegoś nie rozumiem?
1001:  Przecież w tym coś... A, już wiem, już wiem, już wiem.
1003:  Nie podpowiadać!
1008:  Chciałem powiedzieć, że ten dialog, który mieliśmy przed chwilą, był lepszy niż wszystko, co dzisiaj usłyszeliśmy w Horizonie.
1014:  Agnieszka Saran, dzięki za wsparcie od 12 miesięcy, pozdro, 600 miałem urodziny, czy może jakieś jamniki?
1018:  Ho, ho, ho, Agnieszko, jakieś jamniki?
1023:  Wszystkiego urodzinowego!
1028:  Jamnion Gondr życzy wszystkiego urodzinowego!
1032:  Znaczy, Jamnion Gondr powinien mieć inny głos.
1035:  Wszystkiego urodzinowego!
1039:  I wszystkiego najdłuższego!
1043:  Tak jest.
1047:  Jest reakcja na to, że Lord Beton Niekandona, prezydenta Krakowa, entuzjastyczna.
1052:  Mamy wreszcie szansę na to, że coś się zmieni w tym mieście.
1056:  Łudził się Krzysztof.
1058:  Parda stal.
1063:  Anela też ma urodziny za dwa dni.
1064:  Dobrze!
