🔴 Wąż, niech będzie chwała! — GOD OF WAR Livestream #8
🔗 https://www.youtube.com/watch?v=DbKMHPmyRf4

18:  Muzyka
68:  Dziękuje za uwagę.
253:  Jamnion Gondr, Jamnion, Jam, Jamnion Gondr.
258:  Witam wszystkich!
260:  Dzisiaj będziemy walczyć z królową Walkirii na chwałę Jamnion Gondra.
265:  O godzinie 18.00 przejdziemy do fabuły, żeby zobaczyć prawdziwego Jamnion Gondra.
271:  Witam wszystkich przybyłych i zgromadzonych.
274:  W tle nam gra Jeremy Sowengard.
277:  Witam najserdeczniej.
278:  Olewales, Sybin, Dyktoforcja, miejsce na twoją reklamę, Jakub Kołodko, Błocik, Adam Borkowski, Emeriu, Ania Szymańska, Magda M1, Serenox, Evil Maciej, FoxyGwen, KapiCzapi, SoyWitch, Destroyer, Borowiczek, Michał, Adam, GraphicWitch, Adam II, NekoChan, VideoSpeculi, Cordy, JamesWade,
299:  Bezdomny Grzegorz Sikora, Kapłanka Chaosu, Magda M1, ponownie Parmedziano Redziano Demni, Abdul Wisi Mula, Maciej Baszyn, Tektro, Mega Fuka, Melanfa, Adam Borkowski, Kamil R., Michał
314:  Rybarczyk, Kacper, Wójcik Asia, tak jest Chłopcze będzie krzyczał Kratos, ale będzie krzyczał po niemiecku Przynajmniej przez dwie godziny Będzie nam sprzyjać germańska mowa Przy walczeniu z Walkiriami Adam, Orzeł, Czerwony Lis Creatures, Features, Jan Kołębiowski Kadzit, Tadzira, Magda M.N.
333:  Grzybnia Pierwotna Jamniunka
341:  Idziemy moi drodzy, nie ma to tamto, od razu, od razu lecimy, jest, wszystko działa i działa też dźwięk, ponieważ wczoraj był taki mały falstart, mianowicie Krzysztof się nie zorientował, że tak naprawdę to była jego wina, że nie działał dźwięk na początku streamu, więc jeszcze raz przepraszam biednego Filipa z bezschematu, któremu się oberwało za to, okej, wracamy.
370:  i Ania Szymańska, moi drodzy, świętuje urodziny i jeszcze oświadczyny do tego wszystkiego, wszystkiego jamniczego dla Ani Szymańskiej i dla narzeczonego, wszystkiego dobrego, moi drodzy, jamniki, torty jamnicze, ściślej mówiąc.
387:  W tak zwanym międzyczasie
390:  Zadbałem o to, żeby nasz rynsztunek był troszeczkę lepszy, co w tym miejscu oznacza, udało mi się upgrade'ować pancerz na poziom ósmy i na poziom siódmy z szóstego, więc jest minimalnie lepiej.
402:  Przełożyłem runy.
405:  Ulepszyłem wszystko, co mogłem w przypadku broni, co wymagało ode mnie przejścia dwukrotnego wszystkich prób w Muspelheimie oraz przynajmniej ośmiu runów w Nilfheimie.
415:  Tak robiłem to dzisiaj w trakcie, gdy walczyłem z brakami Veny straszliwymi.
421:  Ale mam nadzieję, że Vena przyjdzie po strumyku.
423:  Oby.
424:  W każdym razie jest, moi drodzy, Kratos przygotowany na starcie z Valkyriami.
428:  Przynajmniej taką mam nadzieję.
430:  Nawet nie widziałem Luan Friend Serenox.
432:  Nawet... To jest straszne.
434:  To jest absolutnie przerażające.
436:  Więc są, moi drodzy, różnego autoramentu, jak zawsze, zaniedbania, ale będzie to trzeba wszystko nadrobić w którymś momencie.
445:  Przyszedłem rozkoszować się cierpieniem Krzysztofa Piszat-Waszko.
447:  No właśnie, no właśnie.
450:  Zakładam, że w dwie godziny mówię jeszcze sygnał biedny naiwniaku.
452:  Wiecie co, jeżeli się po godzinie je uda, to zmieniam poziom trudności na wyważony.
456:  Nie żartuję.
459:  Koko urodziła trzy jamniki.
460:  To widziałem, to widziałem na Instagramie.
462:  Tak, moi drodzy, będzie więcej jamników u Lulu i Koko.
467:  Najlepszy set w grze to pancerz Valkyrii.
468:  Ja wiem, ja wiem, tak powiadają.
470:  Ale, ale ten pancerz, który my mamy, regeneruje nam żyćko i to jest ważne.
475:  Do Horizona wrócimy, króczy cieniu.
477:  Michał Rybarczyk pyta, dlaczego politycy chcą zachować maturę?
479:  Większość osób, które pisały egzaminy wstępne i są nauczycieli, mówią, że są najlepsze od matury.
484:  Wiem.
485:  Natomiast gdyby nie było, moi drodzy, wstępu na uniwersytety od matur, to połowa polityków nie miałaby wyższego wykształcenia.
493:  Aaa!
495:  Zwłaszcza te, którzy wylądowali w Collegium Tumanum, więc wiecie.
500:  No shame in that, ja musiałem zmienić prędkości przy EW.
503:  Nie no, nie oszukujmy się moi drodzy, ta walka jest straszna.
506:  Więc będziemy robić tak, ja będę robił parę prób, potem będę nadrabiał czaty, gawędził z wami, będzie dobrze.
511:  Janis Strange pisze też dzisiaj, bez Wena od rana nie słyszy na jedno ucho.
515:  Najwyższe wyrazy współczucia.
516:  Mam nadzieję, że się wszystko będzie dobrze działo właśnie, jakiś laryngolog Janis Strange by się przydał.
523:  Regeneracja punktów HP jest tylko w secie z Nilfheimu.
525:  Milfheim, Milfheim dobry moi drodzy.
528:  Dobrze!
530:  Nie pamiętam od czego zaczynaliśmy, a na pewno to Dobra Lecimy No lecimy, lecimy, lecimy, lecimy Niemiecki mnie rozprasza, okej?
569:  Nie umiem tego unikać, niezmiennie.
581:  Wiecie co, miałem wrażenie, że myśmy mieli szał wcześniej, na początek.
587:  Bez szału na początku to może być ciężko.
592:  Tak, bez szału na początku może być... Musimy sobie zdobyć szał, nafarmić szał.
598:  Nie wiem gdzie.
600:  Bo jest duża różnica.
606:  Znacząca różnica.
611:  Tak, nie ma co nawet.
612:  Po prostu nie ma szans bez tego.
618:  No, tak.
619:  Tak, tak, nie ma szans.
621:  Musimy zdobyć skądś szał.
624:  Jak zdobyć najszybciej szał?
626:  Zastanawiam się.
627:  Eee... Zastanawiam się.
631:  O nie.
634:  Czy jakieś mopki będzie poklepać, moi drodzy?
638:  Eee...
641:  Ratatouille!
642:  Są to moje plany.
643:  Cały czas nieważne.
673:  Dobrze!
677:  To i tak jest niewiele.
680:  To i tak jest niewiele.
682:  Ale teraz będzie, moi drodzy, i tak trzeba poczekać, aż się nam to cholerstwo zregeneruje.
687:  Zostały jeszcze questy dla krasnoludów.
689:  Jakie questy dla krasnoludów, moi drodzy?
692:  Mamy tylko przekleństwo Ivaldiego i próby Muspelheimu nietykalne.
