🔴 Baśń o dwóch Rannich, co ukradły księżyc — ELDEN RING: SHADOW OF THE ERDTREE Livestream #5
🔗 https://www.youtube.com/watch?v=K2IKluPDI78

144:  Dzięki za uwagę!
211:  Wydawałoby się, że...
471:  Mam marzenie.
477:  Moje marzenie jest bardzo proste.
480:  Chciałbym, żeby ludzie byli kompetentni.
485:  Teraz możemy, moi drodzy, oddać się myśli o tej wspaniałej utopii, pomyśleć o tym, jaki piękny byłby świat wtedy, gdyby ludzie po prostu robili to, co do nich należy najlepiej, jak umieją.
495:  I tak, to jest zarówno nawiązanie do tego, że YouTube po raz pipszterionowy pierwszy podmienił mi link do streamu, jak również do tego, co macie podpięte w komentarzu.
503:  Polecam, a jednocześnie nie polecam, a zwłaszcza polecam wszystkim tym, którzy uważają, że ocen opisowych nie da się wystawiać, bo o nie, za dużo ludzi, 40 osób w klasie.
511:  Kliknijcie, zobaczycie, da się.
513:  A teraz wracamy do batorzenia FromSoftu.
515:  Witam wszystkich zgromadzonych w ten otoż popołudniowy, niedzielny, cudowny dzionek, kiedy będziemy wyżywać się na wszystkich tych ludziach, którzy wyżywają się na nas, bo będziemy się wyżywać bak!
526:  Witam Grycerza, Zenitsu, Agatsume, Ocelotkę, Marcina Gałązkę, Barok72Prince, Marshal, Jaffowe Grimnie, będzie powitany Grim Lukas,
533:  Rekatko Iwiłł Maciej, Nieksyk, powieść o Krzysiu, który miał marzenie, tak, Dyktoforsja, Gromowładna Moczmodla, zawsze jak czytam Krzyś, myślę sobie Stumilowy Las i Kubuś Puchatek, a potem myślę sobie Kubuś Ruchatek, ponieważ mój mózg, Andrzej Gomułka, Olewale z niebie do powitania, Jakub Wdowiak, Wróbel, Grrat, Traszpanda, Jerz z Erlenwaldu, Małgorzata Piłat, Wiktoria Kulińska, poetyka popkultury, witamy najserdeczniej,
555:  Zaprzyjaźniony Kanał, Serenox, Jakub Wdowia, Greg Skellion, Graphic Witch, Bigomeza, Franku338, Knur Maciek, Lepre, Czon Czumaru, Pan Negatywny, Tojtajagia, Tojtajagia, A Fellow Soul, Balrog72, już był witany, Drush Panda, Graphic Witch, Pademy Furness, Serenox, Kazerkoł, Mak Piekielno, Jamniczego Ognia, Nefuzo, Miłosz, Dyktoforsja,
580:  Rose, która od razu mi jamniki, nic już nie pomaga.
583:  Jak jestem chory, to jestem zły, moi drodzy.
585:  Jak jesteś chory, nie jesteś sobą.
586:  Impulse, Klaudia Bejnar, Olevales, Remi Tern, Andrzej Gomułka, Venefica Lunares.
594:  Chyba nigdy Cię nie przeczytałem.
595:  Wiedźmin cechu jamniczego, bardzo dobrze.
598:  Evelina, Red Room, Cylon, moi drodzy, Artur Urbański, Evenflow.
603:  I Andrzej, oprócz tego Kajser, Suzy, Klusek, Bartosz Gromko, Szymon Nalewajko, Lemonade, Ukryty Karstnal, Eks, Bratniak, Paweł Jan, Kafein, Jacek Palachowski, No One, a widziałem, widziałem, nie komentuję, Matthew, MJDevo, to był komentarz do komentarza No One, Szelmutka i Bartomil i wszyscy witający się znakiem strachu.
626:  Solarianina z Dark Souls 1, nigdy nie wiem jak go mówić po polsku.
630:  Ania Szymańska nie będzie powitana.
632:  Pan Negatywny jeszcze raz, Wiktoria Kulińska.
634:  Wszyscy stali i nie stali widzowie kanału, wszyscy nasi moderatorzy, wszyscy ludzie chorzy tak jak ja i przeziębieni, wściekli do tego wszystkiego.
645:  Tak należy zaczynać moi drodzy stream z Elden Ringa.
648:  Wściekłym należy być.
651:  Wściekłym.
653:  Potem będzie tylko lepiej.
658:  Spider pyta, jak oceniam dodatek.
660:  Poproszę o inny zestaw, pyta.
661:  Nie no, tak serio to poczekam, wiesz, aż dogram do końca, dojdę do tego Mesmera, który już mi wszyscy zaspoilowali, że jest jakiś Mesmer i jest straszny.
668:  Zobaczymy.
670:  Ale co do kupowania Spider, ja cię proszę, wstrzymaj się do patcha, dobra?
675:  Jest dokładnie ten sam Kazus, co był z Radanem, który był przegięty na starcie i podziękowali wszyscy sobie, którzy kupili Elden Ringa później.
686:  Tak, Caffeine Stream miał być o godzinie 18, ale wiecie, jest ze mną tak źle, że ja wiem, że jak będzie już później, 18, 19, 20, to wtedy będę strasznie ślimkał już i będę nie do zniesienia jeszcze bardziej niż w tej chwili.
702:  U mnie przeziębienie zawsze, moi drodzy, dwa tygodnie trwa niestety i to bardzo ostre.
709:  A ja mam zawsze to połączenie z zapaleniem gardła.
712:  Więc zapalenie gardła już jest za mną, ponieważ zażywam manę.
716:  Natomiast niestety, jeżeli chodzi o przeziębienie, które zawsze mi się wikła z zapaleniem gardła, to ono będzie przez dwa tygodnie i będzie nie do zniesienia.
725:  Co do radana, sam zobaczysz.
728:  Nie przerażajcie mnie, że on tutaj wraca.
730:  To dobrze, co mówisz, ponieważ Relana jest w tym momencie moją ulubioną walką z wszystkich.
733:  To znaczy, Lew był przegięty, przy Relanie czułem, że uczę się jej movesetu.
749:  i ma ona okna na moje zaklęcia.
752:  Natomiast najgorszy boss, jak do tej pory, to jest Bail i niech będzie on przeklęty.
757:  Bail jest nieznacznie zbliżony do, moi drodzy, Jorma, tyle że Jorm, z Jormem jest ten problem, że on nam zabił rycerza cebulę, więc nienawiść do niego jest u mnie większa.
771:  Curse you, Bail!
776:  U mnie zbliża się 37,5, bo że bardzo współczuję, moi drodzy.
781:  Myślicie sobie, że pójdziemy na północ zgodnie z tytułem streamu, ale jest to kłamstwo, ponieważ dowiedziałem się, że w tym miejscu, tu,
788:  Jest, moi drodzy, amulet, który muszę zdobyć.
790:  W związku z powyższym, wybaczcie, ale idziemy do amuletu.
793:  Nie wiem tylko, jak tutaj dotrzeć.
795:  Nie mam zielonego pojęcia, jak tutaj dotrzeć.
796:  Założę, że stędy.
798:  Że stąd.
798:  Stędy.
799:  Tak, Krzysztof, stędy.
800:  Bardzo, bardzo dobre, bardzo dobry język.
804:  Much Polish, very language.
808:  Widzicie, co się ze mną dzieje?
810:  To przecież jest jakaś katastrofa absolutna.
812:  Ja się uszkodziłem.
815:  No właśnie, katedra do maga.
816:  Tam biegnę even flow.
818:  Spieprzaj dziadu, nie będę z tobą walczył.
821:  Won.
822:  Won z mojego... Won z mojego planu astralnego.
827:  Na twój plan astralny.
828:  Brudny, plugawy i wstrętny.
833:  Puste DLC jest, Muciu.
835:  No puste.
835:  Co mam ci powiedzieć?
836:  Wiesz, co mi się nie podoba najbardziej?
839:  Konieczność eksplorowania po to, żeby levelować.
841:  To jest bez sensu.
843:  Ja czuję, że nie powinniśmy... O!
845:  Jezus Maria, w teraz spadłem na rozwiązanie.
847:  Stop.
848:  Zatrzymać stream.
849:  Czekajcie, bo na mnie coś zabije za moment.
852:  Będę mówił, ale umówmy się, że stream jest zatrzymany.
856:  Wyobraźcie sobie, że dostajemy te cholerne fragmenty ostro od drzewu za pokonywanie bossów.
862:  Nie macie wrażenia, że to miałoby większy sens?
864:  Jezus Maria, przecież skoro tu jest ten system levelowania, to dlaczego ja za pokonywanie bossów nie dostaję tego, z czego mogę levelować, tylko dostaję runy, które są nieprzydatne?
873:  Czyż to jest kon... Jesus fucking Christ!
879:  Czyż to jest konfundujące po prostu?
884:  Nie widać tych lat na Bolognicy.
885:  No wiem, no wiem po prostu, no żenada po prostu.
888:  O, i to jest ten kościółek.
890:  Ja po prostu mijam kościół.
892:  Z definicji.
893:  Jak widzę kościół, to uciekam.
895:  I przez to, widzicie jak to się kończy?
897:  I tracę content.
898:  Jak ja mam tutaj zejść?
901:  Czy się tutaj nie zejdę?
904:  Chyba, że tutaj jest jakieś zjezdne zbocze?
910:  No tak, ja walczyłem z tym niedźwiadkiem tutaj, to pamiętam.
914:  O, tu jest zjezdne zbocze chyba.
919:  Chcesz się jeszcze bardziej wkurzyć?
920:  Wejdź w sekcję komentarzy, pod postem jestem dublowem.
922:  Nie, nie wejdę.
927:  Dobra, udało się.
928:  Nie, mam dość ludzi, którzy się nie znają na edukacji i się wypowiadają.
933:  To jest ten sam powód, dla którego nie obejrzę filmu Mazurka.
936:  Mowy nie ma po prostu.
937:  Tych ludzi trzeba izolować.
939:  Nie będę im nabijać nawet jednego procenta zasięgu.
941:  Koniec.
941:  Skończyło się.
943:  Nawet jeżeli miałbym to wyśmiać, co pewnie bym zrobił, nawet to nie sprawi, że to obejrzę.
948:  Nie ma takiej możliwości.
949:  Co to jest w ogóle?
950:  Dlaczego to mnie chce zabić?
952:  Przestań mnie zabijać.
954:  Dzisiaj jestem wściekły.
956:  Nie chcesz, nie chcesz poznać mojej wściekłości.
963:  Czy mogę jedno, jedno, jedno wy- jeden wymach!
967:  Jeden wymach chcę!
970:  Muszę pracować w niedzielę, mam okres imigracyjny, przeczekałem gry.
973:  Czy poziom wkurzenia mam stosowny, żeby oglądać Eldenowy Steam Krzysztofa?
976:  Jak nigdy, to ten bardziej.
977:  Będziemy mieli synergię w poziomu wkurzenia.
981:  To mać, muszę teraz lecieć stąd, przecież ja zwariuję.
984:  Co redaktor na to jak znowu zmalował?
986:  Niespodzianka, wypowiedział się na temat, który się nie zna.
989:  Prawda, że jesteście niesamowicie zaskoczeni?
991:  Ło Jezus Maria, przecież on tego nigdy nie robi.
994:  Happened almost never.
1001:  Wszystkiego najlepszego z okazji Dnia Ojca.
1006:  Bardzo zabawne.
1013:  Wyjaśnienie postu z dyplomem masz w szorcie podpiętym, Adamie.
1019:  Bardzo denerwujące.
1020:  Long story short.
1021:  Haha, nomen omen.
1024:  Dzieciakowi z neuroróżnorodnością wydano prześmiewczy dyplom z oceną opisową w szkolnictwie polskim, w którym podobno nie daje się ocen opisowych, ponieważ nie można dawać ocen opisowych, z tego względu, że oceny opisowe zajmują za dużo czasu, nauczyciele są przepracowani.
1038:  Ale jeżeli można sobie pocisnąć bekę z osoby z neuroróżnorodnością, to wtedy można pisać ocenę opisową, bo wiecie, wtedy ciśniemy bekę w związku z powyższym co innego.
1048:  Fajnie, nie?
1049:  A tak naprawdę to nie.
1050:  No i potem taki Mazurek i inni wypowiadają się na ten temat i mówią, że no nie da się, nie da się wystawiać ocen opisowych.
1058:  To było to, co nas zabiło, prawda?
1061:  Ja już wiem, dlaczego mnie to zabiło.
1064:  ponieważ to ma też taką cudowną, cudowną sekwencję, jak wszyscy bossowie w tym dodatku, nie?
1070:  Że się nie kończy ta sekwencja.
1072:  Napijesz się.
1074:  Źle, źle, że się napiłeś, nie można się napijać, teraz spadnę.
1078:  To jest właśnie to, to jest esencja, esencja tych movesetów.
1081:  Nie masz, nie masz chwili, nie masz chwili na atak, nie masz chwili na wyprowadzenie kontry, nie masz chwili na unik.
1086:  Jest po prostu non-stop sekwencja, cały czas jest sekwencja.
