🔴 Największy koszmar Niedomaga Iamnixa — ELDEN RING: SHADOW OF THE ERDTREE Livestream #6
🔗 https://www.youtube.com/watch?v=X80bC_wf5vI

34:  Iście.
147:  © PTA & TVP
330:  Tajemniczy Niuchacz.
334:  Wita wszystkich, którzy nie spodziewali się czwartkowego streamu.
339:  Witam Was i ja.
341:  Stwierdziłem, że skoro mieliśmy już odcinek, to czemu by, moi drodzy, nie ogarnąć sobie radosnego strumyka?
348:  Czemu by nie?
349:  Zwłaszcza, że dzisiaj.
352:  Dzień zacząłem od wczesnych godzin porannych, od obrony, potem było poprawianie projektów zaliczeniowych, więc dzieją się rzeczy.
361:  A jeszcze, zanim Was powitam, przeprowadzam dzisiaj chytry eksperyment, ponieważ najnowszy film w serii Dla Każdego Coś Przykrego, który macie podlinkowany...
371:  podlega tajemniczemu badaniu.
373:  Tajemnicze badanie polega na tym, że YouTube sam decyduje, jaką wyświetli Wam miniaturę, więc jedni z Was widzieli zieloną, a inni czerwoną nowość.
388:  Do software'u została wprowadzona innowacja.
392:  Cieszmy się, bo YouTube często tego nie robi, więc zobaczymy.
396:  I przy okazji również udało mi się wyświetlić, dlaczego streamy ostatnio wyświetlały się Wam niewłaściwie.
402:  To dlatego, że jeżeli się edytuje datę, to wtedy OB zwariuje.
407:  Więc wszystkim, którzy przyzwyczaili się do tego, żeby zakładać błąd po stronie użytkownika, jak zawsze kwestią był niestety design issue.
416:  Witam serdecznie na wszystkich zgromadzonych, moi drodzy.
420:  Hysza, Illegal Death, Marian, Just Wildly, Dominik Gajewski, Andrzej Gomuka, Rapture2003, Ania Kaźmierczak, Agnieszka Saran, Jacek H. Graphic Witch.
430:  Caffeine, Sleepy Deer, Andrzej, Grycerz, Lucifer666, Serenox, Remiusz, Sroka, Gadziorro, Urszula, Giewon, may you have a great day, 2137, Jackie, Lev, SS, Deszak, Natalia, Pademy, Furness, Trashpanda, Paulina, Makao, Ewelaina, Urszula, Giewon, Yukio, San, Miokun, Wasago, Jacek, Kaznowks i...
459:  Vegari, Onufry, SzczęśliwySyzyf, JochiRoi, Astrey, WojtekS, DungeonSeeker, DamianKaim i Garvenor, PacieżowyJamnik, Szymon Zajdel, Mario Brod, PlugawyJamnik, Irena, Jakub, Jagódka, Szymon Zajdel, Lepre, Tucker6191, Mateusz Kucharski, Marcin Kostrzewa,
484:  Tare Neval, Niekrzyk, Ania Szymańska, Ju Taon, wszyscy, którzy widzieli najnowszy odcinek We Boys, piąty, który jest równie dobry jak czwarty, wszyscy, którzy nie widzieli, obejrzał, ponieważ naprawdę warto.
496:  Gaius Flavius, Walerius Konstantinos, niech będzie takoż powitany, Vegari jeszcze raz, Firenz, Yukio-san, Sanier, Robaczysko, Wojtek, Sara, Elmegan, Piteras312, Hysza, Hysza pisze to, co mnie mówi, że mi się wyświetla czerwona miniaturka, ha, ha!
513:  Ha, ha, to wszystko jest znaczące.
515:  Everything is connected.
517:  Szymon Igor Snopkowski i Szymon Malewajko i Mateusz Kucharski, Andrzej Dren oraz Statera24, Mizuhi, Kacper Elciapo, Xawery Szal, Koltis1, Bogdan Aleksandra, która życzy wszystkiego dobrego i jamniczego dla wszystkich, co ja przekazuję niniejszym, moi drodzy.
536:  Rapczy 2003 pisze, że znalazł superterapeutkę, dowód, ogląda Root Smoka.
540:  Bardzo dobrze i jest o czym pogadać w razie czego.
543:  Gra nam tymczasem, moi drodzy, najwspanialsza rzecz w świecie i wiecie, co to jest za najwspanialsza rzecz w świecie, mianowicie jest to The Wrath z wspaniałego Oliviera Delivier.
552:  Muszę powiedzieć, że Plague Tale to jest moje odkrycie absolutne, jeżeli chodzi o ten rok.
557:  I Dominik nie będzie też powitany, El Ciapo, El Magan, Piteras jeszcze raz, Szymon Makua, Patryk Jarocki.
564:  Uff moi drodzy, dzieje się, zobaczymy, zobaczymy co się będzie działo, dzisiaj z kolei skończyliśmy na jakimś straszliwym horrorowym segmencie, ja nawet nie żartuję, było absolutnie przerażające, w związku z powyższym stwierdziłem wczoraj, że kończę, bo ja byłbym gotów,
581:  Lecieć dalej.
582:  Ja byłem gotów wczoraj dojechać do 12 godzin streama.
586:  Nie żartuję.
587:  Miokun tymczasem jest JamNikołajem.
589:  Jakub SSDsiak, Jacek H. Wessago.
593:  Wassago.
594:  Tucker6191 otrzymują wsparcie.
597:  Dziękuję.
597:  JamNikołaj dla JamNikołaja.
598:  Niuch!
600:  Przyłamałem się.
601:  Mam lekkiego wypalenia.
602:  Przez czas lightizuję quest SiegeWin.
603:  O nie, ja gęśna sobie w ogóle odpuściłem ostatnio.
606:  Dramat absolutny.
608:  Kontynuuj.
610:  Którą miniaturkę chciałbyś, żebym widział?
614:  Żebyśmy widzieli, pisze Zuza.
616:  Wiesz co?
617:  Planowałem czerwoną.
619:  Więc 69% nice spośród was miało czerwoną.
624:  Generalnie założenie tego rozwiązania jest następujące.
627:  To znaczy YouTube sprawdza, która miniaturka jest bardziej klikalna i wyświetla właśnie ją po okresie testów.
635:  Co jest fajne dla ludzi, którzy na przykład...
637:  Zaczynają dopiero na YouTubie, nie wiedzą, jak robić miniatury i myślą sobie, która zatrenduje.
644:  I teraz w interesie YouTube'a, tak jest założenie, że w interesie YouTube'a jest wyświetlać film większej liczbie ludzi, żeby większość ludzi kliknęła i były reklamy, zarobek dla YouTube'a, ale również zarobek dla twórcy.
654:  Więc idea jest szczytna i muszę powiedzieć, że to jest jedno z nielicznych, dobrych UX-owo rozwiązań, jakie widziałem w ciągu ostatnich paru miesięcy.
662:  W sumie jeżeli miałeś licencję od Solarpunka, czy podali może jakieś ciekawe rzeczy z tego nurtu?
667:  To była głównie analiza, to jest ciekawe w ogóle, bo Stardew Valley, to ja nie widziałem, że tam są elementy solarpunkowe, a faktycznie, Code Geass też się pojawiło.
676:  Na mainkącie mam czerwoną, na koncie bez obejrzanych filmów zieloną.
679:  Ciekawe, czyli możliwe jest to, że dla na przykład, nie wiem, nowych użytkowników czy coś, wyświetla zieloną miniaturę.
686:  Ciekawe.
688:  Krzysztof jest w tym miejscu.
689:  Szykuj kostur na jednego z lepszych bossów DLC, mówicie?
693:  Można grać do późnej nocy.
695:  Ważne, by wstawać na obronę.
696:  Na tym polega odpowiedzialność.
697:  Tak jest.
699:  I byłem pierwszy.
699:  Nie spóźniłem się.
704:  Udało się.
708:  417 śmierci?
710:  No bez przesady, o jedną się pomyliłem.
716:  Tutaj się nie da wejść.
717:  Nie masz prawa, o, nie masz prawa.
723:  Dobrze, nie chcę używać perfum.
725:  Możemy sobie przetestować te perfumy, które są mroźne, bo one się podobno skalują z inteligencją.
731:  Zielona miniatura to jest miły krzyż, to jest uszczypliwy krzyż, czyli powinna być zawsze czerwona.
736:  Czekajcie, stąd to ja przyszedłem.
738:  Dobrze, wszystko już rozumiem.
740:  A, tak, tak, tak.
741:  Idziemy za regał.
743:  Tutaj.
744:  I tutaj siekł mnie jakiś paskudny boss.
747:  Obrzydliwy.
748:  Znaczy mini-boss.
749:  O, właśnie on.
752:  Więc wiecie, co robimy w takiej sytuacji.
754:  Loreta i zachwała ojczyzny.
759:  Ojczyznosław.
765:  To jest ciekawe w let's play'u magiem Weldenringa.
768:  Zauważcie, że w otwartym świecie mag jest OP.
771:  Przestaje być OP jak wchodzi na arenę z bossem.
774:  Dokładnie na odwrót w podstawce.
776:  Wrażenie.
778:  Trybut na magiczny but.
779:  But not today, pisze Dominik Gajewski.
781:  Dziękuję Ci za trybut.
782:  Czemu z tym dzisiaj?
783:  Jakoś stwierdziłem, wiecie, że jutro nie dam rady, bo jutro jest premiera.
788:  cichego miejsca prequelu i stwierdziłem, że pójdę do kina i może sobie recenzję, więc dlatego nie ma jutro streamu, a tak to by był.
796:  I w sobotę i w niedzielę jest stream, bo tak zakładałem, żeby zrobić trzy.
802:  Jak są duże tytuły, to staram się robić, powiem tak, sobota, niedziela wtedy.
806:  Tutaj będzie bardzo fajne, bo siłą na końcu... Druga osoba to mówi.
810:  Jestem zbudowany.
812:  Jestem zbudowany, powiedziała każda konstrukcja LEGO.
817:  Wiecie, co jest OP?
818:  Perfumy.
824:  Czy tylko ja uwielbiam perfumy?
827:  Zawsze mnie dziwiło, nie wiem, czy to już jest kwestia lat 90., które słusznie przeminęły, ale był taki stereotyp, nie wiem dlaczego, że mężczyzna to używa dezodorantu, a nie perfum.
838:  Na szczęście to się powoli zmienia, albo się w ogóle zmieniło, ale ten stereotyp mnie bardzo denerwował swego czasu.
845:  Czy żyraf jeszcze żyje?
846:  Oczywiście.
848:  Oczywiście, że żyję.
850:  Wprawdzie co to jest za życie, ale żyję.
852:  Jeżeli nie wiecie o co chodzi, chodzi o mojego żyrafa z Lego.
856:  Boss będzie miodny, jeżeli będzie miodny i mięsny, nie, mięsisty, przepraszam, to wtedy tak, to wtedy dobrze chyba.
862:  Popatrzcie, tu jest suto zastawiony stół.
864:  Przypomina mi labirynt fauna Guillermo del Toro.
867:  O Boże, jakie to było dobre.
869:  Czy będzie recenzja, dodatkowo jakiś dłuższy wywód?
871:  Chcielibyście?
872:  Chcielibyście, żebyśmy zrobili sobie na koniec takiego live'a, bo ja nie chcę tego robić w formie recenzji, ale może sobie zrobimy w formie takiego live'a, gdzie podyskutujemy?
882:  Nie wiem tylko, czy nie zrobi tego Filipna bez schematu, wiecie, więc nie chciałbym mu wtedy odbierać... Czy widzicie, co tu się dzieje?
891:  Ktoś w nas strzela szaleństwem.
894:  Oczywiście jest to spam, jak zawsze, ale ja nawet nie wiem... Okej, to jest gość, który jest na górze.
901:  Czaję.
911:  Jesus Christ, co tu się dzieje?
918:  Więc moglibyśmy zrobić takiego live'a, jeżeli Filip na bez schematu nie będzie czegoś takiego planował, ponieważ jak znam Filipa, to on wtedy zaprosi fajnych gości, typu wiecie, Demoniliasa by zaprosił, Kishaka by zaprosił, kogo Filip jeszcze mógłby zaprosić?
