Niedomag Iamnix chce uciekać z Caelid | ELDEN RING Livestream #7
🔗 https://www.youtube.com/watch?v=Vo365O0-n9w

77:  KONIEC
138:  Dzięki za oglądanie!
188:  Dzięki za oglądanie!
219:  © PTA & TVP
250:  Dzięki za oglądanie!
347:  © PTA & TVP
623:  Dzięki za oglądanie!
652:  Witam.
653:  Witam w sobotnie popołudnie.
656:  Witam jeszcze w naszej rzeczywistości, zanim nie przeniesiemy się do rzeczywistości piękniejszej, choć straszniejszej w Elden Ringu.
663:  A tymczasem niech będzie powitany Sam Wit, Mateusz Rutka, Pan Zegarek, Skadi, Martyna Łupuszyńska, Istota Żyjąca, Enigma, Słony Cukier, Serenok, Sir God of Rivia,
675:  Kamil Purpurowy-Jamnik, Dawid Izidor Szczepański, Sanji Jadwiga, Siw Palpatine, Magda M1, Katarzyna Prodigiozyna, Paweł Pasiałkę, Stalowy Guziec, Bartek Litowski, Aleksandra Żakiewicz, niech będzie Masłowicz pobitany, Spiral, Zosia Wilman, Brendo, Six of Spades, Teta,
696:  Kacpar, Oria, Red13, Michalina Kamieńska, witajcie serdecznie, witamy Daniela Goda, witamy Float'a, witamy Matrusa, witajcie przy dźwiękach muzyki Giovandrini, która za chwilę zostanie zagłuszona przez wspaniałe dźwięki Elden Ringa, witam Mateusa de Cuyawie, witam Kranową Wodę, witam Kacpra, witam Annę Kowalewską, Red Jagger, Muminak i wszystkich zgromadzonych tu tłumnie, by śledzić przygody nie do Magejamnixa,
724:  w straszliwym świecie Elden Ringa.
726:  Nie domagają nikt, który będzie chciał uciec z celit, gdzie się zabłąkał biedny.
732:  Tak, to nas dzisiaj czeka, moi drodzy.
734:  A może powinienem powiedzieć, szczeka.
738:  Ha, ha, ha!
739:  Ha, ha, ha, ha!
741:  Przedni dowcip.
743:  Witamy JC Tupacza takoż, Barczyńskiego, Jakuba, wielkiego pana Beliarę, Kulkę, Aleksandrę Kasprzak,
751:  Baldwira Jakuba Oczkosia.
754:  Witajcie serdecznie.
755:  Zbieramy dalej na sprawę ukraińską.
758:  Już zbliżamy się, zbliżamy się do kolejnego progu, który wyznaczyliśmy, więc kto wie, może dziś on pęknie.
763:  Kto wie?
764:  Na pewno ja nie wiem.
767:  Jak się macie?
768:  Mam nadzieję, że jesteście przed seansem sekretów tudzież tajemnic Dumbledora i że ich nie planujecie.
774:  Bo jeżeli jesteście po, to możecie się miewać niemerawo.
779:  Tak, Archie Jakumo, trafiłeś na live.
782:  Witaj, witaj serdecznie.
783:  Niech będzie podpalony.
785:  Moi drodzy, to jest nie do Magiamniks.
788:  Niedomagiamniks charakteryzuje się tym, że trzyma się kurczowo, kurczowo kostura.
793:  Niedomagiamniks charakteryzuje się tym, że ma skradzioną, pięknej magini pelerynkę.
798:  I niedomagiamniks, nie zapominajmy, charakteryzuje się tym, że ma najgłupszy kapelusz, jaki udało się znaleźć, który jest dziwaczną mutacją fallusa i banana.
807:  Jaki jest sens banana, tego nawet nie domagiam, niks nie wie.
