Niedomag Iamnix cierpi na niestrawność | ELDEN RING Livestream #10
🔗 https://www.youtube.com/watch?v=4ZUALCepF2g

77:  Dzień dobry.
154:  Dzięki za oglądanie!
213:  © PTA & TVP
265:  Dzięki za oglądanie!
325:  KONIEC!
380:  Dzięki za oglądanie!
413:  © PTA & TVP
444:  Dzięki za oglądanie!
545:  © PTA & TVP
809:  Dzięki za oglądanie!
864:  Dzięki.
866:  Witam!
867:  Witam serdecznie!
869:  Witam świątecznie!
871:  Witam wszystkich przybyłych w ten szczególny Jamniczy Dzień!
876:  Witam przybyłych dla Niedomaga Jamnixa!
878:  Witam przybyłych dla Elden Ring'u!
879:  Witam serdecznie Tete, Purporowego Jamnika, Mikke, Dominike, Venzanta, Urszule, Samawita, Wolfi, Leptnanta!
885:  Witam Jagła, Wilczyńskiego, Iskor, Magdę M1!
888:  Witam Ovoroszel!
889:  Witam Metal Boy!
890:  Witam Dustana, Magdę M1, Grzybnie Pierwotną!
893:  Witam Aleksandrę!
896:  Witam Złego Czarownika, witam Manek, witaj Onyx, Michał Oszwęgrzyn, Martyna Łopuszyńska, Żuwik, Kowcia1, IllegalDeath, Anna Kowalewska, Ihon Rambo, Pakucza, Sebastian Wadowiec, Lord Regent, witajcie wszyscy!
914:  Witaj Skadi, witaj Jakubie, witaj Michale Bilsknerze, witajcie wszyscy!
919:  Cóż za dzień, cóż za wspaniały dzień!
923:  What a day!
924:  What a lovely day!
925:  Witamy Taraela, witamy Dastana, witamy Michała Bilsknera ponownie, ponieważ wcześniej przeczytałem źle jego miano, witamy Łaciatego, witamy Jamesa Waita, to jest dobry beat na powitania, witamy Eidi, witamy Majeczka, witamy Dominikę, Kudżak, Valet, Pepe, niech będą powitani, witamy wszystkich, którzy będą nas oglądać później, witamy wszystkich, którzy będą nas oglądać wcześniej, witamy wszystkich, którzy będą nas oglądać teraz, moi drodzy.
952:  Moi drodzy, co to się będzie działo?
955:  Moi drodzy, dzisiaj będą się działy śmierci!
962:  Trzy czwierci do czarnej śmierci.
964:  Dzisiaj też zbieramy w naszej skarbonie dalej.
967:  Linki macie w opisie, linki macie wszędzie.
970:  Progress Bar dla kompetytywnych jest już moim zdjęciem.
974:  Karneval Mephisto i Red Jaga, niech także będą powitani Inesio, Besio i Mikas.
980:  Wspaniale, wspaniale!
982:  Och tak!
984:  Dla wszystkich z was, którzy nie wiedzą, co się działo.
986:  Niedomagiamniks zawitał do stolicy.
988:  Niedomagiamniks zarżnął.
991:  Nie, nie ubił, nie pokonał.
992:  Zarżnął dwóch bossów.
994:  Jednego w wulkanicznym dworze, który był straszliwą hydrą, która nie była hydrą.
998:  Następnie zabił.
1001:  potężnego maga, a jeszcze wcześniej zabił jego, nie wiem, brata, whatever.
1007:  Bardzo w każdym razie było ciekawie, dopokąd nie trafiliśmy do kanałów.
1012:  A w kanałach męty, szumowiny, skręty i zakręty.
1018:  Było strasznie i było przerażająco i dzisiaj właśnie z tego powodu tam wracamy.
1022:  Cóż za wspaniałe miejsce, w którym się można znaleźć, zjadłszy gar sałatki jarzynowej.
1029:  jak nie kanały, którymi odpływają ekskrementy.
1032:  Witamy także Urszulę Giewon, Helenę Elgiona, Ilonę X. Nie umiem cię przeczytać.
1041:  I Marta Petersona, który narzekał wczoraj, że jego wypowiedzi zostają pominięte.
1046:  Dlatego dzisiaj będę czytał każdą wypowiedź Marta Petersona.
1049:  Żartuję.
1052:  Na dnie kanałów żyją rurkowce.
1055:  Przepraszam, nie jestem politykiem prawicy, nie umiem się jąkać.
1059:  Jesteśmy w podziemiach porzuconych.
1060:  Już wczoraj zażartowałem z tego powodu, że zawsze muszą być podziemia porzuconych, zbłąkanych albo niezadowolonych.
1066:  Nie mogłyby być to podziemia na przykład zadowolonych albo szczęśliwych.
1071:  Ale oczywiście tylko ja słyszę, że jestem negatywny.
1075:  Możemy porozmawiać z Meliną.
1080:  Nie wiem, kto to jest, wprawdzie, ale możemy.
1084:  Gdybyś zamierzała utrzymać Frenzijną Flamę, zapytam, żebyś zakończyła.
1087:  Nie powinnaś się z nią zbierać.
1090:  To jest chaos, który zniszczy życie i myśl o czymkolwiek.
1097:  Jako zniszczone, ta światło się stało.
1103:  Jednak w tormencie i strachu, życie się odpoczywa.
1109:  Początki ciągają.
1110:  Jest w tym piękno.
1115:  Czy to nie tak?
1115:  Gdybyś stał się paniem, nie nienawidzaj tej myśli.
1119:  Proszę, zostaw to samotne brzmienie.
1123:  Zobaczę, jak to się skończy.
1127:  To jest cel, który chcę ułatwić.
1129:  Więc proszę, zostaw to samotne brzmienie.
1139:  Co się jadło, czaty?
1141:  Co się jadło?
1141:  Ciekawy jestem, co dzisiaj było jedzone i co będzie jutro jedzone.
1145:  Ja nie będę się przyznawał, ile zjadłem, ponieważ wówczas musiałbym uświadomić sobie, jak bardzo przekroczyłem wszystkie indoksy kaloryczne.
1154:  Okej, to już wiemy.
1155:  W ogóle uważam, że na studiach nie powinno być indeksu, powinien być indeks kaloryczny.
1161:  Babeczki i dużo babeczek.
1162:  Żur w chlebie.
1163:  Żur w chlebie?
1164:  Da się, tak?
1165:  Dlaczego mamy tak mało run?
1168:  To jest niesprawiedliwe.
1169:  Czy jesteśmy w stanie zdobyć więcej run?
1172:  Kaczka z jabłkami.
1173:  Uuu!
1175:  Fajności!
1177:  Pascha!
1178:  Boże, jak ja kocham paschę!
1179:  Nikt nigdy mi nie chciał zrobić paschy!
1181:  Tak, Krzysztof nie umie sobie przygotować posiłków.
1186:  Poproszenie Maga Ognia o porzucenie Drogi Chaosu.
1188:  Chore, prawda, Teta?
1194:  Puszka maku do ciasta 1600 kilokaroli.
1196:  Te puszki makowe są straszne.
1201:  Paprykarz szczeciński.
1202:  Nigdy nie wiem, czym jest paprykarz szczeciński.
1204:  Brzmi jakby miał w sobie dużo papryki.
1210:  Dobrze, sprawdźmy jak to jest.
1212:  Dlaczego mamy fragmentu ruin tak dużo?
1215:  Ja bym chciał, żebyśmy mieli run tak dużo.
1217:  Ojej, jest ich sporo, ale nie aż tak, żebyśmy wylewelowali od razu.
1223:  To jest pewien problem i wiecie co?
1225:  Musimy ten problem rozwiązać.
1228:  To znaczy... To jest katedra zapomnianych, tak?
1231:  Dobrze.
1232:  Musimy wydać runy.
1234:  Musimy absolutnie i bezwzględnie wydać runy, ponieważ tutaj będziemy umierać często.
1241:  Paprykarz szczeciński, dużo ryżu, trochę ryby, trochę sosu pomidorowego, troszkę oleju.
1244:  Aha, czyli oczywiście w czymś, co się nazywa paprykarz, nie ma papryki.
1248:  I wy się jeszcze dziwicie, dlaczego ja nie gotuję.
1252:  Oczywiście, że poszedłem w złą stronę.
1256:  Naturalnie.
1257:  Tak, tak, tak, będzie trzeba upgrade zrobić, bo na levelik to nie ma szans, moi mili, nie ma szans.
1262:  Ale, ale... Mmm... Mmm... O tak.
1277:  Uuu, za naśladowców jest dobra.
1281:  Ale co my jeszcze możemy tu zrobić?
1283:  Okej, okej.
1283:  Wzmocnij oręż.
1285:  Nie możemy wzmocnić oręża.
1288:  Najgorzej.
1290:  Legenda głosi, że nazwa paprykarz wywodzi się od papryka.
1293:  Pomysłodawcy dania.
1294:  Papryk wege.
1300:  Pieczeń ze śliwkami jeszcze była jedzona.
1302:  Co moja postać ma na głowie?
1303:  Pyta dramatycznym głosem Bartek.
1305:  To jest banan.
1307:  Nie wiemy, jaki jest sens banana, ale to jest quest
1310:  który wybrał dla siebie nie do magii amniks, który jest bananomantą, przedstawicielem rzadkiej i ginącej, ciekawe dlaczego, sekty czarowników w Elden Ringu.
1321:  Nie jestem w stanie stwierdzić, gdzie tutaj są sprzedawcy.
1323:  Okej, już wiem, gdzie tutaj są sprzedawcy.
1327:  Sprzedawcy są mianowicie tutaj na końcu.
1335:  Okej, okej, okej, spokojnie, spokojnie.
1339:  O, to się przyda.
1341:  To by się przydało bardziej!
1343:  Dobra, musimy teraz sprzedać coś za 3 tysiące.
