Niedomag Iamnix jest szczęśliwy | ELDEN RING Livestream #5
🔗 https://www.youtube.com/watch?v=b-IJ3UyPu6w

26:  Dziękuje.
78:  KONIEC
138:  Dzięki za oglądanie!
188:  Dzięki za oglądanie!
353:  KONIEC!
479:  Witam, witam w świecie, w którym za moment się znajdziecie.
487:  Witam czaty, witam przede wszystkim w naszym gronie the unknown, nieznanego, nierozpoznanego, nowego trybutariusza.
498:  Witam Andriowa Stora, witam Slabokokrze, Klarek Luczykowską, Szykowit, Mateusza Rutkę, Ariksowatego, Szymona Rogowskiego.
505:  Michała Bliskina-Polaka, Kingę Wolsko-San-Dżi.
508:  Witam Devourer of Gods, który dołączył do nas w tym momencie, kiedy właśnie się witamy.
515:  Witam Julkę Opaczewską, witam Samuita, Kamila, Miszkę, Palitkę, która przeraża nas historiami szkolnymi niezmiennie.
521:  Witam Karneval Mephisto, Brendo, Willeda, Uriot TV, Daw.
526:  Niech będzie również powitany Feliks Dzierżyński, także będzie powitany mimo swej straszliwej
533:  historii.
533:  Witam Nadię Lewi, witam Aśku, witam Okej Google.
537:  I see what you did here.
539:  Witam Mikołaja Marchewkę, witam Mikołaja Szpręgwalda, Czajka Rudego, Dastana Kacpra, Piotr C. Nelly, Dawida Izydora Szczepańskiego,
549:  Nie ma to jak trzy części imiona.
551:  Ach, imienia!
552:  Alkun niech będzie powitany, Jakub Kusian, Magda M1, Słony Cukier, Kuba Krawczyk, Keronus, Dastan, Tokio 70, Dywimus i bardzo złośliwy człowiek Maciek Panskorpion.
565:  Aleśmy się tłumnie zgromadzili, moi drodzy.
567:  A ja wiem dlaczego.
569:  Ja wiem dlaczego myśmy się tak tłumnie zgromadzili.
571:  Witam Annę Kowalewską, witam Juliusza, witam Kaspra Kuzaka,
576:  Tłumnie zgromadziliśmy się dlatego, że Niedomax Jamnix nas potrzebuje.
583:  Tak właśnie jest, dlatego niech zgaśnie muzyka z The Epic Dachshund playlisty na Spotify i niech wzrosną surmy i szlachetne tony świata Niedomaga Jamnixa!
602:  Tak!
603:  Jesteśmy!
605:  Jesteśmy!
607:  Pan Karmazyn niech też będzie powitany!
611:  Kontynuujemy grę!
617:  Czas na kolejne 20 butelek Mądrych Łez, tak jest, zobaczcie.
622:  Czy może być lepszy sposób na rozpoczęcie... Powiedzcie mi.
626:  Czy może być lepszy sposób na rozpoczęcie naszego wspaniałego, acz dziwnego szlaku?
635:  wiodącego od złotych drzew po pola niczym z Fate Stay Unlimited Blade Works.
643:  Niedomagiamniks, zwany również Bananomantą z racji kształtu swego kształtnego kapelusza.
649:  Trzyma się kurczowo kostura, bo wie, że to jest jedyne, co pomogło mu w starciu z ostatnim bossem, którego imienia nie pamiętam.
657:  Radan został pokonany Almiowastora.
658:  Tak jest!
659:  Tak było!
660:  Użyliśmy do tego procy!
662:  Użyliśmy do tego błyskamiennych pocisków, użyliśmy do tego błyska... Nie, błyskamiennego łuku nie użyliśmy, ale użyliśmy WIELKIEGO ŁUKU LOREDY!
673:  Właśnie tego.
676:  Porozmawialiśmy z wszystkimi, z kim mieliśmy porozmawiać, a to oznacza, że wracamy do naszej spokojnej eksploracji.
681:  Jak tylko przypomnę sobie, w jaki sposób przypomniałem sobie, wyciąga się broń.
686:  Czy Bananomanta ma umiejętność przyzwania stada szympansów?
689:  Ojoj!
690:  To byłoby cudowne.
694:  Witamy Żółwika i Stalowego Guźca również, i Miszkę, i Mati2009, wszyscy bądźcie powitani, ci, którzy przybywacie, ci, którzy przybędziecie, dopiero jak będzie zapis streamu.
706:  Czy my możemy teraz wylewelować radośnie?
710:  Nie, nie możemy.
712:  Nie możemy, a zatem zostaje nam, moi kochani, dzisiaj wrócić do naszej cudownej eksploracji, to znaczy,
721:  Ostatnio było tak, że poddaliśmy się przy katakumbach u stóp klifu.
726:  Nie będzie już tak więcej.
729:  Jedziemy do katakumb u stóp klifu, a potem zwiedzamy cały wschód.
733:  Gdzie kula ognia?
735:  Nasz niedomagiamniks reprezentuje inną szkołę magii, to znaczy szkołę krystalomancji.
744:  Na tej arenie jest ukryty dungeon?
747:  Naprawdę?
750:  Ooo... Ooo, nie!
754:  Czy jestem w stanie się tam przenieść?
758:  Jestem w stanie się tam przenieść.
761:  Nie, nie jestem w stanie się tam przenieść.
763:  Przeniesiemy się tam innym razem, jak uda nam się wszystko tutaj wyeliminować.
771:  Ojej, bardzo złośliwy człowiek potrzebuje życzeń powodzenia.
774:  Domyślam się, domyślam się, że to olimpijsko, więc trybutariusze, zajamniczcie się dla bardzo złośliwego człowieka.
783:  Jestem po pierwszym sezonie holistycznej agencji detektywistycznej, pisze Nadia Lewi.
787:  Jezu, jakie to jest genialne.
788:  Mówiłem, mówiłem!
794:  Są niebieskie ognie, straszliwe.
799:  Jest ponuro.
801:  Jest straszliwa muzyka.
803:  Nie ma pochodni.
806:  Jest bowiem magiczna latarnia.
807:  Niedomagi Amnix nie potrzebuje nędznej pochodni.
810:  Niedomagi Amnix ma wspaniałą latarnię.
820:  Nęcny przeciwnik!
826:  Dla wszystkich, którzy spytają się ze zgorszeniem, dlaczego Niedomagiamniks używa oręża siecznego, odpowiadam.
834:  Oręż nasz sieczny, po pierwsze, jest niedorzeczny i niebezpieczny, a po drugie, jest wykonany z kostura, w związku z powyższym cały czas legitnie używamy kosturów.
844:  Nie trybutariuszowe jamniki, wspaniałe, panie Karmazynie!
849:  Dlaczego niedomagiamnik ma spłonąć w piekle?
851:  Co to są za obrzydliwe insynuacje?
853:  Co to są za kalumnie słony cukrzy?
855:  Dlaczego moje... Żywica z korzenia.
859:  Strasznie jest niepokojąca ta muzyka tutejsza.
864:  Ja pierdzielę, jak ja się przestraszyłem.
869:  Co to w ogóle jest, co nam zagraża tutaj?
873:  Bardzo interesująca perspektywa to jest.
875:  Uuu, coś wypadło z niego.
878:  Głowa chochlika wilk.
880:  Co to za mieczyk?
882:  Pokazuję, co to za mieczyk.
883:  To jest, moi kochani, błyskamienny miecz lazuli, którego się nie da ulepszać chyba.
888:  Tak mi się wydaje w każdym razie.
889:  Właśnie go odposażyłem, nie chciałem tego zrobić.
895:  Chciałem zmienić widok.
897:  Nie, chciałem mieć widok prosty.
899:  Nie, nie chciałem mieć tego widoku.
900:  Nie mam zielonego pojęcia, jak pokazać.
902:  A już wiem, w ekwipunku.
904:  O Boże, jakie to jest głupie.
905:  Zapominam o tym za każdym razem.
909:  O Boże, historia tego miecza jest interesująca, moi drodzy.
913:  Jest wykonany z drewna.
914:  Prawdopodobnie niegdyś służył za magiczny kostr.
918:  Nie oszukiwałem!
920:  Ten jeden raz.
923:  Do dnia 7 kwietnia 2022, do godziny 17, pisze Mateusz, jest Total War Warhammer 1 za darmo na Epicu.
931:  Ale ja muszę sprostować, że jeżeli weźmiecie za darmo Total War Warhammer 1 na Epicu, to musicie też na Epicu kupić Warhammera 2 i 3, bo inaczej nie będziecie mieć mapy Mortal Empires.
940:  Jeżeli się połączy Warhammera 1 z Epica, z Warhammerem 2 z Steama, niestety nie będzie odblokowanej mapy całej.
946:  To jest paskudna sprawa.
948:  Witamy Mikkas.
951:  I do zobaczenia za dwie godziny.
954:  Błyskamienny Mierz dla Julii, tak, tak.
958:  Niedomak Jamnix wczoraj zażywał dekogtów i to wielu.
961:  Jeden z nich nazywał się Lagawulin.
964:  Jest najpiękniejszym dekogtem, jaki znam.
966:  16 latek.
967:  Och, och, och, och, jakie to było wspaniałe.
970:  To jest bardzo niebezpieczny dungeon, tak nawiasem mówiąc, więc nie wiem, czy to jest dobry pomysł na sam początek dla nas, ale musimy sobie jakoś poradzić.
990:  Męcny przeciwnik.
1000:  Dlaczego bez przerwy nas ktoś atakuje?
1012:  Duszę Radana przeczytać, a to swoją drogą mądra uwaga.
1016:  Bo chyba tego nie robiliśmy ostatnio.
1017:  Tak, macie rację.
1020:  Wizerunek plagi.
1022:  Jezu, gdzie są te dusze?
1029:  Tu!
1030:  Chyba.
1033:  Tak?
1034:  Nie, to była Renala.
1042:  Wizerunek plagi.
1049:  Okej, totalnie się nie orientuję.
1057:  Czy to są wizerunki plagi?
1059:  Nie wiem.
1063:  To są mapy.
1066:  Mam wrażenie, że wielkie runy są tylko za bossów, którzy są fabularni.
1071:  Pierwsza zakładka na dole.
1073:  Nigdy nie wiem, która jest pierwsza.
1075:  Prawdopodobnie ta.
1078:  Tu są wizerunki Plagi.
1079:  Wizerunek Gwie... Aaa, jest!
1081:  Wizerunek Radana Gwiezdnej Plagi wyryty w złotym drzewie.
1085:  Moc jego imiennika może zostać odblokowana dzięki czytającej z palców.
1088:  Można jej też użyć, by uzyskać olbrzymią ilość, to znaczy liczbę runów.
1092:  Czerwony Lew władał siłami grawitacyjnymi, których w młodości nauczył się w Seli.
1096:  Wszystko po to, by nigdy nie musiał porzucać swego ukochanego, choć wychudłego rumaka.
1100:  Mamy chociaż jeden punkt wspólny z Radanem Gwiezdną Plagą, mianowicie obydwaj mamy herlawe, wychudzone rumaki.
1107:  Jako to malarię.
1116:  Dobra.
1116:  Was ist das, Precious?
1119:  Was ist das?
1120:  Uuuu... Okej, czy tylko mnie niepokoi to, co ja słyszę?
1134:  Fuck.
1136:  Kupie zaklęcie grawitacyjne!
1138:  Źle działa!
1140:  O Boże, to jest wielkie!
1141:  That's what she said.
1153:  Popatrzcie, chciał nas obłapić!
1159:  Przestań mnie obłapiać!
1162:  Ciach!
1163:  Nie, nie, nie, nie, nie, nie.
1170:  Czy to jest golem?
1172:  Czy to jest troll?
1177:  Rune Radana też będzie miał opis, dlaczego aktywować wieży w celit.
1181:  Radan jest fabularnym bossem BTW.
1182:  Naprawdę?
1182:  Nie wiedziałem.
1185:  Samuit pisze, że Radan dosłownie nauczy się magii grawitacji, żeby nie zmiażdżyć swojego konia podczas jazdy.
1189:  Kajna Q-ed, faktycznie.
1190:  Co gracze piszą?
1191:  Oczywiście, że potworność.
