Niedomag Iamnix na mroźnej północy | ELDEN RING Livestream #12
🔗 https://www.youtube.com/watch?v=pMV5FAijqxw

128:  Dzięki za oglądanie!
252:  © PTA & TVP
372:  Tak!
375:  Nie liczą się zasady.
379:  Zasady są nieistotne.
381:  Ważne jest to, żeby spontanicznie, w odpowiedzi na zawezwanie czatów, rozpocząć drugi stream.
391:  Stream z Elden Ringa, z jamnikami.
394:  Plany w planach.
397:  Respawn, tak jest!
399:  Witam Bartka Litowskiego, witam JC Tupacz, witam Samoita, witam bardzo złośliwego człowieka, witam Martynę Łopuszyńską!
406:  Witam proroka kaczk, który ponownie pozdrawia!
409:  Czad wytrzyma więcej kaczk!
411:  Witam Bidiskos, witam Matta Petersona, Red Jagę, Kingę Wolską, Inez, Brendo, Sepulby Agatheyszyn,
419:  Niech będzie powitany.
421:  Żółwik.
421:  Takosz.
421:  Sebulba.
421:  Xenon.
421:  Nazgulak.
422:  Aleksandra Żakiewicz.
447:  Zjamniczymy, tak jest, Dark Sans!
449:  Bartek Litowski!
456:  Kto powiedział, że nie może być dwóch streamów w jeden dzień? !
485:  Fajamniki naraz!
504:  Czy my jesteśmy gotowi?
509:  Ja chyba tak.
511:  Witajcie, witajcie serdecznie raz jeszcze wszyscy moi drodzy w, na początku, normalnym świecie, ale potem, nie oszukujmy się, świecie, który przydaje smutku, przydaje rozpaczy, przydaje cierpienia.
532:  To świat Elden Ring.
535:  Za dużo mi się we żelek weszło.
537:  Tak jest.
539:  Stiofobia tak mi się z Eldenem kojarzy przy Red Jaga, że dziwię się, słysząc główną muzykę z gry, coś w tym jest.
546:  Dwa live'y jednego dnia, tego jeszcze nie było.
549:  Jebać zasady!
550:  Zasady są dla słabych!
551:  Zawsze to będę powtarzał.
559:  Naciśnij dowolny przycisk.
561:  To umiem zrobić!
563:  To umiem zrobić!
564:  Wiecie, kiedy się zaczynają problemy?
568:  Gdy trzeba nacisnąć konkretny przycisk, wtedy zawsze zaczynają się problemy.
577:  Zasady są po to, żeby je zobojętniać.
578:  O, ładne!
582:  Zanim będziemy gotowi na granie, to jest pytanie od Aleksandry Kuśmierz.
585:  Czy chcę kontynuować format rozmowy na kanale i spotkałbym się z kimś ze Stowarzyszenia Umarłych Statutów?
590:  To jest dobry pomysł.
591:  Tak, chcę kontynuować.
592:  Chciałem przetestować, jak na to zareagujecie jako społeczność i reakcja, mam wrażenie, była entuzjastyczna.
598:  Tak samo entuzjastyczna była walka, którą mieliśmy ostatnim razem tutaj, w tym miejscu.
603:  Ze Studio Yayo wyszła ręka, która chciała nas...
607:  No dobrze, ta ręka nie chciała nas... zrobić nam przymusowej palcówy, jak większość z rąk, które są w świecie Elden Ringa.
615:  Przepraszam, tak było, możecie sobie sprawdzić wcześniej.
618:  Goniły nas palce.
621:  Ta ręka znamionowała narodziny jakiegoś potwornego wąpierza, który był równocześnie rycerzem i krzyczył Nihil!
629:  To było straszne.
633:  No tak, były dwa strumyki wtedy, kiedy wywaliło, tak, ale to było nieintencjonalne.
640:  Absolutnie nieintencjonalne.
642:  Problem jest wtedy, kiedy mam napisane na ekranie, co zrobić i nie wiem, co zrobić, absolutnie.
646:  Dzisiaj jest przygotowane ciasteczko, ponieważ nie spodziewałem się kompletnie tego obrotu sytuacji i rozwoju, w związku z powyższym w którymś momencie zrobiłem sobie przerwę na szamu-szamu.
662:  Nie wiem, gdzie jestem.
664:  Aha, jestem w tym pałacyku.
665:  Okej, już wiem, co mieliśmy dzisiaj robić.
667:  Znaczy, jutro.
669:  Mieliśmy mianowicie przejść przez cały ten świat i wszystkich wypić.
673:  To znaczy, plan jest taki, że ponieważ bardzo się pospieszyliśmy na ostatnim streamie, nie mieliście okazji podziwiać tej straszliwej, krwistej domeny.
683:  Niech dzisiaj wywali strumyka i wtedy będą aż trzy streamy jednego dnia.
685:  Dziękuję, uprzejmie dziękuję.
689:  Witamy Spiral ponownie.
691:  Obym Arcymagos nie zwariował przez próbę dotarcia i walkę z... Cenzuruję imię postaci, ponieważ to jest spoiler.
699:  Jak się nazywa nekromanta artystra?
701:  Sandro Bodicelli.
705:  Dzięki za wsparcie od 7 miesięcy, bardzo złośliwy człowieku i utrzymywanie akceptowalnego poziomu złośliwości na streamie, który jest wysoki, tylko wysoki jest akceptowalny.
715:  Martyna Łopatrzyńska, to ja Ci dziękuję Martyna za wsparcie od 2 miesięcy.
718:  Ogromne.
719:  Witamy Julkę ponownie.
722:  Okej.
723:  Nie wiedziałem, że to to zrobi.
