Niedomag Iamnix niespiesznie eksploruje | ELDEN RING Livestream #8
🔗 https://www.youtube.com/watch?v=wZ1qvreaJ1o

80:  KONIEC
142:  Dzięki za oglądanie!
192:  Dzięki za oglądanie!
229:  © PTA & TVP
361:  © PTA & TVP
633:  KONIEC!
741:  Witam, witam wszystkich w wyjątkowy stream wtorkowy.
747:  Witam nowoprzybyłych, witam staroprzybyłych, witam średnioprzybyłych.
753:  Witaj Samuit, Banuj, Adam Niepotoczny, Mika, Onufry, Aniu Kaźmierczak, Willet, Juliuszu, RenardTV.
762:  Witamy ze szczególną...
764:  atencją, ze szczególną rewerencją i ze szczególnym spektakularnym larum z uwagi na to, że to nowy trybutariusz wśród jamników i nowy jamnik wśród trybutariuszy.
774:  Witamy Predigiozynę, Kamila, Alcun, Cezarię Magento, Aśku, Elis, Oldor10, witamy Taraela, witamy Urszulę, naszych dzielnych moderatorów, witamy Sanji, witamy Annę Kowalewską, witamy Ru, witamy Brendo, witamy Słonego Cukra, witamy Red Angel, serio, serio,
791:  Tak, witamy Mikołaja Szpryngwalda, Martynę Łopuszyńską, Kazer Kou.
796:  Witamy Dominikę Jamnik, o twórczynie Klimczak, która jest autorką każdej jamniczej emoji.
802:  Witamy Lupercal.
804:  Dlaczego dzisiaj?
806:  Bo tak, zbliża się przerwa wiosenna, w związku z powyższym czemu by nie.
812:  Będzie grańską Otakumę.
813:  O tak, witaj Juliuszu.
815:  Witaj Alice in Poland, Seronox, Damian Golak, Dorka, witajcie wszyscy najserdeczniej.
821:  Gra nam cały czas jeszcze Annihilation od Joe Vandrini.
826:  Witajcie wszyscy, którzy będziecie nas oglądać później.
828:  Witamy Kowcie1 w gronie Trybutariuszy.
830:  Bogowie, co się dzieje?
832:  Jeszcze stream się dobrze nie zaczął.
833:  Witamy Farmaceuty93, Dzikuske, Aleksandrę.
838:  Witam wszystkich, nikogo i dopiero przybyłych.
840:  Cóż za powitanie, moi drodzy.
843:  Witam także wszystkich, którzy będą odtwarzali ten stream zdumieni, że doszło do niego we wtorek, w niestandardowy dzień.
849:  Witamy Muminak, witamy Kapitan Pumpkin.
855:  Witajcie gorąco.
856:  Dzisiaj, dzisiaj będą się działy rzeczy.
859:  Jak nie wiecie, nawiasem mówiąc, powyszedł odcinek dla każdego coś przykrego.
863:  Nowy, poświęcony egzaminowaniu
869:  ukraińskich uchodźców po polsku.
873:  Dziękuję za zwrócenie uwagi na ten temat naszym drogim Discordianom z Holistycznej Agencji Eskapistycznej.
880:  Link, jak zawsze, w opisie.
881:  Coraz bliżej magii ognia, pisze Elis.
883:  Dzięki za wsparcie od 7 miesięcy.
885:  Witamy Krataka, witamy Kulkę.
888:  Mimiraski i Karneval Mephisto.
891:  Wszyscy dziś zostaną powitani.
893:  Witamy Arrorę.
894:  Dobry odcinek pomarańczowy.
896:  Wiecie, co jest jeszcze pomarańczowe?
898:  Sok!
899:  Sok pomarańczowy jest pomarańczowy!
906:  Świeżo wyciskany, tylko taki sok ma sens.
907:  Witamy Sebulbę, Krzysztofka.
910:  Palitkę też witamy, bo nie witaliśmy.
914:  Miraski, Mateusza Głowskiego i Illegal Death.
918:  Moi drodzy, czas to najwyższy, ażeby przenieść się do najwspanialszego z możliwych światów.
931:  O tak, Elden Ring.
933:  Dzisiaj będziemy...
935:  Jeno, moi drodzy, eksplorować, spokojnie przechadzać po świecie, zwiedzać go.
942:  Pierwsze pytanie mamy, czy mówi się pomarańcz czy pomarańcza?
944:  Ta pomarańcza.
947:  Dziękuję, monsieur, że uwielbiasz streamy.
948:  Ja też je uwielbiam, dlatego je robię.
952:  Zosia się żegna, bo ma angielski.
953:  Najgorzej, Zosiu.
955:  Do logów troskawkowych dodaje się sok z buraka?
