Niedomag Iamnix rozbija się po stolicy | ELDEN RING Livestream #9
🔗 https://www.youtube.com/watch?v=ywQj9Ugpfao

26:  KONIEC
77:  Dzięki za oglądanie!
141:  Zdjęcia i montaż
193:  Dzięki za oglądanie!
225:  © PTA & TVP
355:  © PTA & TVP
629:  KONIEC!
658:  Witam!
660:  Witam wszystkich w Wielką Sobotę!
665:  W odróżnieniu od Małej Soboty i Średniej Soboty!
671:  Witam z jamnikiem wykonanym przez Dominikę Jamnikotwórczynię Klimczak!
676:  Witam wszystkich!
677:  Witam Mota Kumę, witam arcykolegę, Teta, Janko Muzykan, Sanjay, Siv Palpatine, Jormungandr, Martyna Łopuszyńska,
685:  Peri, Bigomeza, Tareval, Stachuchac, Mateusz Rudka, Dory, Victim, bardzo złośliwy człowiek, Sam Wit, Obciu13, Kaspar Kuza, Grzybnia Pierwotna,
700:  Maciek, Broken Reality!
704:  Witam Unfiela, witam Nadję Lewi, witam Marinelle S, witam Klosika, dziękuję za wsparcie od sześciu miesięcy!
711:  Witam Palitkę, witam Hidden Bear, witam nieproszonego naszego lormistrza czatowego, witam Nessusa, witam Muminak, witam Coon,
719:  Taki żółty!
720:  Witam Kamisię, witam Cezarię Magento, witam Yulinasa, witam wszystkich przybyłych na trzydniowy świąteczny maraton Elden Ringa, na maraton jamników, na maraton przygód Niedomaga Jamniksa!
738:  Witam was wszystkich najserdeczniej.
741:  I na sam początek pozwolicie, że zrobimy coś, czego jeszcze wcześniej nigdy nie było.
748:  Zrobimy mianowicie, moi drodzy, na sam początek quiz chatowy świąteczną grę, nazwijmy ją w ten sposób.
757:  Świąteczna gra nosi tytuł Wielki Poeta?
762:  Czy atleta?
764:  Będziemy się zastanawiać, czy tekst, który za chwilę usłyszycie, został napisany przez wybitnego przedstawiciela Polskiej Szkoły Poezji, czy też powiedziane na Insta przez randomowego atletę.
775:  Tak jest!
776:  Zaczniemy od ankiety, a ankiecie będzie towarzyszyć muzyka, którą dobrze znacie.
787:  Poeta czy atleta?
792:  Opcja numer jeden.
794:  Poeta.
796:  Opcja numer dwa.
797:  Atleta.
800:  Krzysztof nie umie napisać słowa atleta.
803:  Jest ankieta.
804:  Jeszcze nie głosujcie.
811:  Myślałem pewnego dnia, że mimo że żyjemy na suchym lądzie,
821:  Lub tak nam się wydaje.
824:  W rzeczywistości życie to niby istnienie na wodzie.
830:  To potężna siła.
833:  W każdej wodzie bowiem jest.
841:  I ten prąd bierze nas ku oceanom, gdzie w ostateczności pożera nas ich dostojeństwo.
849:  I wszystko to sprawia, że jak jesteśmy już tam, nie możemy płynąć tu.
858:  Prąd zabiera nas tam, gdzie chce, nie tam, gdzie chcemy zabrani być my.
865:  I tym prądem jest życie.
876:  To był segment poeta czy atleta.
881:  Niestety ludzie, którzy śledzą mojego fejsa, mieli zaspoilowaną grę.
885:  Mamy 69% głosów.
886:  Nice.
886:  Nice na atletę.
897:  Czaty wygrały.
898:  Niestety, niestety tak.
901:  Niestety to jest poezja, którą wygłosił Sylwester Stallone na swoim Insta.
906:  I ja nawet nie żartuję.
908:  Możecie to sprawdzić.
909:  Jest jeszcze też na Reelsach, na YouTubie.
911:  Tak właśnie.
913:  Przetłumaczyłem specjalnie dzisiaj te mądre słowa, które wygłosił.
917:  Muszę nie spoilować następnym razem na fejsie różnych rzeczy.
920:  Moi kochani, ale to zrobiwszy...
922:  Kończę naszą ankietę.
923:  Wygraliście.
924:  Jeszcze nie wiem.
925:  Jeszcze nie wiem, co czaty otrzymają w zamian za wygraną.
929:  Nie wiem.
