🔴 Niedomag Iamnix w Królestwie Cienia(sów) — ELDEN RING: SHADOW OF THE ERDTREE Livestream #2
🔗 https://www.youtube.com/watch?v=cyUdPUnJe74

1:  Taki jest sens banana.
142:  © PTA & TVP
418:  KONIEC!
529:  Witam wszystkich, witam wszystkich przybyłych do Królestwa Cieni, gdzie pokonujemy bossów zbyt dużych na za małe areny i pokonujemy za małe areny na zbyt dużych bossów oraz oczywiście nie zapominajmy...
545:  Rozwiązujemy problem uzależnienia Niedomaga Jamniksa od modrych łez.
549:  Witam najserdeczniej wszystkich, którzy po strumyku nocnym wyspani przybyli dzisiaj, żeby śledzić dalsze losy biednego Niedomaga Jamniksa.
556:  Przypominam, że mamy hasło ustalone, moi drodzy, do naszej wspaniałej grupki, gdzie będziemy wszyscy razem robić rzeczy.
563:  I do niej hasło jest bananananana.
565:  W Elden Ringu witam Kruszynkę, Iskę, Północną Pyrkę, Szelmutkę.
568:  May you have a great day 2037.
569:  Jestem Motion and Serenox.
571:  Szymon Zajdel.
571:  Płynące Byrka Emilia, Posolona, Franku338, MjokuNartyNiezłomny, Płonon, Froge37, MothralDragon, Sandra von Black, Wielisław, TodicTheBart, Dawid Kopi, Ocelotka, Karol Łukaszewski, Simon, Klaudia Bejnar, Ania, 1603, Victor Wynthe, The Witch, Kamil Rrrrr, Jerz z Erlenwaldu, Armii, Płynące Lilia, Asorun, Memori, Małgorzata Piłat, Tomaszu Omaszu, Michał Kowalczak, Karol Kowal, MrMotionless, KarolinTheFirst,
601:  Eneg Ramor oraz Jan Gołębiowski, Simon Ocelotka, kaznodzieja milczącej żaby.
608:  Małgorzata Piłat, Smakowity Pishinger, Jest Zaiste, Lorelin, Aftariel, Black Cat, Jurmungandr, pozdrowienia od Jamniungandra, Lorax, Wiktor, Emeriu, Szymon, Klaudia, Bejnar i... i... Siepły Drań, Szynek, Ka, Łukasz Głogowski, Simbasini, Snówkin, Bartłomiej Gospodarczyk, Klusek, Pademifernes, Konrad Bejsarowicz, Kacper,
