Niedomag Iamnix w glorii i przypale | ELDEN RING Livestream #14
🔗 https://www.youtube.com/watch?v=WFU_M-YC5Is

133:  KONIEC!
254:  © PTA & TVP
386:  © PTA & TVP
613:  Witam!
616:  Witam w dzień sobotni!
619:  Witam w przededniu!
622:  Najwspanialszego miesiąca, jaki istnieje!
626:  Miesiąca Maja!
628:  Miesiąca moich urodzin!
630:  Dzięki temu jest przynajmniej jedna data, której nigdy nie zapomnę.
633:  Witajcie wszyscy!
634:  Witamy Red Angel, witamy Katarzynę, witamy Kamila, witamy Samawita, witamy Purpurowego Jamnika, Excayera, Gilerera, Einers, Sadr, Słonego Cukra, Rafsandomierz, Kinga Wolska i Mika, niech będą powitani!
649:  Arcykolega, Kamil, Magda M1, Lord Regent, Sue Caulfield, Omyk, Kinga Wolska wskakuje na drugi poziom, jest teraz Magiem Wody chyba!
659:  Witamy Proroka Kaczk, Chwała dla Wielkiego Kaczk, witamy Cezarię Magento, witamy Arkanum, witamy Skadi, Brendo, Krzysztofa Olszamowskiego, Alcuna, Illegal Death, Stachu Uchadza, Metal Boy, Dawid Małek, Renart TV,
676:  Victim, Mr. Sho... Shoesbank, chyba dobrze czytam, Juliusz, Sodarik, Dorota B., Matt Peterson, Motakume, Devourer of Gods, Legit Begin, nie mógłbym się bardziej zgodzić, witamy Tomirę, witamy Buzdygana, Tomasza Maleńczyka, Kwandinga, Nadje Lewi, moi drodzy, Granam, Joe Vandrini, Prodrom,
706:  Witamy Alfatrę, witamy Radosława Gojde, witamy Piotra Rado, witamy Powiewa, Jagę, Oliwię, Sparala.
713:  Nie lubię PKS-ów, ja też nie lubię bardzo złośliwego człowieka.
719:  Aniłeżą Sandbox, Rzucawkę, Kole Kaczyńskiego, Sandzi, Klaudię, Liwie Jurkiewicz, Willeda.
727:  Moi drodzy.
730:  Chyba będę wyrazicielem głosu większości, gdy rzeknę, że wszyscy potrzebujemy eskapizmu po tym, co się od Janie Pawla w Jagiellońskiej Wszechnicy.
743:  Nieśmieszne.
750:  Gra nam Elden Ring.
752:  Muzyka tytułowa, jeszcze długo jej posłuchamy, ponieważ nie chcę walczyć z ostatnim bossem, żartuję.
757:  Na początek będziemy błąkać się po świecie, żebym sobie przypomniał sterowanie.
762:  Witamy Stalowego Guźca i Arcanum.
766:  Czy wiedziałem, że maj to po czesku kwiecie?
768:  Nie, ale jest piękne.
773:  Nazywanie długich weekendów z odpowiednim namaszczeniem jako jamnicze weekendy?
777:  Podoba mi się, Andrzeju.
778:  Zacznijmy tak nazywać.
780:  Już i tak nauczyliśmy się, co w tym miejscu oznacza, ja zapamiętałem.
784:  Dobry zwyczaj za jamniczaj.
786:  I mean, jamniki na czatach.
788:  W związku z powyższym, trzeba by nie nazywać długiego weekendu, czyli nawiasem mówiąc piwa, które ma na etykiecie jamnika, jamniczym weekendem.
796:  Słuszna uwaga.
798:  40 tysięcy subskrybentów to wasza zasługa i będziemy to świętować jutro,
802:  Na Q&A tradycyjnym z okazji 40 tysięcy oraz w poniedziałek specjalny stream z Warhammera 40 tysięcy.
810:  Będziemy grać w Warhammera Inquisitor Marty i powróci tam brat Jeremiasz.
818:  Karneval Mephisto także niech będzie powitana i człowiek gołąb!
822:  Moi drodzy, ależ się stęskniłem za wami, ależ się stęskniłem za Elden Ringiem i to w tej kolejności!
832:  Kontynuuj.
837:  Dziękujemy Aleksandru.
838:  Miłego jamniczego weekendu i dla ciebie.
842:  Ty byś się zawierał za Reksia.
843:  Reksio będzie na 100 tysięcy subów, tak jak obiecałem na streamie.
849:  Na Discordzie mówiłem 30 tysięcy, ponieważ zapomniałem i się pomyliłem, ale to, co zostało utrwalone na streamie jest ważniejsze.
