🔴 Niedomag Iamnix zbiera chrust do lewelowania — ELDEN RING: SHADOW OF THE ERDTREE Livestream #6
🔗 https://www.youtube.com/watch?v=IdafZH_O6mM

12:  © PTA & TVP
144:  Muzyka
305:  KONIEC
356:  KONIEC
423:  KONIEC
477:  KONIEC
572:  Muzyka
653:  Dzięki za oglądanie!
818:  Dzięki za oglądanie!
874:  Niemożliwe.
878:  Niemożliwe.
882:  Krzysztof miał rację.
884:  Niemożliwe.
888:  Design issue.
890:  Design issue.
894:  Beka z typów.
895:  Design issue.
898:  Design issue.
900:  Nie umieją.
905:  Dizajnisiu, get fucking good!
910:  Witam wszystkich najserdeczniej w dniu, w którym zwycięża społeczność graczy, a przegrywa kiepski projekt levelowania.
917:  Witam najserdeczniej wszystkich zgromadzonych.
919:  Nie będzie powitany Jaszczur, Król Trashpanda, Joe W. Brontos, Pawełek Irena i Esz Serlenwaldu Pozolona.
925:  Wszyscy nasi stali i niestali widzowie,
927:  Agnieszka, Saran Galaktyczny, Jaguar, Sardałkar, Trashpanda, Funcia, Tarael, Magda, Irena, Death, Cherenox, Crow, Veshetch, Bambi, Remi, Tern, Bartek, Warachowicz, Xawery, Szał, Pozolona, Megafuka, Master, Istoda Żyjąca, Niestatystyka, Prince Marshal, Jawo the Grim,
944:  Wiktor Winterszmon, Zajdel Maciejka, Różyłło, Damian Kajm, Dominika Mielcarek, Todik Webad, Tomaszu Omaszu oraz Siwy Dym, Astrey, Nenu, Milare.
953:  Wszyscy, którzy czekają na poprzednim streamie, ponieważ nie wiedzą, że YouTube znowu spierniczył wszystko i zmienił datę streamu bez mojej ingerencji.
959:  Hajuz, istota żyjąca, megafuka, Jakub Wdowiak, Crow, Łukasz Szelewicki, szczęśliwie Syzy,
964:  który pisze, że generalnie YouTube wariuje bardziej niż zwykle.
966:  Jest to prawda.
967:  Dawigos Szakialton, Łukasz Szelewicki i Balrok72, Remigiusz Sroka i Anianias oraz wszyscy niestali widzowie kanału, wszyscy wspierający, wszyscy przeszli, przyszli i teraźniejsi, a Mikołajowie, Gaius Flavius, Walerius Konstantinus, Miras21, a gra nam, moi drodzy, wspaniała muzyka z Plague Tale Innocence, a ścicimy z rekwiem.
989:  Jeszc Renwaldu, Adus, Cytrus, Padem i Ferenc, Katarzyna, Armii, Ania Szymańska, Uszanowanko, Uszanowanko to był tytuł nika, ale również Uszanowanko dla Was wszystkich, Wielisław, Gnomeus, Irena, która jest jamnikołajką, niuch, otrzymuje Bambi wsparcie od Ireny, Maciasław, Łazęga, Merliana, Onufry, Krawiec i...
1009:  Jakub of Thayer, Sumcio, Remigiusz Olyzan, Imperium, Frenzyl, Salem Falco i Knurrmaciek Undead, Hedgekot, Grycerz, Skordian Mail, Anżelika, Katarzyna, Lemonade, Nieksyk, Natalia, Asorun, Szelmutka, Dyktoforsja i reszta naszych wspaniałych moderatorów.
1028:  Czekająca na cud Grzegorz Grzywacz, Arcykapłan Dzikich Bobrów, Keletorn, Jormungandr, Oksire i Julia oraz Xaverysh Audalia, Miokun Zetset,
1039:  Dzidowład, uwielbiam dwójnik!
1042:  Pinkfroid, the dark side of your mother!
1048:  Dlaczego ja Cię wcześniej nie widziałem?
1052:  The dark side of your... Wychodzę z roli przez Ciebie!
1057:  Goddamitman!
1058:  Chryste, Panie, mnie te krzyżki przestraszyły!
1060:  Witam na kanale!
1061:  Dzień dobry!
1063:  Jacques Lumogne!
1066:  Czy jakkolwiek się czyta, Mr. Sean Alzaria, Slender, Rafał Piórkowski, Black Cat, Nenu, Kai Shouri, Szymon Nalewajko, Tutti, Van Frutti, Kacper Sapkowski i wszyscy wspaniali nasi zgromadzeni widzowie.
1081:  Witajcie, moi drodzy, najserdeczniej.
1082:  Przepraszam za problemy.
1084:  Zaczynamy grańsko.
1085:  Oczywiście pod warunkiem tylko, że przypomnę sobie, w jaki sposób obsługuje się trzy ekrany przy Eldenningu.
1090:  Przypomniałem już sobie.
1091:  Lecimy z tematem.
1094:  Gdzie jest muzyka?
1097:  Okej.
1098:  Poczekamy sobie na to wejście piękne, które tutaj jest, bo jest pięknie, to trzeba przyznać.
1103:  Lukas Senpai, dzięki za wsparcie od 7 miesięcy, Dramatic Music, Jamnik, Witam Jamniczo, pisze Zuza, o zimnych krajów wracam, bo w Polsce można się ugotować i spalić, to prawda!
1117:  Jamniiik, Jaaamniiik!
1123:  Tak!
1124:  Tak jest tekst tej pieśni, abyście nie wiedzieli.
1126:  Wspaniale!
1128:  Czy można dodać śmierci?
1129:  Jakie śmierci?
1130:  Czy oglądałem najnowsze odcinki The Acolyte?
1132:  Tak!
1133:  Nie jest nieźle!
1135:  Ja naprawdę nie wiem, co mam zrobić z tym serialem, ale to może dlatego, że jak się pojawiają walki na miecze świetlne, to ja jestem od razu zachwycony.
1143:  Czas zrobić montaż, żeby grać przed patchem 1.12.1, bo to design flaw.
1146:  Tak, oczywiście!
1148:  Lord Miyazaki sam powiedział, że poziom trudności był zaplanowany, jak zawsze.
1153:  Dobrze, że skończyłem DLC przed callfixem, jak zrobili łatwiej.
1156:  Absolutnie, moi drodzy.
1158:  Absolutnie.
1159:  100% zgody.
1160:  Czy ktoś wie, po jakim czasie Krzysztof mniej więcej odpowiada na maile?
1163:  Żartujesz sobie Slendarr i jest sesja.
1165:  Jeżeli ci odpowiem w sierpniu, to będzie dobrze.
1169:  Nie będzie podpełniona jak ta cudna pogoda i dajcie spokój z pogodą.
1172:  Wyszedłem dzisiaj do sklepu rano, no dobrze, to była 14.30, okej?
1176:  Ale cisza, więc wyszedłem do sklepu rano o 14.30 i dosłownie od razu musiałem zmienić t-shirt.
1183:  Od razu.
1183:  Znaczy wystarczyło, że wyszedłem, poszedłem do sklepu, a mam bardzo blisko do sklepu, wróciłem, zajął mi to 10 minut i musiałem zmienić t-shirt.
1191:  Ja nie wiem, jak wy egzystujecie na zewnątrz.
1194:  Ja wolę w wieży.
1196:  Tak, mam wahanie, czy A Glide jest dobry, czy zły Balrogu, ponieważ fabularnie to jest kiepska kupa.
1202:  Natomiast światotwórczo, pierwsze trzy odcinki to była katastrofa, a teraz dwa następne, jest dobrze.
1208:  Ja nie wiem, co się dzieje i nie rozumiem.
1210:  Więc muszę poczekać na cały ten cel.
1212:  Myślałem, że zrobię mid-season review, ale nie jestem w stanie.
1215:  Nie wiem, co się dzieje.
1217:  Czy my dzisiaj nadrabiamy pominięte na John Johny i ukryte lokacje?
1219:  Właśnie tak, dzisiaj zbieramy chrust.
1221:  Mam nadzieję, że taki jest tytuł tego streamu, że zbieramy chrust, bo tak miało być, zbieramy chrust do levelowania.
1230:  Problemy techniczne dzisiaj wszędzie.
1231:  Ja spędziłem godzinę w Polacach box, bo mi Disney Plus nie działa.
1234:  Jedyny plus jest taki, że Babka, z którą gadałem, wykłócała się w moim imieniu.
1237:  No widzisz, w moim imieniu się nikt nie może wykłócać z YouTubem.
1240:  To jest zasmucające.
1242:  Czemu ja zawsze myślę, że się człowiek teleportuje przy ognisku?
1245:  A już pamiętam, ponieważ tak się robi w Sekiro.
1248:  X...
1249:  I jesteśmy na ziemiach, nie z ziemiach pomiędzy, tylko jesteśmy, moi drodzy, w Królestwie Cieni.
1255:  I taki był plan.
1256:  Więc tak, tutaj podobno, pamiętam, mamy znacznik do questu.
1260:  I więc tutaj się udamy dzisiaj.
1262:  Ale założenie jest takie, że chciałbym troszeczkę bardziej i wnikliwiej poeksplorować.
1269:  Niriam Nikomata, dzięki za wsparcie do 18 miesięcy.
1271:  Witam gorąco.
1272:  Dawniej nie było, to prawda.
1275:  Światotwórczo zmieniają kanony strasznie.
1277:  Tak, do trzeciego odcinka.
1278:  Natomiast teraz od tego czwartego odcinka jest w miarę dobrze, tak?
1284:  Więc zobaczymy.
1285:  Pomijając fakt, że oczywiście mylą się, jakim kolor miecza świetlnego jest dla Guardiana, jaki nie.
1289:  To już pomijam, tak?
1291:  Ale przynajmniej jest dobra choreografia walki.
1294:  Jak sesja?
1294:  Nie, nie pytajcie nawet, jest dramatycznie... Znaczy, sesja to jest coś, co powinno zostać zlikwidowane, autentycznie.
1300:  Czy my mamy porozmawiać z triolerem po tym, jak rozsmarowaliśmy... Jak się nazywał?
1306:  Nawet nie pamiętam, jak się nazywał ten boss, którego rozsmarowaliśmy, całą party naszą.
1310:  Dalej masz ogniste perfumy do znalezienia, no właśnie.
1313:  Które nic nie dają... Co?
1317:  No nie mówcie mi, że ona nie żyje.
1320:  Przecież ja nic złego nie zrobiłem.
1324:  Dane przekazał wiadomość.
1325:  Drzewo Piczęci znajduje się w starożytnych ruinach Raus.
1329:  To miejsce za wysokim, mocnym, wychodzącym z parteru magazynem.
1331:  Spotkajmy się w wieży, gdy ukończę moje aktualne zadanie.
1334:  A czy okej?
1334:  Czy ona nie zginęła?
1335:  To był Mesmer.
1336:  Macie rację.
1337:  Dobrze.
1339:  Więc tak.
1339:  Mówicie, że w pierwszej lokacji są perfumy.
1342:  Sprawdzimy.
1344:  Skończyłem dzisiaj czytać Wolny Arachemiczny, pisze Magda M1 i świetnie się czytał, a podobno dobra książka jest.
1349:  Trzymaj kciuki, biorę się za finałowego bossa.
1351:  Tu są trzymane, Daf Bigos.
1353:  No więc zobaczymy, gdzie te wasze cholerne perfumy.
1356:  Ogniste.
1358:  O ile to ja w ogóle jestem w stanie znaleźć.
1360:  A, przecież nie mam.
1363:  Konika.
1366:  Barek Warachewicz, dziękuję ci za dołączenie do grana wspierających, ponownie.
1372:  Nie no, my gdzieś tutaj wychodzimy chyba.
1376:  Uprzejmie przypomniałem, Mema nasz chciał się na live pokazać.
1378:  A!
1379:  Właśnie, moi drodzy, więc a propos walki z Mesmerem, którego się udało zabić, jak najbardziej, jak najbardziej, no macie dowód swoją drogą, nie?
1392:  Że dwa streamy na raz są, a ja miałem na dwie różne daty.
1396:  Znaczy to jest po prostu nieprawdopodobne absolutnie.
1398:  Gdzie jest...
1401:  Proszę bardzo.
1405:  Nestle in cooperation with From Software Mesmer Moons.
1409:  Jeszcze więcej węży teraz, jeszcze więcej witaminy B3 i ataków obszarowych.
1414:  Może zawierać śladowe ilości szkarłatnej zgnizny i orzechów arachidowych.
1417:  Powinno być arachnidowych.
1419:  To jest rewelacja absolutna.
1420:  Jest jeszcze druga wersja, moi drodzy.
1422:  Nie do magiamiks.
1423:  Ups, o, ciemny księżyc ranni.
1425:  O smaku porówek.
1427:  Bardzo szanuję, że szef kuchni poleca tutaj.
1429:  To jest łza naśladowcy.
1433:  Doskonałe memy, moi drodzy.
1435:  Zapraszam do Holistycznej Agencji Eskapistycznej.
1437:  Link w opisie.
1437:  Na Krzysztof Streaming Universe.
1439:  Nie, ja nie wymyśliłem tej nazwy.
1440:  Są wspaniałe my mistrza.
1443:  Takie obszarowe drugie imię tego dodatku, tak.
1445:  Czytane jest anime Violet Evergarden, absolutnie black cat.
1448:  Chociaż wersję filmową widziałem też.
1450:  Nigdy nie mogę się zdecydować, która lepsza.
1452:  Dzięki za wsparcie od 23 miesięcy.
1455:  Więc gratulacje, moi drodzy, dla Czerwonego Lisa, autora, i dla Różyło.
1463:  Jesteście docenieni niniejszym.
1465:  Skeller, dzięki za wsparcie od 32 miesięcy.
1467:  Pozdrawiam i polecam czatom Nekroweta.
1469:  Nie znam tego.
1471:  Dobra, moi drodzy, w takim razie, skoro to jest w lokacji początkowej, to ja idę punkt po punkcie i spróbuję znaleźć te ogniste perfumy.
1480:  Staję po prostu po jednym z tymi i natychmiast patrzę, jak się skończy poprzedni.
1483:  Tak robiłem!
1484:  Tak robiłem, moi drodzy.
1487:  I zawsze działało.
1488:  No nagle przestało teraz działać.
1490:  Ciekawe dlaczego.
1490:  Już wiem, to jest skill issue, to nie jest design issue.
1493:  Dobra, więc ktoś mówił, że to jest obóz wojskowy.
1496:  Jest jeden problem, one nie są zaznaczone na mapie.
1502:  Więc będziemy szukać obozu wojskowego.
1504:  Na razie tutaj są... To są ruiny, które wydawało mi się dobrze zeksplorowałem.
1509:  Ale co tam?
1511:  Pożegnalne jamniki.
1512:  Kończcie kasę, wracam za kilka miesięcy, pisze Victor Winter.
1515:  Bez obaw!
1517:  Bez lęku!
1519:  O!
1519:  Czekajcie, czekajcie!
1522:  Duży, pęknięty garnek.
1523:  Okej, myślałem, że to są perfumy i że mam spokój, ale nie.
1528:  doliczyłeś cztery śmierci w SMS-merze, ale było ich trochę więcej.
1531:  Jeżeli podacie mi właściwą liczbę, to zaktualizuję.
1535:  Nie widać obozu wojskowego, bo to jest tajny obóz.
1537:  No ewidentnie, tajony łamany przez poufny, no tak ewidentnie.
1542:  No po prostu pójdę w miejsca, w których mnie nie było.
1545:  Będę zrzędził.
1546:  Próbuję się zrekrutować na pierwszy stopień na AGH, będąc niepełnoletnim.
1549:  Wymaga to pełnomocnienia ze strony rodziców.
1551:  Na stronie jest to wyjaśnione nigdzie.
1553:  Napisz do ludzi, którzy są tam w centrum rekrutacji i ponarzekaj na to.
1563:  W AGH działa tak jak każda uczelnia, ale jednym się różni.
1567:  Mianowicie są sensowni ludzie w administracji.
1570:  Tak, to jest możliwe.
1576:  Ej, ja już widzę różnicę.
1578:  Widzicie tę różnicę?
1580:  Przeciwnicy zadają normalne obrażenia.
1583:  Ja teraz zobaczyłem różnicę już.
1592:  No to teraz się da grać, no.
1597:  Ja już bym zginął dwa razy.
1604:  Słyszałeś opinię z DemoniDiasa, że granie magiem w DLC jest trudniejsze niż Melee w przeciwieństwie do podstawki.
1610:  Proszę mi dać link.
1612:  Zrobię z tego klip i będę puszczał na początku każdego streamu.
1618:  Zamiast poczekajki będzie ten klip z DemoniDiasa.
1623:  Co się stało, że taki damage?
1624:  No, patch został zrobiony, który uwzględnia to na przykład, że mam dziewięć błogosławieństwa starodrzewa i błogosławieństwa prochów czcigodnego ducha, a wcześniej nawet tego nie zauważyłem.
1634:  Więc wiesz, to się stało.
1635:  Design issue zostało zrobione.
1637:  354 śmierci, pisze Megafuka.
1640:  Dobrze.
1646:  Bilna perfumy jest jednym z najbardziej OP?
1648:  No ale ja nie wiem, gdzie znaleźć te ogniste perfumy.
1650:  Wiecie, no po prostu przejrzę sobie, zobaczymy, czy jest tutaj jakiś obóz.
1655:  Jak nie znajdziemy obozu, to idziemy dalej.
1657:  To jest pod kaścią Kiszaka, muszę sobie obejrzeć.
1664:  Żółwi papież.
1665:  Dzisiaj musimy zdążyć do żółwiego papieża.
1667:  Za każdym razem, jak ostatnio próbowałem, to się działy rzeczy.
1671:  Nie jestem w stanie zrozumieć, czemu tutaj nie mogę znaleźć tego obozu.
1676:  Na tysiąc procent tutaj wszystko zobaczyliśmy.
1678:  Perfumy są w obozie za mostem przed zamkiem Ensis.
1685:  Czyli tutaj to jest zamek Ensis?
1689:  Tak.
1690:  Dziękuję.
1692:  Tego obozu rzeczywiście nie przeszukaliśmy.
1694:  To jest prawda.
1695:  Bo tu jest jakaś absurdalna liczba przeciwników.
1699:  W ogóle, moi drodzy, będzie odcinek.
1700:  Udało mi się... Jestem z siebie dumny, powiem wam.
1702:  Udało mi się
1705:  zrecenzować pięć projektów zaliczeniowych wczoraj, napisać dwustronicową recenzję rozprawy magisterskiej, następnie skończyć połowę redakcji licencjatu jednego opóźnionego, następnie nagrać film,
1723:  Więc uważam, że dobrze.
1724:  I ogarnąć bardzo dużo zaległości mailowych, korespondencyjnych, ale sesja to jest ciężka sprawa, powiem wam.
1730:  Żeby robić wszystko naraz, no nie lubię tego.
1733:  To jest coś, co mnie właśnie dekoncentruje bardzo, jak trzeba robić strasznie dużo rzeczy naraz.
1738:  ale jest satysfakcja przynajmniej, bo już tak zalegałem z wszystkim.
1741:  Jeszcze jak napiszę tekst, który mam na zlecenie, oj zdradzę wam, bo to jest giga rzecz, mianowicie odezwała się do mnie fundacja, która robi dużą książkę na temat uzależnień od generalnie wszelkiego rodzaju strzałów dopaminowych przy mediach społecznościowych i tak dalej.
1757:  Jest to projekt
1759:  który jest kolaboracją zarówno lekarzy, psychiatrów, terapeutów, jak i ludzi, którzy znają się na innych rzeczach, no w tym także i będę ja.
1767:  Ja będę pisał o imersji po to, żeby można było odróżnić w tej książce zanurzenie w grze od niebezpiecznych form uzależnienia.
1776:  Jestem giga zadowolony.
1778:  Bardzo się z tego powodu cieszę.
1780:  Z tego, co pamiętam, pod patronatem Ministerstwa Zdrowia, więc to jest duża rzecz.
1784:  I ja tam tylko zacząłem, ale wiecie, że ja się nie znam na kwestiach medycznych, tak?
1788:  Ja to o tym nie będę pisał.
1789:  Ja mogę wam napisać, o co chodzi w imersji od strony narracyjnej.
1792:  Oni powiedzieli mi i bardzo duże propsy, tak, nam właśnie o coś takiego chodzi, żeby ludzie, którzy czytają tę książkę i są lekarzami, rozumieli różnicę.
1800:  Więc jestem bardzo zadowolony.
1803:  Powiem Wam, że cieszę się strasznie, że wreszcie zaczyna się dostrzegać ten problem, bo już było tak dużo raportów, w których myliło się proste zanurzenie w grze wideo, a wiecie, syndrom następnej tury z, nie wiem, zespołem uzależnieniowym, że rany boskie.
1819:  Powiem Wam wszystko, jak będzie ta książka gotowa.
1821:  Na razie wiem na pewno, że jestem częścią tego projektu.
1826:  bo już jest wszystko ustalone, ale szczegółów nie znam.
1830:  Czy nie macie wrażenia, że każdy z tych namiotów wygląda tak samo?
1833:  Bo ja tak.
1835:  Więc w tych namiotach nie ma nic.
1838:  Więc dostaniecie informacje i postaram się, żeby książka też była dostępna.
1844:  Jak nie będzie dostępna oficjalnie, to zrobimy tak, żeby była dostępna.
1849:  Dla Ani Szymańskiej potrzebne są zdrowotne jamniki, moi drodzy, bo wziął kaszel.
1853:  Ja wiem, co to znaczy, jak weźmie nas kaszel.
1856:  Dwa tygodnie śmęczyłem.
1859:  Dwa tygodnie.
1863:  Wiecie, co jest ciekawe?
1865:  To nie jest raczej chory damage nasz,
1867:  Widzę, że nie jest tylko ja szukałem tego, ale to jest raczej poprawa skalowania obrażeń wrogów.
1875:  To znaczy nie zabijają nas randomy już.
1888:  Po prawej stronie drogi na podwyższeniu.
1891:  No ale wiesz, prawa strona drogi, czerwony list, ma dwie prawe strony, w zależności od tego, gdzie patrzysz.
1896:  Czy patrzysz od mostu, czy patrzysz od... Zamku.
1905:  Bo to różnica.
1912:  Na mapce po prawej stronie.
1914:  Dobra, czekaj.
1917:  Czyli tutaj gdzieś.
1919:  Good.
1920:  Dzięki wielkie.
1920:  Byłem szukał i szukał i szukał, a trzeba wypróbować te perfumy.
1924:  Ciekaw jestem, gdzie się je leveluje.
1925:  Nie masz już czasem wrażenia, że przeciwnik jest za szybki na twoje czary?
1927:  To polecam słuchać czaru Karyjski Siekacz.
