🔴 Diwa dokuczliwa | GENSHIN IMPACT Livestream #7
🔗 https://www.youtube.com/watch?v=Y92Q1K9S0UE

3:  Zdjęcia i montaż
82:  Cześć!
82:  General Kanon!
113:  Muzyka
194:  Muzyka
261:  © PTA & TVP
322:  Muzyka
334:  muzyka
392:  Witam wszystkich w... w zasadzie o poranku, przecież jest godzina 16, jest wcześniej i nie tak jak zwykle, przy dźwiękach sączących się nam już muzyki z najnowszego regionu w Genshin, z Impact, przepraszam, Impact, czyli Fontaine, gdzie będziemy eksplorować rzeczy, może pójdziemy pod wodę wreszcie, może dowiemy się, kto zabił w operze, może nie będziemy słuchać ani razu diwy operowej, nie wiem!
416:  ale witam najserdeczniej Saf, Wojtek W, Ewa Jędrzejczak, Kinius, Serenoks, Bondziorno, Demini, Szymon Zajdel, Posolona, Saf, Hudinius, Nadia Lewisz, Szwagier, Tomasz Kowalczyk, Nenu, Mateusz Jamros, Szanako Jomim, Mateusz Pawłowski, Skryty Żubr,
431:  Pivo Lover, Froget, I see what you did here, Froget 67, Dalia, Astray, Szejk Truskawkowy, Magda M1, Suzy Diamond, Wiktoria Saturnus, Jurand Zespychowa, Emilia Pawelet, Czajnik, Posolona Alternatywka z sąsiedztwa, Saf Radosław, R. Sojwicz, Balrog 72, Lovely Flames, Doktor Fluff, Mikołaj Trąd, Bion Bartek, Michał, Justyna Mleko, Lee,
454:  Łukasz Szelewicki, Kinio Asorun, Kairos Franczyznia, Budowniczy Pylonów Tarjael, Saf, a strzej była witana już Jacek Wojciechowski, nie za to, Wampirzak, Likoja, Kairos Franczyznia, niestatystyczna, Dunhent, my beloved, Pademifernes, Miko392, Brakdanych, który przypomina, że są nowe kody gęślinowe na wiecie, kryształki, tak?
477:  Więc spiszcie sobie komentarz od Brakdanych, Virilian102,
481:  oraz Adus Cytrus, wszyscy nasi co szanowni moderatorzy, Grzegorz Sikora, Grim Lukas, Adus ponownie, Natalia, Wampirzak, Urszula Giewon, Kosior Jakub, Kade, Lotrana, witam serdecznie, Kapod, Magnus, Merko Karolitka, Belkach, Kadzit Tadzira, Pablito, Kluchen Muchen, też nasza moderatorka, Cozy, MyLadyWitch, Maria Adamek, Polish...
506:  Bolmon, zakazałem ci to tam inaczej, Igarenda, Mungxbany, Blacket, Rejwilo, Filip Maj, bardzo dobre nazwisko, Bartosz Marcusz, Linaz, Piwo Lawer już był i Doktor Flaw także, witam serdecznie wszystkich niewyczytanych, o, Martax, tak, rozwiązał sprawę Krzysztof, Dumsza, Martax, Drewniak,
527:  I moi drodzy, dzisiaj mamy ważną rzecz, zanim przejdziemy do gęsiny i zanim będziemy się topić, to jest prośba od jednego z najstarszych, nie z najstarszych, najdłużej wpadających na live'y i na kanał widzów o pomoc i jest link do zbióreczki, moi drodzy.
543:  Będziemy mieli nawet pasek progresu, który to pasek progresu będę się starał odświeżać, ponieważ niestety zrobiłem go swoimi mikrymi umiejętnościami.
551:  Nie mamy takiego ładnego paska progresu, bo to trzeba by...
554:  Krzysztof nie wie, jak się takie rzeczy robi.
557:  Jest inaczej niż się pomaga.
559:  Daje po prostu widżet.
560:  Dajcie widżet!
562:  Zrzutko.
563:  No więc tutaj zbieramy, moi drodzy.
564:  Krzysztof już wpłacił.
566:  Jeżeli macie grosiwo przy sobie, to tutaj jest nasz cel.
569:  A tymczasem, moi drodzy, without further ado, przypominam, że musimy rozwiązać morderstwo w operze.
575:  Tak?
576:  Chyba tak.
577:  Tak.
577:  Nie wyczytani się zgłaszają, pisze Bartosz Marcusz.
580:  Tak jest, moi drodzy.
581:  I witam też stałych i niestanych widzów kanału, jak zawsze.
584:  Dobrze, moi drodzy, co powiedziawszy, co powiedziawszy.
586:  Ja nawet nie wiem, ja nawet nie wiem, co zobaczymy w Gęśni, jak ja tam się przeniosę.
590:  Naprawdę nie wiem, co tam zobaczymy.
591:  Już wiem, co zobaczymy.
592:  Zobaczymy Wanderera.
594:  Moi drodzy.
595:  Jest pasek progresu, jest pasek progresu w zbiórce.
598:  Tak mi się przynajmniej wydaje.
600:  Chyba tak.
601:  9%.
601:  Działa.
602:  Chyba działa.
604:  Zobaczymy.
605:  Dlaczego tu jestem?
606:  Dlatego, że tutaj jest, obliczyłem, moi drodzy, najkrótszy, najkrótszy dystans dzielący od teleportu do miejsca, gdzie się wyrabia wrażliwe rodzynki.
617:  Wyrobiłem wszystkie wrażliwe rodzynki, które są do wyrobienia dzisiaj.
621:  Proszę bardzo, nie ma wrażliwych rodzynek.
624:  W związku z powyższym, dlatego tutaj byłem.
627:  Oczywiście, że to jest Scaramouche.
628:  Co więcej, udało mi się wreszcie wylew... wylew... wylew... wylew... wylewelować Faruzan na 13 poziomie tutaj, bo ona jest na C6, w związku z powyższym wspiera Wanderera.
639:  Gdyby nie Faruzan, to byłaby tragedia.
642:  Wanderer ma jeden problem, to znaczy krótkie spodnie i to mnie denerwuje.
645:  Ile słuchawki?
646:  Zapomniałem o słuchawkach.
650:  zapomniałem o słuchawkach.
652:  No przecież to jest jakiś dramat.
654:  Faruzan jest bardzo sympatycznym postacią, znaczy ma cudowny projekt.
658:  Czy obejrzany zwiastun 4.2?
660:  W ogóle jestem nie na bieżąco.
662:  To jest straszne.
663:  Nie widziałem zwiastunu 4.2, nic nie widziałem.
665:  Nie wiem, co się będzie działo.
666:  Więc możecie mnie informować, co się będzie działo.
668:  Ja liczę... Teraz tak, nie obejrzałem, więc to będzie autentyczna predykcja.
673:  Ja liczę, że to się zacznie rozwijać w tę stronę, tak?
676:  W tę stronę.
678:  Nie chcę, żeby się ta mapa rozwijała w tę stronę, bo mnie denerwuje, że ona ma dziury, tak?
682:  Już tutaj jest dziura, którą muszę zdzierżyć między Inazumą a Sumeru Pustynnym.
689:  Denerwuje mnie to!
692:  W związku z powyższym chcę, żeby tu się coś wypełniło.
697:  Powiedz szybko, pięć razy, wylewelowany level, wylewelowany level, wylewelowany level, wylewelowany level, wylewelowany level, wylewelowany level, wylewelowany level.
704:  Udało się.
706:  To mamy dobre wieści.
707:  Pisze Saw, dobrze.
709:  Bardzo dobrze.
710:  Cieszy mnie to.
712:  Bardzo mnie to cieszy.
713:  Chcę, żeby ta mapa się wypełniała.
714:  Tu mamy, moi drodzy, cel nasz dzisiejszy, ale równocześnie dla wszystkich, którzy nie widzieli jeszcze, coś, co was absolutnie zachwyci.
722:  A czego nie widzieliśmy?
724:  i czego nie eksplorowaliśmy.
725:  Mianowicie, jeżeli ktoś się zastanawia, czy ruszać do Fontaine, to czy ja muszę już cokolwiek więcej mówić?
736:  Czy ja muszę cokolwiek więcej mówić?
738:  Przecież to jest przepiękne.
739:  Ja nie pamiętam tak dobrze zrobionego... Gdzie jest moje zarządzanie słuchawkami?
746:  Potrzebuję zarządzanie słuchawkami, gdyż mam za głośno.
749:  Ja nie widziałem tak pięknie zrobionej fizyki wody dawno już.
757:  Routing... O Boże!
760:  Dlaczego na moim mikserze nie może być levelu do słuchawek?
763:  To jest tak smutne.
765:  Dobrze.
767:  Czy nasza postać pływa?
767:  Tak, pływa.
768:  Nie inaczej, moi mili.
770:  Pływanie pod wodą jest absolutnie cudowne, ale tylko w Genshin Impact.
774:  W każdej innej grze jest stresujące.
777:  Więc poradzono sobie także ciekawie z walką, to znaczy mamy nowe umiejętności, to znaczy jest takie uderzenie, które nic nie daje.
784:  W związku z powyższym trzeba zoczyć, o tutaj akurat jest coś do odkrycia, trzeba zoczyć takie, o, o, o, o, takie stworzonko trzeba zoczyć i pobieramy od niego moc i dzięki temu tą mocą na przykład możemy tutaj pieprznąć.
796:  Proszę bardzo.
797:  I można zebrać dwie potrówajki, które są ważne.
801:  Więc bardzo sympatyczna sprawa.
803:  Magowie Wody, ujawniajcie się.
805:  Mapy podwodne pięknie im wyszły.
806:  Tak, właśnie pytaliście jeszcze o mapy.
808:  Mapa wielopoziomowa.
810:  Czy ja bym mógł zobaczyć gry AAA, które robią to tak, jak gra mobilna, jaką jest Genshin?
816:  Czy to jest naprawdę tak trudne?
817:  To jest naprawdę tak trudne, jak rozumiem, żeby zrobić taką mapę, tak?
822:  To jest takie trudne.
823:  Ojej, nie wiedziałem.
824:  Myślałem, że mi hojo było to w stanie zrobić.
827:  Może się zresztą zaczną inspirować twórcy innych gier wielopoziomowymi mapami, tak?
832:  I proszę bardzo, i minimapa kontekstowa, która zmienia się w zależności od tego, na jakim jesteśmy poziomie.
837:  Tobie się chciało zbierać te cholerne grzyby na Wanderera?
840:  O, moi drodzy, w zbieraniu grzybów na Wanderera pomagała Nahida, która to Nahida ma w talencie.
846:  Zbieranie ziółek.
848:  Gdzieś to jest, nie pamiętam gdzie.
851:  O, tutaj.
