🔴 Furina furiosa aqua dolorosa | GENSHIN IMPACT Livestream #8
🔗 https://www.youtube.com/watch?v=RoJasgEj22c

25:  Muzyka
238:  Zdjęcia i montaż
254:  Nie sądziłem, moi drodzy, że przyjdzie mi wkroczyć przy tak jawialnej Luigi Boccherinowej muzyce z Fonteyn dzisiaj w ten szczególny patriotyczny dzień.
265:  Może będziemy grać, moi drodzy, ale to nie znaczy, że nie będziemy patriotyczni.
269:  Dlaczego dzisiaj będą polecajki wyłącznie polskiej fantastyki?
273:  Może, może nam się nie wyczerpią.
276:  Chociaż ja wiem, moi drodzy, nigdy się nie zbliżymy do poziomu patriotów.
280:  Którzy świętują strzelając racami i rzucając cegłami.
283:  Ale będziemy próbować!
285:  Witam najserdeczniej wszystkich Jackdow, Jarek z Vogue, Varanus, InMyWords, Pademifernes, Szwagier, TaniTani, Tomasz Kowalczyk, Mateusz Pawłowski, Szipiszapa, Szejk Truskawkowy, Balrog72, Zen Bugami, Megafuka, Karol Kowal, Serenox, Lovely Flames, Lucifer, Doktor Flav, Dominik M, Lucas Enpai, B Gomeza, Lee, Viridian102, Frogett70,
309:  67, przepraszam, Demini, Dunhen, my beloved Viridian, Ulquiorra, may you have a great day, 2137 years, Erlenwaldu, Enimx, pb 1190, pamiętajcie, moi drodzy, o menuecie z kwintetu smyczkowego, Aldur, Luiziego Bakeriniego, Bonkeriniego, Monika Raj, Szwagier, Demini, Serenox, Enimx, Magiczny Proszek, Crazy Demix, Vogvaranos, Hudinius, Kingio,
335:  Tim Meris oraz Knopers Kokosowy, Jakub Angus, Szwagier, Tomasz Kowalczyk, Wampiżak, Jerex, RRB, Marce Panienka, Nani Nani oraz Astray i jeszcze widzę Helenę z nami i wszystkich, moi drodzy, którzy nie są stałymi bywalcami, także witam i wszystkich, którzy są stałymi bywalcami, wszystkich, którzy będą oglądać zapis tego streamu, lista ta żyjąca, Juliusz, Urszula Giewon, Omech,
361:  Witam wszystkich, którzy ukończyli wszystkie Archon Questy i wszystkich, którzy nie ukończyli Archon Questy.
367:  Witam wszystkich, którzy wywishowali Furinę!
386:  I wszystkich, którzy dostali chichi.
388:  Alternatywkę z sąsiedztwa witam, naszych wspaniałych moderatorów, Annę wśród nich, Just Whitely, Lynn i Tsuki Tsubane, Omniscient Reader, Urszula, Juliusz i Lynn.
400:  Moi drodzy, zanim zaczniemy genshinowanie, to ważne ogłoszenia.
404:  Mianowicie, po pierwsze chciałem bardzo podziękować...
407:  bardzo, a bardzo jednemu z naszych jamniczych widzów i wspierającemu kanał i jeszcze Discordianowi z Holistycznej Agencji Eskapistycznej, Szymonowi, mianowicie, który napisał skrypt, który będzie sprawiał, że będziemy mieli ładny pasek progresu, moi drodzy, do naszej bardzo ważnej zbiórki, którą już macie podpiętą zresztą.
425:  Ja przypominam tylko, że dzięki wam
430:  Dzięki wam udało się ostatnio zebrać ponad 3 tysiące złociszy, więc idziemy, moi drodzy, dalej.
435:  Genshinowo streamujemy, wspierając Horacego z naszej jamniczej społeczności i to powiedziawszy, moi drodzy, pokazuje nasz wspaniały paseczek progresu.
444:  No czyż to nie jest piękne, moi drodzy?
446:  Jest paseczek progresu, jest paseczek progresu, tylko muszę wyłączyć jedną rzecz.
450:  W ogóle Genshin powinien wreszcie umożliwiać streamowanie z okna,
454:  a nie wyłącznie, wiecie, całego ekranu LCA poradzę.
459:  Przecież Michał nie będzie się przejmować streamerami, prawda?
462:  Tak będzie, moi drodzy.
463:  40 wishy wystarczą na furinę i miecz?
467:  Nie rozmawiam z tobą, siwy dymie.
468:  Wiesz, dlaczego z tobą nie rozmawiam?
469:  Pokażę ci, dlaczego z tobą nie rozmawiam.
473:  Dlatego z tobą nie rozmawiam.
477:  Wiecie, ja może usiądę.
480:  Ja może usiądę.
483:  Ja może usiądę.
486:  A tak w ogóle to jeszcze muszę jedną rzecz zrobić, to znaczy wyłączyć drugą muzykę, żeby to się nakładać.
493:  Więc ja może usiądę.
495:  Dla tych, którzy nie wiedzą o co chodzi, Jadeful Splendor to jest najgorsza broń w grze.
502:  To jest najgorsza broń w grze, która jest przeznaczona dla bejżu bodajże.
