🔴 Prawdziwa Pani Motyl 🦋 | GENSHIN IMPACT Livestream #2
🔗 https://www.youtube.com/watch?v=Z-mah_H-z40

8:  Muzyka Muzyka
62:  Muzyka
122:  Zdjęcia i montaż
161:  Przy niedzieli genshinujemy, eksplorujemy, zachwycamy się.
167:  sprawnością taktyczną, Hutao i Jejlan, witam najserdeczniej wszystkich, MD Jakub Olwier, Kagralt, Pusia Okrusia, Kairomus, Zuzao, mała, mała mi, jakaś losowa osoba w internecie, istota żyjąca, Serenox, jebakka, bratek Dylowski, PinkDiuk, Adrian, witam, również cię witam, Asia G, Magdalena Grotnicka, Rychu.lb, Gomeza...
193:  Emeriu, Grim Lukas i Zły Czarownik, Wyspę, Kaz Szczepanik vol.
199:  10, Klaudia Wera, Asia G. Martyna, Bienio Giamnikowy, Piechur, Kuba Likoja, Karolitka Tupacz, Aiena, Linwanto, Ziąbanu i Książę Naleśników z Mascarpone, Kairos Francesinia i Nia Kaźmierczak,
214:  Yuki Kisane, Gaśnica, Memu, Szwagier, Seeb, Paweł B, Ksel, Adizomal, Potwór z Podłóżka, Nijadoris, Zou, Virdis, Dominik, Koshiba, Dajren.
228:  Coraz bardziej lubię wasze miana, ponieważ brzmią jak wspaniałe zaklęcia.
232:  Tak, Hogwarts Legacy wraca wreszcie w przyszłym tygodniu.
236:  Cieszymajcie kciuki za mój komputer we wtorek, żeby się nic nie...
240:  spierniczyło, jak to zwykle bywa w szczęśliwym życiu, Krzysztofa Bezserca, Devolay, Bądziorno, Bądziorno i dla ciebie Malwina, Ajena, Michas, Esz, dygresywny Wilkice, ale szlachetne, grono mongdoratorskie, bądźcie powitani przy tych dźwiękach muzyki, która wcale nie jest zliłe, ale brzmi tak, jakby była zliłe, Dominik Kosiwa, Munks Bunny, Justyna Piechota,
263:  Astray, Simba Shini, No One, Just Plebu, Krzyżowiec Niepraktykujący, Tsuki Tsubane, Łaciaty, Słoń, Ohyda, Sheolu, Szymon Nalewajko, Agata, Panika, Szynek K i O2K.
279:  Moi drodzy, co to się będzie dzisiaj działo?
281:  Nie wiem, co się dzisiaj będzie działo.
283:  Nie wpadłem jeszcze na pomysł, co się będzie dzisiaj działo.
286:  Mam nadzieję, że niedzielny czas spędzacie radośnie.
292:  Teraz wszystko się wykrzaczy.
293:  Nie, nic się nie wykrzaczy, ponieważ Genshin Impact jest zoptymalizowaną grą.
302:  Zaczynamy, moi drodzy.
304:  W stosownym miejscu.
306:  Zaczynamy mianowicie na szczycie gigantycznego... ...em...
313:  Powiedzmy, że to jest iglica.
315:  Tak, to jest iglica.
316:  Zaczynamy na szczycie iglicy, a na Hu Tao pluję jej duszek, moi drodzy.
321:  Tak jest, nie zmyślam.
322:  Tururu.
323:  Moi drodzy, plan na dzisiaj jest następujący.
326:  Robimy rzeczy, gawędzimy, ale przypuszczalnie, jeżeli chodzi o questy, jedyna rzecz, która mi już została przed następnymi story questami, które się pojawią, to jest coś, czego sobie jeszcze nie pokazywaliśmy, to znaczy hangout questy.
340:  Zwykle hangout eventy robię w ten sposób, że po jednej stronie mam solucje, a po drugiej stronie mam hangout event, ale ponieważ to jest live, to będziemy robić inaczej, to znaczy po prostu zdamy się na los i zobaczymy, jakie poszczególne ścieżki sobie odblokujemy wszystkimi tymi postaciami, które zostały.
355:  Na początek dla fanów wszystkich niskich postaci, które szkalowałem, będzie Sayu.
360:  A potem, potem zrobimy na przykład Yunjin Goruu, kto wie!
366:  Bardzo się cieszę, żeby nie szkalować angielskiego dubbingu.
368:  Bardzo dobrze.
370:  Jakżeś tam wszedł.
371:  Dobre pytanie, moi drodzy.
373:  Dobre pytanie.
375:  Pomyślałem, że na sam początek można ogarnąć coś, czego jeszcze nie widzieliście na streamie, to znaczy karty.
382:  Krótko mówiąc gwint wraca na kanał po tych miesiącach od Wiedźmina III, moi drodzy.
388:  Carnival Rush się podoba słoniowitko z jednym zastrzeżeniem.
391:  Jedna z bohaterek przypomina Izabelę Łęcką.
393:  O nie, najgorzej.
396:  Gdzie jest to, czego ja szukam?
397:  Aha, tam dalej.
400:  Bardzo dobrze.
404:  Ja niestety zawsze potrzebuję solucji, ponieważ cały problem z questami typu hangout polega na tym, że jeżeli sobie zobaczcie na to rozgałęziające się drzewko, to w którymś momencie są inne linie fabularne i ja mam talent do klikania niewłaściwej opcji, zresztą przekonamy się o tym, moi drodzy, przekonamy się.
424:  Karty nie będą dyskryminowane.
426:  Czy jest ktoś na czatach, który też tak, jak Julka Opaczewska, nasza szlachetna moderatorka, nienawidzi, nie znosi kart w Gęśni Impact?
433:  Jak można nie lubić karty?
435:  Jaki jest mój ulubiony żywioł?
441:  Znaczy, muszę wyznać wam, że mój poziom uwielbienia dla Hutao i jej żywiołu zwiększył się znacząco z faktem otrzymania jakimś cudem
454:  And I Shit You Not to był trzeci wish po zakończeniu streamu w zeszłym tygodniu.
459:  Stwierdziłem, okej, mam trzy wisze, zobaczymy co będzie.
462:  I nagle wpadł.
463:  Nie wiem dlaczego.
464:  Nie mam zielonego pojęcia, jakim cudem jest to możliwe, ale wpadł, moi drodzy.
470:  W związku z powyższym Hu Tao w tym momencie nie musi już robić tych idiotycznych podskoków, tylko może robić wspaniały tego rodzaju cancel.
478:  O Boże, jak to poprawia walkę, to jest w głowie.
481:  Znaczy inaczej, da się skakać, da się, ale nie jak się jest mną.
488:  To w ogóle o co chodzi w tej grze?
489:  Zobaczysz, Miłoszu, wszystkie rzeczy dzisiaj, które można zrobić.
492:  Na przykład, moi drodzy, najnudniejszą rzecz, jaka istnieje w tej grze, to znaczy stworzymy sobie... Nie, nie, nie stworzymy tego.
500:  Stworzymy sobie potrawę.
501:  To jest jeden, jedyny moment, kiedy zobaczycie gotowanie na streamie.
505:  To jest równocześnie ostatni moment, kiedy zobaczycie gotowanie na streamie.
508:  Proszę bardzo, tym się różni eskapistyczna gra video od rzeczywistości.
512:  Nigdy w życiu żadna potrawa mi się nie udała.
514:  Jeden, jedyny raz, kiedy usiłowałem przygotować popcorn w mikrofali, spaliłem mikrofale, buchał płomień z misy z popcornem.
521:  Tutaj perfect, tu jest wszystko fantastycznie i wspaniale.
524:  Proszę bardzo, dlatego gramy w gry video, moi drodzy.
527:  Właśnie dlatego.
528:  Zobaczysz, powiedział Krzysztof, biegając w ognisko.
531:  Faktycznie, Hutao płonie, ale, moi drodzy, Hutao musi płonąć, ponieważ jest niewiary...
542:  To nie jest jamnik, więc wiecie.
545:  Przepraszam wszystkich amatorów kotów.
548:  Teraz chodźmy na ryby?
549:  Nie, wykluczone.
551:  Magdalena Grotnicka pisze, że kocha gotować w gęszcinie.
553:  Naprawdę?
554:  O nie.
558:  Koty nie zostały zniszczone.
559:  Moi drodzy, tutaj jest kot, który zarządza tą tawerną, mianowicie Prince.
564:  U Prince'a można kupować karty, ponieważ jest to niesamowicie logiczne, że rozmawiamy z kotem w związku z powyższym karty.
571:  Tak jest.
572:  To są karty.
573:  Nie mam niestety żadnych pieniędzy, w związku z powyższym jedyne, co nam pozostaje, to wygrać rzeczone pieniądze w jakimś fantastycznym meczyku.
581:  Zobaczymy, czy jesteśmy w stanie sobie kogoś do tego meczyku zaprosić, bo oczywiście możecie zapraszać postaci, które już macie.
587:  Czyżby była Yoimiya dostępna?
589:  Ale zobaczmy jakąś, której nigdy nie zapraszałem.
593:  O!
594:  Dobrze!
595:  Świetnie!
595:  Niska postać.
597:  Dobrze, bardzo dobrze.
598:  Trzeba pokonać niską postać w karty.
600:  Tak jest.
601:  Nie gotuje tylko po to, żeby wypełnić archiwum, pisze BlackEvil.
605:  Jaki archiwum?
607:  Jaki archiwum?
608:  U Prince'a można kupować złoto?
610:  Naprawdę?
613:  Czy klima fanów na czatach?
615:  Czy klima fanów na czatach?
616:  To jest pytanie.
618:  Na Prima Please Streams Cooking Simulator.
620:  Jest już coś takiego.
621:  Cookie Simulator też.
623:  Symulator ciastek.
625:  Tak mi się wydaje.
628:  Mmm, wiecie co, herbata czarna z różą to jest przypyszna rzecz.
633:  Potwór Spod Łóżka pisze, że jest uzależniony od filmów Chef Mara, gdzie pokazują, jak odtworzyć dania z gęszina.
638:  Ale to super jest.
640:  Jakub Olfier na dzień dobry, na dobry wieczór jest Jamnikołajem i dziękuję mu dromen w robel kinia te dunio nevgl38x.
650:  Nie mogę się doczekać czytania tego miana częściej.
653:  Dołączę do grona trybutariuszy wspierających, czyli kanał.
656:  Podziękujcie Jamnikołajami, Jamnikołajowi Jakubowi.
659:  Jamnikołaj Jakub brzmi jak kuchnik dem.
665:  Ciekawa jaka frakcja, czy wygląda na Skellige.
667:  Myślicie, że niska Klee będzie miała Skellige?
670:  Ja oczywiście mam jedną talię kart, która jest najsłuszniejsza w moim przekonaniu, to znaczy zamrażającą.
675:  O Boże drogi, dlaczego mamy tak beznadziejne karty?
678:  Dlaczego zawsze mi się to przytrafia?
680:  To jest smutne.
681:  Okej, wyrzucamy te, może będą lepsze.
684:  Jezus Maria, jest jeszcze gorzej.
686:  Jest jeszcze gorzej.
688:  wspierający od 16 miesięcy, bardzo złośliwy człowiek, któremu za ten fakt bardzo dziękuję, pisze, że jedyna przepyszna rzecz to jest Yorkshire Tea.
695:  Pozdrowienia dla wszystkich fanów Spiffing Brita.
697:  Swoją drogą, nie wiem co się dzieje, ale przestał uploady robić gęścinowe Tectone.
702:  Ciekawa sprawa.
703:  Karty są beznadziejne?
703:  Nieprawda Julko, te karty są beznadziejne.
706:  Proszę opowiedz historię, jak spaliłeś mikrofale.
707:  To jest bardzo proste.
708:  Wrzuciłem popcorn do mikrofali, następnie poszedłem gadać z kumplem, który przyszedł do mnie, po czym kumpel powiedział, czy z kuchni powinien dobywać się czarny, kłębiący się dym.
718:  Odparłem.
719:  Not that I know of.
720:  Chyba nie.
722:  Poszedłem do kuchni, zobaczyłem, że faktycznie nie ma dymu bez ognia i że bucha płomień z mikrofali, w związku z powyższym otworzyłem mikrofalę, uchyliłem się przed płomieniem, który buchnął mi w twarz,
734:  Wyjąłem płonący popcorn, wystawiłem za balkon i przewróciłem misę.
740:  Nie powinno się tak robić.
746:  Czy baterie naładowane do aparatu?
747:  Tak, wszystkie.
749:  Adrian tymczasem pisze, że ma przejamnicze urodziny.
751:  Zestaw Duny i Life.
753:  Moi drodzy, jeśli urodziny...
755:  To Adrian potrzebuje jamnikołajowych emoji.
757:  Ja sam się dołączę z jamnikołaj... Nie jamnikołajowych.
761:  Jamniorodzinowych.
763:  Trzeba wymyślić dobre słowo na jamnika urodzinowego, moi drodzy.
768:  Trzeba przyznać, to jest talent.
769:  Ja mówiłem wam, że mam talent kulinarny.
