🔴 Wszystkie sekrety Chenyu Vale | GENSHIN IMPACT Livestream #13
🔗 https://www.youtube.com/watch?v=T6FJdOsJtwU

208:  KONIEC
251:  Zdjęcia i montaż
296:  Muzyka
341:  muzyka muzyka muzyka
375:  Muzyka
394:  Zdjęcia i montaż
427:  Muzyka
444:  Witam serdecznie wszystkich przy muzyce z Oratrice Mechanique d'Alan Lise Cardinal, czy jak to cholerstwo się wymawia.
453:  Będziemy dzisiaj, moi drodzy, grać sobie niezobowiązująco w Genshin'a, albowiem Krzysztof strudzony po wczorajszych bojach w Dark Souls 2 i przed jutrzejszym wstawaniem bardzo wcześnie, żeby wyjechać z wieży na koncert.
466:  Witam wszystkich najserdeczniej!
468:  Witam Urszulę Giewon, Pankraca, Ewelinę Bardzińską, Michała Pęksę, Serenoksa, Łukasza G., Daniela Ratajczaka, Memorii, Frogeta67, Lukas N., Bajzły Czarownik, Urszula Giewon, Mijari94, Ewelina Bardzińska, Puszysty Szczeniaczek, Jackie Left, Wiktor Winter, Agnieszka Saran, Viridian.
485:  Serenox, Nadia Lewi, Ptyś Różowy i reszta naszych wspaniałych moderatorów.
489:  Lucifer, X403, Wodzu, Jakub, Rafał, N, Pademif Ernest, Balrog72, Adam Kuśmierski, Pankrac, Uhac, JustWhitely, który się cieszy z sansów dla Nahidy.
502:  Bardzo dobrze, im więcej piasku, tym bardziej Anakin jest smutny.
506:  Kinio, Kain, CzerwonyLis, Wesper, Wiktor, Carmen90125,
512:  Co tu się będzie działo, pyta Carmen9825.
514:  Drugie pytanie, gdzie zobaczyć tę debatę?
516:  Na Stowarzyszeniu Umarłych Statutów ma się pojawić, ale moi drodzy, na razie jest problem, to znaczy, ponieważ były trudności techniczne, to pojawi się z pewnym opóźnieniem, tak dostałem przynajmniej wiadomość.
526:  Ale powinien jeszcze działać link, który jest na karcie społeczności, bo filmik jest niepubliczny.
530:  Ogoniasta, Filip Haczuk, Kamila Padolak, Kinio i Ardem Radio i Agnieszka i Grimcock i Parmigiano-Reggiano i Irena i Dytfa, bo nie będą powitani,
540:  Jakuj, Adus, Cytrus, Gazowane Mleko, Łaitki, Szymon, Zajdel, Ardem, Radio, Mateusz Pawłowski, Matt Peterson, Erik, Greenlove, Nemeczek i Szymon.
548:  I dziękuję MaxW za wsparcie od pełnych dwóch lat.
551:  MaxW jest magiem ognia.
553:  Dzięki temu Oratris, Mechanik, Dianaliz, Kardinal zostało powtórzone dzięki temu.
559:  Jaki koncert?
560:  Jest, moi drodzy, koncert muzyki z gier wideo, czyli najlepszej możliwej w Gliwicach, czyli prawdopodobnie najgorszym możliwym miejscem do robienia koncertu z muzyki z gier wideo.
568:  Jakub Lisowski, Onion, Onion, zrobiony ostatni quest eventu Lantern.
572:  Właśnie nie, moi drodzy, czekałem na was, wyobraźcie sobie, czekałem na was i będziemy, moi drodzy, teraz startować z radosnym gęślinowaniem.
580:  Ja już sobie też włączam nasłuch, proszę bardzo.
583:  Nic nie słychać, ponieważ muzyka wygasła z niewiadomego dla mnie względu.
587:  Okej, muzyka już działa.
589:  Teraz się muszę jeszcze przełączyć.
591:  Szymonie, dzięki za wsparcie 27 miesięcy.
593:  Szymon pisze jam... ...nik.
601:  Ej, ja jestem z listy.
602:  To się ciesz, Grim Lukas, że koncert jest w twoich okolicach.
607:  Dzięki, Ptysiu Różowy, za link do debaty.
609:  Bardzo dobra wiadomość.
610:  Moi drodzy, w związku z powyższym następujące są dzisiaj rzeczy.
613:  An ancient sacrifice of sacred brocade, czymkolwiek to jest.
618:  Musimy się wspiąć na szlachetną górę.
620:  Następnie możemy sobie zrobić questy, które nam zostały z ostatka.
627:  Jeśli mnie pamięć nie myli, tak jest Hutao.
630:  Następnie możemy sobie zrobić ostatnie dwa questy z Festive Affairs, ostatnie trzy questy, make that, oraz, moi drodzy, pełen abyss, bo dzisiaj wskoczył akurat.
639:  I zaczniemy sobie oczywiście od abyssa, żeby było na rozkręcenie się.
644:  Gdyż, albowiem, ludzie narzekają, miał być Hollow Knight, Hollow Knight będzie, nie wiem, mówiłem, że to będzie nieregularne raczej, ale będziecie mieli w takim razie trudny content, powiedzmy, najtrudniejszy, jaki istnieje w tej grze.
656:  Od 4 miesięcy używam Bitwardy, a mój komfort życia zwiększył się wykładniczo, pisze No One.
659:  Czy to jest dobry moment, żeby wspomnieć Wam o tym, że powinniście mieć zainstalowany menadżer haseł, ponieważ menadżer haseł nie tylko zabezpiecza Was przed tym, żebyście mieli te same hasło za każdym razem, generuje je za Was, tylko musicie mieć jedno master hasło, ale równocześnie jest jeszcze bankiem, w którym macie wszystkie swoje serwisy.
676:  Ja doszedłem do tego, że mam jakieś 200-300 różnych serwisów, do których mam hasła, w związku z powyższym bez tego ja bym nawet nie wiedział, gdzie w ogóle mam jakiekolwiek konta.
685:  Dobrze.
688:  To nie muzyka z gier wideo, tylko muzyka filmowa Hansa Zimmera poprawia, Lucyfer.
693:  Ja się pomylił, ja się mylę, ja się zawsze mylę, okej?
698:  Byłem przekonany, że to jest muzyka z gier, Lucyfer.
701:  Dziękuję za poprawkę.
703:  że mam pozwolenie, żeby niezobowiązująco grać Waldura w tle?
