🔴 Imperio! | HOGWART'S LEGACY Livestream #6
🔗 https://www.youtube.com/watch?v=FHEwpPpERwM

23:  Muzyka
92:  Zdjęcia i montaż
307:  Muzyka Muzyka
402:  Muzyka Muzyka
466:  KONIEC
503:  Zdjęcia i montaż
525:  Witam wszystkich przy niedzielnym streamie z Hogwarts Legacy!
531:  Witajcie najserdeczniej, kochani!
534:  Witam wszystkich widzów stałych, niestałych, wszystkich śledzących serię Hogwarts Legacy, wszystkich, którzy nie śledzą i informuję, że wczoraj mieliśmy
545:  Niuchacza, Koniunkcja Sfer Mikołaj, Damii Kosiba, Grim Lukas, Lofrana, Pseudoartystka Enka, Cynamonka, Ancidia, Istota Żyjąca, Emeriu, Black Cat, Shinzaki, Asia G, Madwika, Magda M1, Wislu, Jesioł, Juliusz, Kowcia, Pusia, Okrusia, Nadia Lewiosa, Zgredek i cała reszta zgromadzonych tłumnie moderatorów.
568:  Ziumbala.pl, Daria S., Neto, Kalde, Kwacz, Agata Warsińska, Kagral, Namerita, Piotr Z., Pojucznik Miauczkin, Dygresywny Wilk, takoż nasz moderator, witam!
582:  Też niech będzie powitany Pełcia, Matwanika, Renart, Anna, która jedzie pociągiem polskimi kolejami losu i nie będzie mogła śledzić naszych podróży przez fakt, że nie mamy internetu w pociągach.
595:  Skandal!
597:  Dori, Pan Karmazyn, Szalony Kapelusznik, Dolia, Szwagier, Damian, Górazda, Pizza on the Wall, Norak...
603:  Noragrax.
605:  Ach, kiedyś cię przeczytam dobrze.
606:  Nathan Au, Pink Diuk, Bi Gomeza, Agnieszka Brzozowska, Martyna Bieniok, Balerok72, Zeju, Alejandra, Agnieszka Brzozowska jeszcze raz, bo czemu nie Sebastian Szczerba, Szwagier Jesa, Wyspę, Atu, Stachu Uchac, Jakub Bielczyński, Adrian Korodziewski, Palitkeusz, Mighty Bartomil, Ze Virdas.
627:  pierdaczenie, brązowy łoś, wiewiórka, który przyszedł powiedzieć, że nie ma się o co martwić, bo w misji Puchonów tylko widzimy dementorów, nie walczymy z nimi, dobra wiadomość, Venzant, Mighty Bartomil, Arrora, Arrora pisze, że dzięki temu streamowi zrobiła więcej artów niż przez ostatnie dwa miesiące zmuszania się do rysowania, jak to dobrze słyszeć,
649:  witajcie kochani najserdeczniej
669:  Cóż za... Nie, nie, nie, nawet nic nie będziemy mówić.
672:  Najważniejsze kwestie, dobrze?
674:  Najważniejsze kwestie.
675:  Kwestia najbardziej kluczowa jest taka, że moi drodzy, dalej, dalej zbieramy.
681:  18146 wybiło.
683:  Jak dobiję do 20 tysięcy, to będzie coś specjalnego.
687:  Jak dobiję do 19 tysięcy dzisiaj, to robimy chat GPT i zadajemy chatowi dziwne pytania.
693:  I każe mu tworzyć sztukę, moi drodzy.
695:  Dawno chat GPT nie tworzył sztuki.
697:  Powinien.
697:  Dlaczego Ikicho pisze, że się zakrztusiła?
699:  Moi drodzy, nie można się krztusić.
701:  Krztuszenie się jest niewskazane.
703:  Ja mam nadzieję, że w ogóle dzisiaj przeżyję, ponieważ się koszmarnie czuję, moi kochani.
707:  Ale mam nadzieję, że będzie dobrze.
710:  Ja uważam, że jest coś takiego jak ludoterapia.
714:  Przetestujemy sobie to dzisiaj razem.
716:  Ludoterapia, czyli terapia przez gry.
718:  Hehehehe.
724:  Jak odbije do 20 tysięcy, goisz się na łyso?
727:  Wbrew pozorom, istnieje taka grafika.
730:  Istnieje taka grafika, moi drodzy.
734:  W internecie istnieje już każda grafika.
739:  Dobrze.
742:  To oznacza to, że wykupiłem licencję na czat GPT?
744:  Nie, po prostu mnie wpuścili do czatu GPT dzisiaj i bardzo się z tego powodu cieszę.
748:  Jako krakus na pewno nie będę wydawał na coś, co mogę mieć za darmo.
755:  Druga kluczowa kwestia, pisze nasza moderatorka Aśku, witamy też dygresywnego wika spośród moderatorów, jest taka, że Aśku ma urodziny.
761:  Aśku chce wyciągnąć od nas ponownie jamniki urodzinowe, korzystając z faktu, że zakłada, że ja nie pamiętam, że wczoraj otrzyma jamniki urodzinowe.
769:  Jak zacząć streamować?
771:  Wiesz co, Stachu, po prostu to ciężko jest zawsze powiedzieć, jak zacząć streamować, ale myślę, że trzeba mieć jakieś wcześniej doświadczenie z monologowaniem.
782:  Nieważne w jakim wydaniu, ale ważne, żeby umieć monologować, bo stream nie znosi ciszy, więc nieważne, czy się coś dzieje w grze, czy też rozmawiamy ze sobą, ważne jest, żeby coś się działo.
797:  bo bywają takie momenty, kiedy jest przestój i wtedy jest niesympatycznie, czyli jeżeli ja zapalę wszystkie, wszystkie te wspaniałe pochodnie, to stanie się coś wspaniałego.
807:  Ja na przykład bardzo lubiłem, jak z kumplami grałem dawno, dawno temu, rozmawiać sobie podczas gry, więc dla mnie ta sytuacja, którą mamy teraz, jest całkowicie naturalna.
818:  Kusi mnie.
820:  Wiecie, co mnie kusi?
824:  Kusi mnie to, żeby wejść teraz na arenę czarno-magiczną tym razem.
830:  Bardzo mnie to kusi.
831:  Czy nowa pelerynka?
833:  No, no, nasza pelerynka jest piękna, musimy, musimy pokazać ją w peł... Ocha, muszę sobie zmienić znowu mysz.
838:  W pełnej rozciągłości i okazałości.
841:  Pelerynka jest śliczna.
842:  Daniel Klein, dzięki serdeczne za superchat.
846:  Menuer Bokeriniego to giedur do diaska.
850:  Menuet z kwintet... Stop, stop, stop, stop, stop, stop, stop.
862:  Teraz mnie przeraziliście.
869:  Menuet z kwintetu smyczkowego, Adur.
874:  Bokerini, czekajcie.
877:  No i widzicie?
877:  I teraz, teraz się, teraz się będą działy rzeczy.
883:  Poprawia mnie w ogóle na Edur.
886:  Czyli nikt nie ma racji.
890:  Czyli nikt nie ma racji, moi drodzy.
892:  Edur.
893:  O mój Boże.
895:  Ważne rzeczy to są, moi drodzy.
897:  Trzeba ustalić takie fakty.
900:  Zbulwersowałem się niesamowicie.
901:  Dobrze.
903:  Samiście sobie to osiągnę... Samiście sobie to zgotowali.
907:  Teraz będę musiał za każdym razem mówić poprawnie.
916:  Menuet z kwitetu smyczkowego, Edur, psiakrew!
919:  Jeżeli jest w tytule streamu Avada, moi drodzy, kimże byłbym?
929:  Rozgrzewka!
951:  Jak śmiesz, Crucio!
963:  Teraz wszyscy, którzy nie dotrwali wczoraj do końca Steamu, będą wiedzieli, jak się bawimy.
967:  Jak już was nie ma.
968:  Imperium!
983:  Tak!
988:  Kto jeszcze?
989:  Kto jeszcze?
1004:  Jest!
1005:  Siem zniszczenie, moi drodzy.
1006:  Absolutnie tak.
1008:  Kto teraz?
1013:  Jesteś nasz!
1023:  Rzucamy zaglądzie niewybaczalne, bo jesteśmy na arenie!
1026:  Na arenie można!
1050:  Witamy pani Olgowinę w gronie Trybutariuszy!
1054:  Panią Olgowinę!
1060:  Nie!
1065:  Nie!
1066:  Nie!
1073:  Jesteś nasz!
1074:  Dobrze!
1086:  Trzeba teraz uważać!
1098:  Nieee!
1103:  Bez mikstur jest ciężko.
1105:  Bez mikstur jest ciężko, ale rozgrzewka była dobra, moi drodzy!
1110:  Władowałeś punkty talentów w Protego, a nie używam.
1112:  Nie znoszę Protego!
1116:  Nienawidzę używać Protego.
1117:  Co to jest, moi drodzy?
1118:  Używanie jakiegoś cholernego Protego.
1120:  Dobra, jaki robimy quest?
1122:  Wrócimy tu jeszcze.
1124:  Idź do komnaty mapy.
1125:  To mieliśmy robić.
1126:  Obiecałem.
1127:  Obiecałem, że będzie.
1130:  Obiecałem, że będzie quest główny.
1131:  I będzie quest główny, moi drodzy.
1134:  Ja nie rzucam obietnic...
1137:  Na wiatr.
1141:  Czy będziemy wznosić się i wzbijać w przestworzona testralu, moi drodzy?
1145:  Tak.
1146:  Potrzebujemy również więcej niuchaczy.
1147:  Cieszę się, że pamiętacie o priorytetach, ale pierdwej.
1151:  Główny wątek.
1156:  Proszę bardzo.
1157:  Kwintet jest Edur Bokeriniego, a Menuet jest Adur.
1162:  Dziękuję uprzejmie, czyli nie zwariowałem.
1167:  Obietnica twierdzy na WOŚP?
1169:  A wiecie, kiedy będzie WOŚP następny?
1171:  Za rok.
1172:  Nie no, może sobie jakoś ogarniemy twierdzę, ale to w tak zwanym międzyczasie.
1178:  Trzeba zrobić potki?
1179:  Tak.
1182:  Tak, moi drodzy.
1184:  O nie, jest taka piękna muzyka, że robimy tour de zamek.
1198:  No teraz się zrobiło John Williamsowo, moi drodzy.
1217:  Prawda jak z więźnia z kabanu.
1224:  Och...
1229:  To się nazywa transport zeroemisyjny.
1232:  Pod jednym warunkiem, mianowicie pod warunkiem, że nasz testral nie pierdzi.
1236:  W tym momencie cała podniosła atmosfera.
1240:  Prysła.
1246:  Ooo, zegar!
1250:  I szybkie wczytywanie Hogwartu w tle.
1254:  Jak się tutaj opuścić?
1256:  Dobrze.
1258:  O!
1258:  Nie przechodziliśmy tędy jeszcze nigdy.
1267:  Niestety nie możemy już teraz schodzić z gracją z miotły.
1272:  Niestety.
1273:  Dziękuję peruczniku Miauczkinie za życzenia i dziękuję za wsparcie od czterech miesięcy.
1277:  Czy ktoś będzie dzisiaj oglądał Oscary?
1279:  Szczerze nie, ale jakie są wasze typy?
1281:  Mój typ jest taki, że absolutnie powinna wygrać Tar i Cate Blanchett.
1286:  Nie widziałem w tym roku lepszego filmu oprócz Wieloryba i to jest druga rzecz, która powinna wygrać.
1292:  Czyli mamy aktorkę pierwszoplanową i aktora pierwszoplanowego.
1295:  To są moje typy.
1297:  Natomiast jako film wszystko wszędzie naraz.
1301:  Jeżeli te filmy wygrają, to jestem uspokojony.
1304:  Absolutnie.
1305:  Oczywiście... Diona była w tym roku czy nie była w tym roku?
1307:  Nie, nie była w tym roku.
1309:  jeżeli chodzi o science fiction czy fantasy, szczerze powiedziawszy, nie mam żadnych typów.
1314:  Nie było nic dobrego.
1317:  Chyba, że mam amnezję, ale wydaje mi się, że nie.
1322:  Kot w butach?
1323:  No to jako animacja, tak.
1327:  Ach, pamiętam, tutaj mieliśmy pojedynki, moi drodzy.
1338:  Okej.
1342:  Avatar.
1343:  Avatar może za efekty specjalne dostać... Znaczy nie, nie może.
1346:  Powinien dostać za efekty specjalne.
1348:  No i co?
1350:  Da się tu przejść, czy nie?
1352:  Eee?
1356:  Możecie mi wyjaśnić, o co tu chodzi?
1359:  Dlaczego za każdym razem, jak... Eee...
1372:  Okej.
1373:  Na wahadło trzeba rzucić zaklęcie?
1377:  Czy to będzie aresto momentum?
1385:  Aresto momentum.
1391:  Które to jest cholerstwo?
1396:  To.
1402:  Za mało slotów na zaklęcia!
1414:  Pod wahadłem są znale... Aaa!
1422:  Czyli musimy jednorożca znaleźć.
1424:  Ciekawe.
1425:  Oczywiście dla... Oczywiście, że go nie ma.
1428:  Prawda, że go nie ma?
1429:  Naturalnie, że go nie ma.
1430:  Są jajniki.
1433:  Okej, to jest jednorożec.
1437:  Przygotujmy się.
1439:  Przygotujmy się.
1440:  Przygotujmy się.
1444:  ARRESTO MOMENTUM!
1447:  Działa!
1451:  Moje drzwi!
1454:  Ravelio!
1455:  Ooo!
1457:  Posąg Lunaballi!
1465:  To był posąg luna... No to są jajniki, moi drodzy.
1468:  A co to jest?
1472:  To wygląda jak bardzo dziwna klepsydra, do której rzygają dwa węże.
1476:  Nie wiem, dlaczego tak się dzieje.
1478:  Wincy jest wy... Są jeszcze trzy na górze?
1482:  Cudownie.
1484:  Cudownie.
1486:  I widzicie?
1487:  Dlatego eksploracja jest super.
1490:  ponieważ dzięki eksploracji możemy zupełnie przypadkiem natrafić na wspaniałe rzeczy.
1498:  Czy ja zapomniałem o jakimś dobrym filmie, który był w tym roku?
1503:  Co sądzisz o zacnym zwierzęciu zwanym między innymi Tekel?
1506:  To jest jamnik.
1508:  Jamnik jest najszlachetniejszy, zawsze.
1511:  Lumos.
1511:  Lumos maxima.
1512:  Hewelio.
1513:  Hewelio nie działa.
1516:  Proszę bardzo, tyle już wlaźliśmy do Hogwartu i bez przerwy widzimy coś nowego.
1523:  Oj, oj, oj.
1526:  Oj, oj, oj.
1527:  Dobrze, tu są jakieś nowe rzeczy, ale nie widzę tych drzwi.
1530:  Dzień dobry.
1531:  Okej.
1532:  Tu są drzwi z ja... To są drzwi z jajnikami.
1536:  Dobrze.
1539:  Czyli tutaj aresto momentum.
1540:  Ale to jest super quest.
1545:  Na zachodzie bez zmian?
1547:  To był dobry film, kurczę, faktycznie.
1550:  To był dobry film.
1551:  Straszny, ale dobry.
1552:  Bardziej mi się podobał, zdecydowanie nawet bardziej mi się podobał... 1912 Sama Mendeza.
1563:  No ale... Na zachodzie bez zmian też bardzo dobry.
1568:  No i czemu cholerstwo na nas ślipi?
1578:  Nasza skrzynia.
1580:  Duchy Inisherin.
1581:  Też był dobry.
1582:  Czy Krzysztof znalazł już chór?
1584:  Chyba nie.
1585:  Nie wydaje mi się w każdym razie.
1587:  Ravelio!
1591:  1917, Sam Mendes.
1592:  Naprawdę liczyliście na to, że zapamiętam cyfry?
1595:  Jest jedna rzecz, którą zapamiętam gorzej niż dane i są to cyfry oraz liczby.
1600:  Nie ma takiej możliwości, żebym zapamiętał którekolwiek z nich.
1603:  Uuu.
1605:  Dobrze, co tutaj jest tym razem?
1606:  Czy to będzie?
1608:  Klepsydra, do której rzygają węże.
1610:  Tak jest.
1611:  Chór żabek?
1612:  Okej.
1613:  Klepsydra, do której rzygają węże.
1614:  Arestum Momentum!
1617:  Mamy to.
1622:  Małk, który streamer potrafi w roleplay grach?
1625:  Ja bardzo lubię roleplayowanie w grach.
1627:  Nie uważam, żeby mi to wychodziło jakoś ekstremalnie, ale przynajmniej nauczyłem się nie zapominać imienia naszej postaci.
1635:  To już jest dużo.
1638:  Ja w ogóle mam taką kontrowersyjną tezę, z którą się lubią nie zgadzać moi studenci, a mianowicie, że... Uuu.
1646:  Fajnie.
1647:  A mianowicie, moi drodzy, że każda gra jest roleplayowa.
1651:  Oczywiście takie najbardziej podstawowe gry, w których, no nie wiem, klikamy sobie na przystanku, no to wiadomo, ale wszystkie gry, które kreują jakiś świat i kreują wirtualną narrację w nim, nawet jeżeli gatunkowo nie są RPGami, to i tak mają jakieś elementy RPGowe i wymagają roleplayu, żeby była imersja.
1668:  Lub sprzyjają roleplayowi z uwagi na to, że są imersywne.
1672:  Szachy roleplayujesz jako strateg, nie?
1674:  W sumie też.
1681:  Proszę bardzo.
1684:  Zauważcie, że sytuujemy się wtedy w roli, która jest dziwna i nietypowa, prawda?
1689:  To znaczy siadasz przed szachownicą i nagle zaczynasz myśleć nad szczególnymi ruchami.
1696:  To nie jest typowa rzecz.
1697:  Musisz się wdrożyć w jakiś określony mindset, prawda?
1702:  Tylko tak jak mówię, no szachy nie kreują wirtualnego świata, więc to jest ta różnica.
1707:  O, o, o, coś widziałem, coś błysnęło mi.
1712:  No przecież ewidentnie plumka!
1716:  Gdzie plumka?!
1718:  Ja w szachach zawsze jestem królem, proszę bardzo.
1721:  To jest podejście.
1722:  Myśmy tu kiedyś nie byli czasem, moi drodzy.
1725:  Ominąłeś drzwi na klatce sodowej, żeby to jasny szlak i siedem bombilionów trafił.
1735:  Masz rację.
1741:  O nie!
1742:  Co to jest?
1743:  To jest jebnięte K. No i co teraz?
1749:  I co teraz, moi mini?
1756:  Ja się muszę pospieszyć.
1758:  O nie!
1761:  O nie!
1764:  Dlaczego nam to robią?
1769:  To jest odwrócone k?
1770:  Tak.
