🔴 DOMA DOMA! | HOLLOW KNIGHT Livestream #6
🔗 https://www.youtube.com/watch?v=s7TDjcdrYac

27:  Muzyka
159:  KONIEC
199:  Hańba.
200:  Skandal.
225:  Zdjęcia i montaż
281:  KONIEC
344:  Zdjęcia i montaż
390:  KONIEC
433:  To głos zza światu.
437:  Nie kupujcie Dragon's Dogma.
442:  Nigdy.
466:  Dragon's Dogma to gra bezpłodna.
521:  KONIEC
585:  Będziemy teraz grać w dobrą grę.
590:  Nie pozwolę, żeby nasz piątkowy wieczór został zepsuty.
595:  Witam wszystkich ponownie na czacie.
597:  Dla tych, którzy nie wiedzą, co się działo, próbowaliśmy, i ten czasownik jest kluczowy, próbowaliśmy grać w Dragon's Dogma 2.
610:  Niech was to nie zmyli, ta gra nie ma nic wspólnego z jedynką.
615:  A teraz będziemy grać w grę właściwie zaprojektowaną, z dobrą grafiką, dobrze?
619:  Witam wszystkich najserdeczniej.
623:  Przyciszam muzykę.
624:  Przyciszam muzykę całkowicie.
625:  Wiecie dlaczego?
626:  Wiecie dlaczego?
628:  Bo ja już mamy dobrą alternatywę w postaci Hollow Knighta, który ma lepszą muzykę!
633:  Iść do cholerstwo Capcomu!
635:  Co za skandal absolutny, jak można coś takiego zrobić!
637:  Wiecie, że ja nigdy w życiu nie zrobiłem zwrotki na Steamie?
640:  Nigdy!
647:  Jakie dokładnie aspekty gry mi podpasowały?
649:  Nie no, wszystko Ezio, no naprawdę.
651:  Obejrzyj sobie fragmenty, ale nie całość, bo zwariujesz.
655:  Jest straszne.
659:  Czy Dragon's Dogma zasługuje na cenzurę?
661:  Tak.
663:  Czy wiesz, ja uważam, że nie ma co, moi drodzy, tracić życia na gry, które są złe.
672:  Tak, zrobiłem refund, ja po to zrobiłem przerwę, 15 minut, żeby się napić koktajlu Mołotowa i następnie zrobić refund.
687:  Dragon's Dog ma 2 na milion subskrypcji.
689:  W całości?
690:  Jezus Maria.
692:  Nie, nie zobowiążę się.
694:  Jest bardzo nikłe prawdopodobieństwo miliona subskrypcji, ale to jest prawdopodobieństwo, które wciąż... Wiecie, to jest tak z jamnikiem.
703:  Prawdopodobieństwo, że jamnik cię zabije jest małe, ale jest.
710:  Więc ja nie zobowiążę się do tego.
716:  Tak, Refund Pomyślny.
718:  Ja napisałem jeszcze recenzję do tego Refundu, żeby nie było, moi drodzy.
723:  Witam wszystkich tradycyjnie.
725:  Już się witaliśmy dzisiaj, moi drodzy, więc zbiorczo powitania dla wszystkich wspierających kanał, dla wszystkich widzów, dla wszystkich, którzy stwierdzili, że idą sobie na pizzę po tamtym streamie.
735:  Też.
738:  Nie no, dramat.
739:  Ale wiecie, to też widać, na YouTubie bardzo się dobrze sprzedaje zawsze, jak coś jest kupą, nie?
745:  To znaczy, granie w najgorsze gry.
747:  Taka prawda.
749:  Nie no, oczywiście, że ja sobie nie podarowałem oceny opisowej Refundu, moi drodzy.
754:  Czy widziałem najnowszy cinematic Age of Simeon?
755:  Właśnie jest chwalony moim mini.
758:  Żeby nie było to, że powiedziałem, że jest coś bardzo mocno nie tak z tamtą grą, wcale nie oznacza, że tu sobie będę dobrze radził.
765:  Czy przeczytam komentarz, który dałem do Refundu?
769:  Nie wiem, czy jestem w stanie do tego jakoś dotrzeć, ale napisałem, że to jest hańba, ta gra.
775:  Na pewno użyłem przymiotnika scandalous i napisałem na pewno, że jest not worthy of my time investment, czy coś w tym stylu.
785:  Szliśmy po rudę do Ancient Basin, żeby ulepszyć Naila.
788:  Proszę bardzo, wszystko już wiem.
791:  Wszystko już wiem.
792:  Idę na Steam czytać recenzję Krzysztofa.
794:  Nie, to jest ta recenzja, która się dodaje do refundu, żeby ci dali.
797:  Ale nie, recenzję to ja... Wiecie co?
799:  Ja napiszę recenzję dla Dragon's Dogma, napiszę.
802:  Viridian otrzymuje wsparcie od feliks98.
805:  Dziękuję serdecznie za bycie jamnikołajem, Feliks!
807:  Feliks Felicis!
810:  Asmongold zachwala tę grę i mówi, że mikrotransakcje zły, ale gra mu się bardzo podoba.
816:  Tyle mam do powiedzenia na ten temat.
819:  Ame sodo!
820:  Ame sodo!
822:  Asmongold powinien wiedzieć lepiej.
824:  Mieliśmy iść zabić Grima.
825:  Dobrze, dobrze, dobrze, dobrze.
828:  Ale pierwej Ancient Basin.
829:  Nie wiem, gdzie jest Ancient Basin, więc pojadę tutaj.
834:  Asmongolda nie subskrybuję, więc nie muszę go unsubować.
842:  Jedno miejsce się... Boże, ja nie pamiętam tego miejsca.
845:  Czy mogę coś jeszcze zniszczyć?
847:  Nic.
849:  Dogma ma mieszane w 41%, ale to tylko dlatego, że był gigantyczny review bombing i chwała Bogu, że on istnieje.
855:  Nie znalazłem Ancient Basin.
858:  Ishak już krytykował system walki wręcz.
859:  Tam każdy system jest źle zrobiony, moi drodzy, nie tylko walki wręcz.
864:  Asmon Goldfarmi content na nowych grach, bo jest streamerem, nie?
867:  Wzbuć, ja nie muszę, haha, nic nie muszę, bardzo dobrze.
873:  Spróbuję City Storms, mam wrażenie, że tam... To jest Ancient Basin?
877:  Dobrze idziesz?
880:  Fuck.
884:  Spokojnie, spokojnie, spokojnie.
886:  Hidden Station.
887:  Przecież powinienem był wiedzieć, że Hidden Station to Ancient Basin.
890:  Hidden Station, Ancient Basin.
892:  Wiedziałem.
897:  Jak ja nienawidzę i kocham Wolfander, wydajesz 120 złotych na pojazd, grindujesz go plus minus 30 godzin i potem ruski helikopter i tak cię dominuje w pierwszych sekundach meczu, pisze fanboy sexenjoyer, widzisz?
906:  To jest powód, dla którego ja nie gram w multijki żadne.
908:  Bo gracze mnie rozsierdzili jeszcze bardziej niż kiepscy deweloperzy.
916:  Czemu gramy w Top Dog?
918:  On ma lepsiejsze jajca?
919:  Ponieważ jest, moi drodzy, inaczej.
922:  Krzysztof nie bawi się jedzeniem.
924:  I mnie już wystarczyło, że się tym pożygałem, okej?
928:  Ja już nie muszę się bawić tym jedzeniem.
932:  Może jakaś relaksująca wyprawa do Deepnesto?
933:  Absolutnie.
934:  Kupię tę grę, po czym ją oddam i napiszę legatywną recenzję.
937:  I to jest poświęcenie dla sprawy, LazyTurtle.
939:  To rozumiem.
940:  Ancient... Wiem, gdzie jest Ancient Basin.
942:  Tutaj jest Ancient Basin.
943:  Widzicie?
943:  Wiedziałem wszystko.
945:  Nigdy nie sądziłem, że usłyszę, jak Krzysztof mówi fanboy, sex, enjoy.
948:  Ja też i dlatego się cieszę bardzo, że mamy taką czatowniczkę.
956:  Niepokoją mnie te dźwięki.
959:  Czekamy na God of War.
960:  A tak, obiecałem, że będzie God of War.
963:  Camo Grimmel, dzięki serdecznie na trybut.
964:  Może poprzednia gra nie była dobra, ale przynajmniej droga.
967:  Pewnym jest, że dobrą zabawę dawnie czem Krzysztofowi niezawodnym czatom.
970:  To jest jedyna dobra rzecz rzeczywiście, moi drodzy.
972:  Można było się wspólnie pośmiać, ale ja już byłem w tej fazie, że przestałem się śmiać i cieszyć i zacząłem być bardzo zdenerwowany.
979:  Insekt.
988:  No i oszukaliście mnie, nie ma tutaj żadnego upgrade'u.
993:  Chyba, że to tędy.
995:  Krzysztof, to po prostu alejki w Nowej Hucie, prawda Angelico?
998:  Nowa Huta, nie rozumiem fenomenu.
1002:  O... Boże, jak dobrze, jak dobrze grać w grę, która działa.
1007:  Ławeczka po lewej, na górę potem w lewo?
1012:  To na górę to jest do Deepnestu.
1016:  I jeszcze tramwaj.
1017:  W ogóle tramwaju jeszcze my nie odblokowaliśmy, to jest jakiś skandal.
1023:  Jeszcze jakiś dramat, jeszcze Kingdom's Edge.
1024:  Widzicie, ile jest do zobaczenia?
1026:  Bardzo dużo jest do zobaczenia.
1028:  Pagdesu misio, odpalamy Hollow Knighta z tego względu, że Dragon's Dogma nie ma rikczu, godności człowieka i całej reszty.
1038:  Popatrzcie, jak działa dobrze... To jest gra indie.
1043:  To jest gra indie.
1045:  Co nie tak było z Dragon's Dogma?
1046:  Mogę ci powiedzieć, co było tak, Peteras?
1050:  Jedno zaklęcie ogniste, ale niestety nie dało się nim celować.
1054:  Co czat zrobił, żeby wymusić na tobie obietnicy zagrania w God of War przy Willett?
1058:  Nic w zasadzie, nic nie musieli robić.
1060:  Po prostu ja stwierdziłem, że było tak źle, było tak potwornie źle, że już zagrałem w najgorszą grę w swoim życiu.
1069:  W związku z tym mogę zagrać w dobrą grę, gdzie będę grał wikingiem.
1073:  Wszystko mi jedno.
1075:  Hollow Knight przez trzy osoby?
1076:  Słyszałem, że przez dwie.
1078:  Potem słyszałem, że przez jedną, a potem słyszałem, że przez trzy, ponieważ kompozytor się też wylicza.
1082:  Czy idę w... Czy idę we właściwym kierunku?
1087:  Do tramwaju trzeba iść?
1088:  Wamtraj?
1090:  Wamtraj jest w tę stronę.
1092:  Czy ja tędy przejdę do Wamtraju?
1094:  Nie.
1098:  Czy to woli platformowka odgrania magiem?
1100:  Nie nazywaj magiem tego, co tam było, dobrze?
1102:  To była aberracja, a nie mag.
1106:  Ja byłbym w stanie... Gdybym mógł, to bym zagrał w Passionsa w tej chwili.
1114:  Czy to jest tutaj?
1115:  To jest tutaj.
1115:  Czyli Royal Waterways.
1117:  Mamy tam przejść, moi mini.
1119:  Moja firma współpracowała z Capcomem, ale wstyd przyjaźni chaosu.
1122:  Zrób wszystko, żeby wydali oświadczenie.
