🔴 Don't you dare go hollow | HOLLOW KNIGHT Livestream #1
🔗 https://www.youtube.com/watch?v=IURjn02gTPI

29:  Dzięki za oglądanie!
102:  Muzyka Muzyka
279:  Witam wszystkich zgromadzonych w ten tajemniczy piątkowy wieczór.
285:  Będziemy grać w grę straszliwą i przerażającą, bo będącą platformówką o kościotrupowym jamniku.
294:  Witam najserdeczniej z kościotrupim jamnikiem na mojej szacie Kazerko, Mak Piekielnego Jamniczego Ognia, Jacek Palachowski, Froget, Szymon Wróblewski, TheHaku, Jackileft, Flaminguel, Balorok72, Blakke, Tomasz Kowalczyk, PatemiFernes, Szymon Wróblewski, cała reszta naszych wspaniałych moderatorów, Aredel, PłonącaPyrka, GrimLukas, Galanonim,
316:  Padem i Ferenc, jeszcze raz Warlock, Gawron, Jakub, Kołodko, Demini, Galanonim, Hades, Aredel, Alizan, Imperium, Niestatystyczna, Nemeczek oraz Timothy, Altidżon, Olilen, Erard, Ania Szymańska, 91, Tambuid, Jaszczur, Król, Draxenus, Trzycan, Paula, Zastosuj, Jamnik.
338:  To Dudu, Grimhog, Jamnicja, Skrajny Czarów, Cezaria Magento, Emeriu, Zły Czarownik, Lewinek, Astray, Nicole Zapała, Kamil Romanowski, Petro900, Jerimer, Płonąca Pyrka, Asasyniarz.
353:  Jak w temacie zapowiedziany swego drogą nowy Asasin, tego, o którego ludzie wszyscy prosili od nie wiem ilu już lat...
359:  To znaczy Assassin's Creed w feudalnej Japonii, a może to już była zapowiedź starsza, w każdym razie rzuciła mi się dzisiaj w oczy.
365:  Szejk Truskawkowy, Paula, Erard, Nevrast, Fajna Zaba, Jagoda Gajewska, Wiktoria Saturnus, Szejk Mdłości, Joanna Maślankiewicz, Jaolin, Żoba Księżycowa, kolejna Aleksandra Zuzek, Dad Grammer, Vepolan Flower.
380:  Flower pisze, że nie mógł się doczekać live'a po trzech egzaminach, które dzisiaj miała.
385:  Dajcie spokój.
388:  straszne.
389:  Nieraz trzy egzaminy w ciągu dnia, mówiąc zupełnie serio, to jest całkowita para, no ja nie wiem, po co komu to.
393:  A czemu w zasadzie my cały czas słuchamy jeszcze muzyki poczelgadłkowej, skoro możemy już włączyć ambient z Hollow Knight?
398:  A przecież ambient z Hollow Knight jest przepiękny.
401:  Dlaczego powiedziałem z Hollowinauta?
402:  Hollowinaut to byłoby jamnik, który w Hollow Knight postanowił zwiedzać przestwór morski.
409:  Tak by to było, moi drodzy, nie zmyślam.
413:  Krillip niech będzie też powitany, dziękuję za stosunek, za dołączenie do grona wspierającego, za odnowienie wsparcia.
418:  Bear pisze, że dla Hollow Knighta przerwie nawet Warhammerzenie.
421:  Ja dzisiaj też Warhammerzyłem, co ciekawe.
423:  Boże, jaka ta muzyka z Hollow Knighta jest przepiękna, moi drodzy.
426:  Jamniki dla Jamnikołaja, jak zawsze.
428:  Parmedziano Redziano otrzymał życzone wsparcie.
430:  LazyTurtle pisze, że nie mógł się doczekać live'a po napisaniu pracy inżynierskiej.
433:  Gratulacje serdeczne!
435:  Cieszę się, moi drodzy, że sesja postępuje pomyślnie i że kończycie rzeczy.
440:  Kain jest jamnikołajem, otóż, moi drodzy.
442:  Dziękuję, Kain, za bycie jamnikołajem ponownie.
445:  Jamnicza przypinga, tak jest, Renci, tak jest.
448:  Czekajcie, bo to jest niewidoczne w tej kamerze.
452:  O, o, czekajcie, teraz będzie bardziej widoczny jamnik.
458:  Niech żyją zumy.
460:  On jest malusieńki zupełnie, moi drodzy.
463:  Chociaż to i tak nie jest to kadrowanie, które jest na kanale Zero Krzysztofa Stanowskiego.
467:  Nie wiem, czy widzieliście kadr w kanale Zero Stanowskiego.
470:  Muszę to zrobić, zanim zaczniemy grać, ponieważ ja myślałem, że po prostu dostanę palpitacji ze śmiechu.
476:  Tyle, moi drodzy, milionów wzięte.
479:  Tyle nadęcia.
481:  Tyle przygotowań.
483:  Tyle przygotowań.
484:  I wiecie, co wyszło z biednym Tomaszem Raczkiem?
489:  Wielkie ego na pierwszym planie.
492:  Malusieńki, tyci, tyci, tyci, Tomasz Raczek.
500:  Znaczy, to jest mniej więcej tak, ja to muszę jak zawsze zwizualizować, to jest mniej więcej tak, jak ja bym z budżetem ilu tam milionowym zrobił następujący kadr.
509:  Czekajcie, co się dzieje z moim... A!
512:  Co się dzieje z moim zoomem?
513:  Dobra.
521:  Tak nagrywam następne dla każdego coś przykrego.
523:  Mniej więcej w ten sposób.
528:  Widać mnie?
530:  Widać mnie?
535:  Niech YouTube'a robią ludzie na YouTube'ie, a niech codziennikarze robią codziennikarstwo.
541:  I będzie wszyscy szczęśliwi, tak?
548:  Zobaczymy.
548:  Ciekawy jestem debiutu Tomasza, nie Tomasza Raczka, tylko Tomasza Rożka.
553:  Inna sprawa.
555:  Przy okazji widziałem trybut od Lili M, która pisze, że pusty rycacz u Krzysztofa i humor naprawiony.
559:  Jakże się cieszę.
561:  Humor naprawiony być może twój.
