🔴 Hakana segamos! | HOLLOW KNIGHT Livestream #8
🔗 https://www.youtube.com/watch?v=SE_lGCzj65M

19:  © PTA & TVP
89:  Muzyka Muzyka
248:  KONIEC
394:  Witam wszystkich przybyłych na nasze tropienie bugów i innych owadów w Hollow Knightzie przy wspaniałej muzyce autorstwa
409:  autorstwa Christophera Larkina, pamiętałem!
412:  Witam wszystkich najserdeczniej, Fumineko, Kazio Kazanowska, Fox Sigren, Kuba Wdowiak, Simba Shini, Dity, Firebone, Jormungandr, który nie jest Jamningandrem, Szymon Zajdel, Mr. Motionless, Simba, Gen Greyman, Jerzy z Erlenwaldu, Jamnice z Krainy Czarów, Ekajka Mróz, Chan Chunmaru, Daniel Ratajczak, Kuba Wdowiak i Jerex oraz...
436:  Justyna Ejszed oraz Memory Łukasz G., Agnieszka Brzozowska, Michał Pęksa, Czerwony Lista, Raga Wrońska, Asasyniarz, Zuzek, Joanna K., Izabelial, Mrruwa, Zastosuj, Nati Art, Fridax, Homodolium, Wilson, Rado, Katriona, Oddawaj Miecza i Kostura, Czas Miecza i Kostura, Czas Pogardy, Krewe, Demini, Joanna K. oraz...
460:  Bartek Laskowski, Serenox, Nati, Redo, Ania Szymańska, Megafuka, Shiana Koyomi oraz Hachimitsu, Hachimitsu, Fest, Osoba Talentu i Video Speculi, czaty mówiły, że spoilery są w muzyce, przepraszam, nie chciałem, jej kruczy cień, Parmegiano, Reggiano, Uchac i cała reszta naszych wspaniałych moderatorów.
482:  i Nati oraz Marcin Malachowski, Nevraz Devilek, Nerufe, Podwodnobrody, moi drodzy, dzisiaj też tak króciutko jak i ostatnio z tego względu, że grać się chce absolutnie i w stu procentach.
496:  Niech wraca nam muzyka Hollow Knighta, mam nadzieję, że poziomy dźwięku dobre.
500:  Jeszcze Stellar Blade nie wyszła, ale udostępniona demo, pisze Kirito.
502:  Jak wyjdzie Stellar Blade, to zobaczymy, może zagramy, aczkolwiek...
507:  Krzysztof nie za bardzo lubi JRPG, czy action JRPG.
