🔴 Kika! | HOLLOW KNIGHT Livestream #5
🔗 https://www.youtube.com/watch?v=fBBSlGPGQxA

32:  Dziękuje za oglądanie.
66:  Wszystkie prawa zastrzeżone.
137:  Dzięki za oglądanie!
180:  Zdjęcia i montaż
221:  Zdjęcia i montaż
373:  Dzięki za oglądanie!
445:  Dzięki za oglądanie!
495:  Witam wszystkich przybyłych przy dźwiękach płyty Mystical Ambient, czyli Mistyczny Ambient, który jest mistyczny.
505:  Pademifernes, Tobiasz M, Flomi3, Fetson, Aldona K, Hakimitsu, CzerwonyLis, Max K, Hejs Studio, Serenox, Tomiszczek, Grabol, Froget 67, Łukasz G, Podwodnobrody, Filip Maj polecam.
520:  miesiąc i nazwisko, Rudlis Hakimitsu Irena Kafin, wszyscy, którzy widzieli najnowszy odcinek wspaniałego serialu Shogun, miałem powiedzieć Samurai, ale w ostatniej chwili się powstrzymałem, wszystkich, którzy go nie widzieli i dopiero zobaczą i mam nadzieję, Corvux Corax Nemeczek, który sugeruje nam, żebyśmy zwiedzili pozostałą część kanałów i podążali za wesołymi okrzykami,
542:  Ewelina Bardzińska, Bigomeza, Rajwur, Linio Vain i Max K, Paczajkoteł, Agnieszka, Saran Filippo i Melanfa oraz Jerz Erlenwaldu i Simon.
555:  I przy okazji dziękuję Michałowi Pęksie oraz Kain za bycie jamnikłajami, Taw Bigos, Michał Walczak, Kuba Wdowiak,
562:  i El Politico, Gadziorro, Szymon Wróblewski i cała reszta naszych wspaniałych moderatorów, Kuba Wdowiak, Dav Bigos, Lovely Flames, Lovely Veya, Nerdelo, Nerdolo przepraszam, Meva, Aneshi, GG!
578:  To jeszcze nie dla mnie i prędko nie będzie dla mnie.
580:  Illegal Death, Krzyziek, Wiktoria i Horgu oraz Renci i... Ewa V, Katarzyna, moi drodzy.
589:  I Trzycan, gdzie jest Night?
591:  Gdzie już, już spokojnie, spokojnie, tak?
596:  Spokojnie.
598:  Już będzie Hollow Night.
599:  Już będzie Hollow Night.
