🔴 Melemuuuu! | HOLLOW KNIGHT Livestream #3
🔗 https://www.youtube.com/watch?v=sSOSQV8aaOY

12:  Zdjęcia i montaż
83:  KONIEC
140:  Muzyka Muzyka
234:  © PTA & TVP
262:  KONIEC
388:  Muzyka
541:  Dzięki za oglądanie!
614:  Muzyka Muzyka
647:  Melemu!
649:  Melemu!
650:  Melemu!
652:  Witam na streamie z Hollow Knighta, streamie nieoczekiwanym, ponieważ następującym tuż, moi drodzy, po wspaniałej skądinąd rozmowie z Mikołem Marcelą mogę ją chwalić, ponieważ Mikołaj Marcela był tym, który głównie mówił, a nie Krzysztof.
665:  Witam najserdeczniej wszystkich przybyłych kinio, osoba talentu, astrzej, luminarius, kafein, Nadia Lewi, szejk truskawkowy melemu, nieciekawy człowiek i dziękuję za odnowienie wsparcia Lindorowi, też go witam, jamnicję, skrajnie czarów, a nie szymańską melemu, dwemer ze skarimnenu, szejk truskawkowy, kafein, luminarius, Małgorzata Piłat, Filipo, Grimhok, kinio, Maciek, Magda M1, przepraszam, że nie zdążyliśmy przeczytać wszystkich waszych historii, swoją drogą, ale miktoraj się strasznie spieszył.
692:  Magda M1 też pisała swoją i już nie zdążyłem.
695:  Pan Skorpion i cała reszta naszych wspaniałych moderatorów niech będzie również powitana, moi drodzy.
700:  Czy tak sądziłem właśnie, że nam poleci jakiś inny utwór, do którego już nie mam praw, więc szybko przełączę na ten, aby skoczyć.
706:  Naciśnij klawisz skoku, zapamiętam, kafein, zapamiętam.
709:  Witam także wyznawcy roga tego szczula, Szymona Nalewajko, Juno, Gasaj w Beczce, Maćka Gorczycy, witam i NielubiePKSów Melemu, Kapłan Ćm Melemu, Paks Jaz, Marcin Mazurek oraz Iga i Kondria... Konradius III.
725:  Wszyscy, którzy byli na rozmowie z Mikołajem Marcelą i wiedzą, o czym mówimy.
728:  Wszyscy, którzy nadrobią tę rozmowę, ponieważ nie przegapią Mikołaja Marcela i wszyscy, którzy stwierdzają, że po prostu przyszli tutaj do Hollow Knighta i nie wiedzą, o czym ja mówię.
736:  Witam Serenoksa, melemu, i Katis Snape, i Cesaria Magento, i Demini, i Magnieszkę Brzozowską-Mithi, i Alvegarego, i Arfaje, i Czerwonego Lica, i Istotę Żyjącą, i Adama Kuśmierskiego, i Jeża z Erlenwaldu, melemu, i Mimi, i Osiem, i Daka Kura, i Szymon Nalewajko, i Julia R., i Bodzio PB, i Mara,
754:  I Patka Lewandowski, M. Kacper, Rw, i Zuzu Melemu, i Galganonim Melemu, i wszyscy, moi drodzy, którzy nie wiedzą, co znaczy Melemu, i wszyscy, którzy wiedzą, co znaczy Melemu.
764:  Moi drodzy, nic nam nie pozostaje innego, jak przechodzić do Hollow Knighta, zwłaszcza, że nie ma w ogóle czasu.
770:  Jak my się z tym wszystkim ogarniemy dzisiaj, to ja nie wiem, ale trzeba.
774:  To jest bardzo ważne, moi drodzy.
776:  Czy ja słyszę już Hollow Knighta?
777:  Słyszę Hollow Knighta.
778:  Chyba jest troszeczkę za głośno, więc przyciszymy.
781:  do Unity.
782:  W ogóle powiem Wam, że jeszcze raz chciałem podziękować wszystkim wspierającym kanał, ponieważ dzisiaj miałem pierwszy raz możliwość, jak prowadzimy rozmowy na kanale od dwóch lat, żeby przepuścić głos, który idzie z zooma gościa przez mikser mój, w którym mogłem podbić basy i podbić głośność, bo wcześniej nie miałem takiej możliwości, mogłem tylko suwakami Windowsowymi suwać, nic więcej, więc dzięki Wam było to możliwe.
809:  Jeszcze nie byłem aż tak odważny, żeby zapuścić filtry jeszcze dodatkowe na głosorozmówce, bo nie mieliśmy na tyle czasu.
816:  Jesteśmy w jakimś resting grounds, nie wiem co to jest, moi drodzy.
819:  Masz 200 esencji, wróć jeszcze raz do ćmy i pogadaj.
823:  Ćma to jest Melemu?
825:  Gdzie jest Melemu?
826:  Melemu?
827:  Melemu, gdzie jesteś Melemu?
832:  Możliwe jest coś takiego.
833:  Wiesz, jak to jest możliwe?
835:  To znaczy Rodecaster Duo i Rodecaster Pro ma taką opcję, że tam są dwa kable USB.
844:  I teraz muszę się zastanowić.
845:  Więc jeden wysyła mój mikrofon na przykład, razem z tym, co ja słyszę w słuchawkach, więc z dźwiękami gry, wysyła sobie do miksera radośnie.
853:  Natomiast równocześnie komputer wysyła sygnał, no bo macie Spotify'a, macie dźwięk z gry.
858:  No i macie jeszcze ten drugi kabelek USB, który możecie na przykład sparować z, tak jak ja to zrobiłem, z zoomem.
864:  I wtedy dźwięk z zooma też przechodzi do miksera, następnie mikser to wszystko miksuje i pierwszym kabelkiem USB posyła w drugą stronę do kompa.
872:  I w ten sposób można nałożyć efekty dźwiękowe live, znaczy postprodukcyjne live, nawet na wypowiedzi rozmówcy.
879:  Zajebista sprawa, powiem wam.
881:  Melemu jest na górze.
883:  Na górze, Melemu!
884:  Tak, Melemu!
896:  Aaaa... Aaaa... Aaaa... Aaaa... Aaaa... Aaaa... Aaaa... Aaaa... Aaaa... Aaaa... Aaaa...
910:  Gdy wrócisz, Melemu?
913:  Zobacz, co się dzieje, Melemu.
914:  Zobacz, co się dzieje, Melemu.
916:  Zobacz, co się dzieje, Melemu.
918:  Zobacz, co się dzieje, Melemu.
941:  Melemu.
943:  No i co?
944:  Mam 74 esencji, dlaczego zostałem zbejtowany przez was?
947:  Ja tak bardzo nie ogarniam interfejsu, że Chryste Jezu, zapomniałem, że tutaj trzeba pofarmić wpierw.
954:  Ja się boję ciem, pisze Lindor.
956:  Ja nie lubię ciem, jeżeli są u mnie w pokoju.
959:  Nie ma innej opcji.
962:  O Boże, ćma.
963:  Znaczy, ćmy są najgorsze jak wpadną, dlatego też należy mieć moskitierę, moi drodzy.
968:  Aaa, melemu, pisze Alka i ma rację.
971:  Dobra, gdzie tutaj się farmiło?
972:  Gdzieś na pewno można pofarmić.
974:  O, tutaj pofarmimy.
975:  Mam 74, to jest jakaś żenada i żałość.
979:  Tutaj walczyliśmy z małym bossem gdzieś.
982:  Pochwalę się, pisze Orange Freddy, dawaj.
984:  Czy wczorajsze Oralevi to dzisiejsze melemu?
987:  Tak.
988:  Oralevi, moi drodzy, to była straszna rzecz, która się zdarzyła w...
994:  Cyberpunku 2077, tak mówił do nas Jacki, który jest naszym najlepszym przyjacielem.
998:  Ora lewi!
999:  Ora lewi!
999:  Ora lewi!
1000:  No dobra, tutaj nic nie ma, moi drodzy.
1004:  Można iść przez rozwalony grób?
1005:  Można.
1007:  Insect.
1009:  Aha.
1010:  Czyli znowu nic nie mogę zrobić.
1011:  Tutaj nigdzie się nie da farmić?
1015:  Jestem prawie pewien, że tutaj mnie nie było.
1035:  Tej esencji nie wyfarmisz, przypomniał Elfajer.
1037:  Dziękuję.
1039:  Właśnie mi to uświadomiłeś.
1041:  Grobem i na lewo.
1042:  Tak jest.
1045:  Udało mi się przejść Dark Souls 2 bez zgonów w cztery i pół godziny, grać i nagrać za to pierścieniem.
1049:  Żartujesz, Ozzy14?
1050:  Gratulacje, wow.
1053:  No i to jest osiągnięcie, moi drodzy.
1054:  Nie tam jakaś kartkóweczka na czas, może niech one się wszystkie hendożą, kartkóweczki na czas i inne.
1060:  Esencję zdobywasz z minibossów, grobów, drzewek i sennych myśli bossów, tak jak ten duży zmaczugu.
1064:  Esencja to nie geo, okej.
1066:  Czyli wszystko mi się pomieszało.
1069:  Resting Grounds jest od odpoczywania, nie od farmienia.
1071:  W takim razie idziemy, moi drodzy.
1073:  O Jezus, to jest to miejsce.
1078:  O nie.
1088:  Ale ja tutaj byłem już i tutaj nic nie było, moi drodzy.
1093:  O, o, o, o, o, o. Czekajcie, czekajcie, czekajcie.
1104:  Czy gra może mi dać pocieszyć się swoim osiągnięciem odnalezienia czegoś, czy nie bardzo?
1114:  Gin.
1122:  Znaleźliśmy robaczka.
1128:  Widzicie?
1129:  Krzysztof sam znalazł.
1132:  Byłeś, ale zginąłeś.
1133:  Kłamstwo.
1134:  Nie byłoby tego robaczka, gdybym tutaj był.
1137:  I may be an idiot, but I'm not a fool.
1142:  Musisz iść w lewo, pisze Wilson.
1145:  Tutaj byłem, bo to pamiętam.
1147:  Skłamał Krzysztof.
1148:  Tak, tutaj byłem.
1149:  Tu jeszcze jest enpec?
1152:  Gdzie?
1156:  Krzysztof pominął trybut.
1158:  Niemożliwe melemu.
1161:  Wesper, dziękuję za wsparcie od 9 miesięcy, dobry wieczór Melemu, dobry wieczór!
1166:  I Kain był Jan Nikołajem, zaległy, zaległy niuchacz dla Kain, dziękuję serdecznie!
1172:  Niuch!
1175:  Tu jest bardzo ważna rzecz, pisze GruSamGru.
1178:  No dobrze.
1180:  Wiecie, na czym polega problem?
1181:  Trzeba tu jeszcze umieć wskoczyć.
1189:  To może potrwać.
1192:  Nie no, przecież to jest niemożliwe, to się na pewno da jakoś skoczyć.
1195:  Czy ja nie pamiętam o jakiejś funkcji?
1200:  Dobra, joj, już wiem!
1202:  Już wiem, trzeba dłużej spację i potem... O!
1204:  O!
1204:  O!
1205:  WYŻEJ!
1205:  WYŻEJ!
1206:  WYŻEJ!
1206:  WYŻEJ!
1207:  TAK!
1212:  Czy dotarła polecajka do Tales of Alefreon?
1215:  Nie, nie dotarła.
1217:  W tej lokacji jest generalnie dużo zniszczalnych ścian, czy będę napieprzał we wszystko?
1221:  Bez względu na wszystko.
1231:  No, tutaj już się nie da wyjść, moi drodzy.
1232:  Chyba, że ja tutaj mogę kopać.
1237:  Teraz w górę.
1238:  No właśnie, widzę, że trzeba w górę, a ja nie umiem w górę.
1242:  Come on!
1248:  Spacja i dash.
1251:  Nie działa.
1252:  Tutaj double jump?
1253:  A, to ja nie mam jeszcze double jumpa, Tymoteuszu.
1257:  Mam tylko wall jump, ale on się tutaj nie aktywuje jak słowo... Dobra, aktywuje się.
1267:  Gdzie ja jestem?
1272:  Gdzie, gdzie... Co to jest za miejsce?
1278:  To jest buka.
1280:  Czytam coś obecnie.
1282:  Tak, czytam ostatni tom Cindy Williams Chiny.
1285:  Zaklinaczka czegoś.
1287:  Już nie wiem, czy busz, czy czegoś.
1290:  Zuzek, u wszystkiego urodzinowego dla ciebie.
1293:  Moi drodzy, potrzebujemy wielu jamniczych tortów dla Zuzek.
1298:  Wszystkiego jamniczego.
1301:  To jest piękna pani.
1302:  Czy ona będzie mówiła Melemu?
1306:  Oooo.
1308:  Ameom, this world, this cruel, sinful world.
1315:  Why dost ye wake, why dost ye persist?
1318:  Nie wiem, co to jest ten skrót.
1320:  Ci.
1322:  Czy są jacyś znawcy staroangielskiego lub czegokolwiek to jest.
1326:  Citalu, dzięki serdecznym wsparciu do 11 miesięcy pokonałam bossa z Hollow Knighta.
1329:  Proszę bardzo.
1330:  To jest piękna, zaspana pani.
1332:  Myślicie, że to jest saju z gęszczynieniem, a gdyby to...
1337:  To była Shire.
1339:  Shire by strasznie ziewała.
1343:  I generalnie nie dałoby się z nią rozmawiać.
1346:  A potem przyszedł Bajrzu i... I by się dogadali.
1353:  Właśnie ja też myślę, że to Che brzmi jak Wał.
1358:  To jest Wałst?
1367:  Aha, pisze Alek, okej.
1369:  As complete as vast, true lovers stripped apart to worlds that could not meet.
1378:  And now melded lover dead, so long in time dead, so far away to Che Guevara, buried muena amongst its hateful kin, that did deny our union, that did reject thou's outsideness.
1406:  Wybaczcie mnie, jestem po trzech godzinach mówienia, powiedział Krzysztof, który nie mówił podczas rozmowy z Mikołajem Marcelo, ponieważ Mikołaj Marcela miał gadane.
1422:  Słyszałem coś, że prawdziwe imię Pajro Arachątki pisze Szymon Alewajko, to Agata, nie Murata.
1426:  Nie denerwuj mnie, naprawdę nie.
1430:  Błagam, przejdź bossa na samym dole grzybowej lokacji.
1432:  Nie, odmawiam, Laimos, odmawiam, nie wracam tam.
1436:  The gift is maybe small, but the trek is long.
1440:  Co dopiero Star Trek?
1442:  She rests amongst her kin kind, near our queen's lush refuge.
1448:  Would such a thing be done?
1450:  The was perhaps impossible things, mad things.
1454:  Tak, oczywiście, że chce prezent.
1456:  Zawsze chce prezent.
1469:  To się zrobiło bardzo darksoulsowo.
1471:  Bo Boże nie.
1493:  Jak to szybko stracę prezent?
1495:  Co za kłamstwo!
1497:  Nie chce mi się czytać jej sztuki wypowiedzi.
1503:  Jest mod z voice actingiem, tak, czar ci po miocie, tylko problem polega na tym, że trzeba zainstalować instalator do modów, ponieważ kogoś pojebało.
1520:  Czy znam tragedię Szarej Żałobniczki?
1522:  Boże, jakie to są okropne dźwięki, po prostu moja mizofonia robi brrr.
1543:  Dobra, tu już kiedyś byłem.
1555:  Już czuję się jak w The Last of Us.
1558:  Ej, czy to znaczy czaty, że my w tym momencie gramy w arcydzieło?
1563:  Tak.
1566:  Już wkrótce na bez schematu.
1567:  Hollow Knight to arcydzieło.
1569:  Ale to jest akurat prawda.
1582:  Jesus Christ, jak ja mam tego unikać?
1588:  Już tego się literalnie nie da unikać.
1591:  Tu wszystko rzęzi.
1593:  Tylko tak można tego uniknąć, nie można tego zabić.
1595:  O, o, o, o!
1599:  W 4.6 będzie update mapy w Genshinie.
1601:  Odkryje o kawałek z tej dziury pod fontaną.
1603:  Przynajmniej tyle.
1606:  Ej, ja naprawdę tutaj nic nie zauważyłem, moi drodzy, przy ostatnim przejściu.
1611:  Byłem za bardzo rozemocjonowany.
1614:  Jak to po kwiatku?
1616:  Co wy mówicie?
1617:  Jak to po kwiatku?
1620:  Co?
1624:  Przestań rzęzić!
1626:  Nie mogę się skupić jak rzęzisz!
1648:  Gdzie wy macie brak kwiatka?
1651:  Nie mogę przejść dalej.
1652:  Dobrze mogę.
1658:  Mam kwiatek!
1662:  It has been destroyed.
1664:  It's now worthless.
1666:  Okej.
1668:  Bardzo się przejmuję tym faktem.
1672:  Komuś się zniszczył kwiatek.
1674:  Wielkie halo.
1679:  Fluint.
1681:  Melemu.
1682:  Ten quest z kwiatkiem polega na przeniesieniu kwiatka od tego miejsca do innego na drugim końcu mapy bez otrzymania obrażeń?
1687:  Aha, rozumiem.
1690:  Dobry żart.
