🔴 Waśnie braci Grimm | HOLLOW KNIGHT Livestream #10
🔗 https://www.youtube.com/watch?v=I9M7mThlTCI

4:  muzyka
61:  KONIEC
147:  Witam wszystkich najserdeczniej podczas naszych mąk cośrodowych w Hollow Knightzie.
153:  Witam już z doleczoną ósemką, ale z niedoluczonymi wyrzutami sumienia z tytułu Niezabicia Grima.
158:  Ostatnim razem witam najserdeczniej wszystkich zgromadzonych.
161:  Istota żyjąca, Jakub Wdowiak, Szeptucha, Boletus, Edulis, Łukasz Szelewicki, Gadzioro
166:  Dziękuję serdecznie za trybut Kazerko Aleptowi Piekielno-Magicznego.
192:  Nie!
192:  Piekielnojamniczego ognia!
194:  Czemu?
195:  Czemu?
195:  Czemu się mylę?
196:  Kazerko mag Piekielnojamniczego ognia trybutuje.
199:  Dziękuję.
199:  Creative Assembly nas z tym nie zaktualizowało.
201:  Strona Warhammera III i DLC Thrones of VK to trzy osobne DLC i jeden dla każdego lorda.
205:  O bogowie, czy i może być gorzej?
208:  Dziękuję ci za trybut.
209:  Baloroc72, Liliowain, Mintaj, Megafuka, Ning, Shanty, Xkair, Jakub, Kaleta, Liliowain, Julia, Żądlak, Agnieszka, Saran i Kane oraz Demini, Aurora, Michał, Pęks, Agnieszka, Pax, Jazz, już był IllegalDev, za to nie było.
225:  Demini chyba była, Jakub Witkowski oraz...
229:  Rua i Funcia, istota żyjąca Łukasz G., Julia Żonłak, Nati Art, Julia Berezińska, Foxy Gwenn i Czerwony Lis, Graphic Witch, Tevilek66, Beata Wa, PK044.
243:  I Majestic Dwarves.
245:  Majestic Dwarves to będą, moi drodzy, dopiero właśnie wtedy, kiedy zostanie zaktualizowany Warhammer 3, ponieważ piękne rzeczy się tam dzieją.
252:  Czy ktokolwiek będzie zdziwiony, że Krzysztof nie pamięta już sterowania?
254:  Absolutnie nikt.
256:  Aneshi, Emon, Sliski, Podwodnobrody, bardzo złośliwy człowiek i reszta naszych wspaniałych moderatorów, Czarci Pomiot, Enea, Gramor, Aneshi, Diobuń, Jerzy z Erlenwaldu.
266:  I Cain cieszy się, że nareszcie nazwany poprawnie.
270:  Karol Korol, Nadi Art, Grzegorz i Kluchen Muchen, moi drodzy, witam najserdeczniej, to powiedziawszy od razu.
276:  Puszczę wam wspaniałą muzykę z Hollow Knighta, której ja jeszcze nie słyszę, ponieważ nie włączyłem na słuchu.
281:  Mam nadzieję, że wasza środa mija dobrze.
284:  Moja środa mija niedobrze, ale teraz jest gra, więc będzie dobrze.
289:  Dzisiaj łatwa walka z Grimmem.
290:  Nie denerwujcie mnie, łatwa walka.
292:  Szlag mnie trafia na tę moją cholerną ósemkę, bo straciłem tydzień ćwiczeń, okej?
298:  Nie byłem w stanie, miałem 38,3 w środę zeszło.
301:  I teraz przynajmniej nie boli, ale jest taki dziwny szczękościsk, nie?
306:  Ludzie, którzy mieli wyrywane ósemki na czatach, wiedzą o czym mówię.
308:  To się jeszcze utrzymuje bardzo długo.
311:  Płaczę nad maturką z matmy.
313:  Poprawka, pisze Nati Art.
314:  O, jak ja ci współczuję.
317:  Moi drodzy, trzymajmy kciuki za Nati Art i zajamniczmy się na tę okoliczność.
320:  Tu jest jamnik.
321:  Tu jest jamnik.
323:  Nati Art potrzebuje wsparcia, jak również wszyscy biedni maturzyści.
326:  Oliwia pisze, że dzisiaj wysłała swój pierwszy artykuł do czasopisma naukowego.
329:  Uuuu, gratulacje.
332:  Pamiętaj, że teraz poznasz mem...
336:  Z recenzentem numer dwa.
337:  Recenzent numer jeden zawsze pisze wspaniałą recenzję.
339:  Recenzent numer dwa, recenzent numer dwa, moi drodzy, to jest nienawistnik.
344:  Recenzent numer dwa chce naszej zguby i klęski.
347:  To jest autentyczny mem.
348:  Nie wiem dlaczego, ale zawsze recenzent drugi jest tym najgorszym przy artykułach.
354:  Nie udało się pracę dokończyć.
355:  Fitcher wykonuje job na...
384:  Wesper jeszcze pisze o trybucie.
387:  Przepraszam, nie zauważyłem.
389:  Michał jest Janem Nikolajem w tak zwanym międzyczasie, moi drodzy.
392:  Dlaczego ja zniknąłem?
393:  Nie wiem dlaczego zniknąłem.
394:  Niuch!
405:  Spisek pisarzy wyda debiut w maju, pisze Wesper.
408:  Gratulacje!
410:  Moi drodzy, dużo jamników, gratulacje.
412:  Ile się rzeczy dzieje w ogóle jeszcze?
414:  Stream się nie zaczął, a dzieją się takie rzeczy.
417:  Gratulacje, Wesper.
419:  I dzięki za wsparcie do 11 miesięcy raz jeszcze.
423:  Come on!
424:  Ale debiuty mamy.
425:  Był debiut Fantastycznego Czerwia, czyli wiecie, w imię Boga, dobra książka, polecam.
