🔴 Ścieżka bólu bez nadziei | HOLLOW KNIGHT Livestream #12
🔗 https://www.youtube.com/watch?v=Ti3O49kJYAY

28:  O nie...
32:  Muzyka
63:  Zdjęcia i montaż
105:  Zdjęcia i montaż
234:  Dzięki za oglądanie!
272:  Dziękuje za oglądanie.
316:  Muzyka
354:  Zdjęcia i montaż
397:  Muzyka
435:  Witam wszystkich.
438:  W środowy wieczór, moje popołudnie, gdy powróciłem z jednego treningu, bo wróciłem wreszcie na treningi, jestem bardzo zmęczony i zadowolony, po to tylko, żeby zacząć drugi.
452:  Witam najserdeczniej wszystkich przybyłych, Tomaszuk Kowalczyk, Karol Kowal, który odnowił wsparcie, dziękuję za to, Łukasz G., Nadia Lewi, Fresco, Tomaszuk, Jakub, Miami, Pax Jazz, Norbert Kiryłow, Artur Urbański, Szejk Truskawkowy, Barok72, Astrey, Hachimitsu, Serenox, Cheris, Artur Urbański, Luka Senpai, Dewilek66, Gabriela Siepetowska, Pax Jazz, Grzegorz Sikora, Adam Kuśmierski, Rudlisk, Nur Maciek, Kapłanka Ćm,
479:  Irena, Krzysztof Dębowski, który pisze, niech Wielki Jamnik będzie z Tobą.
483:  Dziękuję, przyda się.
484:  Agata Gawrońska i Irena, Maria Skoczyla-Zuzek, Dominik Borowiczek, Michał Pęksa, Lucyfer, Dwemer ze Skyrim, Asia, Wegeta, Małgorzata Piłat, Jamnikowy Piechur, Zderzacz Hadronów, Agaras Mściwór i...
500:  Meister Merk Würdigliebe oraz White Key, Wiktor Wynthe, Pax Vobiscum, Indeed, moi drodzy.
509:  Nie wiem, dlaczego nie dostaliśmy wspaniałej jeszcze muzyki z Path of Pain w tle.
513:  Tara Elu, witam, ja byłem, gdzie ona jest?
515:  Ona jest tutaj.
517:  Szymon Zajdel, Mewa, Adrio Vastora, Szaraza, Foxy Gwen, wiele razy jeszcze usłyszymy dzisiaj tę muzykę.
523:  Car Mikołaj III, Magda M1, Lorax, Dyktoforsia, Graphic Witch, Ewa V, Anessi,
