🔴 Ścieżka bólu i nadziei | HOLLOW KNIGHT (ft. Filip @BezSchematu) Livestream #11
🔗 https://www.youtube.com/watch?v=9Ib_mHT0870

22:  Dzień dobry.
26:  General Kenobi!
93:  Muzyka
250:  KONIEC
292:  Path of Pain, moi drodzy, dzisiaj.
294:  Łatwo nie będzie.
297:  Trudno będzie.
298:  Ciężko będzie.
300:  Przygotujcie się na najwyższą próbę cierpliwości.
302:  Ja też jestem na nią gotowy.
304:  Witam wszystkich najserdeczniej na naszym sobotnim streamie z Hollow Knight.
309:  Wyjątkowym streamie sobotnim.
310:  Wraca od środy później Hollow Knight tradycyjnie.
314:  Witam serdecznie Mega Fuka i LegalDevMajstra Podwodnobrodego Łukasza G.
318:  Tomasz Zabiegaj, Nie wiem co zrobić z tym kontem, Big Gomezaj, Legal Death, Szydłyszej Gruskawkowy, Karolin The First, Maciej Baszyn, Karolina Jurewicz, Marcia Wks, Hysza, Ashmodei, Nati Art, Grusam Grur, Przelegiewon, Serenoks, Foxy Gwen, Graphic Witch, Nati Art, Nevrast, Hayus Army, Małgorzata Piłat, Jakub Wdowiak, Ola Kustra, Evil Maciej Wędzant, Serenoks, Jakub Wdowiak oraz Joanna K. i Tomasz Zabiegaj, Michał Pęksa, Taki Talwi,
350:  Matt Peterson, Gal Anonim, Aredel, Karol Korol, Dewikson, Ewalejna, Ika, Parmedziano, Redziano, Artur Urbański, Sagittarius A, Fixer404, Alison Imperium, Nati Argen, Greyman, Rapture2003, Artur Urbański i wszyscy przybyli, stali i nie stali bywalcy streamów, wspierający, trybutariusze,
373:  Widzowie, ludzie, którzy zbłąkali się tutaj, myśląc, że będzie profesjonalne grańsko w Hollow Knighta, tymczasem będzie, będzie Krzysztofowe grańsko w Hollow Knighta.
383:  Witajcie najserdeczniej moi drodzy, ja od razu zapowiem, dzisiaj 4 godziny, 4 godziny ćwiczyłem skoki po ścianach w Hollow Knightie, nie żartuję.
393:  I moje wnioski są takie, że
396:  że Mantis Claw powinien działać tak, że się postać nie zsuwa i byłoby wszystko w porządku.
400:  To jest koniec moich wniosków, nie mam innych.
403:  A Kain tymczasem jest Jan Mikołajem.
404:  Niuch, witam serdecznie!
406:  Wronię wspierające Krzysztofa S. A Kainowi dziękuję serdecznie za bycie Jan Mikołajem.
410:  I wspierającym społeczność dziękuję najserdeczniej.
414:  Więc to jest tak, tak, będą się działy ciekawe rzeczy dzisiaj, to wam mogę obiecać.
418:  A, i jeszcze jedno.
423:  ponieważ wiem, że drażnią Was dźwięki piły.
428:  Piłem w spale, spałem w pile i to jak na razie tyle.
432:  Obniżymy dźwięki piły.
437:  Alternatywa jest jeszcze taka, że
442:  Jak bardzo nam się znudzi ta muzyka, to włączymy elektroswing.
447:  Armryn jest.
448:  Jan Mikołajku, dziękuję serdecznie.
450:  I Michał Pęksa także.
451:  Szejktorska w kolorze otrzymuje wsparcie.
453:  Proszę bardzo.
454:  Nie ma jak stali bywalcy streamu otrzymujący wsparcie.
456:  Super, dziękuję serdecznie.
458:  I jeszcze oprócz tego...
460:  Viridian102, Adam Kuśmierski i Krystian Rosu z Kury Domowej, Bartłomiej Fijałek, Tajki Talwi i Kapłanka Ćm oraz Rudy Lis i Jeyve Count otrzymują... i Garreat otrzymują wsparcie od armii.
475:  Dziękuję najserdeczniej.
476:  Jamnikołaje dla jamnikołajów.
479:  Ja lubię tę muzykę, znowu się sobie troszeczkę posłuchamy.
483:  Highblood is useless, aha.
486:  Tak, moi drodzy, tak, moi drodzy.
489:  Zaczyna się.
492:  Więc tak, zaobserwowałem i to było dla mnie szokujące, ponieważ po ilu godzinach gry, że jak Mantis Claw działa, to jest taki śmieszny dynks na ścianie.
502:  Ja nie rozumiałem, o co chodzi i dlaczego jest tak, że moja postać nie skacze właściwie, jak jest przy ścianie.
509:  No, już wiem dlaczego.
514:  Więc tak, jesteśmy na samym samiuteńkim początku.
519:  Będzie strasznie.
520:  Zdziwisz się, co będzie na końcu?
521:  Nie dotrzemy do końca dzisiaj.
522:  Nie ma szans.
523:  Nie ma najmniejszych szans.
526:  Ja oczekuję, że przynajmniej zobaczę drugą część.
530:  Tylko tyle.
530:  Jeżeli to zrobię, to uznam, że to jest moje największe zwycięstwo, ponieważ największym problemem w tej grze jest trzymanie się tych cholernych ścian.
538:  Nie umiem tego, nienawidzę, nie znoszę, uważam to za nielogiczne i bezsensowne.
543:  O. O. Właśnie.
545:  Właśnie to.
545:  Właśnie to.
551:  Aaa, dobrze.
554:  Tu się czasem da podwójnym skokiem, a czasem nie.
558:  Trzeba na wnioskę, że klawiatura jest za tania.
560:  Aaa, a propos klawiatury.
562:  Czemu wam się to nie wyświetla?
565:  Aaa, no.
571:  Powinno się już wyświetlać.
574:  Aha!
575:  Właśnie!
576:  May the 4th be with you!
578:  Ale nie Skaflin Kennedy, która zniszczyła nam Gwiezdne Wojny.
582:  Noone pyta jaką mam radę na pierdolą wystąpienie na konfie po angielsku.
584:  Prezentacja plakatu z wynikami badań.
586:  Nie chcę mieć ze sobą kartki, bo to źle wygląda.
588:  Jak prezentujesz plakat, to stoisz przy klapacie w sesji posterowej i czekasz na pytania ludzi.
592:  Nic więcej.
593:  Więc nawet nie ma standardowej prezentacji.
598:  Dobrze.
599:  Syrenox mówi, że jutrzejsza historia jest piękna.
601:  To dobrze.
603:  Odbijanie od pił.
604:  Wolę odbijanie od pił, niż trzymania się przy ścianie, ponieważ ja nie mam kontroli nad tym, jak się moja postać zsuwa i doprowadza mnie do absolutnego szału.
616:  Zaczyna się.
619:  A jutro jest Revenge of the Fifth.
621:  Tak.
630:  Dobra.
631:  Teraz najtrudniejszy dla mnie.
639:  No właśnie.
644:  Nie umiem też zrozumieć, dlaczego nie ma podwójnego skoku po dashu.
647:  Jezus, to byłoby tak cudowne.
659:  Czy Hollow Knighta po DS-ach polecam?
661:  Wieszcie co?
664:  Dla mnie te gry są bardzo różne.
667:  Hollow Knight mniej wybacza błędy.
674:  No a szlak mnie trafi!
677:  Tak, tak, z Crystal Dashem można się zsuwać kontrolowanie.
680:  Słyszałem też te... słyszałem też te rzeczy.
682:  Wiecie, na czym polega problem?
683:  W tej chwili, widzicie?
684:  Widzicie?
685:  Widzicie?
686:  Czasem się włącza Crystal Dash, a czasem nie.
689:  Ja nie mam nad tym kontroli, tak długo jak długo ta postać nie przylepia się do ściany właściwie.
696:  Doprowadza mnie to do szału!
711:  Dobra, prawie szlag.
716:  Ten początek jest dla mnie najgorszy, Halo.
718:  Ja znam całe Path of Pain, bo widziałem filmy.
721:  Początek jest dla mnie najgorszy, bo zsuwanie się po ścianach to jest koszmar i odbijanie od nich dla mnie.
726:  Najbardziej stresujące.
729:  Potem nie umiałem się nauczyć następnej sekcji przez to.
735:  Ech... Dopiero 7 minut, make what?
739:  4 godziny 7 minut, 4 godziny dzisiaj ćwiczyłem tę sekcję.
741:  Tylko dzięki temu w ogóle jestem w stanie się odbić od pierwszej powierzchni.
745:  I to co jakiś czas dopiero.
750:  Dobra.
753:  Ja to traktuję jako próbę mojej cierpliwości, jestem ciekaw ile wytrzymam.
765:  Fuck.
766:  Doprowadza mnie do szału to, że w momencie, w którym jestem na ścianie, czasem jest to niekontrolowalne, czasem się odpala podwójny skok, a czasem nie.
779:  Nie znoszę tego.
780:  Dobra.
796:  Fuck!
799:  Odbijanie od ściany Arturzy nie działa u mnie.
802:  Ja nie jestem w stanie się odbijać od ściany.
803:  Widzicie, że muszę robić coś takiego.
807:  Żeby się odbijać od ściany, trzeba się do ściany przykleić.
