🔴 Bardzo piękny Zachód — HORIZON: FORBIDDEN WEST #4
🔗 https://www.youtube.com/watch?v=pYHOr0gPNdU

398:  Muzyka Muzyka
431:  Dziękuje.
466:  Jeśli za czymś tęskniłem z Horizon Forbidden West, to moi drodzy, za muzyką, za rudowłosą Aloy i oczywiście za żyrafem, bo przypominam, że jamnik to być może pozioma żyrafa, ale żyrafa to pionowy jamnik!
484:  Dowód!
485:  Dowód!
486:  Witam najserdeczniej wszystkich przybyłych, moi drodzy!
491:  Płonąca Pyrka, Urszula Giewon, Nerichem, Agnieszka Brzodowska, Serenoks, Faciek, Szymon Zajnel, Małgorzata Piłat, Marcin Korolewski, Filip Borowiczek, Gen Grejmen, Łukasz Szelewicki oraz Agnieszka i Wenzant i Wojtek W. Szymon Wróblewski i reszta naszych wspaniałych moderatorów.
507:  Kasia Kazanowska i Nitryn Barok72, Bukłon543, Ewelina Bardzińska, Tarael, który pisze podpalony spaczeń, niech będzie w imię jamniczej i na wieki wieków spaczeń, Płonąca Lilia i Darek Masiejczyk i Sim... Masiejczyk, przepraszam, i Serenoks oraz Karnakhal, Smutny Hedzi, Ania Kaźmiercza, Krystian Izabelial, Krzysztof S., Knur Maciek, pierwszy, Grzegorz i Szeptucha i Martyna i Alejandra i Krzysztof S. i Adrian Smoliński, Liściany, gdzie jest muzyka?
535:  Dobrze, jest muzyka.
537:  I Sir Lancaster Stefan Szwydczenko, który odpowiedział za trważającą historię o bracie, który zdecydował się nie najamnika, tylko mopsa.
546:  Skandal!
547:  Góry i piękno natury, Cambriana, Mithiel, Bigomeza, Sandra...
551:  I Jerzy z Erlenwaldu Lajmos oraz Ksariks, Piotr Bejer, Andrzej Jałowiecki, Justyna Eisschet oraz Jakub Korczak, Neverest, Krokso, Clever One jest z nami także, kolejny moderator Tomasz Zabiegaj, Ola Kustra, Jerzy z Erlenwaldu, Patrycja Dąbrowska i Mintaj i Vegari Mistake.pl i Ania Szymańska, która wita wszystkich, życzy jam niczego wieczoru, przyłączam się do tego i Metrolog i Ola.
577:  i PK044, i Vegari moi drodzy, i Patrycja Dąbrowska, Krzysztof teraz będzie mógł mówić P, ponieważ wymienił gąbkę w mikrofonie, Matt Peterson, i Borowiczek, i Simon Just Whiteley, Małgorzata Piłat, Żywy Ogień i Amnicja z Krainy Czarów, Daniel Mazur, Wenzant, Sara Gawrońska, Arti Niezłomny, Krystian Emeriu, Lepre, i płonąca pyrka chyba już była, Aurora Urszula, i...
604:  Kain, dziękuję za bycie podwójnym JamNikołajem, wszystkiego jamniczego dla Was, moi drodzy.
609:  I Szymon Zajdl, otrzymuję wsparcie od Kaina.
611:  JamNikołaja dla JamNikołaja, tradycyjnie Gnomeus pisze GnomDziorno, GnomDobry i UnoMartino i Rapture2003 i Java S oraz Sara i GabkaKanapka.
624:  Andrzej, chyba wszystkich jak raz wyczytałem.
626:  Magdalena jeszcze, Martyna i Krystian oraz Wenzan.
629:  Moi drodzy, ja wiem, że muzyka jest piękna, ale muzyka w Horizonie takoż jest dostępna.
635:  O, proszę bardzo, nawet ta sama.
639:  Udało się płynnie przejść, przysięgam.
646:  Jak to się dzieje?
648:  Ja nie miałem nad tym kontroli, nie miałem tego na nasłuchu.
652:  Darek Masiajczyk potrzebuje, moi drodzy, naszego wsparcia.
655:  Pisze o rozstaniu po 11 latach.
657:  Poważna sprawa, Darku.
659:  Znajdź czas dla siebie i znajdź dużo ucieczki.
661:  Ja aż wyłączę grę po to, żeby samemu ci wysłać wspierające jamniki.
