🔴 Chabazie w oazie — HORIZON: FORBIDDEN WEST #3
🔗 https://www.youtube.com/watch?v=BmJLlsYrqz4

377:  Muzyka Muzyka
409:  Dzięki za oglądanie!
419:  Wszystkich najserdeczniej przy wspaniałym temacie Aloj.
423:  Spotykamy się, moi drodzy, na początku naszego długiego weekendu streamowego.
428:  Dziś, jutro i pojutrze gramy w rzeczy.
430:  Dziś Horizon, w niedzielę Horizon, a między jednym a drugim niby w kanapce Kratos oraz Boi.
437:  Witam najserdeczniej wszystkich przybyłych.
440:  Ewa Jędrzejczyk, Grafik Łyć, Magdemir Małgorzata Pagnieszka, Saran Borowiczek,
444:  Krzysztof S., Kasia Kazanowska, Expoi, Arti Niezłomny, Kazerko Mak, Piekielnojamniczego Ognia, Artur Urbański, Łukasz G., Michał Pęksa, Serenox, Magda M1, Szymon Drzymała, Sana Garońska, Siwy Dym, Nowa Q, Longinex12, Nerdolo, Eric Greenleaf, Ruwa, Monika Raj i Flomi Wydnawca, Rogatego Szczura, który jest naszym loremistrzem i mówił, że w kolistycznej agencji eskepistycznej, link w opisie,
466:  Są informacje na części pierwszej Horizona Ania Kazimierczak, Simon Mateusz, Rafcio Zimek, Majster, Olmar20, Kain, który jest Jamnikołajem przedstreamowym, Niuch, dziękuję serdecznie za wsparcie społeczności, Lukas, Senpai, Axpoj, Aredel, Tymoteusz, Szostek, Anela i Simbasini, Lityszu, dziękuję za wsparcie od 14 miesięcy, przerwałem własne ekranie, żeby oglądać przy Lityszu, co za wspaniała wiadomość, dziękuję, Gnuśny Jamnik, Olgi, Rudosow, Szarczuk, cześć wszystkim, tobie i również.
493:  Gadziorro, Jesus26, Daf Muffin, Irena Knecht, Dawnych Klecht, Parmediano Reggiano, Black Cat, Kaznodzieja Milczącej Żaby, Miłosz, Radosław R, Tarael oraz Grimkok Nenu i B Gomeza.
508:  Moi drodzy, witajcie dzisiaj króciusieńko, ponieważ już horizonujemy, moi drodzy, nie ma to tamto.
515:  Odpalamy radośnie, będzie grańsko, będzie eksploracja, przede wszystkim questy poboczne.
521:  Proszę bardzo, i tutaj dalej mamy temat Aloj.
525:  Wspaniała jest muzyka do Horizona, moi drodzy.
528:  Bardzo się cieszę, że granie horizonowe nam powróciło na streamy i że seria się podoba.
534:  Mam nadzieję, że też będzie dobrze z głośnością.
536:  Oczywiście Windows dzisiaj stwierdził, że zmieni mi oczywiście decybele minus 2.
543:  Tak wiecie, dla kurażu.
545:  A tak sobie minus 2 zmienimy.
546:  Może Krzysztof mnie nie zorientuje.
547:  Zorientowałem się!
550:  To jest jakiś dramat absolutny to, co się dzieje, moi drodzy.
553:  Nie wiem dlaczego, dlaczego teraz przede wszystkim muzyka mi przestała grać.
556:  Kontynuuj!
558:  Mam nadzieję, że się dobrze miewacie.
559:  Na AGH jest wolne, ponieważ tak się bawi, tak się bawi.
563:  AGH!
563:  Nie wiem, czy na innych uczelniach też jest wolne, ale wiem, że tak się nie bawią inne uczelnie najczęściej.
570:  Horizon jednak lepszy od Dragon's Dogma 2.
572:  Wiesz co jest zabawne, Grimhawk, jak pozwoli, zapominam, że DD2 to właśnie jest Dragon's Dogma, nie?
579:  Zapominam o tym.
580:  Na start streamu breaking news od Tarela, łamiąca wiadomość z Niemczech.
583:  Ichni rząd chce zakazać hodowli psów z genetycznymi wadami kostnymi, co może skutkować zakazem hodowli jamników.
591:  Nie ośmielą się.
592:  Nie ośmielą się.
595:  Nie ośmielą się.
598:  Ja się nie zgadzam.
598:  W ogóle, moi drodzy, stała się straszna rzecz.
600:  Po latach mysz bezprzewodowa.
603:  Ja wiem, ja przepraszam bardzo.
605:  Miałem całe lata...
608:  G502 Hero z specjalnymi ciężarkami, ale się poddałem, ponieważ doprowadzał mnie do szału klikanie.
615:  Jednak mizofonia... Ach... Więc ta mysz jest cicha i to jest jej główna zaleta, natomiast jeszcze ją testuję, mam nadzieję, że będzie wszystko w porządku.
626:  Ale jak to bez kabla?
627:  No właśnie, no właśnie, no przecież to jest najgorsze, to jest absolutnie najgorsze.
630:  Ale najlepsze jest to, co my tutaj widzimy.
634:  Petycja Związku Kynologicznego w Niemczech jest w tej sprawie, bo oprócz jamników na celowniku owczarki niemieckiej i sznaucerów jest najlepsze rasy, moi drodzy.
640:  No dramat absolutny.
644:  Niemcy mają w sobie to coś, że raz na kilkadziesiąt lat muszą coś odwalić.
648:  Tak.
649:  To co, moi drodzy, zrobimy sobie może od razu wszystkie znaczniki wokół.
655:  Myślę, że to jest dobry pomysł, żeby ta cała część dzisiaj została przez nas wyeksplorowana.
662:  Oczywiście jest to dla mnie pretekst do tego, żeby szukać następnych żyrafów.
666:  Natomiast chyba na razie pójdziemy sobie do pieśni ziemi.
670:  Potem sobie ogarniemy może kotły.
672:  To jest chyba dobry pomysł.
676:  A potem znaczniki.
677:  Zobaczymy, co się będzie działo po drodze.
680:  Bez kabla się nie... No zobaczymy.
681:  Pierwszy raz rzuciłem mam mysz bez kabla.
683:  Dzisiaj ładowałem ją w absolutnym przerażeniu.
686:  Raz miałem cichą myszkę bez skojarzeń, że jakaś bierczak i niekolernie mogłem się przestalić, brakowało mi tego klikania.
691:  Oj, to nie mnie.
692:  Ja dostaję szału, jak słyszę klikanie.
694:  Słyszałem o zwolnieniach Creative Assembly.
696:  W Creative Assembly nie.
697:  Słyszałem o zwolnieniach w CD Projekt Red i równocześnie słyszałem o tym, że CD Projekt Red nie umieszka wypłacić sobie oraz akcjonariuszom sowitych premii, bo wiecie...
704:  O, jaki piękny żyraf, oooo!
709:  Zwolnienia zwolnieniami, koniunktura koniunkturą, ale premię trzeba sobie wypłacić, prosta sprawa.
716:  Jeszcze, jeszcze w osadzie wziąć sidequest, a ja pominąłem jakiś sidequest?
722:  Faktycznie jest tutaj misja, nie zauważyłem.
725:  Radosław R., dziękuję za odnowienie wspierania.
728:  To jest jeszcze ważny sidequest, pisze Talal.
730:  Dobrze, ogarniemy, ogarniemy.
733:  Nie jesteśmy aż tak daleko.
734:  Jakiego recenzenta gier polecam?
736:  W tej chwili Mandalore Gaming.
738:  Nie zawiodłem się jeszcze na człowieku.
741:  Niech słuchać klikania, jeśli się ma głośno, słuchawki.
743:  Tak, i wtedy mózg wywraca Ci się na lewą stronę, Cherries.
750:  Ja jeszcze nie skończyłem pracy, pisze Bartek Konopa, Krzysztof już gra.
753:  Bo Krzysztof wstał, dlatego.
756:  Dobrze, macie ten ważny quest.
758:  Kim jesteś człowieku?
766:  Problem jest ze zwierzątami.
768:  Jesteś drugim, którego widziałam dzisiaj.
772:  Im szybciej pójdziesz, tym lepszy będzie teren.
775:  Mniej możliwości, że złe rzucenia będą się pojawiały.
777:  Myślałabym, że rozprzestrzenianie waszych narodów nie będzie zbyt trudne, ale... Ray będzie w każdym razie umarł.
783:  Tak samo jak my wszyscy.
784:  Podczas gdy wychodzący przyjeżdżają, zabierając to, czego nie mamy.
789:  Tak samo jak tę karżę, którą widziałam wcześniej.
792:  Wszyscy uzupełnieni jak ptaszki, pośpiewały ułatwioną dziewczynkę.
795:  Nazywała dziewczynkę Thresh.
798:  Nigdy tego nie słyszałam.
800:  Musi to być jakaś starożytna karża.
803:  Czekaj, karżę z ułatwioną dziewczynką?
806:  Co?
806:  Mówię o sobie tutaj?
807:  Tak.
807:  Widziałam ich tylko dzisiaj, ruchając po południu, prawdopodobnie do ich śmierci.
812:  Nie mogę tam zbierać stinger fruity.
815:  Zbyt wiele maszyn.
816:  Cholera Taro, ktokolwiek ona jest.
819:  Niech jej syny znajdą gorącą solę.
821:  Chciałabym tylko pomóc znaleźć starego przyjaciela.
827:  Reto jest imię tej maszyny, boga ziemi, której Aloy na koniec poprzedniego streama amputowała łapę.
831:  Już wszystko rozumiem.
833:  Ziemia dla ziemniaków, tak jest Corvox.
835:  Tak, Corvus Corax, przepraszam.
837:  Taki pomysł na twoją drugą rozgrywkę z Dark Souls 3, jest świetny mod Arctrons.
841:  Tak!
842:  To jest absolutnie prawdopodobne, że to zrobimy, bo nie chciałbym powtarzać jednak mimo wszystko rozgrywki w Dark Souls, bo teraz tak wpadałem do Filipa na streamy na bez życia i zobaczyłem, że nawet ja dużo pamiętam.
855:  100 tysięcy subów.
856:  Wiecie, że 100 tysięcy subów jest bardzo daleko.
858:  Przyrost subskrypcji jest na poziomie 500-600 miesięcznie, co oznacza, jak można łatwo policzyć, że jest dość powoli.
868:  Nie policzył Krzysztof.
870:  Idziemy tutaj.
872:  Na 100 tysięcy, Reksio, niezmiennie.
873:  Tak.
875:  Ja po prostu liczę, że przyrost subskrypcji jeszcze bardziej się zmniejszy i zapomnicie.
882:  Tak.
884:  Znaczy, trzeba zacząć robić multigona.
885:  Właśnie, trzy lata w tym tempie, bardzo dobrze, na spokojnie, na spokojnie, niech się wszystko rozwija.
891:  Jestem zachwycony, a wiecie, co jest najzabawniejsze?
894:  Że i tak nie ma to żadnego wpływu na wyświetlenia filmów.
896:  No dobrze widać po kanale Zero, gdzie macie jasne filmy...
903:  Tutaj ktoś potrzebuje naszej pomocy.
905:  Stanowskiego, które mają 800 tysięcy wyświetleń i wszystkie inne, które mają po 40.
908:  Muszę sobie przypomnieć, w jaki sposób się walczyło w tej grze.
