🔴 Precz z Dragon's Dogma — HORIZON: FORBIDDEN WEST #2
🔗 https://www.youtube.com/watch?v=ey8tVacIRp8

202:  Wszystkie prawa zastrzeżone.
241:  Dzięki za oglądanie!
412:  Ktoś mógłby powiedzieć, że całej aferze z Dragon's Dogma winny jest Capcom.
420:  Ktoś mógłby powiedzieć, że winni są recenzenci.
424:  A ja powiem, że winni są ci gracze, którzy dostają dymiący krab do rąk i mówią, proszę...
435:  Proszę jeszcze, tu jest mój portfel.
437:  Zapłacę więcej.
438:  Błagam, wspierajmy dalej dewolucję gier, niech będzie tak, jak było 30 lat temu, tylko drożej.
445:  Więc nie róbmy tego i grajmy w dobre tytuły.
447:  I dlatego dzisiaj, moi drodzy, Horizon Forbidden West na pecety, który nie ma błędów, który nie ma mikrotransakcji, ale ma rudowłosą aloi, witam wszystkich najserdeczniej tedy przy dźwiękach Stiofobi Giovardiniego.
463:  Czekają na muzykę.
464:  Kuba Wdowiak, Czerwony Lis, Szejk Truskawkowy, Palitkeusz, Pawłek, Płonąca Pyrka, Ania Szymańska, Grim Lukas, Asasif, Destiny, Serenox, Krystian, Macin Łochowski, Jacek Palachowski, Megafuka, Erwin, Agnieszka Brzozowska, Rapcio2003, Małgorzata Piłat, Młotko, Simon Borowiczek, Destiny, Deflipper, Marbledrawer, Łukasz G, Kazia Kazanowska, Małgorzata, Irena, Megafuka, jeszcze raz Katarzyna, Sandra, Wesper, Buzdygan,
493:  Gnuśny Jamnik, Olgi, Rudowłos, Arczuk, Aredel, Houdinius, Niestatystyczna, Little Screw, Żywy Ogień, Arti Niezłomny, Lovely Flames, Natalia, Eri, Greenleaf, Davais, Toraz, Jerz, Erlenwaldu i Wesper, Isandra, Impuls, Rafał M., Żiraf, Stachubryłka,
510:  r3evil, axboy, another, thiccboy, muddybuffs, Tomasz Zabiegaj, Sebulba, Urszula Giewon, Rrua, Noap, Jacek Następny, Joanna Maślankiewicz, M.H.
523:  Cage, Arkadiusz Cybulak, Kain, Bartosz Mikus, Anna i reszta naszych wspaniałych moderatorów, Urszula, Jackie Left, Undead Hedgehog, Undead byłoby jeszcze ciekawsze, Martyna Sito, Grzegorz, Agnieszka Saran,
537:  Jakub Poliszu, kazarką mag piekielnojamniczego ognia.
541:  Ten krab ma 49% pozytywnych recenzji już, dlatego moi drodzy, procenciki i punkciki się nie powinny liczyć, tylko powinny się liczyć dowód naoczny.
550:  Jak widzicie, początek gry, kiedy wasza postać zamiast żeby robić ciekawe rzeczy, zamiast żeby była ekspozycja, bawi się w...
558:  Pastum, Pastum, Pastum, Pietjew!
561:  Pietjew z kamieniem!
562:  Nie, nie, nigdy więcej!
564:  Wyznawca Rogatego Szczura, Kazerkołtee, Cztereksa, Faciek, Szymon Zajdel, Emerald, Istota Żyjąca, Wypłoś Lenny, Wypłoś Leśny, Jamniko Żerca.
575:  Dlaczego dzisiaj przekręcam słowa?
576:  Już wiem, bo jest rano, jest szesnasta.
578:  Bukłam543, Duch na huśtawce, Szymon, Czerwony Lis Magiczny Proszek, oryginalna nazwa, Majster i Maria Skoczylas oraz Martyna.
586:  Moi drodzy, witam was wszystkich najserdeczniej raz jeszcze na sobotnim naszym strumyku.
592:  I to powiedziawszy, przechodzimy sobie radośnie do muzyki już z Horizona i do samej gry.
598:  Ja tylko muszę radośnie powyłączać rzeczy muzyczne w tle tak zwanym, a zapomniałem, że pewne rzeczy się nie zmieniają.
605:  Dobrze.
606:  Anulino, dzięki za wsparcie od 9 miesięcy.
608:  Co tak wcześnie stream?
609:  A stwierdziłem, moi drodzy, że trzeba nadrobić fabularnie Horizona, ponieważ ostatnio rozkręcało się wszystko powoli.
616:  Ja byłem napalony, szczerze wam powiem, na Dragon's Dogma 2.
619:  Jak to się skończyło?
622:  Wiecie dobrze, jak to się skończyło.
623:  To się nie skończyło dobrze i dlatego pospieszno było z horizonem, a niedobrze.
628:  Trzeba dać więcej czasu, moi drodzy.
631:  Trzeba dać więcej czasu troszeczkę.
633:  Ja bym chciał nie klon Wiedźmina, moi drodzy, growy jakiś rzeczywiście, tylko chciałbym porządnego, dobrego RPG-a, magicznego i tak, muszę poczekać do czerwca na DLC do Elden Ringa.
645:  I tutaj napisali w menu, że to jest druga część, prawda?
