🔴 Jaka piękna apokalipsa | HORIZON: ZERO DAWN Livestream #1
🔗 https://www.youtube.com/watch?v=K3gTsRIwBbs

26:  KONIEC
218:  Dziękuje za uwagę.
292:  Dziękuje.
434:  Muzyka Muzyka
516:  Dzięki za oglądanie!
548:  Horyzont Zero Świtu świąteczną porą.
552:  Witam serdecznie!
554:  Witam Prometa, witam Szymona Rogowskiego, witam Mateusza Jagiełło, witam naszą nową moderatorkę Kingę, która będzie kontrolować spoilery, witam Matęs, witam S88Art, Magdalena, Aleksandra, Waskin, Ola Kustra, Arabeska, Samuit, Belo, Prodigiozyna, Astrey, Łukasz Bartoszewicz, Karo, Fomka, Kuba, Grzegorz, Sapura, WertyJW, Rin, Balrog72, Weclever1,
578:  PL RENARD, FILIP WALCZYŃSKI, VASKIN, MATES1911, TUDUDU, EDYTA, WILK GRZYWNIA PIERWOTNA, APSTYFIKANT ARYSTOKRATYCZNEJ SNOBLISTKI, VETLAN CHANEL, ADRIAN KOZŁOWSKI, NERILELI, EWULINA HIRO, XAROT2211, MRÓWA DAG NUAR, ŻAPCIA TOMASZ MALEŃCZYK, witajcie najserdeczniej świąteczną porą moi drodzy!
607:  65 kg Carola, Venzant, Astray, Belop, Tokio, Antek Kapciński, Bigos, Serenoks, Pusia, Fantores, Majref, Stanisław Olejnik, Oskar Marek, Ciastko Korzenne, Mniam!
621:  Quite easy!
623:  Bear, Ultra Żaba, Lizus, Cesaria Magento, Paweł Zero, Catriona, Szuf, Usunięto!
630:  Nie wiem czemu Usunięto, Justyna Neko, Ziomek Kalu, Tony1, Patryk Hućhorus, Lomper Kalgadzinka, Shimbashini Rin, Agatka Sikorska, Bi Gomeza, Honster, Palitius,
643:  Mega Fuka, Bordowa Pomarańcza, Fridax, Livia Kucewała, Maciek Kuśka, Dżemorek, Bartek Kolo, Jaos, Krzysztof Postapo, tak moi drodzy?
655:  Maciej, Artysta Chaosu, Suzy Diamond, Etyrion, Nadia Lewi, Wojtek Pszczelarz, Helena, Pink Duke, bądźcie najserdeczniej powitani!
665:  Czy nie za gorąco w czapce?
667:  Jest zima!
670:  Aśku też witamy serdecznie, z całe nasze szlachetne grono moderatorskie w pełni obecne.
676:  Tarael, Aśku, Arabeska i jeszcze Samuit mi mignął i Kinga nowo przybyła, moi drodzy, moi drodzy.
686:  Chyba nie muszę wam mówić, że dzisiaj jest specjalny dzień, prawda?
689:  Dzisiaj jest szczególny dzień z tego względu, że będziemy grać w grę, o którą chyba najczęściej dopytywaliście.
696:  Ever.
697:  To znaczy Horizon Zero Dawn.
700:  Ja wiem, jest to postapo.
701:  Ja wiem.
702:  Zdaję sobie z tego w pełni sprawę.
704:  Ale równocześnie stwierdziłem, że nie ma innego wyboru, skoro są tutaj jamniki.
712:  To znaczy...
713:  dinozaury z długą szyją, to są pionowe jamniki, moi drodzy.
717:  Na wypadek, gdyby ktoś miał jakiekolwiek wątpliwości, teraz tylko muszę ustawić, że przechwytywał odpowiednią grę.
723:  I modlić się, że wszystko będzie w porządku graficznie.
727:  Oby.
728:  Język tekstów, oczywiście, że szwedzki.
731:  Bez chwili wahania.
