🔴 Okruch lodu | HORIZON: ZERO DAWN Livestream #9
🔗 https://www.youtube.com/watch?v=eS49HuSOA7Q

6:  muzyka
67:  KONIEC!
110:  Witam!
112:  Witam wszystkich przy...
115:  W sobocie zastanowił się Krzysztof.
117:  Witam na streamie z Hogu... nie z Hoguads Legacy, jeszcze nie.
121:  To jest Wishful Thinking, to jest moi drodzy Wishful Thinking.
124:  Horizon Zero Dawn wciąż.
126:  Witamy Palitkeusz, Lukas B., Jan Guzek, MD i dzięki za odnowienie wsparcia Dawid Wojacki, Bigomeza, Kalon, Xeno, Adus, Citrus, Bartosz Pszczółkowski, Supercool, Satan, Dyrychu.pl, Polpoliko22.
140:  Degresywny Wilk, TikTak, Małgorzata P, Ogoniasta, całe nasze szlachetne grono moderatorskie dzisiaj niepokojąco, niepokojąco liczebne.
148:  Miriam Nikomata, Magda M1, Alejandra, Pink Duke, X403, Banu i Filip, Nadia Lewiosa, Wilker, Pusia, Nasturcja, Firenz, Miraski, Karolitka, Jeep879, Juus, Jarek Pawlarczyk, Deflipper,
171:  MD po raz kolejny, Ili Koya, Cypres, Julka Opaczewska, Rainmakers111, Daniel Lisewski, No One i Rosu Skóry Domowej, Tsuki Tsubane, General Wing, Oskar Draus, Rabe44, Nariahem, Piotr Danisz, Bierny Obserwator, Gnuśny Jamnik, Olgi, Termomiksarczuk,
195:  Bordowa Pomarańcza, Simba Shini, Bartosz Pstrągowski.
200:  Parael, Jakub Olfier, Ogoniasta, Milord Mariusz, Morphy747.
205:  Dzisiaj wiele osób przeczytałem dwa razy, wiem o tym.
207:  Grzegorz Lupa, Miłosz Moniecki.
210:  Moi drodzy, fantastyczne wiadomości.
213:  Będziemy dzisiaj questować w Horizon Zero Dawn.
215:  Krzysztof, który nie odpalił gry, to jest skandal.
218:  Już odpalam grę w tle.
220:  Mam nadzieję, że nie będą dzisiaj jakieś żenujące glicze się działy.
223:  Szybkie ogłoszenia.
224:  Dobry jest serial, czaty.
227:  Wiecie?
228:  Dobry serial mianowicie...
235:  Zapomniałem.
236:  Spokojnie, spokojnie, spokojnie.
239:  Polecałem na Twitterze.
240:  Tego jest, jak mówią filozofowie, retencja trzeciego stopnia, zbiornik retencyjny, którym jest telefon, w którym zapisujemy nasze mniepomyśli i myśli.
250:  Prawo Lidii Poet.
251:  Wiedziałem, że pamiętam ten tytuł.
253:  To jest włoski serial, więc moi drodzy, Taliatelle Rossellini musicie obejrzeć koniecznie.
259:  Przepiękna sprawa osadzona w jakimś, ja wiem, XIX stulecie czy coś w tym stylu.
264:  Dzieją się rzeczy, troszeczkę sufrażyzmu, trochę takiego zdrowego feminizmu, bo oto prawniczka chce w świecie zdominowanym przez mężczyzn prowadzić sprawy kryminalne.
273:  Ciekawe sprawy, nomen omen.
275:  Bardzo polecam, moi drodzy.
280:  A Carnival Row to swoją drogą.
287:  Carnival Row to, moi drodzy, swoją drogą, wreszcie się zabrałem za recenzję, wreszcie widać Horizon, dobrze.
295:  Rów kardynała.
298:  Więc Carnival Row to swoją absolutnie Wam polecam.
301:  Jak ktoś nie widział recenzji, to jest już na kanale.
304:  Dobre rzeczy się dzieją.
305:  Julka Opatrzewska pisze, że to jest arcydzieło.
307:  No proszę.
309:  Aleksandra pisze, włoski serial i aż mi się zachciało pasty na obiad.
312:  Aleksandro, a gdyby tak?
313:  Obejrzeć sobie Prawolidii Poet?
317:  Nie wiem.
318:  I równocześnie zjeść pastę.
324:  Panna Scarlet i Detektyw jeszcze polecana jest przez Nadię Lewiozę.
327:  Boże, jaka ta muzyka jest piękna.
338:  Przepiękne.
339:  Czy będą jakieś dymy na streamku?
341:  Nie wiem, nie wiem.
343:  Zobaczymy.
345:  Zobaczymy.
346:  Ostatnio, jeżeli chcecie dymy, to na Twitterze jest cudowna sytuacja.
351:  Ja chyba to jednak wam puszczę, moi drodzy, bo to jest zbyt dobre.
355:  To jest autentycznie zbyt dobre.
357:  Mianowicie, znany bohater, znany bohater sieci,
361:  Teraz już wam pokazuję.
363:  Znany bohater sieci, tzn.
367:  do**** Piotr Napierała, stwierdził, że zaatakuje sobie Sigillium Authenticum.
373:  Jak nie wiecie, to jest portal, który demaskuje bzdury historyczne, więc w takim bardzo typowym
381:  napierdalalowym stylu jest to powiedziane, więc tutaj możecie sobie przeczytać rzeczy, których ja nie będę czytał, bo język to plugawy w ustach akademika, powiedzmy w cudzysłowie akademika, bo jednak trzeba rozróżniać naukowców od naukawców.
395:  Moja mama zwykła mawia, że są ludzie, którzy piszą teksty naukowe i ludzie, którzy piszą teksty naukawe.
401:  No więc książka Historia Polski bez mitów wygląda, że jest książką naukawą,
406:  Nie polecam, jak chcecie szczegóły, to na Twittera zapraszam, Sigillum Authenticum, to prowadzi Artur Wójcik, który jest zresztą znany z baszowania mitologii Wielkiej Lechii.
418:  Więc tak, cóż mogę rzec czaty, aż się, a tak się składało, że ostatnio na Horizonowych streamach ktoś dopytywał, dlaczego Krzysztof nie przyjmujesz zaproszenia do dyskusji?
429:  No...
431:  Dlatego pochlebiam sobie, że mam dość dobre wyczucie.
439:  Maka111.
440:  Dlaczego Paweł Opydo mnie nie lubi?
441:  Lubimy się z Pawłem Opydo.
443:  Przecież widzieliśmy się nawet z Pawłem Opydo, gdzie to było?
445:  Na konwencie niedawnym.
449:  Jeśli mnie pamięć nie myli.
450:  Cóż to był za konwen?
451:  Kopernikon.
454:  Dlaczego zielone?
456:  To nie jest zieleń, moi drodzy.
457:  To jest turkusowy.
459:  Zawsze taki był na horizonowych streamach.
464:  Jak się nazywa muzyka, która leci, jak Olga Tokarczuk otwiera usta?
467:  Nie mam pojęcia, dygresywny wilku.
469:  Nie wiem, jakiej muzyki słucha nasza snoblistka, ale coś mi mówi, że jest to Mozart.
474:  Nie, żebym nie lubił Mozarta, ale wiecie, co innego jest słuchać Mozarta, jak się lubi, a co innego słuchać Mozarta, jak wypada, nie?
484:  Aaaa!
487:  Te ledy są zielone, Krzysztof.
490:  A co, chcecie mi powiedzieć, że były inne ledy wcześniej?
494:  No nie mówcie mi.
498:  A może były inne?
500:  Może były inne?
508:  Czy to są ledy horizonowe?
512:  Może to są ledy horizonowe?
514:  Nie wiem, nie pamiętam!
515:  Ach, wiem!
517:  Bo myśmy zmienili w ramach dodatku Frozen Wilds.
522:  Macie rację, czaty mają rację.
525:  Nowe nie znałem.
528:  Kontynuuj.
530:  Teraz są trucizny.
531:  Tak miało być, bo jest lodowo.
532:  No macie rację.
534:  Symfonia Gimel-Mozarta oddaje, pisze Just Whitely.
537:  W ogóle ja strasznie nie lubię tego, że muzyka instrumentalna jest, wiecie, tak baszowana domyślnie z tego względu, że dużo ludzi się na nią snobuje.
545:  Ja na przykład uwielbiam do dzisiaj sobie posłuchać czegoś.
548:  Pamiętam, jak wrażenie na mnie pierwszy raz zrobiła symfonia zegarowa Haydna, w której jak się wykonuje, to jest taki zwyczaj, że zapala się świece i pod koniec gasi się każdą z nich.
560:  Coś wspaniałego.
562:  Nowe nie znałem, Krzysztof zapomniał, prawda?
565:  BiesiChart pisze, że kilka lat temu odbił się od Carnival Row, po odbieraniu recenzji dał mu drugą szansę.
569:  Dobra wiadomość jest taka, że to jest o wiele lepszy sezon od pierwszego, bo można się odbić od pierwszego, jeżeli się nie lubi romansu albo jeżeli się nie lubi fantastyki młodzieżowej.
576:  To wtedy można.
580:  Muzyka klasyczna jest dobra do nauki, taka ciekawostka.
581:  Wiesz, dlaczego cutover?
582:  Dlatego, że muzyka instrumentalna generalnie, rzecz biorąc, nie angażuje nas aż tak, jak wokalna.
588:  Więc to jest proste, no nie musisz się wsłuchiwać, nie rozpoznajesz słów i tak dalej, mniej cię rozprasza.
592:  Ja dlatego lubię ambienty.
596:  Czy będzie omówienie nowego Antmana?
597:  To jest raczej na bez schematu, moi drodzy.
599:  Co myśmy robili?
600:  Ja nie pamiętam.
601:  To raczej na bez schematu, ale moi drodzy, ważna rzecz i ważna informacja.
605:  W nowym Antmanie
609:  jest jamnik.
611:  Dlatego ten film jest najwybitniejszym filmem w historii Marvel Cinematic Universe, w historii w ogóle srebrnego ekranu.
617:  Nie ma lepszych filmów, nigdy nie było, chyba że były w nich jamniki.
620:  W związku z powyższym, jedyna moja recenzja tego filmu jest taka, jest w nim jamnik, musicie iść i to zobaczyć.
626:  Każda recenzja, którą przeczytaliście, która nie miała w sobie tej informacji, jest recenzją niewiarygodną, bezsensowną i do wyrzucenia kant ściany rozbić.
634:  Jest jamnik.
635:  Nie interesuje Was nic innego.
636:  Nie interesuje Was Peyton Reed, nie interesuje Was Ant-Man, nie interesuje Was Osa, nie interesuje Was Michael Douglas nawet i Michelle Pfeiffer.
643:  Nie.
644:  Tam jest jamnik.
645:  Pojawia się całe 2,5 sekundy, ale jest.
649:  Będę na omówieniu The Last of Us bez schematu.
651:  Nie byłem ostatnio, bo się bardzo źle czułem.
653:  Witamy Jakuba Boczka w gronie Trybutariuszy.
656:  Moi drodzy, to okazja na zajamniczenie się.
657:  Co my mamy teraz zrobić?
659:  Wykaż się przed Werekiem?
664:  Musimy wykazać się przed Werekiem.
667:  Okej?
668:  Wykażmy się przed Werekiem.
670:  Czy widziałem w końcu kota w butach?
671:  Widziałem, bo jestem zachwycony absolutnie, rewelacja.
672:  Prosimy jamniki dla Megi.
673:  Jak się obniżało?
674:  Aha, page down, okej.
675:  Poziom mapy, dziękuję.
696:  Ojej... Moi drodzy, zwiedzanko!
701:  Co wy na małe zwiedzanko?
702:  Chyba... Ojojojojojoj!
706:  Zaojojować trzeba wspólny sekret znajdź szynę!
710:  Lecimy, moi drodzy, po szynę!
712:  Jak stąd wyjść?
713:  Nie wiem.
714:  Wiecie co?
715:  Wiem, co zrobimy.
717:  Po prostu się tepniemy stąd, byle gdzie.
720:  Eeeem... Eeeem... Eeeem... Ognisko.
729:  Powiedz nam coś o uniwersum Lulu and Friends, pisze nas Turcja.
733:  Choco można rozpoznać po tym, że ma jasnobrązowe paćki na klatce piersiowej, dumnie wyprostowane jak u wszystkich jamników.
740:  Zobaczmy sobie dzisiaj coś z Lulu and Friends swoją drogą.
742:  To jest dobry pomysł.
