🔴 Powrót allomancji | HORIZON: ZERO DAWN Livestream #6
🔗 https://www.youtube.com/watch?v=wN7NbqtUeqs

23:  muzyka
42:  KONIEC
108:  Muzyka Muzyka
184:  Zdjęcia i montaż
235:  Zdjęcia i montaż
246:  Witam wszystkich, witam wszystkich przy naszej sobotniej wyprawie do świata Horizon Zero Dawn.
254:  Witam przy dźwiękach Spirit of the Ages, Joe Vandrini.
258:  Witam serdecznie Osberv, Pusia, Zuza, Obal, Rok72, Kagrrald, Pełcio, Emeriu, MD, Gilnajman2137, X403Mates1011, Martyna S.,
271:  która dotarła na live'a po raz pierwszy, Jamniki dla Martyny, En, Mumina, Kapcatka, Hysze, Wojtek Pszczelarz, Persefone, czterdzieści cztery, Hysza, Józ, MakMaks, Kretka, Awionetka, Jakub Sitkiewicz, który czyta drugą część,
287:  wspaniałej trylogii Haskadrialu z uniwersum kosmicznym, czytajcie Brandona Sandersona, moi drodzy, również Szymon Rogowski, Helena Jebekka, Brontos, Bumblebee, Hinagiku, L. Crawford, Lord, Anfar, JVG, Azjofae, Leniwa Ola, bardzo dobrze, trzeba być gnuśnym, trzeba być leniwym w tych okropnych czasach,
308:  które nas zachęcają do ciągłego zapierdolu.
310:  Witamy biernego obserwatora, witamy z Sariela, Rychu.pl, Sprytna Wanda, która ma rady dla nas, Chrysens i Rodą, Małgorzata P. Jesz z Erlenwaldu, Tomasz Adamski, Benzant, Brulen, Paweł Walczyński, Tomasz Bergander, Bartek Liptowski, Mr. Snorlax, Grim Lukas, Ber...
328:  I znowu zjeżdżam na dół, gdzie będzie mnóstwo nowych ludzi, jako to Adus, Cytrus, Gosia, Ośka, TikTak, Lufenrel, Gajsek, Asjapa, Gnuśny Jamnik, hehehe, Olgi, Kseroko, Piarczuk.
342:  Ha!
343:  Ha!
346:  Nie, nie robi się tak.
349:  Krzysztof wyszedł, wyszedł z rytmu.
354:  Róża Izabela, Jakub Przybył, Pusia, Simba, Sini, Antonina Dubiel, Kambriana, Anna, Zofia, Arabeska i nasze szlachetne grono moderatorstw, Jakub Olfir, który wspierał od pięciu miesięcy, Bananas Island, Martyna, Bieniok.
368:  Nie chcę rogą biać.
372:  Nie mogę.
373:  I co się dzieje jeszcze do tego wszystkiego?
375:  Małgorzata P. jest Jamnikołajką i podarowała wsparcie o bogowie.
380:  Witchcraft Volpe, Gajsiek, Antonina Dubiel, Róża Izabela, przed chwilą powitani Szymon Rogowski, takoż otrzymali wsparcie od Jamnikołajki Małgorzaty P. How cool is that?
394:  Krzysztof wyszedł z siebie i stanął obok.
396:  Tak było, moi drodzy.
397:  Tak było.
400:  żebym słyszał, co wam puszczam teraz.
403:  Moi drodzy, zanim, zanim przejdziemy, zanim przejdziemy do Horizon Zero Dawn, mam coś dla was.
410:  W ogóle mam nadzieję, że się dobrze macie w tym gorącym czasie sesyjnym.
414:  Witamy także Taraela, dawno niewidzianego, i Dominikę Miszkę-Klimczak, która jest również jamunikotwórczynią i robi wspaniałe rzeczy.
420:  W tej chwili nic nie będę zdradzał, ale śledźcie Instagrama, śledźcie Instagrama Dominiki.
425:  Moi drodzy, zastanawiacie się pewnie wiele razy, jak to jest robić YouTuby.
430:  Z pewnością, z pewnością to jest myśl, z którą wstajecie rano i idziecie przez cały dzień, bo to jest najważniejszy problem świata.
438:  Ja dzisiaj, na samym początku, przy tych wspaniałych leprechaunskich dźwiękach, mam dla was sekret!
445:  Mam dla was sekret, który odkryłem!
448:  I to będzie jeden, jedyny przypadek, kiedy zrobiłem hejtsup, znaczy zasubskrybowałem kanał tylko po to, żeby się z wami pośmiać z niego.
455:  Mianowicie natrafiłem na kanał,
459:  Wesnimo.
460:  Wydawałoby się, że spokojnie, że fantasy, że gry wideo witają nas ten kanał radośnie, a potem zobaczyłem jaki jest jego sekret.
469:  Zobaczyłem, że ten kanał tak naprawdę odkrył przed nami to w jaki sposób robić content na YouTubie.
476:  Ciekawy jestem, czy zauważycie pewną prawidłowość, która pojawia się na tym kanale.
481:  Skupcie się uważnie, moi drodzy.
484:  I zwróćcie uwagę na wyczytywane przeze mnie miniatury.
488:  Big update.
489:  Huge news.
490:  This is big.
491:  It's huge.
492:  it's that big huge update it's this huge huge updates it's that big it's so huge this is big it's that bad it's huge it's big this is huge it's that big it's massive big update this is big it's huge big reveal this is great this is huge huge leaks this is big
515:  This is so huge.
516:  This is bad.
517:  Go to horny jail.
519:  Major news.
520:  This is big.
521:  This is huge.
522:  This is big.
522:  This is huge.
523:  This is sad.
525:  Huge news.
525:  This is huge.
526:  This is big.
527:  This is huge.
528:  Major news.
529:  New details.
530:  This is huge.
530:  This is big.
531:  This is huge.
532:  This is big.
533:  Huge news.
534:  This is huge.
535:  This is great.
536:  This is bad.
537:  This is huge.
537:  This is big.
538:  This is sad.
539:  This is huge.
540:  Bad news.
541:  This is great.
541:  This is...
542:  Myślę, że... Myślę, że odkryliśmy w tym momencie, co robić, żeby osiągać sukces.
551:  Potężny kanał!
553:  Error!
554:  Big, huge mistake!
555:  This is fine!
559:  Boże drogi!
560:  Gdzie... Gdzie myśmy wylądowali, moi drodzy?
564:  Gdzie myśmy wylądowali?
568:  Jak wrażenia po kolejnych odcinkach Legend of Vox Machina?
571:  Zabiję ich za te cliffhanger'y, ale jest cudownie.
574:  Zwłaszcza...
575:  że są rozbudowywane postaci, więc macie już w zasadzie gwarantowaną moją recenzję numer dwa, w której tym razem nie będę się skupiać na świecie, tylko skupię się jak raz na postaciach.
585:  Sangonomiya Kokomi Vibes.
586:  Nie, naprawdę, ten kanał, ten kanał mnie zniszczył.
589:  On mnie zniszczył i przemielił.
591:  Żeby nie było, że ja jestem jakiś strasznie złośliwy, ale autentycznie cały, cały czas tak to jest.
595:  Tutaj w którymś momencie miał, miał taki moment z mini-miniatury, ale stwierdził, nie, nie, nie, nie, nie, nie.
600:  Trzeba, trzeba powrócić do starego, do starego dobrego.
604:  w stylu tytułowania filmów.
607:  Jedyna moja hate subskrypcja jaką mam, moi drodzy.
609:  A, i jeszcze, jeżeli już jesteśmy w temacie dziwnych YouTube'owych rzeczy, jeżeli byście się zastanawiali, w jaki sposób pociąć drzewo, które upadło wam, to polecam Quality Content od Asmongolda, który postanowił ruszyć na sidequest swojego życia i pociąć drewno na swoim ranczu w Teksasie gigantycznym mieczem półtoraręcznym, by
