🔴 Łowczyni łowi ładnym łukiem łżące łosie | HORIZON: ZERO DAWN Livestream #3
🔗 https://www.youtube.com/watch?v=k3QOwNxingg

46:  Dziękuje.
75:  Muzyka Muzyka
155:  Dzięki za oglądanie!
210:  © PTA & TVP
262:  KONIEC
298:  Witam w Horizon Zero Dawn podczas streamu sobotniego!
305:  Niech żyje mikrofon, bo umarł mikrofon!
310:  Oficjalna zmiana została wreszcie dokonana i tak, niestety, tak, jest to Shuresm7b, tak, wiem, jestem teraz jak wszyscy.
318:  Trudno!
319:  Działa i to jest najważniejsze!
321:  Witam Yus, Palitkeusza, Mairefa Avaran,
325:  Grzybnie Pierwotną, Ole Kustre, witam wszystkich, Trybutariuszy, wszystkich nietrybutariuszy, Mitriam, Pusia, Podwodnobrody, niech będą powitani, Jamnikado, Alejandra i jej znajomi, których serdecznie pozdrawiam, Grim Lukas, Filip Borowik, Mester Snorlax, Agnieszka Brzozowska, Anna, Kisii.
345:  Aleksandra, Bookworm543, TikTak, Iwanus, Urszula Giewon, Sawah Sky, TikTak, Oregano z rybą, Marta Szczepania, Krzysztof się zawahał, ponieważ zobaczył nazwę potrawy, która jest równocześnie nickiem, BiernyObserwator, Żuf, usunięto, Miłosz Maniecki, Jesz z Erlenwaldu, Agatheyszyn, Van Zandt,
364:  Karneval Mechisto, Jakub Zahara, Marcin Ignasiak, Likoja, No One, Wojtek Pszczelarz, MD, San Sifer, Alice in Poland, Kowcia1, ToastTrump, Eloni, LeafShade.
377:  Witajcie wszyscy, moi kochani.
380:  Ale się będzie dzisiaj działo, to znaczy Krzysztof będzie się uczył podstawowych mechanik.
385:  To się będzie działo.
387:  A poza tym, moi mili, poza tym, ważna informacja, ważna informacja na tę okoliczność, nawet przestanie nam na moment, towarzyszycie muzyka z playlisty The Epic Dachshund, ważna informacja jest taka, że w tygodniu nie przyszłym, ale ostatnim stycznia będzie wielka pożoga jamniczej pomocy.
407:  Będzie stream charytatywny, podczas którego będziemy grać w różnorodne gry.
413:  Na karcie społeczności możecie głosować w jakie.
416:  W planach jest albo twierdza kampania fabularna, albo Genshin Simpact.
423:  Jeszcze dwa inne tytuły, których nie pamiętam.
425:  A już wiem, Warhammer 3.
427:  Zapomniałem o Warhammerze, dlatego że tak długo Creative Assembly naprawia, tak?
432:  Ileż można naprawiać Warhammera?
436:  Jeszcze na sam koniec Ori and the Blind Forest.
439:  Muzyka trochę... Muzyka zawsze jest za głośno, moi drodzy.
442:  Muzyka zawsze jest za głośno.
444:  Teraz będzie oczywiście festiwal dostosowywania mikrofonu do głośności muzyki.
448:  Ja wiem, ja wiem, jak to będzie wyglądało, moi drodzy.
452:  Witamy Rafała Alobrudzińskiego jeszcze w gronie Trybutariuszy, moi drodzy, na sam początek.
458:  Moi kochani, moi kochani, co to się będzie dzisiaj działo, powiedział Krzysztof, który autentycznie tego nie wie.
465:  Przede wszystkim przepiękna muzyka z Horizon Zero Dawn.
468:  Już, już przyciszam, już przyciszam!
470:  Zgredek95, witamy od 16 miesięcy wspierającego nas Zgredka!
474:  Jamniki zagrają dla Wośp, tak będzie moi drodzy!
476:  I zagrają dlatego, że wiecie, będziemy grali.
481:  Właśnie byłam na Avatarze II i nie żałuję, pisze Ultrażaba.
484:  Widzicie?
485:  Ja byłem po raz drugi na Avatarze II.
488:  Ha!
489:  Seminarzyści mnie wyciągnęli.
490:  Pozdro serdeczne dla seminarium Ucieczka sprowadza do domu.
493:  Tak, to jest tytuł seminarium, tak jest pompatyczny.
496:  I byliśmy w IMAX-ie krakowskim.
499:  Ojej, jak wspaniale, tak?
500:  Dla tych z Krakowa, którzy nie wiedzą, jest znowu IMAX, Scottress jest w Zakopiance.
509:  Chciałem zrobić dłuższy stream, dobrze mnie wyczuliście, więc zrobimy tak, że będzie krótka przerwa po prostu, ale chciałbym, żeby ten stream był 6-8 godzinny przynajmniej.
518:  Czy Krzysztof zna grę Stray?
519:  pyta Sawaskaj.
520:  Niesamowita gra, dzisiaj ją odkryłam.
521:  Chętnie obejrzałabym na streamie.
523:  Krzysztof zna i chciałby, żeby zamiast kota był tam jamnik.
526:  Dzięki ci za trybut, Sawaskaj.
528:  Iwanus wspierający od 16 miesięcy pisze ogień dla Boga, ognia jamniki dla jamnikowy tron.
533:  Cóż za wspaniałe powitanie, Iwanus.
536:  Krzysztof Morze Minecraft, pisze Kinga, która jest moderatorką, ale i to nie uchroni jej przed wybuchem mojego ognistego gniewu.
542:  W życiu.
543:  Żaden Minecraft.
545:  Szkoda, że nie zrobili tego IMAXa, jak Dune'a jeszcze chodziła.
547:  O Jezu, tak!
548:  Ale bym obejrzał w IMAXie Dune'ę, ale obejrzę drugą część.
554:  Oskar pisze, że zauważył na streamach, że mam na półkach malazańską księgę poległych.
556:  Co o niej uważam?
568:  Chcę przeczytać całość wakacje wreszcie.
570:  Tam jest, dobrze rozpoznane.
572:  Ale utknąłem na Bramy Domu Umarłych, to jest drugi tom, ponieważ stwierdziłem, że nie dam rady przeczytać całości, a jak ja zacznę, to muszę przeczytać całość.
582:  Więc na razie czytam jeden tom i jestem pod bardzo dużym wrażeniem światotwórstwa.
