🔴 JAMNIKOŁAJKI 2023 (cz. 1)
🔗 https://www.youtube.com/watch?v=EaSYhXxaCwk

91:  muzyka
137:  KONIEC
192:  Muzyka
221:  Witam wszystkich najserdeczniej w jam Nikołajki, moi drodzy!
226:  To dzisiaj, nie 6 grudnia, 10 grudnia i będzie nam grało jeszcze raz... Anna Słania, mam dzisiaj was na innym ekranie niż zazwyczaj, więc będę patrzył w dół.
249:  Arti Niezłomny, Likoja, Lon, Neto, Jamnicja z Krainy Czarów.
253:  Dzisiaj szczególne powitania dla wszystkich, którzy mają jamnicze niki.
256:  Mikołaj Trąd, Mateusz Jamrus, Filippo Viridian, Arti Fresco, Agnieszka Brontos, Lovely Flames, Grzegorz Sikora, Łukasz Szelewicki, Eddie Edge, Ikinia92, Destroyer, Małgorzata Piłat, Julinas,
268:  Chinagiku, Tupacz oraz Siwy Dym, Batrus, Merkoks, Tomasz, Tomasz, dziś was tak wiele, że nie nadążam z czytaniem wszystkiego jamniczego, moi drodzy, częściowo odzyskałem głos, częściowo, częściowo, nie przyzwyczajajcie się.
284:  Koltis, Palitkeusz, Tomasz, Tomasz, wszyscy, którzy byli na Śląskim Festiwalu Nauki, wszyscy, których nie było na Śląskim Festiwalu Nauki, wszyscy, którzy mają jamniki, wszyscy, którzy nie mają jamników, bądźcie powitani, Zły Czarownik, Newras, Martyna, Sito, Arkadiusz, Cybulak, Lynn, Czerwony Lis, Emeriu, Karwaska, Jednoręki, Bandyda, Susie Diamond, Wenzan, MagdaM1, Weronika, Horoszuka,
307:  Wszyscy przybyli tłumnie dzisiaj, żeby zrobić dziwne rzeczy, bo nikt nie wie, co się będzie działo w jam Nikolajki.
313:  Zaraz dopiero ujawniam program.
314:  Rafał Piórkowski, Grabka444, dziękuję Ci serdecznie za 27 miesięcy wsparcia, rany boskie.
321:  Czy był oglądany specjał na 60-lecie doktora Hu?
323:  Nie!
325:  Proste pytania, proste odpowiedzi.
327:  Nabuchodonzor wzdłużony niech będzie powitany, moi drodzy.
329:  To tak samo wzdłużony Nabuchodonzor, wzdłużony jak jest ten wspaniały jamnik.
334:  Dlaczego go pokazuję krzywo?
335:  To przestań pokazywać krzywo jamnika, teraz będzie dobrze.
338:  Jamnik, którego otrzymałem, moi drodzy, od Horacego, dla którego zbieraliśmy ostatnio.
344:  Bardzo wam dziękuję serdecznie za zbiórkę, która się powiodła.
348:  I serdeczne powitania dla całej reszty.
350:  Alan Aleksandrowicz, Smutny Ślimakołak, Mr. Motionless, Suzy, Wilson, Serenox, Kama Greenberg, Czarna Kuzka, Zgredek95, który życzy wszystkiego jamniczego w te jamnikołajki.
361:  Tak jest!
362:  I Bear, dzięki za wsparcie od 17 miesięcy.
364:  Zgredek wspiera od 27 bogowie.
367:  17 jamnik pisze Bear.
369:  Witam serdecznie Jakuba Raciawellego.
371:  Prawda, że jamnik jest piękny?
372:  Jamnik jest piękny, bo jamnik jest świąteczny.
375:  Jamnik świąteczny jest grzeczny.
377:  Petro 900, Czarmikołaj 3, Kacper Eł, Nightflesh, witam i dziękuję za wsparcie od 9 miesięcy już.
384:  Aredel, wszyscy zgromadzeni, moi drodzy, without further ado...
389:  Informacje dla Was, a jest ich sporo.
391:  Mianowicie, po pierwsze, dzisiaj zbieramy na Fundację Jamniki Niczyje.
398:  Wreszcie nadszedł dzień, musieliśmy kiedyś to zrobić, moi drodzy.
402:  Fundacja Jamniki Niczyje potrzebuje naszego wsparcia.
406:  Wspierają mianowicie na Szczeniaka 6-7 miesięcznego.
409:  Jeżeli jesteście w stanie, mimo świątecznego okresu, poświęcić parę grosiwa na Jamniki Niczyje,
415:  Czyńcie to.
417:  A jak uzbieramy, to będę mieć dla was następne informacje.
420:  Jakie są jeszcze plany?
422:  Będziemy robić jamniki jejajowe.
424:  Będzie Q&A jak zawsze.
425:  Od Q&A sobie zaczniemy, bo żeby wszystko się rozkręciło.
428:  Ale moi drodzy, to nie tylko.
430:  Jak jeszcze długo wytrzymacie, to będziemy grać w wyjątkową, jedyną w tym rodzaju grę, która się wam nie wyświetla.
439:  Mianowicie The Lost Dachshund.
443:  Tak jest!
444:  Gra, która ma możliwość grania także po hiszpańsku!
448:  El Dax Hunt Perdido!
450:  Takie rzeczy będą się dzisiaj działy, moi drodzy.
452:  Ja sobie tego wszystkiego nie wymyśliłem, a to tylko jeszcze początek, ponieważ mam dla was również jedną rzecz.
459:  niezależnie od wszystkiego.
460:  Mianowicie książkowo wróci czytanka, ale przede wszystkim, moi drodzy, będzie też info i wiadomość serdeczna dla Holistycznej Agencji Eskapistycznej.
468:  Mianowicie Holistyczna Agencja Eskapistyczna otrzyma prezent i to wszystko się będzie działo dzisiaj.
472:  Ja nie wiem, moi drodzy, jak zdążymy.
474:  Jeszcze dziękuję serdecznie za rozdanie wsparć.
477:  O Bogowie!
478:  Paczej Kotel dziękuję za wsparcie od 9 miesięcy.
480:  Adrian Widłak jest Jan Nikołajem.
483:  Spokojnie, są jeszcze święta, moi drodzy.
485:  Będzie Ori, będzie Ori.
487:  Wszystko będzie, moi drodzy.
488:  To jest zbiórka sprzed 8 lat, pisze...
513:  Jak to sprzed 8 lat?
514:  Ale ta zbiórka jest cały czas czynna!
517:  Czyli tej zbiórki się nie da wesprzeć, moi drodzy?
519:  O nie!
521:  Załamaliście mnie teraz!
522:  Jak to się dzieje?
524:  My nie możemy wesprzeć tej zbiórki!
528:  Najgorzej!
529:  Ja myślałem, że ona dalej działa!
536:  Coś wykombinujemy, moi drodzy, coś wykombinujemy.
539:  W takim razie ja przekażę donację w waszym imieniu.
542:  O, tak zrobimy.
544:  Dramat po prostu, dramat.
545:  Ja wiedziałem, ja wiedziałem, moi drodzy, że musi coś pójść nie tak.
548:  Ja wiedziałem, że musi pójść coś nie tak.
550:  Dobrze, moi drodzy, płynnie przechodzimy, tak, żeby nikt nie zauważył, do muzyki z Q&A i będziemy działać, moi drodzy.
558:  Grabka pisze, polecam obczaić specjał na 60-lecie doktora Hu.
561:  Tak jest!
562:  Zostanie obczajony, moi drodzy.
564:  Krzysztofie, łap nazwy jamnikołajowego kanału, nie tylko Lulu & Friends, Mac Wemili Dachshund została złapana w takim razie.
572:  Frank338, dziękuję za wsparcie od 7 miesięcy.
575:  I Just Whitely, dziękuję za wsparcie od 8 miesięcy.
578:  Mateusz Pocheć, dziękuję za możliwość podebatowania i porozmawiania na Śląskich Dniach Fantastyki.
582:  Było fajnie na Śląskich Dniach Fantastyki, pomyliłem przyciski.
585:  Było fajnie na Śląskich Dniach Fantastyki.
587:  Panie Skorpionie, dzięki za wsparcie od 20 miesięcy.
589:  Pan Skorpion też życzy nam wszystkiego najjamniczniejszego.
592:  Maciek się cieszy, że można było się spotkać z Katą.
594:  Dla wszystkich, moi drodzy, z Katowic pozdrowienia.
597:  Ojej, za to można zaadaptować wirtualnego jamnika, to dobrze, to dobrze.
602:  Czy jamnik świąteczny jest niebezpieczny?
604:  Tak nie jest, absolutnie.
606:  Dlaczego tak jest, że zbiórki są aktywne, moi drodzy, mimo że nie są aktywne?
610:  Mam nadzieję, że będzie taka możliwość, żeby wesprzeć jeszcze Fundację Jamniki Niczyje.
614:  Napiszę do Fundacji Jamniki Niczyje w tej sprawie.
616:  Bogowie, Night Flesh szaleje i rozdaje wsparcia jamnikołaje.
621:  Dziękuję najserdeczniej, moi drodzy.
623:  Jak tam zdrowie?
625:  No średniawo, Jakubie, średniawo, ale mówię, przynajmniej tyle.
630:  Ja nie wiem, czy ja będę w stanie, moi drodzy, to przeczytać.
633:  Przeczytam część na pewno osób, które otrzymały wsparcie, bo nie oprócz Night Flash, Adrian Widłak, Bujam, Nikołajem i Maciej.
639:  Wciąż jeszcze udaje mi się, moi drodzy, zapanować nad tym wszystkim.
642:  Nie jest to proste, ale się udaje.
645:  Likoja, Paweł Radnicki dołączał, Szczwany Lis, dziękuję najserdeczniej, Mariorie i Miły Pan.
652:  i Trill.
654:  Och, ojej.
656:  Tropka94, dzięki za wsparcie od Czterech Miechów.
658:  Agnieszka Kupiec.
659:  Dobrze, moi drodzy, żeby nie było tak, że ja czytam, a wy nic nie widzicie, dobrze?
664:  To podam wam jeden protip.
666:  Bardzo ciekawy protip.
668:  Na okoliczność, moi mili, używania AI-ów, tak?
671:  To znaczy, protip na okoliczność używania AI-ów jest następujący.
675:  Piszecie prompta w czacie GPT, nauczyli mnie tego studenci i następnie, jak prompt zostanie napisany przepiękny, wchodzicie do AI, którego chcecie i proszę bardzo, macie ślicznego jamnika.
685:  I dzięki temu ja mogę wam pokazywać jamnika i czytać dalej, ponieważ to, co się dzieje na czatach, to jest katastrofa istotna.
691:  I nieprawdopodobne rzeczy.
693:  Katastrofa prezentowa, ponieważ dołącza do grona jamnikowiewów Wieszcz Pingw, dziękuję jego tłustości, Wieszczowi Pingwowi, Wilson, Judyta, Alanciar, Agnieszka Kupiec dołączają, Dawid Wojacki, Neto, Jackie Left, szaleństwo jamnikowaje.
707:  Bryszardo, Kuba Tasak, jeżeli ktoś chciał dostać wsparcie, krótko mówiąc, i od dawna przychodził na kanał, dziś jest wasz moment, tak?
715:  To jest ten moment, moi drodzy.
717:  Co mi się dzieje z zoomem?
718:  Nie wiem, co mi się dzieje z zoomem.
719:  Zuzao, czy doczeka się w końcu dnia, w którym zagramy w Ori?
723:  Nie wiem.
724:  Ja już nic nie wiem.
726:  jaka dzięki wsparciu od 8 miesięcy, najlepszego również dla Ciebie, Nir Naif, Arnoje Diet dołączę, niestatystyczna, będę losowo wyczytywał osoby dołączające do grona wspierających.
735:  Krzysztofie, musisz przejść Alana Wake 2, pisze Frogett67, mówiłem, będzie chaos, moi drodzy, ja będę wyczytywał rzeczy, będę czytał Wasze pytania, będę machał jamnikiem i będę w którymś momencie także czytał jamnikarium, sprowadziłem dla Was tę książkę,
748:  Wiecie, na czym polega problem?
750:  Ja ją komuś dałem, ponieważ byłem za dobry.
752:  Tak, dałem jamnikarium.
753:  Jak można było komuś dać jamnikarium?
755:  W związku z powyższym ujawniam, że dzisiaj będziemy czytać jamnikarium, skoro, cholera jasna, nie udał się chytry splant ze zbiórką.
762:  Co powiedziawszy, Łajtki pozdrawia z UJ, to niestety będę z wami do 20.
769:  Dobrzej, Łajtki, ja nie wiem, czy ja wytrzymam dłużej z moim gardełkiem nieszczęsnym.
774:  Och, i dziękuję świętemu jamnikowi za dołączenie do grona wspierających.
778:  Moment, moment, moment, moment, moment, moment, moment, moment.
781:  Święty jamnik.
783:  Święty jamnik zasługuje na pokazanie jamnika, którego nigdy jeszcze nie pokazywałem, moi drodzy.
789:  Proszę bardzo.
790:  Działa nawet fokus z tego wszystkiego.
792:  Tak się przeraził, że działa.
793:  To jest niepokazywany wcześniej jamnik.
796:  Proszę bardzo.
797:  Mówiłem, że będą się działy dzisiaj rzeczy.
798:  Dziękujemy świętemu jamnikowi za dołączenie Jackowi Witkowi, ale również dziękuję Bear za bycie jamnikołajem.
804:  Niuch!
805:  Gdzie jest mój?
805:  Nie, dzisiaj nie ma niuchacza.
806:  Dzisiaj jest wyłącznie świąteczny jamnik, moi drodzy.
808:  20 wsparć.
810:  Dziękuję serdecznie.
811:  Każdy widz Krzysztofa będzie wspierającym przefili, bo istnieje takie zagrożenie.
816:  Na stronie Fundacji Jamników Niczyich są aktualne zbiórki.
819:  O, o, moi drodzy.
820:  I to jest dobre rozwiązanie.
822:  Wejdziemy na stronę Fundacji Jamniki Niczyje.
824:  Ja wam dam linki po prostu.
827:  Nie będziemy mieli fajnego sposobu na zliczanie tego wszystkiego, ale co tam, ale co tam.
