🔴 Wszyscy jesteście jamnikołajami! | JAMNIKOŁAJKI 2022
🔗 https://www.youtube.com/watch?v=1NYqpSgTqSU

24:  KONIEC!
73:  muzyka
95:  muzyka
208:  Ja mnie kłajki!
220:  Witam wszystkich najserdeczniej!
223:  To będzie, moi drodzy, nasza nowa tradycja.
228:  5 grudnia co roku będziemy spotykać się na Jamnikołajkach, a wals jamniczy na tyle piękny, że puszczam go jeszcze raz.
235:  Witam wszystkich wspierających.
238:  Witam dzisiaj bez słuchawek, przynajmniej na razie.
241:  Bogowie!
243:  Dad Grammer postanowił w wielkim stylu rozpocząć.
247:  50 wsparć!
247:  Co tu się dzieje? !
253:  Ile prezentów od Jamnikołaja!
256:  Achmed Pepe, bukuks03, Ada dołączają do wspierających.
263:  Dzięki Jamnikołajowi Dadgramerowi!
265:  Polish Dan Reviews, Ato.
268:  Dadgramer pisze, jamniczcie się, ale równolegle, żeby było ciężej wyczytywać, moi drodzy.
273:  Renard także podarował, lub podarował, przepraszam, jeśli mi zgenderuje, 10 wsparć.
280:  My nie rozpoczniemy, moi drodzy!
284:  Belop, Wojciech K50 otrzymali wsparcie, Sara Gawrońska, Krzysztof Wójcik, jamniki dla jamnikołajów, utrudnijcie mi jeszcze bardziej czytanie!
296:  Jacent Gróżewski przy jamniczym walcu, co tu się dzieje na sam początek, stupid thingy, Jarosław Cichoń!
303:  Pandemiczny student i jeszcze kazerko nowic już jamniczego ognia dołączył do grona jamnikołajów.
310:  Dziś mamy trzech jamnikołajów na czatach na samym początku.
314:  Dobry wieczór, Oskarze.
315:  Dzięki za wsparcie od 13 miesięcy.
317:  Witam wszystkich widzów, którzy się pojawili.
319:  Nie wiedzą, co się dzieje.
320:  Jeśli nie wiedzie, co się dzieje, to jest jamnik Boros, moi drodzy.
324:  Jamnik Boros charakteryzuje się tym, że połyka swój własny ogon.
330:  Mam nadzieję, że mi się uda pokazać jamnik Borosa.
333:  To jest jamnik Boros.
336:  A w tle są dwa inne jamniki.
337:  Dużo jamników.
339:  Więcej jamników.
340:  Tak!
341:  I do grona jamnikołajów.
343:  Będę tylko wyczytywał jamnikołajów.
345:  Kirito dołączył do grona jamnikołajów.
347:  Pięć osób otrzymało wsparcie dzięki niemu.
349:  Jakub Olfier dołączył do grona jamnikołajów.
352:  I następnych pięć osób otrzymało wsparcie.
355:  Hao Asakura wykrzykuje jamnikołajki.
357:  Ma rację w stu procentach.
359:  Moi drodzy, to, co ja dla was dzisiaj przygotowałem, nie spodziewacie się.
363:  Nie spodziewacie się.
365:  Ja się też nie spodziewałem tego, że tak zaczniemy, ale wy się bardziej nie spodziewacie.
370:  Wy się bardziej nie spodziewacie, moi drodzy.
373:  W trakcie jak wyczytuję, kochani, pokażcie tyle miłości, ile jesteście w stanie.
377:  Dominice Jamnikotwórczyni-Klimczak, to ona zaprojektowała przepiękną animację, która was powitała.
384:  To ona zaprojektowała miniaturkę jamniczą.
388:  Ma, moi drodzy, 9216 osób wspierających.
393:  Patrząc uważnie na to, jak jesteśmy tłumnie zgromadzeni na tych czatach, liczę, że ta liczba podskoczy, moi drodzy.
404:  Sepiks dołączył do grona trybutariuszy, Antoni Gryla wspierając od 4 miesięcy pisze, niech jamniki zapłoną, a na ziemię zstąpi chaos, piękne życzenia.
411:  I Onufry podarował 20 pakietów wsparcia, moi drodzy.
416:  Onufry też jest jamnikołajem.
420:  Co tu się dzieje, moi drodzy?
422:  To co tu się dzieje?
423:  A ja?
424:  Ja mam zaprojektowane zupełnie inne rzeczy jeszcze, moi drodzy, wiecie?
428:  To znaczy mamy zaprojektowane standardowo również brzmienia jamnicze.
438:  Tak jest, będzie dzisiaj dużo elektroswinga, będzie dużo gifów jamniczych, będzie dużo ciekawostek jamniczych, będziemy czytali książkę o jamniku.
449:  Bardzo bogaty plan, moi drodzy.
451:  Bardzo bogaty plan.
454:  A tymczasem... Jamniki dla jamnikołajów!
465:  Dawno nie było!
466:  Oj, dawno nie było!
468:  Ostatnim razem tak tańczyliśmy w Red Dead Redemption 2.
474:  Ale wtedy jeszcze nie było wielkiego suma na jamnika.
479:  Ja liczę, że ktoś zrobi z tego piękny jamniczy gif.
484:  Muszę zrobić ładny zoom.
485:  Zoomuj się!
488:  Brzydki zoom.
493:  Zoom jest knobny i nie chce współpracować.
498:  Po nawiasem mówiąc, też jest jamnik przygotowany przez Dominika Jamnika, twórczynie Klimczak.
503:  Jamnik fizyczny!
507:  Na pochybel wszystkim, którzy tręczą zwierzęta!
511:  Na pochybel wszystkim, którzy nie uznają wyższości jamników w kulturze, którzy robią animacje o wszystkich zwierzętach, tylko nie o jamnikach!
520:  Którzy dodają jamnika do Far Cry'a szóstki, który jest sparaliżowany!
525:  Nieszczęsny!
526:  Na pochybel!
528:  Na pochybel wszystkim niedoceniającym piękna tych zwierząt i Pink Duke dołączy do grana jamnikołajów!
541:  Cóż za jam Nikołajki!
545:  Zazieleniło się na czatach!
560:  Gilnajman!
562:  Gilnajman dołącza!
564:  Bogowie!
564:  Hohohoho!
567:  Tak, Krzysztof poczuł swoje L4, gdyż zaczął się zadyszywać.
573:  Czy można utworzyć formę czynną od zadyszeć?
575:  Nie wiem, ale ja właśnie to zrobiłem.
577:  Moi drodzy, pomyślałem sobie, że od czegoś lepiej nie zacząć.
582:  jak od artykułu, na którym... Wiesz, było tak dobrze, Krzysztof!
587:  Czemu musisz wszystko psuć?
589:  Spokojnie, moi drodzy, to wszystko jest ważne.
591:  DadGramer pisze, że miałby dziś robić pierwsze filmy na kanał Ipea, ale są rzeczy ważniejsze.
596:  Czemu ja tańczę?
597:  Ponieważ są Jamnikołajki.
598:  Jamnikołajki są radosną imprezą.
600:  Just Unusual Pancake dołączył do grona wspierających, moi drodzy.
605:  Więc tak, co dla was znalazłem?
607:  Po pierwsze... Mam nadzieję tylko, że uda mi się to znaleźć.
612:  Tak, to jest jamnik obok koloseum, moi drodzy.
615:  Klapaudius Animum, on pisze tymczasem, wspiera od sześciu miesięcy.
618:  Chwała, chwała jamnikom, jamniczkom i jamniczorom.
621:  Więc, moi drodzy, poważne rzeczy się zaczynają.
625:  Amerykańscy naukowcy, nie, żartuję, to nie są amerykańscy naukowcy, po prostu archeologowie, okej, we Włoszech odkryli mianowicie szczątki jamników w 2000 roku.
639:  kanałach koloseum.
640:  Przepraszam, co może być piękniejszego niż jamniki w kanałach?
645:  Nie dość, że są tematy warhammerowskie poruszane u nas wiele razy, to jeszcze jamnicze.
651:  I okazuje się, że wszyscy się mylili, którzy mówili, że jamniki zostały wychowalowane w XIX wieku.
657:  Otóż nie.
658:  Istnieją, moi drodzy, prajamniki.
661:  Tak samo jak nie w Sekiro, tylko w Elden Ringu istniały prajamniki, które przyzywaliśmy, tak też i tutaj.
669:  Nie żartuję, moi drodzy.
674:  Swory jamników mogły być wykorzystywane do zwalczania większych zwierząt, jak niedźwiedzi, lub do akrobatyki w Koloseum, twierdzą archeologowie.
690:  Jamniki zwalczające niedźwiedzie.
692:  Przepraszam, czy może być coś piękniejszego?
695:  Nie ma nic piękniejszego niż prajamniki zwalczające niedźwiedzie w koloseum.
700:  Archeojamniki, jak pisze Renard.
703:  Tak, jamnicze hordy rzucały się oto na niedźwiedzie ku uciesze Rzymian.
708:  Smutne jest tylko to, w to nie wnikamy, jak to się skończyło.
713:  Natomiast kibicujemy jamnikom, dobrze?
716:  Kibicujemy jamnikom.
