🔴 Croissant na Coruscant | JEDI: SURVIVOR Livestream #6
🔗 https://www.youtube.com/watch?v=8VcQDQee4zg

56:  Zdjęcia i montaż
93:  Muzyka Muzyka
134:  Wszelkie prawa zastrzeżone.
169:  Muzyka
239:  Muzyka
293:  Dziękuje za oglądanie.
346:  Czyż może być mniej Star Warsowy widok niż wielki nos niuchacza na powitanie?
354:  Witam serdecznie wszystkich!
356:  Witam o 18 w sobotę na naszym cotygodniowym już prawie streamie z Hogwarts
361:  Przeprasza mnie!
363:  Zostało z Jedi Survival!
365:  To ta gra z glitchami!
367:  Witam serdecznie PanSkorpion, TheClever1, Patrycja Łaszcz, Palitkeusz, Grzegorz Sikora, MegaFuka, Kacper Sapnowski, Emil Dusiecki, Jakub Oliwia, Ewa Jędrzejczak, BiernyObserwator, Pusieńka Śnieżno, DygresywnyWilk, PanSkorpion i cała reszta naszego szlachetnego grona moderującego, LewandowskiM, TheClever1Takosz, DinozaurPimbus, RudyLis, Leniuch, który nie dość, że wspierał od dwóch miesięcy, to jeszcze był JamNikołajem, co mi nie umknęło.
392:  I Leniuk jako Jan Mikołaj podarował wsparcie, moi drodzy, pięciu osobom, co serdecznie dziękuję.
397:  Iga, Igniwus, Sara Gawrońska, Miły Pan, Tup Tup, Saf, Maciek Gorczyca, Max, Paweł O., Grzybsa, Miraski, Szwagier, Tomasz Zabiegaj, Krzysztof Kowalski,
409:  Bear, Wira, Atomowy Gość, Karolina Busk, Kuba Wdowiak, Bigomeza, Grim Lukas, Wieszcz, Pingwy, Szymon Sadowski, Miła Czerwiński, Dominik Kosiba, Grim Lukas, Bogot, Tsuki Tsubane, Iggy, Tenebris, Annatar, Śnięty Wacek.
426:  Wspaniałe, Czerwony Lis, Agnieszka Saran, Cuki Cubane, Magi1201, Tamernes, który nie dość, że wspiera od czterech miesięcy, to pisze tak, tak, dżedaj rzeczy, tak, tak, tęsknicie za skawenami, ja wiem, ja też, Balrog72, Radosław R., panie kolego, Kagrald,
444:  Agnieszka i Anny Wilnus, jeżeli dobrze Cię czytam, Atariafa, Simon, Mandolin and Grogu, Astray, Bogot, Dominik X403,
457:  Oliw1, dziwny typ, Wojtek Klimczyk.
460:  Moi drodzy, z tego, co ja widzę, nie jest na razie bardzo źle, to znaczy jeszcze nie zglitchowało.
466:  Zobaczymy, zrobimy teraz test, moi drodzy, i zobaczymy, czy zglitchuję, jak przełączę na grę.
472:  3, 4, a dlaczego glitchowało?
474:  Bo zmieniłem kodek i usiłowałem naprawić sytuację, którą mieliśmy ostatnio.
477:  Jestem teraz na dobrym ekranie.
491:  Ostatnie śmieci zostawili nas wyczerpanymi i zniszczonymi.
500:  Ale wierzę ci, że moja G-Force nigdy nie była silniejsza!
509:  I tak życie będzie zreorganizowane w pierwszy galaktyczny... ...dźwięk.
524:  Nie wiem dlaczego, nie dość, że pamiętam przemowę Palpatina z Senatu, to jeszcze byłem w stanie ją przerobić, ale jakoś to się udało.
533:  Widzicie, kochani, do czego prowadzi brak tgliczy.
536:  Jak niewiele potrzeba do szczęścia, prawda, Mandolina & Grogu?
540:  Prawda?
541:  Jak niewiele.
545:  Tak, żebym nie zapeszył.
547:  Żebym nie zapeszył.
551:  Krzysztof, czy nie uważasz, że brak zróżnicowania edukacji w podstawówkach powoduje, że młodzi ludzie nie idą do technikum?
562:  Jeżeli w domu nikt nie do mentalnego pozwala, nie nauczy podstawowych czynności,
565:  Skłoń ma rację.
565:  Wczoraj widziałem się z moim serdecznym przyjacielem i rozmawialiśmy o rzeczach, między innymi o tym, że ludzie, którzy idą do pracy w korpo są totalnie nieprzystosowani do myślenia w takich parametrach, wiecie, logicznych, technicznych.
577:  No, zdumiewające, biorąc pod uwagę, że nie uczy się na zmyślenia kreatywnych.
581:  Widzicie, od razu zaczynamy narzekać.
582:  Bardzo dobrze.
583:  Nie zawiedliście mnie.
585:  18.04 i zaczęliśmy narzekać.
588:  Niech długa strona szmocy będzie z tobą.
589:  Tak jest, moi drodzy.
590:  Odpalamy.
591:  Teraz jeszcze można zliczować.
594:  W ogóle ciekawa rzecz, jak to naprawiłem?
596:  Nie mam zielonego pojęcia.
598:  Zrobimy równocześnie wszystko, włącznie z... i chyba to była rzecz, która najbardziej przeszkadzała dla ludzi, którzy są zainteresowani, na karcie, która się nazywa Elgato Cam Link 4K, ona jest wpinana przez złącze PSI do kompa, w związku z powyższym teoretycznie nie powinno być żadnych opóźnień, ale
616:  Tam jest taka opcja, że można zrobić color grading wewnętrzny.
618:  Ja myślałem, że to jest okej.
619:  Okazuje się, że ta karta nie współpracuje dobrze z prockiem, w związku z powyższym dałem filtry color gradingowe do OBS-a.
627:  No i nie ma glitchy.
628:  Ale zabawne jest to, że Luke Stevens, który ma podobną konfigurację sprzętową do mojej, też miał dokładnie ten sam glitch, wiecie, z takimi zielonymi, dziwnymi blokami tekstu.
638:  Może nie tekstu, tylko obrazu, jak się przełączą między scenami.
641:  Więc rzeczy.
643:  Powinieneś obejrzeć ostatni odcinek Shadyversity, zrobili prawdziwe funkcjonalne ogniste miecze.
647:  No, dobrze, że Shadyversity wraca do korzeni, a nie ma polityki, bo mnie ona denerwowała.
652:  Cieszę się.
653:  Ja będę narzekał dziś w Poznaniu, dziś piękna pogoda, wreszcie jak tam reszta Polski.
657:  Reszta Polski jest taka, że jest włączona klimatyzacja, ponieważ nie da się już wytrzymać, jest okropnie.
662:  Dlaczego mamy kutasoidalny mycelium w naszym, w naszej kwaterze?
669:  Czy da się dostać na studia bez matury?
671:  Wiesz co, Oliw1 różnie bywa, na przykład na ASP masz niezależne egzaminy, tak samo na AWF, więc precedensy są.
679:  Natomiast niestety przepisy obecnie są takie, że zastąpione egzaminy wstępne maturami.
683:  Ja uważam, że to jest bez sensu i będę, muszę zrobić na ten temat film, ponieważ za często to powtarzam, że jakoś nie uważamy, że powinniśmy dostać się na Chief Product Officera do Ikei, dlatego, że mamy maturę, tylko jest rozmowa kwalifikacyjna.
697:  Co ja mam w ogóle rozrobić dzisiaj?
699:  Ja nic nie wiem, kochani.
700:  Wiem, że są żaby, bo o tym wszyscy mówią, ale chyba do żab pójdziemy jutro.
704:  Ale muszę sprawdzić na tym niefunkcjonalnym interfejsie, w jaki sposób dostać się... Nie wiem, w jaki sposób dostać się.
710:  Okej, tutaj, pokaż na holomapie.
712:  Staw czoła Daganowi.
713:  Nie chcę stawić czoła Daganowi, chcę ogarnąć... O, proszę bardzo.
716:  Proszę bardzo.
718:  Kurusant.
718:  Miał być kurusant, raczej kruasą na kurusant i tak będzie.
722:  Czy po panelu na Pyrkonie być może na wspólne zdjęcie?
724:  Wira, absolutnie.
725:  Ja po to jadę na Pyrkon.
726:  Będę tam do waszej dyspozycji o zgrozo przez dwa dni.
