🔴 Jedi, który gapił się na kozy | JEDI: FALLEN ORDER Livestream #2
🔗 https://www.youtube.com/watch?v=ga7G53uCoiE

14:  Zasmucające informacje są zasmucające.
17:  OBS od mniej więcej 24 godzin ma potężne problemy ze streamingiem w jakości 2K.
26:  Zobaczymy, czy nas to teraz nie będzie dotykało.
29:  Jedyne, co mogłem zrobić, to zrestartować kompat, przeprowadzić diagnostykę, sprawdzić, czy jest wszystko w porządku.
34:  Jest wszystko w porządku.
37:  Jeżeli to nie pomoże, to tak, to mamy problem.
41:  Na razie widzę...
43:  że problem utrzymuje się tylko przy przechwytywaniu okna jakiegoś, kochani, tak jak mamy w tej chwili.
49:  To znaczy teraz jest bezpośredni obraz z kamery, więc nie ma żadnego problemu, nie ma lagów, natomiast istnieje ryzyko, że w momencie, w którym odpalę jakikolwiek program, jakiekolwiek share'owanie ekranu, włącznie z Wordem, to będzie problem.
63:  I tak.
66:  Więc wspaniale.
68:  Jedyne, co mogę powiedzieć, to to, że tak się to kończy, jeżeli jest jeden program, który jest podobno niezawodny i później dostaje aktualizację i ktoś tego nie przetestuje.
78:  Więc, kochani, testujemy.
80:  Mam nadzieję, że będzie w porządku.
87:  Natomiast... Tak.
96:  To będzie prawdopodobnie najmniej epicki początek live'a ever.
105:  Przy okazji będę wdzięczny, jeżeli są z nami moderatorzy, ale widzę, że jest wszystko w porządku, żeby podrzucić linka wszystkim, którzy poprzednio byli.
115:  Ja jeszcze to niezależnie zrobię na Twitterze i zrobię to jeszcze w innym miejscu, to znaczy na naszym Discordzie.
127:  Bardzo jestem zasmucony tym fantem, ale cóż jesteśmy w stanie sporadzić.
136:  Jest 60 klatek, to dobrze.
138:  To dobrze, bardzo mnie ten fakt cieszy.
140:  Back from the dead.
141:  Nie da się ukryć, ale przyznam, że bardzo takie rzeczy są stresujące.
149:  Chyba nie ma znań modułów, w związku z powyższym pozostaje mi tylko podrzucić to.
156:  Ale wiecie, najsmutniejsze w tym wszystkim jest to, że zawsze jest odbiór taki, że jest to wina użytkownika.
162:  No i niestety, nic na to nie poradzimy.
168:  Nie ma znań moderatorów, więc Krzysztof sam musi wszystko zrobić.
170:  Krzysztof musi sam wszystko zrobić.
173:  Tak, to ja wiem, ja wiem.
177:  Ja nie jestem zaskoczony, nie jestem zdumiony.
183:  Wrzuciłem informację.
185:  On już ludzie zobaczą.
188:  A lekarz mówił mniej stresu, prawda?
190:  Prawda?
191:  Jak się podoba do tej pory?
193:  Nie no, wiecie, OBS to tak oceniam 12 na 10.
195:  Windows oceniam 14 na 10.
196:  A Fallen Order mi się bardzo podoba.
209:  Teraz, wiecie, moje serce staje za każdym razem, dobrze, że tylko serce, hahaha, jak popatruję na monitor.
220:  Dobrze.
222:  Musimy teraz szybko odbijać.
231:  Aha.
231:  Aaa!
233:  Głupi AT-AT!
239:  Przestań!
239:  Przestań!
240:  Przestań!
245:  Aaaa!
246:  Głupia maszyna stojąca i krocząca!
250:  Co to jest?
251:  Co to jest?
253:  To są jakieś bomby?
256:  Zniszczyć maszynę kroczącą.
259:  To jest AT-ST.
262:  Przestań!
263:  Przestań!
263:  Przestań!
264:  Teraz trzeba go upokorzyć.
270:  Tak!
271:  Upokorzony!
272:  Dobrze!
272:  Upokorzony.
279:  No działa wszystko wreszcie!
282:  Co było przyczyną?
287:  Nie wiadomo!
290:  Nigdy nie wiadomo.
293:  AT-ST podatny na uszkodzenia od własnych granatów i rakiet.
296:  Nogi są wrażliwe na ciosy.
301:  AT-ST, zwany również po prostu maszyną kroczącą, to lekki, dwunożny pojazd Imperium Galaktycznego, sterowany przez dwuosobową załogę.
309:  Maszyny te często wykorzystywano do szybkiego zwiadu i likwidacji po mniejszych celów, które były w stanie uniknąć większych AT-AT.
316:  Wyposażone są w średnie działa blasterowe o zasięgu 2 km.
320:  Co?
321:  A także boczne działa strzelające rakietami, granatami, wstrząsami służącymi do likwidacji wrogich pojazdów.
326:  Nie przesadzi? !
333:  Dobra robota, chłopie.
341:  Ej, masz prawdziwe oczy!
344:  Powiedziałeś mi, że ta wizyta nie była niczym.
346:  Znalazłem dom Zeffo Sage'a.
348:  Zdecydowanie używają sił.
363:  Zrównoważona cywilizacja zwierząt, którzy nieznacznie zniszczyli się.
366:  Nie zdaje się, że mistrz Cordova się z nimi zaskoczył.
369:  Co jeszcze znaleźliście?
370:  Przed ich zniszczeniem zeszła podróż do planety Kashyyk.
374:  Cordova miał przyjaciela w Wookie, Tarrifle.
376:  Może możemy go znaleźć.
378:  Kashyyk?
378:  Słuchaj, rzeczy tam są naprawdę złe.
380:  Imperium wciąż się skupia na tych Wookie.
382:  Lepiej przygotujmy się na walkę.
387:  Myślę, że ten sygnał jest dla Ciebie.
389:  Walcząc nad tym walkiem, wydaje mi się, że zrobiłeś Cię bardziej przekonany.
397:  Więc, jak się trzymasz?
402:  Chciałem się pozwiedzać, głupia krowo!
405:  Wiem, że powiedziałeś, że to może być przesadzające.
409:  Jeszcze się nie zabijam.
411:  Lepiej nie mówię o tym.
414:  Tak, no... Rozumiem.
416:  Więcej niż zrozumiałeś.
419:  Dlaczego wybrałeś przestać używać sił?
420:  Kiedy przerwa zaczęła się... i nasi... żołnierze klonowe odwróciły się przeciwko nam, mój Padawan i ja... Oj proszę, nie prosiłem cię o autobiografię.
432:  Chciałem zwiedzać grobowiec.
435:  Imperial Patrol zaczynał odnaleźć naszą lokację, więc... Próbowałam ich wyrzucić z mojego Padawana Trilla.
443:  Została za mną z młodymi ludźmi.
447:  Zatknęli mnie.
448:  Zatknęli mnie.
449:  Zatknęli mnie.
451:  Zatknęli mnie.
452:  Zatknęli mnie.
453:  Zatknęli mnie.
454:  Zatknęli mnie.
454:  Zatknęli mnie.
455:  Zatknęli mnie.
456:  Zatknęli mnie.
457:  Zatknęli mnie.
457:  Zatknęli mnie.
477:  I nie jestem tym samym, jak byłem, Cal.
480:  Jesteś Padawanem.
485:  Przeżyła?
490:  Nie.
490:  Ale dlatego nie możemy oddać się.
497:  Nie możemy pozwolić, aby skarb bliskich do nas... był dla niczego.
510:  Czy mam fetysz posiadania fizycznych nośników gier i muzyki?
513:  Nie.
515:  Tylko książek.
517:  Dobrze, moi drodzy, czy to oznacza, że możemy... Tak!
520:  Świetnie!
522:  Nie interesuje mnie!
525:  Proszę bardzo, Julka przyszła, a kiedy trzeba było moderatorów, żeby zamieścić link do nowego streama, to nie było moderatorów.
533:  Oczywiście, że tak.
535:  Wiesz, jakim problemem było AT-ST w Mandalorianie?
537:  Bardzo podobała mi się ta skala opozycji do Wielkich Bitew z Gorylionem, jednostek z filmów.
541:  Tak!
542:  Mandalorian świetnie to robił, absolutnie.
547:  Świetnie.
549:  Działa, działa, ale po drodze, na poprzednim streamie, który ukryłem na szczęście, dowiedziałem się na czatach, że mam za słaby komputer, za słabą kartę graficzną, za słaby internet, wszystko za słabe.
559:  Nie dowiedziałem się tylko, że mam za słabą moc w Bicku.
564:  To jest jedyne, czego się nie dowiedziałem.
567:  Ja mam zupełnie inne podejście.
569:  Ja zawsze uważam, że winny na samym końcu jest człowiek, a w pierwszej kolejności są winne magiczne maszyny, które nikt nie wie, jak działają.
579:  Nikt nie wie.
582:  Ja od dawna twierdzę, że maszyny nie działają tak, jak powinny.
590:  Że maszyny nie działają zgodnie z jakąś zerojedynkową regułą.
594:  Absolutnie.
595:  One działają na magię.
596:  Wyłącznie.
601:  Teraz zabiły nas szczury.
603:  Prawie.
608:  Filip dopowiedział, masz za słabą moc w Bicku.
610:  To jest akurat prawda.
612:  To jest akurat prawda.
613:  Mój trener by się z Tobą zgodził.
618:  Dobrze.
619:  Chcę wrócić do tego grobowca, w którym były ciekawe rzeczy, ale nie wiem, czy to się uda.
626:  Okej, myśmy tutaj nie byli.
632:  Nie mam zielonego pojęcia, gdzie jestem.
635:  Nie spotkamy tutaj jogurta.
637:  O jakim jogurcie mowa?
641:  Oczywiście, że mam trenera, naturalnie, że tak.
644:  Trenera personalnego, jak to się ładnie nazywa.
647:  Ale ja chciałem wrócić do tej świątyni, w której... Okej, tędy, tędy, tędy, tędy.
652:  Wiem, że byłem, ale tam były, wiecie, te lodowce i działy się rzeczy w lodowcach i Krzysztof chciał tam powrócić.
662:  O, widzicie?
662:  Tutaj chciałem powrócić, przede wszystkim dlatego, że można odpocząć.
666:  Jest za słaba moc magiczna w komputerze.
669:  Wystarczyło ponownie namaścić ducha maszyny w komputerze i klatkaż zginął.
672:  Absolutnie tak było.
673:  Absolutnie tak było.
673:  Widzicie?
674:  Mamy żenująco mało punktów umiejętności.
677:  Gdzie był Gondor, gdzie były lalki?
679:  To dobre pytanie.
680:  Okej, to będzie trudne.
701:  Jak powiedziałem, tak się stało.
706:  Myślę, że to piętnastu razy.
709:  Szesnastu.
713:  O, teraz.
715:  Niesamowite.
720:  Oczywiście, że wykrakałem.
721:  Oczywiście, że wykrakałem.
723:  Ja zawsze kraczę.
724:  Ja zawsze kraczę, moi drodzy.
740:  Ciemna strona siły jest drogą do wielu umiejętności, które niektórzy uważają za nienaturalne.
745:  Ciężko, Stim.
746:  W porządku.
773:  Widzicie, ile tam jest przeciwników?
775:  I to są wszystko kozy.
777:  Był taki film, człowiek, który gapił się na kozy.
780:  Dobra, czaty, zapamiętać.
782:  Błagam, bo ja tego nie zapamiętam.
784:  Tytuł przyszłego streamu to jest człowiek, który gapił się na kozy.
789:  Nie, Jedi, który gapił się na kozy.
791:  Tak!
792:  Jedi, który gapił... Nie, nie, nie.
796:  Tytuł tego streamu to jest Jedi, który gapił się na kozy.
803:  Tak.
805:  Ponieważ Perpetuum Debile jest przeklętym tytułem.
812:  I to jest film z Ewanem McGregorem, naprawdę.
815:  Nie pamiętałem tego.
826:  Czy jest już DeWitt na soundboardzie?
827:  Nie ma.
828:  Nie ma DeWitt, ale jest za to...
832:  Mógłby uratować innych z śmierci, ale nie on sam.
836:  Potrzebuję kwiatka.
864:  Good timing?
865:  To jest coś, czego incydentalnie nie mogę powiedzieć o sobie.
878:  No co jest?
887:  Hakowanie.
890:  Hakuy BB-8, który nie jest BD-1.
893:  Nie oszukujmy się, nigdy tego nie zapamiętam.
895:  Uważacie, że to była śmierć?
900:  Czy Obi-Wan mówiąc only a safe deal in absolutes walno logicznego fikołka?
905:  Tak, bo to jest absolutystyczna uwaga.
911:  Czy ja powiedziałem T.A.
912:  Pupu, naprawdę?
915:  Oglądam, słucham, Steam ukonując równocześnie w Gęsinie.
917:  I tak mnie naszło spytać, w którym momencie zakończyłeś granie fabularne Gęsiny Impact.
920:  I na zooma.
920:  Nie wiem, co się dzieje.
928:  Oczywiście, że zawsze będę mylił BT-1 z BB-8.
934:  Nasz Jedi, tak, zadarł z kozą nostrą.
939:  Słyszałeś opowieść o tragedii Jedi, który gapił się na kozy?
949:  Ukochane równanie profesora, mam cechę wspólną z jednym z głównych bohaterów twierdzi HSBC Kafu.
956:  Równadałem.
957:  BD-1 to jest blaszony Dachshund 1.
959:  To jest prawda.
961:  A, tu byliśmy!
964:  I widzicie, tu jest jeszcze jedna rzecz.
965:  O, tak.
978:  Aha.
978:  Tam są kręciołki, w których byliśmy.
983:  Zobaczmy sobie na mapie, czy jest coś, co ominę... Widzicie, jest coś, co ominęliśmy.
987:  Tu jest zielon... Tu są zielone drzwi.
990:  Jak ja się kuźwa mam dostać do zielonych drzwi?
994:  Tam jest więcej zielonych drzwi.
995:  Yyy... Jak ja mam się do tego dostać?
1001:  Dobra, na pewno tędy.
1004:  Tak?
1004:  Dobrze mówię?
1005:  Tak!
1007:  Zielone drzwi.
1009:  Stary Krzysztof Lepszy skończył się na 18.30.
1012:  Kiedyś to był, teraz już nie ma.
1015:  Sugerujesz, Martren, że lepszy jest Krzysztof, który jest w potwornym klatkarzu?
1021:  Nie zgadzam się z tobą.
1024:  Tamten Krzysztof przysparzał mi wiele cierpienia.
1028:  O, tak, tu było skakanie po ścianach, racja.
1034:  A, i tu była koza śmierci!
1037:  Koza Nostra!
1039:  Ej, wracaj!
1042:  Głupia koza.
1049:  Czemu ona zawsze jest w stanie mnie... Dobra, jak w tej grze się robią uniki?
1058:  Okej, kontrolem.
1061:  Jak ja mam to zapamiętać, to ja nie mam zielonego pojęcia.
1065:  Nie da się kozy zepchnąć w przepaść, nie.
1068:  To jest, to jest Tomek spoza możliwościami świetnych rycerzy Jedi.
1073:  Ja mam wrażenie, że nasz rycerz to jest po prostu, nie jest rycerz Jedi, to jest rycerz sprzedaj.
1083:  Kozioł ofiarny.
1085:  Proszę bardzo, widzicie ile tam jest rzeczy?
1087:  Imperium jest moją siłą.
1089:  Dude.
1094:  Przecież...
1096:  A, bo ja nie mam... Fuck.
1103:  Okej.
1104:  Kontrol działa.
1108:  Kontrol nie działa.
1111:  Nigdy już tu nie wrócę.
1115:  Tylko zapsuję kanon, by z najpotężniejszą istotą we wszechświecie stało.
1119:  Tak jest.
1127:  Ja chcę... Ja chcę wreszcie otrzymać moce, które będą przerażające.
1136:  I chcę wreszcie przejść na ciemną stronę mocy.
1138:  Czy w tej grze jest możliwe przejście na ciemną stronę mocy?
1142:  Czy w tej grze jest możliwe przejście na ciemną stronę mocy?
1145:  Interesuje mnie to.
1150:  Teraz biegniemy od razu tam.
1153:  Nie jest możliwe przejście w tej grze na ciemną stronę mocy.
1155:  Oczywiście, że nie jest.
1157:  Oczywiście, że nie jest.
1159:  Naturalnie, że nie.
1160:  Dlaczego mnie to kompletnie nie dziwi?
1161:  Dlaczego mnie to kompletnie, ale to w ogóle nie dziwi?
1166:  Oho, koza Nostra.
1174:  Unik działa.
1175:  Po prostu się muszę odzwyczaić wszystkiego, czego się nauczyłem przy wszystkich Souls-like'ach.
1180:  Po co my gramy w tę grę?
1181:  To jest dobre pytanie.
1184:  Gramy dla soczystego roleplayu, to znaczy, co z tego, że w tej grze nie da się przejść na ciemną stronę mocy?
1191:  My to i tak zrobimy.
1192:  Jeszcze nie wiem jak.
1202:  Przecież bez przerwy... Chciałbym się nauczyć parować, to nie ukrywam.
1208:  Byłoby super.
1209:  Okej!
1221:  Co jest?
1225:  Okej, udało się, tak!
1232:  Dobrze!
1238:  Oby to było coś dobrego, oby to było coś dobrego.
1245:  Ale jest typowym średniakiem.
1247:  Zresztą nie można stwierdzić, że jest na poziomie padałana.
1249:  Te wszystkie przypominajki na temat techniki Jedi.
1251:  Coś w tym jest.
1252:  Wyczuj echo.
1255:  Nie wiem, jak pracowałeś wszystkiego w tym ciemnym tunelu, z którego wyszedłeś.
1259:  Jest czwarte leczonko.
1261:  Jeszcze Tomex?
1264:  Uuu.
1265:  Czwarte leczonko.
1268:  Podoba mi się ta informacja.
1273:  No tak, tak, tak.
1274:  Tu jest coś, moi drodzy.
1277:  Tu też jest coś.
1277:  Musimy to wszystko podblokowywać.
1286:  Dobrze.
1288:  Czy grałem w Jedi Night Dark Forces?
1290:  Pyta Kackatz.
1290:  Obawiam się, że nie.
1292:  Myślę, że nie.
1294:  Powinienem był.
1298:  Jaką rankę Jedi ma Akalnes?
1299:  Jest po czystej Jedi, więc wiesz, trudno powiedzieć.
1307:  Jest Steam do zdobycia.
1309:  Pytanie, gdzie, moi drodzy?
1312:  Pytanie, gdzie?
1314:  Przecież to nie wie, gdzie jest leczonko.
1317:  Czy zamierzam przejść grę na 100%?
1319:  Nie, ale na pewno zamierzam znaleźć wszystkie leczonka.
1321:  Jeżeli gdzieś jest jakieś leczonko, które mogę zdobyć, to... Jezu.
1325:  Zapomniałem już, jak się z nim walczy.
1337:  Tak, ewidentnie zapomniałem.
1351:  Tak!
1361:  No cóż tutaj jest, moi drodzy?
1362:  Coś tutaj jest.
1366:  Orciu pyta, jak minę o tydzień.
1368:  Fatalnie, szczerze powiedziawszy.
1370:  Poszukuję książki, inspiracji do historii i postaci dla kupca, handlarza i informacji niewolników.
1374:  Czy jestem w stanie coś polecić?
1380:  Kupiec?
1382:  Mam wrażenie, że w malowanym człowieku była fajna postać kupca.
1394:  Ślubny węgard dżaby i rancora.
1396:  Dobrze powiedziane, albo śnieżny troll z Wings of Power.
1407:  Co mnie uczyniło dziś szczęściem?
1409:  Jak zaczął z powrotem działać OBS.
1412:  Bo autentycznie cały tydzień czekałem na nasze spotkanie tutaj i...
1417:  Dużym smutkiem mnie napawało, że może się coś zepsuć.
1420:  Dobrze, moje wrażenie jest takie, że tutaj jeszcze możemy użyć tego czegoś.
1426:  O właśnie, przetnij.
1428:  Chciałem przeciąć.
1431:  Świetnie.
1432:  Czyli mamy teraz skróciszcze, moi kochani.
1436:  To dzisiaj jest pita, dzisiaj herbatka.
1439:  Co się stało w tym tygodniu, że fatalnie?
1442:  Dużo by opowiadać, ale generalnie rzecz biorąc, zwaliły się na mnie obowiązki akademickie w takiej dużej liczbie i musiałem na CITO skończyć tekst jeden i cały czas jeszcze wisi nade mną kurs do skończenia.
1463:  I skomentuję tego.
1464:  A z jakiegoś dziwnego powodu nie miałem weny kompletnie na to.
1469:  Chyba tędy się nie da przejść jednak, mam wrażenie.
1474:  Tak, to jest na czerwono zaznaczone.
1477:  Czyli nie mamy jakiejś zdolności, która to umożliwia.
1480:  Tu jest potrzebny Force Pull, tak.
1482:  Mamy tylko Force Push, niestety, moi kochani.
