🔴 Nowa beznadzieja | JEDI: FALLEN ORDER Livestream #5 (+BONUS: THE STANLEY PARABLE)
🔗 https://www.youtube.com/watch?v=2s81dGYEJ6s

34:  KONIEC
84:  Muzyka
128:  © PTA & TVP
159:  Dziękuje za oglądanie.
269:  Witam wszystkich.
272:  Sobotnią, zastanowił się Krzysztof, porą razem z Jamnikiem, aczkolwiek przed Jamnikołajkami.
279:  Witam najserdeczniej Jakuba Olfiera, Maylady Witch, Michalinę Kamieńską, Hała, Sakura Palitkeusz, Weronika Aleksandra, DSBD, Fantores, niech będą powitani, Fantores dołączył do nas ponownie, Smoczini, Skryty Żubr, Tarael, Wieszpingw,
293:  The Clever One, Brendo, Magda M1, Stachu Uchac, nasz moderator nowy, Wojtek Pszczelarz, Kinga, Arkadiusz Cybulak, Bierny Obserwator, Iga Renda, Beru, Kacper Czajka, Skryty Żubry, Cysio, Dori, Serenoks, Morty, Lianow, Czarek, Filip Borowik, Tomasz Adamski.
311:  Któż jeszcze?
312:  Z Darwar, z Gajsejk, bardzo złośliwy człowiek, Kuba, 65 kg, Karol, Mentus, dzięki za napisanie.
319:  Jamnik, jamnik, jamnik, jamnik, jamnik, jamnik, jamnik, jamnik, jamnik, jamnik, jamnik, jamnik, jamnik, jamnik.
323:  I wsparcie od 8 miesięcy.
324:  Witam Time Lutera, witam Kaczora Ozdobę, witam Szubsa, witam Heil, witam... Kogo jeszcze?
332:  Weronikę Aleksandrę, pandemicznego studenta Adusa Cytrusa, Monikę Klimczak, Aśku, też naszą moderatorkę, witam Żabcie.
341:  Przecież to ma choinkę wyciągniętą.
343:  Aaa, jest przygotowana, jest przygotowana na jam Nikołajki, moi drodzy, jest przygotowana.
350:  No way to avoid memes!
352:  Cóż za miano!
355:  I how are Saini albo Siny?
359:  mimo że jest halmochód popsuty, to w dobrym humorze.
362:  Jamniki dla Howarda bardzo proszę, dużo jamników, żeby imp, który siedzi w silniku samochodowym i sprawia, że ta straszliwa, rycząca maszyna się porusza, naprawił go.
374:  Taki jest plan.
376:  Miłosza Manieckiego, Willeda, Laure, Takosz, Witam, Mateza, Heguseka i Marka Habdo, moi drodzy, Sagano także i DJ Ozaur, witajcie najserdeczniej.
387:  Janowczarek, dzięki za wsparcie od 14 miesięcy.
390:  Co będzie grane po Deusie i Star Warsach?
392:  Beyond Two Souls na pewno i Nier Automata.
395:  A kto wie, czy jeszcze nie będzie jakiejś małej niespodzianki, moi drodzy, ponieważ stream poniedziałkowy jest streamem, który jest tajemniczy.
403:  Nikt nie wie, co się wtedy zdarzy.
405:  Wiadomo tylko, że będą jam nikołajki.
