🔴 Potęga ciemnej strony szmocy | JEDI: SURVIVOR Livestream #5
🔗 https://www.youtube.com/watch?v=LcmpMFVK51Q

143:  muzyka muzyka muzyka
271:  Wita wszystkich!
274:  Nowy piękny jamnik!
277:  Jamnik włóczkowy, z którym przybyłem z Łodzi of all places!
283:  Witam serdecznie z pięciominutowym jak rzadko poślizgiem wszystkich przybyłych, wszystkich wspierających kanał, wszystkich niezapowiedzianych gości!
294:  których nie lubią introwertycy, chyba że to są streamy wszystkich zapowiedzianych, wszystkich widzów, którzy przez przypadek przybyli, napatoczyli się myśląc, że będą jakieś nowe filmy, haha, niedoczekanie, a jest stream, witam serdecznie, Tomasz Zabiega i Dominik Kozima, Iga, Haua, Sakura i wszyscy następni.
311:  nasi moderatorzy, Pan Płot, Mega Fuka, Agnieszka Brzozowska, nie przygrywa mi już muzyka, to skandal, Maciek Gorczyca, Nołb Cysio, Gosia Ośka, Urszula Giewon, Dominik Kosima, Arwen Winchester, Jakub Olwier, Francuska Bagieta, Medzi, Maja Dudkiewicz, Astrey, Bi Gomeza, Palitkeusz, przy okazji witam też wszystkich, którzy pojawili się w Łodzi na spotkaniu zrobionym przez Uniwersytet Łódzki, to jest taki lepszy uniwersytet od
335:  Niektórych uniwersytetów, najlepszych w tym kwadrancie wszechświata, haha.
339:  I mieliśmy spotkanie z widzami, był Filip, dyskutowaliśmy, rzeczy się działy.
343:  Dziękuję jeszcze raz Uniwersytetowi Łódzkiemu i wszystkim, którzy to zorganizowali.
346:  Ola Kustra, Yuki-chan, Tsuki Tsubane, X403, Balorok72, MagdaM1, Aleksandra Albano.
353:  Logol budowniczy pylonów, który się domaga o pylony słusznie.
370:  Iga, Nerichem, Michał Kaczmarek, Adus Cytrus, O Bogowie, Sandra Roza, Kacper Sapkowski, Miły Pan, Słoń Emeriu, Nadia Lewi, Aldehyd, Dave Biggs, Monk Jaolin, Tochu Wabochu, Beata Kotarska, Aradel, Krzysztof Kłos,
389:  Ataryafa pyta, czy Krzysztof zmienił frys po prostu.
392:  Po prostu byłem, moi drodzy, u mojego balwierza.
395:  Tak.
396:  Swoją drogą, fun fact, nazwa to Jabba the Cat, więc muszę powiedzieć, że bardzo Star Warsowo tematycznie.
401:  Wojciech Franciszek Żurawski, Tomasz Zabiegaj, Saf Obi, to nie Kenobi.
406:  Grim Lukas, ja Wojciech.
408:  Astray Anna, nasza nowa moderatorka skądinąd, wieszcz Pingw.
413:  Chwała jego wielkiej tłustości Pingwowi.
416:  Lucyfer.
418:  Mandolina and Grogu, Jaolin, Jack Ryden, Tankietka i wszyscy, którzy przybyli, żeby zobaczyć, jakie będą dalsze losy.
427:  Yamanestisa, najdłuższego jamnika pośród wszystkich rycerzy Jedi, z najdłuższym stażem, z najdłuższym mieczem świetlnym i bez żadnych kompleksów.
438:  Witajcie serdecznie, moi drodzy.
440:  Witajcie i without further ado, jak zawsze, czyli bez zbędnego pierdolenia w takim naszym pięknym, śwarnym języku polskim, tak?
451:  Język polski zawsze przetwarza wszystko tak, żeby było śwarne, jurne i kryte strzechą.
457:  O, i teraz ja...
459:  natychmiast zniknę, korzystając z faktu, że jak zawsze, jak przełączam sceny przy Jedi Fallen Order, są durne glicze, których nie jestem w stanie powstrzymać, w związku z powyższym będziemy robić to w ten sposób.
469:  I mam nadzieję, że teraz wszystko się odpali, że będzie dobrze i będzie radośnie, ponieważ gra ta tworzy nieznośne, nieznośne rzeczy i nie wiem dlaczego.
478:  Wiesz, Pink na dobry początek podarował wspieranie kanału
482:  Tylko komu?
483:  Megafuka otrzymała wspieranie.
485:  Dziękuję serdecznie.
486:  Tymczasem jeszcze patrzę, patrzę, bo dzieją się rzeczy jak zawsze.
