🔴 Seria niefortunnych zdarzeń | JEDI: SURVIVOR Livestream #4
🔗 https://www.youtube.com/watch?v=ybZpbB2aJNg

4:  Dziękuje za oglądanie.
45:  Muzyka
83:  Dziękuje za uwagę.
129:  Witam wszystkich!
131:  Najserdeczniej jak zawsze!
133:  Wszystkich widzów, wszystkich moderatorów, wszystkich szalonych, wspierających kanał, którzy są zarazem jamnikodzierżcami!
141:  Kama Grimberg, Adus Citrus, Arcykapłan Dzikich Bobrów, Soy Witch, Maja Dudkiewicz, Anna Tar, Pink Duke, Lucifer, Grzegorz Sikora, Pusieńka Śnieżna i reszta szlachetnych moderatorów, Wojtek Przesz, Grim Lukas, Dinozaury Pimpuś,
156:  Martyna Pieczka, Nir, Jamnikomata, Kambriana, Medafukas, Ślimak, Bigomeza, Obi to nie Kenobi, Coltis I, Saf, Anna, Palitkeusz, Gatonefist, Wiktoria Kulińska, Ognisty Jamnik, cóż za piękne miano, Michał Mazur, Oliwier Balcer, Emeriu, TheCleverOne.pl, Maciek Gorczyca, Demini, Emeriu, Vegieman, Susie Diamond, Szczur Terminator, tak, tak!
183:  Diaspora, Bumsi, Vincent Pieruk, Wesper, Zuza O, Magda M1 była już wyczytywana, ale co tam z Dar War Z, Tomasz Problem, piękne, Łukasz Pienkowski, Asar, Warow, Rudylis, Ania Kaźmierczak, Agata Warsińska, Podwodnobrody, Jeep 879, Bierny Obserwator, nope.
209:  Jeszcze nie wyczytałem.
209:  Mateusz, Ataryafa, x403, Nahil, Arrrrrrora, Nahili, Bob, Mandolina&Grogu, Michał, Arti, Michał Łopaciuk, krasze, ale ja wam dam krasze, nie będzie żadnych kraszy!
227:  Wymyśliłem w którymś momencie tekst, który mógłby wygłosić Sheev Palpatine na Prospect Crusher, ale oczywiście zapomniałem.
235:  Jak zawsze zapomniałem, moi drodzy, ja wszystko zapominam.
238:  Zapomniałem również, że miałem dodać nowe dźwięki na soundboarda.
240:  Karol Łukaszewski, wieszczpingwy!
243:  Artihao Asakura, który dołączył do grona moderatorów, wczoraj prosił jeszcze Pan Skorpion o to, a przeoczyłem, przepraszam.
249:  Przypomnijcie mi, żeby dodać Pana Skorpiona do moderatorów, skoro chcę, skoro się pisze na to.
255:  Lilith Rose, NixNix, Czerny, Kamil C, Spawel2001, Karo, Saganno96, Xenofanes, Sylwia X, Radoj.
268:  i Karol Koro oraz balerina Random Blues, Krajzerg, witamy serdecznie.
272:  Czy znacie podcast Krajzerga?
274:  Nie?
276:  Sryzerg się pisze.
278:  Wbijcie na YouTube'a i zostawcie tam suba.
280:  Haha!
281:  Zrymowane.
282:  Wspjn, Mendozław Upierdliwy, DytFarbon, Jakub K, Pełcio, Katokamasz, Dominik Kotus, Szymon Nalewajko i PJWR.
291:  Moi drodzy, dzisiaj wszystkich przeczytałem.
293:  Łucja21 jeszcze.
294:  Sandra.
295:  Sandra dzisiaj prosi o jamniki wsparcia, moi drodzy.
298:  Jamniki wsparcia to nie są jamniki, które rzygają.
301:  Bardzo proszę dla Sandry o mnóstwo jamników wsparcia.
303:  Mega fuka, dziękuję serdecznie za wsparcie od 5 miesięcy.
306:  Kolejny miesiąc pięknej jamniczej społeczności.
308:  Prawda?
309:  Mówiłem, że ona taka jest.
310:  Mówiłem, a nikt mi nie wierzył.
312:  Później ludzie wpadają na te live'y i widzą, jak tutaj jest fajnie.
315:  Wiecie, tak to się dzieje właśnie.
317:  Ooo!
320:  Tak, udowodnione.
