🔴 Somehow, Dachshund Returned | JEDI: SURVIVOR Livestream #1
🔗 https://www.youtube.com/watch?v=FPAyUrL6j2s

37:  Dzięki.
112:  Dzięki za oglądanie!
138:  Muzyka
167:  Zdjęcia i montaż
212:  Dziękuje za oglądanie.
251:  Dzięki za oglądanie!
290:  Witam!
292:  Witam wszystkich w Galaktyce Gwiezdnowojennej, która nigdy nie doczekała się nazwy, więc nazywamy ją Galaktyką Jedi!
303:  Pusięga Śnieżna, Krzysiek Uchac, Winogrona Czerwone, Budowniczy Pylonów, Daniel Lisewski, Mandolina Entgrogu, Vegarius Erlenwaldu, Magdalena, Rochiavelli, Emtel, Arkadiusz Mikołajewski, Saffix403, Astray, Kwak Art,
322:  Susie Diamond, pseudoartystka, Atariata, Kwakart, po raz drugi in my words, nikt wampirzak, szaman dzikich bobrów, Jaga, Serenox, Bookworm543, Bigomeza, PB1990, Mikołaj Trąd, Venzant, Czerwony Lis!
342:  Witajcie wszyscy najserdeczniej, witam trybutariuszy, witam widzów, witam widzów stałych, witam widzów niestałych, witam wszystkich, którzy zobaczyli shorta, którego wypuściłem, pewnie nieoczekiwanie na kwadrans przed streamem i godzinę, i witam wszystkich, którzy go nie widzieli, ponieważ argument YouTube'a, witam Rujkarę, Owikat, Palitkeusz, Kejler Clean, Emery, Ubigos, Grim Lukas, Nabuchodonorzor, Wzdłużony, Miłosz Węgrzyn, Ines...
370:  Insane Hime, jeżeli dobrze czytam, Rokit, Eustachy, 90 Motyka, Jaolin, Lewandowski M, Krzysztof Kowalski, Nia Doris.
380:  Niega, MD, Astrey, Guni3353, Emil Rusiecki, Krzyciek, Wignogrona Czerwone, Piotr Zyt, Łukasz Pieńkowski, Fany Valentine, Arcykapłan Dzikich Bobrów, Pozdrawiający z Wielkiej Tamy, Stanisław Maria Szeliga, Skawiak, Nadia Lewi, Aurora, Jave Cont, Łukasz, dzięki za wsparcie od 19 miesięcy, także jako moderator, is it possible to live?
405:  Learn this power.
406:  Będzie trzeba uzupełnić, moi drodzy, streamdecka Star Warsowego, Hawa Sakura, Ignacy, Pixel Witch, Michał X, Adrian Bartłomiej, Bierny Obserwator, Kals Bezserca, Kasia Ćwieluch, Uncouth Man, Simon, Karolina Busk, Logol, Wojciech Toman, Majciek Kociarz, Zuza i wszyscy przybyli, moi drodzy.
431:  Teraz też będę słuchał muzyki, której wysłuchacie.
433:  W końcu udało ci się przeczytać, pisze Insane Hime.
437:  No proszę.
438:  Agent of S.H.I.E.L.D.
439:  też nie będzie powitany.
440:  Kyras, Rosół Skóry Domowej.
441:  Mam nadzieję swoją drogą, moi drodzy, że byliście na absolutnie wspaniałym filmie anime Suzume w kinach.
447:  I mam nadzieję, że się wybieracie 1 maja, bo już są chyba pokazy wtedy na Trzech Muszkieterów, bo będzie to wierna adaptacja powieści Aleksandra Dima, którą naprawdę kochałem czytać swego czasu.
458:  To było bardzo, bardzo dawno temu.
459:  Trzej Muszkieterowie.
461:  Przepraszam bardzo, galaktyka Star Wars nazywa się Far Far Away.
477:  animu w kinie jak najbardziej.
479:  Suzume było super.
481:  Absolutnie.
482:  Chaty też potwierdzają, moi drodzy.
485:  Na razie, nie chcę nic mówić, ale klatkaż jest w porządku.
490:  Na razie.
492:  Zobaczymy, jak będzie dalej.
493:  Robiłem małe testy.
495:  Moi drodzy, naprawdę to, co ja przeżyłem, żeby uruchomić tę grę, było absolutnie niesamowite i od razu mogę powiedzieć, że to nie wiązało się siście z grą, to się wiązało z aplikacją pod tytułem...
513:  Aaaaap, jak chcecie zobaczyć pełen opis przygód moich z zainstalowaniem iiii, heeej, aaap, to jest i na Discordzie, i na karcie społeczności, jakieś 24 kroki, które wymagały trzech restartów komputera, żeby wszystko zaczęło działać.
532:  Przeżyłem horror.
533:  It's in the game, tak.
536:  rozmiar gry, a na to nie zwracam uwagi, Łukaszu, bo ja mam dysk 2TB SSD już na wszelki wypadek.
543:  Już jestem święcie przekonany o tym, że gry będą tylko coraz cięższe.
549:  Jej app jest straszna.
550:  Moi drodzy, jeszcze druga rzecz, podczas jak się odpala bardzo ładny film, mam nadzieję, że widzicie ten film, nie, nie odpala się tak naprawdę, ponieważ odpala się tylko przy pierwszym uruchomieniu, ale oczywiście, o, konsole, granie na konsolach takie dobre, wcale nie psuje gamingu, wcale nie jest tak, że granie na konsolach prowadzi do tego, że macie tylko otwarcie,
567:  i od razu ten experience dla jednej osoby.
569:  Nie dajcie bogowie, jeżeliby dwie osoby chciały równocześnie w tę samą grę zagrać, na przykład mieć pełen experience od samego początku, więc ja nie mogę tego filmu jeszcze raz odpalić, ponieważ on się już odpalił, jak testowałem przed streamem.
581:  Przy okazji, Agnieszce Staran, dziękuję serdecznie za zajamniczenie, za bycie jam Nikołajką i podarowanie pięciu wsparć.
586:  Nadia Lewi, nasza dzielna moderatorka, otrzymała wsparcie od peer, bez serca, jako i, jako i, Marcin Lewandowski M, moi drodzy.
596:  Wszyscy oni otrzymali wsparcie, co oznacza, że dzięki temu mogło używać jawniczych emoji.
602:  Przy okazji, ponieważ cały czas ślipicie w ekran tytułowy, wyjaśnię, że to jest Pałac Imperialny, który to Pałac Imperialny został wybudowany przez Siwa Palpatina, czyli absolutnie najwybitniejszego z wszystkich, absolutnie z wszystkich istnień, jakie możecie napotkać w tej galaktyce.
