🔴 Z jamnikiem przez galaktykę | JEDI: FALLEN ORDER Livestream #1
🔗 https://www.youtube.com/watch?v=0I5nEF4Rm4Y

20:  muzyka
56:  Dziękuje za oglądanie!
92:  Muzyka
125:  muzyka muzyka muzyka
171:  Muzyka
222:  © PTA & TVP
264:  Witam!
266:  Witam niedzielnie!
268:  Witam w nowej jakości!
271:  Witam w nowych ujęciach!
275:  Witam z wykorzystaniem kamery, która ma tylko baterie i baterie rzeczone będą się wyczerpywać!
282:  Witam trybutariuszy, dzięki którym ten zakup był możliwy!
287:  Witam wszystkich tłumnie przybyłych!
289:  Witam Stachu, Hatz, Antoniego, Grele, Wilkeranie, Kaźmierczak, Reptile, Nawazie, Urszulegiewon, Grabke, Emow, Lofranek, Ejsak, Nadielewi, Seronoksa, Bigomeza, Tomasza Roczniewskiego, Sinazaki!
302:  Witam Brontosa, witam Mai, witam Samuita, witam MD, witam Banuja, witam Simona, witam Stefana Skywalkera, jakże adekwatne miano na dzisiaj!
310:  Witam Sawah Sky, która trzyma sitami, tak jak ja!
314:  Witam Wilkera, witam Degariego, witam Michała, witam Bigomeza, witam Magdalenę S, witam Tsuki Tsubane, Palitke Usza, Andriowa Stora, Mikke, Pusie, Garefa Kordrak, Kyrasa, Moriu Nunen,
330:  Witam wszystkich Jedi!
333:  Witam wszystkich Sithów!
335:  Witam wszystkich zwolenników jedynego, słusznego władcy galaktyki!
343:  Imperatora!
344:  Palpatina oczywiście, o nim mówimy.
346:  Witajcie kochani!
348:  Witajcie kochani, mam nadzieję, że się podoba jakościowo, albowiem tak, pozmieniało się, pozmieniało się, więc oby było wszystko w porządku.
357:  Mam nadzieję, że będzie wszystko również działać, teraz się muszę uczyć, żeby tutaj patrzeć, nie niżej, tylko tu, albowiem w kamera.
365:  Więc dzisiaj, dzisiaj rozpoczynamy niebagatelną rzecz, moi mili, to znaczy rozpoczynamy nową grę Jedi Upadły Zakon.
374:  Upadli Jedi.
376:  Krzysztof pobladł, to dlatego, że wreszcie jest dobra jakość kamery.
381:  Niech moc będzie z nami, absolutnie.
384:  Pięknie i ostro.
385:  Niestety, może być, może być, moi drodzy, jeszcze ostrzej, niestety.
389:  Krzysztof zbliżony.
391:  Krzysztof niezbliżony.
393:  Niestety jeszcze nie udało mi się zrobić naszych dramatycznych zoomów, które mamy na streamach, ponieważ jest to bardzo skomplikowane w obiesie, ale już znalazłem walkaround dla kamer.
403:  Krzysztof się wyprostował.
404:  Tak było, moi mili, tak było.
406:  A ja tymczasem, without further ado, wyłączam naszą wspaniałą muzykę z playlisty The Epic Dachshund.
412:  To dla wszystkich, którzy byli tym zainteresowani i dla wszystkich, którzy pytają, jakaż to muzyka była.
418:  I, moi drodzy, przełączamy się.
420:  Natychmiast.
421:  O, teraz widzę, że... Nie no, musi działać.
425:  Oczywiście, że działa.
426:  Fantastycznie.
427:  Fantastycznie.
430:  Teraz widać każdy port twarzy Krzysztofa.
433:  Somehow Krzysztof returned.
436:  Tak, tak, tak było moim.
441:  Echo?
442:  Jezus, jakie echo?
449:  Potężne echo?
451:  Momencik.
469:  Teraz nie będzie echa.
474:  Teraz nie ma echa.
477:  Teraz nie może być echa.
479:  Always to there are!
482:  Always to there are!
484:  The Master and the Apprentice!
499:  Myślicie, że nie jestem bardziej przygotowany?
501:  Ha!
502:  Moi drodzy, myślicie, mylicie się, nie znacie mnie, nie znacie mnie.
506:  Ironicznie.
508:  Mógł uścigać innych od śmierci, ale nie sam.
512:  Wszystko jest w porządku, tak jak ja to widziałem.
523:  Tak, bardzo dobrze, bardzo dobrze, jest klimat, moi drodzy.
529:  Opcje.
533:  I tak, oczywiście, że zamierzamy używać kontrolera, naturalnie, że nie.
537:  Zrobiłem już sobie sensowne sterowanie, które jest właściwe, moi drodzy.
542:  Sprawdzam jeszcze szybko, czy jest okej.
544:  Wyłączyłem filmowe ziarno, bo nie wszyscy lubią.
549:  Nowa jakość dodaje mroku.
550:  Dobrze, moi drodzy, o to chodziło, o to chodziło.
554:  Klimat musi być.
