🔴 Gildia zegarmistrzów kontra gildia alchemików | LIES OF P Livestream #9
🔗 https://www.youtube.com/watch?v=gkaKTakw0jI

145:  © PTA & TVP
303:  Kłamstwa psa w psiogrodzie.
310:  Dopiekają końca, moi drodzy.
313:  Ruszamy dzisiaj na podpój Gildii Alchemików.
317:  Mając jeno, słabą wiotką marionetkę i ogień w duchu, witamy najserdeczniej wszystkich przybyłych w tym szczególnym dniu piątkowym, kiedy wychodzi raport Najwyższej Izby Kontroli, który dojeżdża oświatę w Świętokrzyskim.
334:  Pozdrowienia dla wszystkich, haha, bardzo polecam w najnowszym szorcie, mówię o tym troszeczkę więcej.
339:  Witam Catherine Emeriu, Krzysztofa Bieńkowskiego, Hudinus, TequilaSnack,
344:  Kevler, Olivia, Iggy, Astray, Susie Diamond, Darbigos, Lymos, Grzegorz Sikora, Balrog72, JackofBuzz, Nomeus, ZłyCzałownik, Ewa Jędrzejczyk, Malen, Malanfa, Łukasz, Tomasz Kowalczyk, PytysiuRóżowy i reszta naszych niestrwożonych moderatorów.
362:  Froget 67, Take Last Snack, Patrycja B, Smutny, Ślimakołak, Ślimakołaki to jest to, czego potrzebujemy, ale nie, Wlies of Pea, Czerwony Lis, Pastka, Catherine, Tenebris, Luka Senpai, Suzy, Mr. Gino, Łukasz Szelewicki, Kazerkoł, Mag, Piekielnojamniczego Ognia, Szeptucha.
386:  Ja mam wrażenie, że Nick Kazerkoł rośnie wraz ze Starzem,
391:  naszego wspaniałego wspierającego na streamach, mówię wam, że tak jest, Mr. Gino, Dit Firebone, Koniunkcja Sfer, Kamil, Nekromantka Nieskończonych Płomieni, wspaniałe miano, Piotr Grzyb oraz Red Room, niestatystyczna Catherine Gorbex Olevales, szeregowy Bars, Lepre, Paula,
416:  Wiktoria Saturnus, Kinga Sadowska, Szymon Nalewajko, Serenoks oraz Łukasz i Mr. Magic Hook i Kamil.
426:  Wszyscy niewyczytani, wszyscy moi drodzy z szarymi nikami, wszyscy z zielonymi nikami, wszyscy z niebieskimi nikami.
433:  Wszyscy z Najwyższej Izby Kontroli, czyli z innymi nickami oraz wszyscy ci, którzy padli tutaj przez zupełny przypadek, ponieważ zobaczyli, że jest streamowany Lies of Peace.
442:  Zobaczymy, zobaczymy, jak ten rozgrywający będzie lamił.
446:  Uprzedzam wątpliwości.
448:  Epicko.
449:  Ale najważniejsze, moi drodzy, jest co innego.
452:  I pytanie, na które sobie możemy odpowiedzieć, mianowicie, czy Krzysztof pamięta sterowanie?
456:  No nie, żartuję, najważniejsza jest inna, mianowicie, skończyłem dosłownie przed godziną podcast Dwie Lewe Ręce, moi drodzy, więc będę niebawem, nie wiem jeszcze, kiedy się ukaże, ale dostaniecie informacje tradycyjnie, a teraz Lies of Pee.
473:  O tak.
474:  Mam nadzieję, moi drodzy, że wszystko będzie dzisiaj dobrze od strony technicznej, ponieważ ja już nie mam siły na walkę z UPS-em, z UPC, z YouTubem, z wszystkim.
487:  Widział Krzysztof, po czym odkrył, że nie wyświetla się Lies of Pi.
494:  No, no, no, no!
497:  Ja myślę, ja myślę!
500:  Pudinus ubolewa, że się wkręcił w gęśnina.
502:  To było do przewidzenia, moi drodzy.
503:  Prędzej, czy później.
504:  Gęśinek wróci, bo musimy dokończyć wreszcie ten nieszczęsny... Ach!
507:  Archon Quest!
509:  Ja nawet nie wiem, gdzie ja jestem, ale zobaczcie, nasza marionetka już jest w pozie ukorzonej, moi drodzy.
515:  To jest najgorszy sposób... To jest najgorszy sposób na rozpoczęcie streamu.
519:  Porównajcie sobie, moi drodzy, klasyczny mem Establishing Dominance in Night City z tym, w jaki sposób zaczyna nasza marionetka.
537:  A jak dla mnie to źle wróży.
539:  Ale zobaczymy.
542:  A przy okazji nowy jamnik.
543:  To jest jamnik w pozycji siedzącej.
545:  Ten jamnik was powitał.
546:  Dziękuję swoją drogą moim wspaniałym seminarzystkom za ten prezent.
550:  Dobrze.
552:  Wracamy.
552:  Hańba na reklamę.
553:  O Boże, zapomniałem o tym przecież, rany boss.
556:  YouTube jest okropny.
558:  Wiecie co teraz jest?
558:  Ja wam pokażę co teraz jest.
560:  Kiedyś, kiedyś miałem możliwość na live'ie
565:  Zdecydować, czy będą reklamy możliwe do pominięcia, czy nie.
568:  Teraz nic nie mogę.
569:  Teraz mogę tylko wyłączyć, co niniejszym zrobię, ponieważ pieprzyć YouTube'a.
574:  To jest oburzające to, co się dzieje.
576:  Lwesper, witam serdecznie.
578:  Krzysztof Robitypows, to nie dlatego, że się zglitchowałem.
581:  Czemu siwy Pinokio?
582:  Fabularnie jesteśmy Ciri, moi drodzy, w tej chwili.
585:  Tak się stało ostatnio i stwierdziłem, że od razu ubierzemy do tego... O, proszę bardzo!
594:  Ja nie zasłużyłem, że ubierzemy strój biały, ale zobaczcie, mamy cylinder!
601:  Czy... czy ja się my... Tak!
604:  Haha!
606:  Jest cylinder!
607:  Najgłębszy lore!
609:  The deepest of lores!
611:  Możemy też być owczarkiem niemieckim.
615:  To na wypadek, gdybyście stwierdzili, że nie chcecie już oglądać Ciri.
619:  Ale cylinder jest rewelacyjny.
621:  Zostajemy z tym cylindrem.
622:  A, możecie się zastanawiać, co to za dziwny przedmiot w mojej ręce.
625:  That's what she said.
627:  Mianowicie, ten dziwny przedmiot, moi drodzy, to jest nos.
631:  Ostatnio świętowaliśmy...
635:  otrzymanie nosa z obrazu.
