🔴 Marionetka bywa wściekła | LIES OF P Livestream #8
🔗 https://www.youtube.com/watch?v=BpC14_WffF8

13:  Zdjęcia i montaż
50:  Szyn rajdu.
146:  Muzyka Muzyka
208:  Muzyka
229:  Muzyka
288:  Witam wszystkich przybyłych.
292:  Witam dziś z ciszonym głosem, albowiem Krzysztofa bierze przeziębienie.
297:  Nic, to najwyżej będziemy mieć mnieme streamy, ponieważ najlepsze na przeziębienie jest, moi drodzy, Grańsko i to konkretne.
303:  Witam wszystkich zgromadzonych.
305:  Maciej, RB, Daniel Ratajcza, Geralt, Albert, Helena, Kingio, Miraski, Serenox, Szejk Truskawkowy, Radosław, Rrrrr, Torri, Zuzanna, Malik, Hamster, Grzegorz, Sikora, Maciej, Czerwony Lis, Magdalena, Weronika, Froge37, Fieśski, Burak, Enea, Gramor, Szymon Drzymała, Szpisz... Szpisz...
324:  Szipi, szipi szapa, kiedyś się nauczę ciebie czytać, Serenoks, Nadia Lewi, Dachskund, Fanatik, Karolina Jurewicz, Mikołaj Trąd, Tomasz Kowalczyk, Jesz z Erlenwaldu, Mateusz Karpowicz, Szeptucha, Mikołaj Banaś, Grzegorz Sikora,
342:  Miriamka, Jako i Hysza, Mateusz i Longinex i Bartek Kolo, Krzępit, Korwus Korak, EmperorProtectIndeed, Wojtek W, Luka Senpai, Kaja Czarnakuska, Wesper, Ewa Filipa oraz...
360:  Onyxowa.
361:  Just unusual.
362:  Usual pancake.
363:  Zawsze robię z ciebie unusual pancake.
365:  Nie wiem dlaczego.
365:  Maćku, dzięki za wsparcie od 4 miesięcy zdrowia dla wszystkich, moi drodzy alergików i przeziębionych, również zdrówka.
371:  Dory, Bartek, Kamson, Antisocial One, Glass, Mysz, Tequila Sneak, Natalia, Noctiflox, Rua, Catriona, Flaminguel oraz Dominik M, Belop, Java S, Karolina,
390:  Druga Natalia, Nasturcja, cóż za piękne miano, Kamil Romanowski, Szipiszapa, żeby jeszcze raz się przeczytać i właściwie te chwila, Snig, Dirachel, Kuba, Jakub L., Stanisław Maczek, wszyscy moi drodzy, którzy towarzyszą nam w tej trudnej wędrówce, którą mamy w świecie kratu.
412:  Naszą biedną, niechętnogą, herlawą marionetką, która chlasta ile może mieczem, unika, kontruje, podpala, a i tak jest pokonywana przez przeciwne naturze monstra.
425:  Czy nie jest to metafora, moi drodzy, życia?
429:  Witamy też wszystkich serdecznie moderatorów.
431:  Tomasza Adamskiego też witam.
433:  Omniscient Reader, Szalony Szkodnik, Szymon Zajdel, Emilia Mizak.
436:  Bądźcie powitani, moi drodzy.
438:  Żal mi wyłączać wspaniałego Filipa Eje.
441:  Dodam jedynie, że możecie się spodziewać jeszcze w takim trybie zapowiedzi, jakie to mamy w zwyczaju na początku, trzech podcastów z udziałem Krzysztofa.
449:  Przyjąłem trzy zaproszenia naraz.
451:  Więc w piątek ten najbliższy nagrywamy dwie lewe ręce o edukacji.
457:  Pojutrze, czyli w poniedziałek jestem w Warszawie i tam nagrywam u Przemka Górczyka z kolei, też edukacyjnie, a świeżo teraz o 15 skończyłem rozmowę z psychodietytykiem, wyobraźcie sobie, na tematy i psychologiczne i neurodydaktyczne, bardzo ciekawa rzecz, będę wam dowoził informacje o wszystkich tych podcastach, jak go się ukażą.
481:  Więc Krzysztof jest już po paru godzinach mówienia dzisiaj.
484:  Dlatego też będziemy głównie wrzeszczeć z przerażenia, patrząc w twarz przeciwnych naturze monstrum, jak o się rzekło.
491:  Dobrze, że jestem w stanie już, moi drodzy, powiedzieć na tej wspaniałej muzyce i lecimy, lecimy do świata kratu, moi drodzy.
497:  Nie ma to tamto.
498:  Swoją drogą...
501:  Chapeau bas znowu, jak przepięknie zmienia się menu główne.
505:  No przecież to jest rewelacja.
506:  Glass pisze, że też przeziębiona, tylko mam taki katar, że oddychać nosem nie mogę.
510:  Okropieństwo.
512:  Najgorsza rzecz, jaka istnieje.
514:  Dori pisze, że dzisiaj słucha Chopina w PKP.
517:  Jezus, jak ja ci serdecznie współczuję.
519:  Dla tych z was, którzy nie wiedzą, o co chodzi, to chodzi o pierdolino i pociąg relacji Kraków-Walszawa, w którym na każdym przystanku musimy słuchać...
534:  Jeszcze jak ja jeździłem, to musiałem słuchać reklam kotleta schabowego.
537:  Są dalej reklamy apetycznego kotleta schabowego Dori?
540:  Mam nadzieję, że nie.
542:  RRB jest Jan Nikołajem.
543:  Gdzie jest mój niuchacz?
545:  Niuchacz!
545:  Niuchacz, niuchacz, jesteś potrzebny.
