🔴 Upór w ofierze | LIES OF P Livestream #5
🔗 https://www.youtube.com/watch?v=1BYggIiMN7Q

5:  Muzyka Muzyka
56:  Dziękuje za oglądanie.
100:  Zdjęcia i montaż
130:  Zdjęcia i montaż
181:  Dziękuje za oglądanie.
209:  Dziękuje za oglądanie.
263:  Zdjęcia i montaż
447:  Zdjęcia i montaż
482:  Dźwięki nurej muzyki Filipa Ayer uświadamiają nam, że to nieuniknienie dzisiejszy dzień.
488:  Poniedziałek.
490:  Wyjątkowy stream poniedziałkowy, którego nikt się nie spodziewał, oprócz tych, którzy widzieli zapowiedź.
495:  Od szesnastej rozpoczynamy bicie bossa władcy marionetek w Wise of B. Witam wszystkich serdecznie.
501:  Balrog72, Wiejski, Burak, Chysza, Szwagier, Lisior, Zen, Bugami, Tomasz, Kowalczyk, CzerwonyLis, Szejk, Truskawkowy, Jackdaw, Gnomeus, Julian, Arcykapłan, Dzikich Bobrów,
511:  Ewa Filipa, Astrey, Szejk Truskawkowy, Dawid Wojacki, Susie Diamond, Pademy Furnes, Juhus, Ditwa Ebon, Lokaj z Gondolinu, z przepięknego miasta pośród wzgórz, którego nie mogło spojrzenie Morgotha przebić, Adus Cytrus, Urszula Giewontak, uwielbiam upadek Gondolinu, Miraz21, Fernando Art, Bigomeza, Karol Gil, Dektro, Michał Lucifer, który pisze w Phantom of the Opera is there inside my mind.
538:  Będziemy mieli dzisiaj, moi drodzy, upór w ofierze.
540:  Będzie dzisiaj upiór w operze.
541:  Wszystko będzie na raz!
544:  Czerwony List, Urszula Giewon, Frogett37, Polpoligo, Dave Hyperion, Kossakowski, Andriowa Stora, Ennea, Gramor, Gnomeus, AldusCytrus, Natalia Kozioł, Chysza, Julia Jarząb, która cieszy się z tego, że strona wizualna chłopów jest dobra.
557:  Nie mówię natomiast o stronie narracyjnej, ponieważ wszyscy wiemy, jak to z tym wygląda i jak to się przedstawia.
562:  Ustachy90, Motyka, Megafuka, Zen Bugami, Grzegorz Sikora, Łukasz Szelewicki, Aradia, Herodias.
569:  O, proszę bardzo, jeszcze przy okazji dziękuję za dołączenie grona wspierających, a Radia Herdyes jeszcze pisze, że skończyła dzięki Lines of Pipisać, licencja to broniła się, a teraz może w spokoju pracować nad Magisterką o włoskiej fantastyce.
580:  IL MONDI DELLA FANTASCIENZA!
585:  Witajcie, moi drodzy.
586:  Dzisiaj będą poważne rzeczy.
587:  Poważne rzeczy, poważnym głosem czytane, nieprzypadkowo, moi drodzy.
591:  Płacz i zgrzytanie zębów nadchodzi, moi drodzy.
594:  Ale mam dla was dobre także informacje.
597:  Mianowicie, ktoś mógłby powiedzieć, że Krzysztof przez ostatni czas próżnował.
601:  To już Krzysztof przez ostatni czas nie próżnował.
604:  Krzysztof Offstream.
606:  dbał o to, żeby nasza rozgrywka była cokolwiek ciekawsza.
609:  Mianowicie, moi drodzy, pamiętacie może sytuację, którą mieliśmy parę razy, że bosidła niestety miały taką paskudną właściwość, że zabijały szybko naszą zjawę, a zjawa była za taki specjalny surowiec możliwy do przywołania, który to się nazywa okruch gwiazd.
624:  Otóż...
625:  Spieszę z radością poinformować, że mamy 99 okruchów gwiazd, a w magazynie dalsze 77, co oznacza łączną liczbę 176 prób TAKIEGO!
638:  Co ma tę również zaletę, że mogłem podlevelować radośnie naszą postać w obszarze wigoru i potencjału.
646:  Tutaj było coś 7 i 5, jest 16 i 15.
648:  Tyle w temacie!
653:  W związku z powyższym jesteśmy potężni, moi drodzy.
657:  Dobra wiadomość jest też taka, nie wiedziałem tego wcześniej, teraz Wam to zaprezentuję wszystkim, którzy będą grać w Lies of Pi.
664:  Mianowicie drzewo, z którego rodzą się owoce, jest absolutnie istotne i bardzo, bardzo kluczowe dla rozgrywki.
672:  Zaraz Wam zaprezentuję dlaczego.
674:  Mianowicie...
675:  Pobieramy tutaj, 80 minut to trwa mniej więcej.
678:  Tak, te dukajowe owoce, które są tak naprawdę dukatowymi owocami, ale już będę mówił zawsze dukajowe, służą do zakupu najważniejszej rzeczy w grze, jaka istnieje, a mianowicie okruchu gwiazdy, tak?
692:  Więc jak się zastanawialiście, skąd Krzysztof ma tyle, to dlatego, że równolegle z farmu szło kupowanie tego.
697:  Przez cały tydzień!
700:  Krzysztof was leveling out of spite.
702:  Tak, autentycznie, autentycznie Krzysztof zdenerwował się i stwierdził, że będzie pozyskiwał okrągłe gwiazdy z wielu różnych miejsc.
712:  Proszę nie krzyczeć i dbać o gardło, to jest słuszna uwaga, ponieważ incydentalnie albo wraca mi alergia, albo dzieje się coś niedobrego z moim gardłem.
721:  Że ci się chciało tyle farmić.
722:  Absolutnie Red Room.
723:  Znaczy nie no, mam nadzieję, że to jest czytelne, że gdyby w tym momencie po prostu było to dostępne dla graczy do przywołania, tak?
731:  W Sekiro, w Elden Ring'u, gdziekolwiek.
733:  Znaczy Sekiro chyba tak też było.
735:  To nie, w Sekiro nie było zjaw chyba.
737:  W Sekiro nie było zjaw.
738:  W Elden Ring'u były, w Dark Souls 3 były i tak dalej.
740:  No to nie trzeba byłoby farmić, a tak trzeba.
743:  No i dramat.
744:  Jest jeden problem.
745:  Mianowicie problem jest taki, że w trakcie farmienia w różnych miejscach pokonałem tego cholernego klauna.
751:  Przysięgam, że zrobiłem to przez przypadek.
753:  Chciałem bardzo nie zrobić tego off-stream, no ale się nie udało, bo jak zobaczyłem, że zostało mu 1% życia, to chlasnąłem raz jeszcze i stwierdziłem, że trening zakończony.
764:  Więc moi drodzy, teleportujemy się.
765:  Wpierw pokażę wam, gdzie zrobić tę farmę na wypadek, gdyby ktoś chciał na przykład i go bardzo to interesowało.
771:  To zobaczycie, co Krzysztof musiał robić przez ostatni tydzień.
775:  Znaczy wtedy, kiedy trzeba było i kiedy był czas.
777:  Poświęcenie dla idei wytłuczenia automatonów.
780:  Kto potrzebuje wsparcia?
781:  Szczyj truskawkowy zeszła na przeziębienie, jest ciężko.
784:  Mój Ty Boże, wszystkiego jamniczego dla Ciebie.
787:  Przecież to jest przerażające.
789:  Współczuję Ci ogromnie, ponieważ prawdopodobnie chorujemy równocześnie.
793:  Znaczy u mnie to jest prawdopodobnie, bo zawsze mam taki sam przebieg choroby, moi drodzy.
796:  A mianowicie na samym początku chce mi się strasznie pić
800:  I w związku z tym zaczynam dużo pić, wody, herbaty i tak dalej.
804:  Potem, jeżeli nie wdrożę szybko leczenia, idzie drapiące gardło i kaszel, a potem jest przeziębienie przez cholera jasna, nie wiem, jakieś dwa tygodnie.
815:  Więc tak, moi drodzy, to jest dobre miejsce, z jakiego powodu?
818:  Mianowicie to cholerstwo, którego ja się wcześniej bardzo bałem i dlatego z nim nie walczyłem, jest bardzo, ale to bardzo nieodporne
827:  na nasze ogniste zaklęcia.
830:  I szybko ginie, a do tego wszystkiego obok niego są minioni.
836:  I w ten oto sposób wzbogaciliśmy się o dziew... o przepraszam, o tysiąc prawie rzeczy i tak... i takie bogactwa, moi drodzy.
844:  I zajęło to nam ile?
845:  30 sekund.
846:  Może.
847:  W związku z powyższym polecam to miejsce, jest blisko do Stargazera.
850:  Tak trzeba.
851:  Nenu też dołącza do Armii Przeziębionych.
853:  Co się dzieje?
855:  Witamy Serenoksa i wszystkich przybyłych.
857:  Moim zdaniem powinny być takie pokoje do free expa jak w Bloodborne od gracza.
861:  O, bardzo dobry argument, Deminy.
863:  Ewentualnie brak czegoś takiego jak levele i samo upgrade'owanie broni.
866:  Ja levele akurat lubię, levele są spoko, natomiast zdecydowanie propsuję to, żeby było więcej takich pokojów czy treningowych, czy właśnie mniejsza liczba tych przedmiotów zużywalnych, czyli consumables, bo to naprawdę jest irytujące.
878:  Dobrze.
879:  Ale najważniejsze kwestie są następujące.
882:  A, zanim w ogóle przejdziemy jeszcze do Rose Isabel, trzeba porozmawiać z ludźmi w hotelu.
886:  Ja o tym zapomniałem.
888:  Odwiedzasz moje ulubione miejsce do farmienia.
890:  No proszę, Szymonie, no właśnie.
892:  Zawsze zaczyna się od bólu gardła, a potem już dzieje się wszystko, prawda?
