Mass Effect 2 LEGENDARY EDITION Livestream #6
🔗 https://www.youtube.com/watch?v=6JDIAX6eEPk

2:  Mass Effect 2.
3:  To jest chyba moja ulubiona gra wszechczasów.
9:  Gra, która zdefiniowała dla mnie gatunek RPG.
12:  Gra, w którą rozpoczynamy grę dzisiaj, przy szóstej części naszego streamu z Mass Effect Legendary Edition.
20:  Teraz przyszła część na dwójkę i oczywiście od razu wiemy, co będziemy robić, to znaczy kontynuujemy naszą podróż Yennefer Shepard rudowłosą maginią, która powinna być kruczoczarna, ale nie jest, ponieważ Mass Effect.
32:  A zatem od razu importujemy postać właśnie stąd, czyli z naszego ostatniego radosnego save'a, z jedynki i rozpoczynamy wędrówkę dalej po galaktyce.
45:  O wiele lepszą Normandią.
47:  Witam, witam na streamie wszystkich przybywających.
53:  Mam nadzieję, że to nie jest tak, że znowu coś defaultowo włączyłem.
58:  Mam nadzieję, że będziemy mieli wszystkie te klasy postaci, które chcemy.
66:  Shepard zrobił wszystko w porządku.
76:  Więcej niż oczekiwałyśmy.
76:  Komendant Shepard odkrył prawdę.
78:  Wciąż nie jest to wystarczająco.
80:  Jesteśmy w wojnie.
81:  Nikt nie chce to przyznać, ale ludzkość jest pod atakiem.
93:  Ale wysyłają ją, by walczyć z Gethą.
96:  Gethą!
98:  Wszyscy wiemy, że nie są prawdziwą zagrożeniem.
100:  Wszyscy jeszcze tam są.
101:  I należy nam zatrzymać ich.
105:  Księżyc nigdy nie wierzy w Cerberus.
109:  Nigdy nie zaakceptuje naszej pomocy.
112:  Nawet po wszystkim, co zakończyła ludzkość.
115:  Ale Shepard... Zatrzymają ją.
117:  Jest heroiną, biednym ikonem.
121:  Dobra, zaimportowało się.
133:  Niesamowicie widać poprawę grafiki po Illusive Man.
139:  The community struggles to rebuild.
141:  The Alliance fleet made a tremendous sacrifice to save the Council Citadel Tuck and earned humanity membership in their prestigious group.
150:  Now the council is forced to respond.
152:  I nie mogę doczytać do końca.
154:  Uszanowanko.
158:  Och, jest Normandia.
164:  Czyste piękno.
183:  Śmierdzimy czasu.
184:  Cztery dni szukamy tego sektora i nie znalazłyśmy żadnego znaczenia działania Geth.
188:  Trzy samochody przeszły tutaj w ostatnim miesiącu.
193:  Coś się z nimi stało.
195:  Moje pieniądze są na Slavery'a.
197:  Terminus system się z nimi przeskoczył.
200:  Zbieramy coś na skanerze długoterminowym.
202:  Niezidentyfikowany samochód.
205:  Hmm, wygląda na samochód.
206:  Nie ma żadnych znanych sygnałów.
208:  Wydawało mi się, że teraz będzie Mars, ale chyba mi się tylko wydawało.
212:  O tak!
237:  To jest moment na fullscreen.
258:  Tylko nie Layara!
259:  Shepard!
270:  Wielkie nieba.
274:  Nadal mi ten wstęp mózgu rozwala coś wspaniałego.
276:  Obejrzeć jeszcze raz pod Lulatach.
278:  Majfoc, dokładnie.
278:  Joker jest w kosmiczce.
279:  Nie wyjeżdża.
279:  Ja też nie wyjeżdżam.
290:  Potrzebuję, żebyś wziął drużynę na szutle EVAC.
291:  Będę zajmowała się Jokerem.
297:  Wszyscy wejdźcie!
297:  Idźcie, idźcie, idźcie!
332:  Tak się zaczyna gry wideo!
334:  Tak się zaczyna gry wideo!
355:  Wielkie nieba.
356:  Robimy natychmiast taktyczny save.
358:  Nie możemy zrobić natychmiast taktycznego save'a.
361:  Cóż to się dzieje, że nie możemy zrobić taktycznego save'a?
364:  Eee... Trudno.
367:  Musimy sobie poradzić.
373:  Eee...
375:  Początek trugi nie ma takiego wowu, coś w tym jest.
378:  Jedna z najlepszych scen ever, w finale każdy włosek stał mi na ciele z ekscytacji.
383:  I mean right?
384:  Absolutnie.
386:  Dobra, zaczynamy biegać.
389:  Wow.
394:  Uwielbiam.
401:  Joker trzymaj się, idziemy po ciebie.
405:  Chodźcie, Joker.
406:  Musimy się stąd wyrzucić.
410:  Nie, nie zostanę w Normandii!
411:  Wciąż mogę ją uratować!
411:  Normandia się straciła.
412:  Chodźcie z samolotem, to się nie zmieni.
435:  Tak, w porządku.
436:  Pomóż mi.
441:  Idą na kolejny atak!
482:  Noob, noob, noob, noob, noob.
488:  Ja nie pamiętałem, że Normandia będzie aż tak zniszczona.
498:  Wiem, my dostajemy Normandię 2-0.
501:  Tak.
504:  Chyba.
506:  Raczej na pewno.
521:  To jest wedle najlepszych scenariuszy Hitchcockowskich.
526:  Zacząć od wybuchu, a potem napięcie ma iść dalej.
529:  Co się stało z antygrafitecznymi butami z poprzedniej części?
532:  Haha, dobre pytanie, bo w save czytywaliśmy.
536:  Nie, no zdecydowanie, myślałem, że będzie najbardziej widać poprawę graficzną w jedynce, ale muszę powiedzieć, że po tej scenie początkowej tutaj, och, absolutnie.
552:  Nie, my znamy Mass Effecta pierwszego.
564:  Tak, tak, a jest znalezienie Starej Normandii?
567:  Czemu ja nie znałem tego quest'a?
569:  A może znałem, tylko nie pamiętam.
570:  Uuuu.
577:  Deus Extrima Revolution vibes.
579:  Haha.
582:  Czekajcie, jak jest... A!
588:  To jak to jest DLC, to w Legendary Edition są wszystkie, więc na pewno tego doświadczymy też.
601:  Scena składania Adama Jensena w Deus Ex Human Revolution jest jednym z najlepszych kawałków kinematografii growej, ale ta jest też dobra.
620:  Proszę się zazdroszczyć o ośrodek mózgowy Yennefer Shepard.
628:  Och, jakie piękne przetworzenie tematu.
632:  Akceptujemy twarz Jennifer Shepard, którą tak uwielbiamy.
640:  Dobrze wiemy, że to będzie adept, prawda?
642:  Dobrze wiemy, że to będzie adept.
644:  Submachine gun jeszcze mamy możliwość.
646:  Zastanawiałem się, czy by nie wziąć vanguarda, który też może... Pytanie, czy jest jakiś, który się specjalizuje w sniper rifle, infiltrator.
659:  Nie, nie, nie, nie, nie, nie będziemy, nie będziemy jak jakiś wieśniak grać żołnierzem, fu.
666:  Spatial Soul Survivor adept.
669:  Tak, wszystko się zgadza.
670:  Yennefer jest adeptem, jest maginią.
674:  Confirm.
677:  Jedynkę zmaściłem na streamie, ponieważ zaczęliśmy jako żołnierz, a nie jako adept.
683:  Miałem w sobie tyle determinacji, że zacząłem od nowa.
687:  Wangard też może mieć snajperkę?
689:  Adept w sumie też.
696:  Adept ma magię.
701:  Dzień dobry, Mirando.
702:  Jeszcze raz, teraz!
712:  Część serca spada.
714:  Stacje wróciły do normalnego poziomu.
715:  To było za blisko.
715:  Prawie ją straciliśmy.
717:  Powiedziałam ci, że twoje oczekiwania są odwrotne.
720:  Zrób te liczby znowu.
748:  Dobrze.
749:  Najważniejsze, że trwała Yennefer się utrzymała.
758:  Miranda Lawson, tak, wszyscy na nią czekaliśmy, absolutnie.
765:  Dobrze, dobrze, dobrze, interesuje mnie jedna rzecz.
767:  O właśnie, ta rzecz mnie interesuje, dobrze.
772:  Unity sobie damy tutaj pod siódemką, tam gdzie mieliśmy.
787:  Dobrze, dobrze.
792:  Damy radę.
794:  Czy tutaj jest coś do zabrania?
795:  Nic mi nie ma do zabrania, biegniemy.
800:  The door is locked.
801:  What a surprise.
802:  Tu jest reload?
807:  Tu jest reload?
808:  Tu jest amunicja?
810:  Dlaczego tu jest amunicja?
818:  Gin!
819:  Potężna, proszę bardzo, potężna moc magiczna.
822:  Najlepsze gry, początek jest źle, a potem tylko gorzej.
825:  Tak jest, dla męskiego Sheparda miłość to tylko Tali albo Layara, dla żeńskiego Garrus albo Layara.
830:  No niespodzianka, niespodzianka, mamy już Layarę z pierwszej części.
835:  Ja, jak grałem męskim Shepardem, absolutnie team Tali, absolutnie.
840:  Najbardziej tajemnicza, cudowna postać.
851:  Poznaj moc magiczną Yennefer Shepard!
854:  Ha ha ha ha ha!
855:  Pięknie.
858:  Yyy, w Mass Effect 2 była amunicja, a nie przegrzewanie broni?
860:  Boże, nie pamiętałem tego.
866:  Tym lepiej, że gramy maginią!
874:  Dobrze.
880:  Hedge Hunter.
882:  Bardzo dobrze.
884:  Bardzo dobrze.
887:  Co tutaj się dzieje?
888:  Czy jesteśmy w stanie coś zebrać?
889:  Nie jesteśmy.
890:  Coś mi mówi, że tutaj będą interesujące rzeczy.
893:  Na przykład amunicja.
894:  To jest chyba amunicja.
896:  Rozwój technologiczny.
897:  Tak jest!
898:  Tak jest!
902:  Nic tutaj nie było interesującego.
904:  Wydaje mi się, że to jest po prostu amunicja, te dziwne... Boże, jak ja uwielbiam takie sceny.
911:  Team Vanguard widzę.
914:  Ja chyba też grałem Vanguardem jako pierwszy.
922:  Ależ po co mi granaty?
924:  Dziękuję.
930:  Tyle w temacie.
936:  Dobrze.
945:  Dobra.
948:  Oczywiście, że są zakłócenia.
950:  Fascynowało mnie to.
951:  W przestrzeni kosmicznej rozwiązane zostaną wszystkie problemy, ale w dalszym ciągu używa się radia na krótkich częstotliwościach.
959:  Cudownie.
962:  Dobrze.
964:  Coś mi mówi, że tu jeszcze można przejść.
969:  Oooo, aaaa, haha!
980:  Koszty zawsze są astronomiczne, ale od czego są zespoły B plus R, które mogą przetapiać gigantyczne ilości gotówki?
991:  Mówię, z doświadczenia.
996:  Co to było, co zniszczyło Normandię?
998:  Wydaje mi się, że to na pewno miało coś wspólnego ze żniwiarzami, ale dalibóg nie pamiętam.
1006:  No tak, tak, ja też mam duszę zbieracza jak najbardziej, czasem tylko zapominam o tym, żeby na przykład cofnąć się w to miejsce.
1016:  Statek zb... no właśnie, właśnie, właśnie, właśnie.
1023:  Proszę, niech to nie będzie Kaiden Alenko, ja już go zabiłem specjalnie.
1032:  Jacob!
1034:  Bardzo dobrze.
