Mass Effect EDYCJA LEGENDARNA — Livestream
🔗 https://www.youtube.com/watch?v=fxSlrdEm6LY

3:  Witaj się na streamie.
6:  No, muszę powiedzieć, że czekałem długo na ten moment.
10:  W 2020 roku przyrzekłem sobie, że w 2021 zagram w dobrego RPGa.
17:  Wtedy przyszedł Cyberpunk 2077.
20:  Ale teraz jest maj i przyszedł dobry RPG, to znaczy edycja rozszerzona, legendarna Mass Effecta z pewnymi zmianami, z modyfikacjami, w którą będziemy sobie dzisiaj grać i zaczynamy od pierwszej części, której praktycznie nie pamiętam.
35:  Zresztą, jeżeli chodzi o fabułę, najbardziej zapamiętałem bodaj część drugą, część trzecią zapamiętałem raczej niemile.
41:  Zobaczymy, czy to się zmieniło.
44:  Jedno się nie zmieniło, to znaczy muzyka, przy której mógłbym medytować i która wita nas w świecie galaktyki.
52:  Zaczynamy dosłownie od samego początku, nawet nie tworzyłem jeszcze swojej postaci.
71:  Dobry wieczór, dobry wieczór.
72:  Wieczór majowy jest zawsze najlepszy.
78:  Teraz.
80:  Pierwszy raz w Mass Effecta grałem Shepardem.
83:  Johnem Shepardem.
86:  Ale kusi mnie.
88:  Proszę włączyć się do profilu.
115:  Nie będę jej nazywać Jodyna, bo nie jestem bardzo okrutny.
118:  Witam, witam.
119:  Kobieta mag.
120:  Oczywiście, że tak.
121:  Naturalnie, jest ruda, w związku z powyższym musi być magiem, ale Jane brzmi strasznie banalnie.
130:  Uszanowanko, tu by trzeba było zrobić coś, co będzie bardziej maginiowe.
138:  Dabbing angielski jest kultowy.
139:  My tutaj się zanurzamy w oceanie nostalgii, okej?
166:  Jericho, haha.
168:  Earthborn, Soul Survivor.
170:  Czy tutaj nie było tak, że mogliśmy sobie zmienić... Origin?
177:  A tak, było, tylko że nie w predefiniowanym.
180:  Dobra, nie będziemy kombinować.
182:  Chcę zobaczyć, co tam się dzieje.
185:  Tak, właśnie dlatego nie chcę customować.
187:  Dla mnie, dla mnie szczerze...
189:  Grałem defaultowym Shepardem i teraz stwierdziłem, że trzeba zagrać defaultową Shepard.
196:  Próbowałem tworzyć swojego customowego Sheparda, skończyło się to tym, że oczywiście mu dałem Kozioł Bródkę, jak każdemu magowi, natomiast Magini z Kozioł Bródką będzie wyglądała źle.
204:  Dzień dobry, dzień dobry.
206:  Confirm.
206:  Identification confirmed.
210:  Level scaling legendary mode, okej, dobrze.
213:  Defensive, hmm, okej.
216:  Autosave, okej.
217:  Włączymy sobie te subtitles, żeby było wygodniej dla was i dla mnie również.
222:  I co?
222:  Combat difficulty?
224:  Nie, nie, ja nie pamiętam nic, co się działo w Mass Effectie, więc na wszelki wypadek w ten sposób.
230:  Auto level up, off, absolutnie.
231:  Będziemy levelować sami.
233:  Ojej, hmm.
238:  Cóż o Shepardu?
240:  Urodzony na ziemi, ale nie ma jej rodziny.
242:  Nie ma jej.
244:  Była urodzona na ulicach.
247:  Uczyła się patrzeć za sobą.
249:  Widziała, że cała jej drużyna umarła w konflikcie.
252:  Mógł mieć niebezpieczne skarby emocjonalne.
255:  Każdy żołnierz ma skarby.
256:  Shepard to przeżyciel.
258:  Czy to ten rodzaj osoby, którą chcemy chronić galakcją?
264:  To jest jedyna osoba, która może ochronić galakcję.
267:  Kurde, akurat odtworzyłem trylogię z miesiąc temu, a dzisiaj stream.
271:  No, Anderson.
273:  W roku 2138 eksplorowcy na Marsie odnaleźli pozostałe miejsca starych cywilizacji kosmicznych.
281:  W ostatnich dekadach te mistyczne artyfakty okazały się zaskakującymi nowymi technologiami, pozwalającymi na przejeżdżanie do dalszych stars.
288:  Basem tej niesamowitej technologii była siła, która kontrolowała bardzo dużą fabrykę kosmiczną i czas... ...brokredyt.
306:  Arcturus Prime jest w porządku, inicjują transmisję.
316:  Ten temat... Ten temat!
319:  Jesteśmy w połączeniu.
321:  Dzisiaj siedem godzin w grze już?
323:  Nieźle, nieźle.
324:  Jak nigdy nie grałeś, to absolutnie.
327:  Wszystkie stacje zapewnione dla transzynu.
333:  Jest Joker.
334:  Ojej.
336:  Te wspomnienia.
342:  Ale widzę, że nieźle sobie poradzili z tym liftingiem.
345:  To znaczy, to wygląda jak trójka.
349:  Czym jest napędzany statek?
351:  Czy to jakaś osobliwość?
352:  Nie pamiętam, czy my w kontekście LOL, ale sobie to sprawdzimy, bo gdzieś będzie opis Normandii.
357:  Wiem na pewno, że przekaźnik masy, do którego lecimy, to jest jakaś osobliwość.
363:  To jest ta stworzona przez starożytną cywilizację Protean.
368:  Nie wiadomo, jak działa.
370:  Dzień dobry.
371:  Dzień dobry.
374:  O... Nie, ja nie wiem, jak można byłoby grać z innym dubbingiem.
381:  Mmm, Ilus.
396:  Nienawidzę tego gościa.
397:  Nie tak, jak ty.
397:  Tak, jak ty.
398:  Pamiętasz, jak wziąłeś swój podłogę na drodze ze szpitala?
403:  Poza tym, spektry są problemem.
406:  Nie lubię mieć ich na sklepie.
408:  Powiedz mi, Karol.
409:  Powiedz mi, Karol.
410:  Jeśli komisarz ma pieniądze o budynkach, to oni mają poradę, żeby kogoś zainteresować ich inwestycją.
416:  Tak, to jest nieprawdziwa historia, ale tylko idiot wierzy w oficjalną historię.
