Mass Effect LEGENDARY EDITION Livestream #5
🔗 https://www.youtube.com/watch?v=3_BXiLQwNPc

2:  Zaczynamy.
4:  Zaczynamy kończyć.
5:  Witam wszystkich na ostatnim, chyba, zobaczymy, streamie z pierwszej części Mass Effecta Legendary Edition.
13:  Wracamy bezzwłocznie, absolutnie bezzwłocznie wracamy do przygód naszej Yennefer Shepard na Normandii.
22:  Przypominam, że Normandia uciekła z Cytadeli, co nie przeszkodziło nam wykonać absolutnie wszystkich sidequestów, jakie były dostępne, a to oznacza, że możemy wyruszyć.
32:  że możemy wyruszyć na samą ilość, usiłowałem zyskać na czasie, bo nie pamiętałem nazwy tej planety, potrzeba smoły, potrzeba drewna.
48:  Pamiętajmy, że jest ta gradacja bardzo charakterystyczna, to znaczy mamy na samym początku piramidy Masłowa właśnie potrzebę drewna, potrzebę smoły, a dopiero potem potrzebę samorealizacji albo potrzeby bycia.
61:  straszliwym magiem ognia.
63:  Wyruszamy na Ilos.
66:  W takim razie nie mamy żadnego innego wyboru.
69:  Let's travel to another system.
80:  Oto jesteśmy.
82:  Oto jesteśmy.
83:  Witam wszystkich gromadzących się zwolna.
87:  Myślę, że dzisiaj spokojnie
90:  Będziemy już kontynuować to, co nas czeka.
94:  Coś mi się stało.
95:  Nie wiem z jakiego powodu.
96:  Widzę pasek dolny, a to jest bardzo nieimersywne.
99:  Już przestaje widzieć pasek dolny.
101:  Bardzo dobrze.
102:  Może nie będziemy jeszcze na samo Ilos się wybierać, bo chciałbym sobie zobaczyć, czy przypadkiem na tej planecie czegoś nie ma.
110:  Nie ma.
112:  To przykro mi.
112:  Wszystkich fanów eksploracji niniejszym chciałbym zapewnić, że wszystko zrobiłem, by wyeksplorować ten system.
119:  Ale, ale zaraz, czy my na pewno nie mamy jakiegoś malunikiego sidequestu do skończenia?
124:  Przecież mamy, ja zapomniałem, że nie wyeliminowaliśmy bunkru getów.
129:  Cliffhanger!
131:  Nie płyniemy jeszcze, płyniemy, nie lecimy jeszcze na ilość, musimy wyeliminować systemu Armstronga.
140:  Bunkier getów, to jest ważniejsze.
143:  Co tam los galaktyki?
145:  Bunkier getów.
146:  Dzień dobry.
147:  Po szczepieniu, jak wspaniała wiadomość, że po szczepieniu dyplomacja Asarii jest niestety nierealizowalna, ze smutkiem muszę to powiedzieć, z tego względu, że żeby zrealizować quest dyplomacja Asarii, trzeba byłoby wrócić na Cytadelę, a tego nie możemy zrobić.
163:  Guess why?
165:  Gdzie był ten bunkier getów, jak myślicie?
167:  Może tu będzie bunkier getów?
170:  Proszę eliminować gety.
171:  Dobrze, gety będą eliminowane.
173:  W ogóle, mam dla was fantastyczną wiadomość,
177:  Udało mi się zdobyć nową herbatkę.
180:  Herbatka jest z biało czekoladą i truskawkami.
185:  Pycha.
187:  Chciałem też poinformować czat, że starannie skanowałem pasy asteroidów w tak zwanym międzyczasie, eksplorując wszystko.
200:  O, proszę bardzo, na przykład coś takiego eksplorując, z czego absolutnie nic nie wychodzi.
207:  Więc tak, tak, tutaj będziemy na Księżycu Solcrum, widzę, lądować.
213:  To będzie taka nasza wprawka przed ostateczną misją, gdzie nasza Jen Shepard dostanie nieprawdopodobne bęcki.
220:  Sprawdzimy jeszcze system Menda.
221:  W systemie Menda nie ma absolutnie nic, zostaje nam tylko i wyłącznie Księżyc.
225:  Skąd herbatka?
226:  Herbatka jest z najlepszego sklepu z herbatami Five O'Clock.
229:  Sponsorujcie mnie, błagam.
232:  Tak serio to... Sponsorujcie mnie, błagam.
236:  Urdnotrex i Talihazora.
238:  Dobrze, bez zastanowienia, to jest nasz dream team absolutny.
242:  Pyszna herbatka.
242:  Ja od pewnego czasu piję wyłącznie zielone, a miałem zawsze problem z zielonymi herbatami, dlatego że one były dla mnie bez smaku.
249:  Więc jeżeli w jakiejś zielonej herbacie jest czekolada... I'm in, I'm in.
257:  Zobaczcie, jaką mamy mroczną planetę.
261:  Bardzo mroczną planetę.
264:  Wiem, że skopałem z dyplomacją Asarii, ale i tak chciałbym oznajmić, że bardziej byśmy skopali sprawę, gdyby się na przykład okazało, widzę, że Mako ma się dobrze, gdyby się na przykład okazało, że nie możemy żadnego sidequestu zrobić.
277:  Ta herbatka smakuje pysznie, jest wspaniała.
283:  Absolutnie wspaniała, zwłaszcza, że miałem kiedyś taką jedną ulubioną herbatę, ona się nazywała Buncha Chocolate bodajże i właśnie tam była sama czekolada, a w tej są jeszcze truskawki.
294:  Wspaniałość.
296:  Ojej, ten księżyc wygląda... To jest ewidentnie jakiś... To nie jest księżyc, to jest gazowy olbrzym.
302:  My jesteśmy na księżycu chyba.
304:  Tak.
305:  Ale wygląda przepięknie absolutnie.
311:  Wiedziałem, że się za czymś stęskniłem.
314:  Stanowczo było to strzelać.
315:  Oczywiście nie stęskniłem się natomiast za wspinaczką Mako po niebosiężnych górach.
325:  Niebosiężny to jest bardzo ładne słowo.
328:  Polszczyzna ma piękną właściwość tworzenia takich złożeń.
333:  Pamiętam, że najbardziej podobało mi się z wszystkich nazw w Skyrimie miodosytnia.
337:  Jakie to jest przepiękne słowo.
344:  Proszę bardzo, kapsuła Asariu, która absolutnie w niczym nam już nie pomoże, ponieważ wszystko, co myśleliśmy zrobić w tej grze, zrobiliśmy.
352:  Dobrze.
354:  Mako... Mako wędruje sobie teraz do A. A zobaczymy sobie, co jest w tych debris.
366:  Mako skacze jak student AGH, usiłując udowodnić, że nie jest z UJ-tu, tak?
372:  O takie porównania walczyłem.
374:  Jesteśmy na Księżycu i po raz pierwszy księżycowa fizyka Mako ma sens, tak?
384:  Hyper-reviewed territory vibes mode on samostójka.
387:  Oj, oj, oj.
389:  Przepiękne słowo.
393:  Mako, dziś jest wyjątkowo kronombrny, stwierdzam, nawet jak na siebie.
399:  Pilocie, działaj.
401:  Piloc zadziałał, dobrze.
403:  Już, już niedaleko, już niedaleko.
406:  Cierpliwości, o tak, to jest tu.
409:  Tu jest ewidentnie ta kapsuła.
412:  Proszę, proszę.
413:  Nie, nie chcę wrócić na Normandię.
415:  Przez całą grę nie znałem tego skrótu klawiszowego?
419:  Niebywałe, po prostu niebywałe.
425:  Brutforsowanie tego ataku, o, o, o, o, o, Dzyndzel od Wichalistra, tak, i ten Tegesa, zgadza się, absolutnie.
433:  Mam też wrażenie, że większość utworów science fiction jest pisana właśnie w ten sposób.
438:  Ale właśnie, a propos utworów science fiction, cóż ja zacząłem czytać wreszcie?
442:  Czwarty tom otóż zdobyłem, Archiwum Burzowego Światła wreszcie.
447:  i wgryzłem się wędziś, stwierdziwszy następnie ze smutkiem, że nie pamiętam absolutnie treści poprzednich trzech tomów, co biorąc pod uwagę poziom komplikacji światotwórstwa Sandersona sprawia, że z ledwością to czytam.
461:  Co się dzisiaj dzieje z Mako?
462:  Nie będę... Nie, nie, nie, nie, nie, nie.
464:  Mako dzisiaj... Mako dzisiaj skacze po górach jak kozica.
471:  Więc tak, Archiwum Burzowego Światła stało się jeszcze trudniejsze niż jest nominalnie, co nie zmienia faktu, że powieściopisarstwo Sandersona ma to do siebie, że ja po 10-20 stronach coś takiego już miałem pełną imersję, że nie miałem bladego pojęcia, co się dzieje.
491:  To są takie przebłyski, które do mnie wracają, na przykład przypomniałem sobie, kim byli odpryskowi, czym jest zbroja odpryskowa, to znaczy przypomniałem sobie to, że absolutnie Sanderson nigdzie tego nie tłumaczy.
501:  O, czy ja dobrze widzę?
503:  Mamy waginy dentate na radarze, a to oznacza... Wiecie, co to oznacza?
508:  To oznacza strzelanie do przeciwnych naturze działek.
512:  Bardzo mnie to cieszy.
515:  Czwarty tom jest bardzo dobry.
517:  Tak, Mako jest na strajku.
518:  O wiele lepszy od trzeciego.
519:  Uuu.
520:  Przy czym denerwuje mnie strasznie, że czwarty tom został rozbity przez wydawnictwo Magna dwa tomy.
525:  Co tutaj jest?
526:  Jak nie gett?
528:  Jak nie prymitywny organizm geci?
532:  Proszę bardzo.
539:  Muszę sobie przypomnieć, jak się tutaj strzelało.
544:  Czemu one są takie wytrzymałe?
545:  Ach, bo to nie jest armatura gettów, tylko to jest kolos.
548:  A cóż tutaj do nas strzela?
550:  Ach, jeszcze są takie getty.
551:  Takie małe getty.
553:  Małe, krnąbrne, gnuśne getty.
558:  MAKO!
563:  Rozjeżdżać, nie strzelać.
564:  Proszę uprzejmie.
569:  Nie zawsze to możliwe, ale...
573:  Zwłaszcza biorąc pod uwagę Strike Mako dzisiejszy.
579:  Dobrze.
581:  Dobrze, bardzo dobrze.
589:  Naprawdę spudiowałem ten ostatni strzał?
591:  Naprawdę.
593:  Dobrze.
594:  To wszystko?
594:  To wszystko.
596:  Wszystkie tomy Archiwum Bożego Świata zostały rozbite na dwie części, bo drukarnia Ichnia nie jest w stanie ogarnąć tak grubych książek.
601:  Serio?
602:  O Jezus.
603:  To przykra sprawa.
606:  W ogóle sprawdźmy jaką mamy broń, pistolet.
608:  Dobrze, tu się wszystko zgadza.
611:  Przy czym, z tego co wiem, te wersje w miękkich okładkach są inaczej zilustrowane niestety i to jest pewien paradoks, bo miękka okładka jest piękniejsza z zewnątrz,
622:  i piękniejsza w środku również, natomiast no niestety jest mniej wytrzymała.
628:  Co przy tak gigantycznych książkach jest naprawdę problematyczne.
635:  Mam mako strajku jak Sankt Petersburg, to prawda.
638:  Co nas tutaj czeka, jak myślicie?
640:  Ja myślę, że tutaj nas czekają właśnie
649:  O nie!
650:  Nasza osłona!
652:  Co tu się dzieje?
656:  Ten gef był zbyt denerwujący nawet jak na mnie dzisiaj, a ja dzisiaj mam zły dzień.
662:  Dziś jest bardzo zły dzień.
663:  Wszystko, co mogło nie pójść, nie poszło.
667:  Otóż człowiek wstał sobie spokojnie o przerażającej porze, to znaczy jakiejś ósmej albo dziewiątej, to nie jest pora, o której mózg powinien funkcjonować, z tego względu, że trzeba było iść... Czemu on tak wyje?
680:  Z tego względu, że trzeba było iść do fryzjera o zgrozo, po czym się okazało, że fryzjer nie był o godzinie dziewiątej, tylko o godzinie trzynastej, a potem już było coraz gorzej.
691:  Dlaczego my nie użyliśmy jeszcze ani razu magii?
694:  Witam również serdecznie wszystkich przybywających na Steam.
697:  Nie jest za późno.
698:  Nie ma spóźnienia.
699:  Akurat jest scena walki.
701:  Wcześniej była scena
705:  Była scena walki z Mako, który poddawał się sile grawitacji.
710:  As the last gate falls, you hear music from across the room.
714:  On the monitor, a quarian stands before a hushed crowd, wobbling a mournful a cappella of words, and innocence lost.
722:  The recorded song is dispatched to the gate words behind the pursuer's veil.
727:  The transmitter shuts down.
734:  Potem się okazało, że nie byłem w stanie kupić rzeczy, które chciałem kupić nigdzie, a potem się okazało, że cudowna krakowska pogoda postanowiła zrobić woltę o 180 stopni i ze skwaru i spiekoty 40-stopniowej zrobiła się burza z piorunami.
751:  Oczywiście kto nie miał parasola?
753:  Kto nie miał parasola?
754:  A musicie wiedzieć, że w Krakowie jest tak, że jeżeli spadnie kropla wody,
758:  To jest koniec.
759:  To ruch staje.
760:  Miasto jest sparaliżowane, bo spadła woda z nieba.
763:  To jest coś, czego się nie da przewidzieć przez dwa tysiące lat funkcjonowania ludzkiej cywilizacji.
767:  No więc były przygody.
769:  Czemu ja zamknąłem sobie drzwi?
771:  A tak w ogóle jak mamy... Ach, i to było tyle.
774:  No więc Asari diplomacy niestety i materiały, wybaczcie, nie będę chodzić po planetach i harwestować materiałów, nie jestem aż tak zdeterminowanym kolekcjonerem osiągnięć, więc wracamy do Mako, wracamy na Normandię i nurzę, nurzę do końca, nurzę do kresu.
796:  Wszędzie w tym strasznym mieście.
801:  Proszę bardzo, admirał Hackett.
802:  Właśnie otrzymaliśmy twój raport.
803:  Wygląda na to, że ta inkursja Geth była większa niż myśleliśmy.
808:  Prawdopodobnie przygotowali się do dużej ofensywności w systemie.
812:  Zrównoważamy patroli w klustrze Armstronga, żeby uzupełnić kolejny krok w regionie.
816:  Dobra robota, Shep.
818:  Znaczy ja wiem, że teoretycznie można byłoby jeszcze mieć EXPA i kasę, tylko problem polega na tym, że ja przynajmniej na tyle, na ile byłem w stanie to zrobić bez solucji, wszystkie z tych planet, które widzicie w galaktyce zwiedziłem, absolutnie wszystkie, znaczy na pewno któreś nie zwiedziłem,
835:  Być może w gromadzie lokalnej czegoś nie zwiedziłem, więc możemy sobie jeszcze podróżować do gromady lokalnej, sprawdzić, czy tam będzie coś interesującego.
842:  Natomiast nie znalazłem rzeczonych materiałów i z ogromną przykrością informuję, że nie zamierzam tego zrobić.
848:  Chyba, że coś znajdziemy tutaj przy jakimś małym skanowanku, bo nigdy nie wiadomo.
