🔴 W skąpym stroju i radosnym nastroju | NIER: AUTOMATA Livestream #1
🔗 https://www.youtube.com/watch?v=lC5q-il_EhU

8:  KONIEC
97:  Muzyka
315:  Witam!
317:  Witam świątecznie!
321:  Witam jamniczo!
324:  Witam wszystkich przybyłych na stream!
329:  Pierwszy stream świąteczny!
332:  W czapce!
333:  Witam najserdeczniej, niech będzie pozdrowiony Samuit, Kagralt, Agatha, istota żyjąca, Haoha, Sakura, Ashtray, Martena Kaczmarek, Simbashini, Kinga Wolska, moi drodzy!
344:  Wszystkiego, ale to wszystkiego jamniczego dla was wszystkich!
349:  Jan Guzek, Trojan, Kwis, Sunji, Adus, Cytrus, JJ, Straszliwe Agnieszka, Brzozowska, Piedro Zawiera, Doves of Harmony, Hau, Asakura, Sohiro, Hitsugaya, mam nadzieję, że dobrze czytam, Izina1997, Zuza, Tududu, Alicja, Pusia, Kinga, Filip, Haczuk, Ainz, Zdeweracz Hadronów, Grzydnia Pierwotna, moderatorzy nasi szlachetni, niech będą pozdrowieni.
373:  Dziękuję Jamniczemu, Nowicjuszowi Ognia, Kazerkoł, przeczytałem maksymalnie źle twój nick za obdarowanie, za bycie Jamnikołajem.
384:  Nie wiem, kto został obdarowany przez Kazerkoł, Nowicjusza Jamniczego Ognia, ponieważ dzieją się rzeczy.
390:  Venzanta, Simba, Shini, Ernest też nie będą podwitani, Broken Reality, Vatuan Channel, Palitkeus, Wojtos, Dom Atrius, Bidiskos,
400:  Rzeczy, Żółw, Usunięto, Enman89, En, Kupson, KluchenMuchen, Scherdinger, RedFox, MD, Flow, Weronika Aleksandra, Filip Skowronek, WebSiam, Astray, MegaFuka, Krzesłomir Dębielski, Aneta Ostafin, Żaba, Dawid Gaszyński.
424:  Moi drodzy, co to się podziało?
427:  Żeby nie było, dostaliście prezent ode mnie.
431:  Tak?
431:  Dostaliście prezent, więc na moment, ponieważ ja... Prezent, tak?
435:  To... To świąteczna muzyka, tak?
439:  Na moment.
440:  Ale za moment nie będzie świątecznej muzyki, dlatego, moi drodzy, że ostatkiem sił, ostatkiem sił po tym, jak zostałem znużony i wzmożony spożywaniem świątecznym, zrobiłem recenzję Wiedźmina.
455:  Obejrzałem dla was Wiedźmina, okej?
457:  To jest mój prezent.
459:  Jak zobaczycie też Wiedźmina, to będziecie wiedzieć, jak duże to było wyrzeczenie z mojej strony.
465:  Tymczasem Dawid Graszyński dołącza do nas, Przemek Majkowski, Aneta Ostafin wyczytana wcześniej, Serenox ponownie, Adenozyno, Trifosforan, Boże drogi, Tomasz Adamski.
478:  Jaćka TV, Weronika Aleksandra dołączyli dzięki Jakubowi Olfierowi, który jest Jamnikołajem.
483:  Przy okazji Karol Markiewicz dołącza do nas.
485:  Też jest trybutariuszem.
486:  Też jest jamnikodzierżcą.
489:  I Marceja wspiera od 12 miesięcy co dziękuję.
491:  Smacznego jajka!
494:  Piękne!
495:  Piękne!
497:  Co to była za nuta na początku filmu?
499:  Despite the fall?
500:  Despite the fall, moi drodzy, to było deskant przez K. Zabawna sprawa.
509:  Zapewne widzicie, że mam stary mikrofon.
513:  Zabawne, że nie pytacie.
515:  Okazało się mianowicie, że nie jestem w stanie pozbyć się różnych dziwnych dźwięków z tamtego i okazało się również, że zbierał on za bardzo pogłos, w związku z powyższym musiałem zamówić następny, inny, ale też będzie dynamic.
529:  Dotrzę w czwartek.
531:  Odyseja mikrofonowa trwa.
533:  Adam Gnatek, witamy w gronie trybutariuszy tymczasem.
535:  Moi drodzy, ja myślę, że without further ado, należy uruchomić NIR Automaty.
543:  Po to się tutaj zebraliśmy, moi drodzy, żeby było grańsko i żeby było radośnie.
548:  Usłyszeliście NIOM Loaded.
550:  To jest nieprzypadkowe, moi drodzy.
552:  NIOM to jest specjalny mod.
555:  Specjalny mod został mi polecony przez dobrą duszę czatowniczą, która powiedziała mi, że bez tego moda nie będę w stanie grać na myszy i klawiaturze, a domyślacie się, że nie ma innego planu.
567:  To znaczy, oczywiście gramy z wykorzystaniem jedynych słusznych kontrolerów.
574:  Jesteśmy.
575:  Izina 1997 tymczasem do nas dołączyła.
577:  Moi drodzy, to jest ten moment, kiedy ja siadam.
580:  Tak.
582:  O mój mikrofonie, ile cię trzeba cenić, ten tylko się dowie, kto cię stracił.
585:  Kto stracił na ciebie pieniądze.
589:  Nigdy nie zrozumiałam, jak piękny jest ten świat.
617:  Puszcza filmik, jak jesteśmy idle?
619:  Tak się dzieje, jak się nic nie robi w menu?
622:  Ale ja przecież byłem chwileczkę w menu!
626:  Co to za ponaglanie?!
627:  Nie wolno ponaglać biednego Krzysztofa!
650:  Witamy Mr. Dziueli, 90 gronie trybutariuszy.
654:  No dobrze, oglądamy trailery.
662:  Okej, nie muszę grać, spoko.
664:  Szymon Dziukowski, dzięki za trybut.
666:  Mam nadzieję na dokładną analizę wielu aspektów.
669:  Ja nawet nie wiem, co się tu będzie działo.
672:  Zamknij po spoilery.
677:  Dobrze.
678:  Spoileruję sobie grę.
679:  Dobrze.
680:  Przestaję spoilerować.
682:  Strasznie dużo osób do nas dołączyło w międzyczasie.
684:  Adam Gnatek jeszcze, widzę.
686:  Szymon Cichowski, MrJewel90.
689:  Uszanowani zleconego grania trybutuje Tomasz John-Donson, który wspiera od 10 miesięcy, dziękuję.
694:  Zmiana na japoński.
695:  Oczywiście, że japoński, moi drodzy, coś sobie myślicie.
698:  Tylko przecież myśmy jeszcze nawet nie weszli do ustawień.
700:  Zostaliśmy sterroryzowani przez grę.
703:  która nam powiedziała, że należy robić rzeczy, ale proszę bardzo, polski, polski język, tak, tekstu, udało się, udało się.
712:  Sugerujecie, że Krzysztof zrozumie, co tam się działo.
714:  Ja nie wiem, co się tam działo.
715:  Ja byłem przerażony tym, że ktoś na mnie wywiera presję, że ja mam szybko klikać w menu.
721:  Czyli to będzie jeszcze gorzej niż w Sounds Like'a.
723:  W Sounds Like'ach wywiera się na mnie presję, że mam szybko klikać w trakcie gry, a tu już mam szybko klikać w trakcie menu.
730:  Co się dzieje?
732:  Co tu się będzie działo?
733:  Ból, cierpienie i pytania dotyczące istnienia i samospełnienia.
736:  W sam raz na święta, prawda?
737:  Głos oczywiście niemiecki.
741:  Gdzie Królew?
742:  Gdzie Timon i Pumba?
743:  Tytuł streamu bardzo mylący.
744:  Narzeka Szymon Steczek.
746:  Musiało być świątecznie, moi drodzy.
749:  Przecież ta gra nie ma polskiej lokalizacji.
751:  Ama!
752:  Moderzy są, moi drodzy.
755:  Jest dużo rozmów podczas chodzenia, a to mnie zmartwili.
762:  Nie zmieniaj ustań, bo gresby spojlujesz.
763:  Lepiej po angielsku, bo spostrzeżenie jest z angielskiego.
765:  A, okej, dobra, to jeżeli tak, to robimy angielski.
768:  Poza tym martwi mnie też to, że jeżeli ktoś zostanie zwie przetłumaczony, to mnie umknie wtedy.
776:  Death Stranding za darmo na Epiku do wzięcia.
777:  To dobrze, Grimczak, że mnie o tym informujesz.
780:  Bardzo się cieszę, że mam kupione Death Stranding w dniu premiery za kilkaset złotych.
785:  Bardzo się cieszę!
788:  Ale bierzcie Death Stranding, skoro dają.
790:  Ehm, ehm.
793:  O, bogowie.
798:  Dobrze.
799:  Więc idziemy, moi drodzy, w... Jak to się ładnie mówi?
803:  Accessibility, tak?
805:  Czyli dostępność dla ludków, którzy nie lubią czytać.
810:  Tak zrobimy, moi drodzy.
812:  Jeżeli chodzi o obraz, to już chyba nic nie mogę zrobić ponad to, co zrobiłem w modzie.
816:  Zatem, moi drodzy...
824:  Okej, nie jest dobrze.
826:  Nie jest dobrze.
826:  Jeszcze nie zaczęliśmy grać, już nie jest dobrze.
828:  Piotr Piłot, dzięki za trybut.
829:  Wesołych świąt, jamniczych świąt dla Ciebie też.
831:  Pytanko, czy da się wysłać link super czatem?
834:  Chyba się da wszystkim wysłać link, tak mi się wydaje.
837:  Robercie, dzięki też za wsparcie.
840:  Sprawisz, że te święta nie są tak samotne.
841:  Dzięki Krzysiu i miłego dla Ciebie dla czatów.
843:  Wszystkiego jamniczego dać mnie na święta.
849:  Po raz pierwszy ogląda Władcę i jestem zachwycony, choć miejscami widać, że film został nadgryziony zębem czasu, a sceny wyrochanie przypominają koronę królów, pisze Tormund.
856:  Oglądajcie Władcę, pierścień, nie oglądajcie Netflixowego Wiedźmina, ja was bardzo proszę.
862:  Bardzo, a bardzo.
