🔴 Lisan al-Szczurib, Lisan al-Szczurib! — A PLAGUE TALE Livestream #3
🔗 https://www.youtube.com/watch?v=lRjT4nrAZVQ

66:  Dzięki za oglądanie!
94:  KONIEC
190:  Muzyka
222:  Zdjęcia i montaż
256:  Zdjęcia i montaż
285:  Witam wszystkich zgromadzonych przy smutnych i ponurych dźwiękach.
292:  Wykonawcy Mystical Ambient, który swoją drogą sam się do mnie zgłosił, ale powiem polskim wykonawcą jest, więc wejdźcie, wejdźcie do niego.
301:  Zobaczcie, jakie rzeczy komponuję, albumem komponuję rzeczy piękne.
305:  Witam tymczasem wszystkich najserdeczniej.
307:  Płonąca Pyrka, Raciaveli, Sybnis, Tata Żyjąca, Evil, Maciej, Jakub Wdowiak, Tamusz, Kowalczyk, Maciej Baszyn, TikTak, Serenox, Szejk Truskawkowy, Lemonade, Jakub Wdowiak, miejsce na twoją reklamę, Płonąca Pyrka, Andrzej Gomuka, Czar Mikołaj III, Arti Niezłomny, Gosia, Maksymiuk Borowiczek.
322:  Alkawari, Alzaria, Akawiri, przepraszam, Anita, Nerdolo, Matt, Pettersson, Wenzant, Avbigos, Czarcipomiot, Szymon Zajdel, Nerus, Jysz z Erlenwaldu, Einar i reszta naszych wspaniałych moderatorów, Ania Kaźmierczak, Grycerz, Nienawidze Jamników, Szil, Pisze, Cześć, Rozpacza nad Twym Nikiem, Niezmiennie, Rejwilo, Wenzant, Pademifernes, Grzegorz oraz...
344:  Palitkeusz, Kajetan Sługocki i Maric... Marcika, przepraszam, Wilian 102, Funcia, Feldmarszałek, Duda, Miokun, Arkadiusz Cybulak, Grim Lukas, Misiek Milan, Jormungandr, Maria Adamek, Estetyk, Absensi, Bodzio PB, Video Spekuli, Arkadiusz Cybulak, Leniwa Ola, Forin, Harry Osborn, Lenaz, Megafuka, Nevrast, Hao Asakura, Zderzacz Hadronów, Aredel, Nemeczek, Kruszynka Iska,
374:  Daisy i...
377:  Ksenia Kost oraz Cymu Willet, wszyscy stali i niestali widzowie kanału.
381:  Witam wszystkich nowych subskrybentów, których ciupinkę przybyło.
384:  Widziałem po ostatnim, dla każdego coś przykrego o tym o maturze.
387:  Więc witajcie serdecznie, jeżeli tutaj zabłądziliście.
389:  Witam też stałych i niestałych widzów tradycyjnie, trybutariuszy wspierających oraz wszystkich chcących posłuchać dalszego ciągu ponurej, przejmującej, emocjonalnej historii Amici oraz Igo, których imiona zapamiętałem, ponieważ dobry jest, dobry jest projekt narracji w tej grze wideo.
405:  Mam nadzieję, że się dobrze macie.
407:  Zapomniałem włączyć swoją drogą naszych świeczów.
409:  To niedobra, ale trudno.
410:  Trudno.
411:  Szkoda czasu.
412:  Szkoda czasu, moi drodzy.
413:  Wbijamy do gierki od razu i niezwłocznie.
417:  Naciśnij dowolny klawisz.
418:  To już jest problematyczne.
419:  Ostatnio mi to prawie nie wyszło.
421:  Nie żartuję.
423:  To znaczy tutaj trzeba niestety wybrać nieintuicyjnie to pole i człowiek myśli, że o nie, o nie, wybieram nową grę i zapisze mi się tutaj.
430:  Nie, trzeba tak zrobić.
432:  I dać kontynuuj.
432:  To jest jakiś dramat absolutny.
437:  Tak Krzysztof, pamiętaj mnie na bohaterów.
438:  Niesamowite rzeczy.
440:  Sam jestem zdumiony.
441:  Niebotycznie.
444:  Jak samopoczucie?
445:  Jak wasze samopoczucie?
446:  Ja dopiero wstałem, więc wiecie, nie no, żartuję.
448:  Dzisiaj akurat siedziałem długo i poprawiałem, redagowałem eseje, które przyszły na zaliczenia zerowe, bo niestety musimy się na agiechu wcześniej wyrobić z zaliczeniami.
458:  No dramat.
460:  Teraz najlepsza część.
461:  Ósmo.
463:  Ósmo.
465:  Tutaj skończyliśmy ostatnio.
466:  Widzicie?
467:  Nawet nie ruszyłem się o jeden centymetr off-stream.
470:  Tak było.
471:  Czy widziałem drugi sezon Blood of Zeus?
473:  Nie rurku, a warto.
475:  Co ciekawego się działo ostatnio, pyta majster.
477:  Ojej, ojej, ojej.
480:  Przede wszystkim odkryliśmy, i to było niesamowite wczoraj, że ta zaraza, która zaczyna dobierać się do naszego biednego ego, była już w VI wieku naszej ery.
489:  Sięga czasów rzymskich.
491:  Dalej, dalej.
518:  Czemu jesteśmy pozbawieni większości naszych rzeczy?
524:  I Hugo uciekł, tak.
526:  I szukamy biednego Igo.
528:  Uciekł głównie dlatego, że został niestety oszukany przez Amicję co do losu ich matki.
537:  Czy ktoś powiedział, Angiel, no właśnie, Noan pyta, czemu na AGH znowu wcześniej nie jest sesja.
542:  Samorząd studencki, to jest akurat słuszne, wymógł na wszystkich wydziałach i wszystkich dziekanach, że z uwagi na to, że część osób kończy licencjaty i chce się rekrutować na studia drugiego stopnia, ma mieć wszystkie zaliczenia do 12 maja, żeby na spokojnie można było się obronić w pierwszym terminie i uważam to akurat za słuszne.
558:  Znaczy, niesłuszne jest może, że to się tak nagle wszystko zmienia, wolałbym to wiedzieć na przykład we wrześniu, ale szanuję.
567:  Dał się namówić tatę, żeby poszedł ze mną do kina na Misia Barei, żeby zrozumieć, czym się tak zachwyca, pisze Czar Migułaj III.
572:  Ja nigdy nie zrozumiałem misia, szczerze wam powiem.
576:  Ani nie zrozumiałem rejsu.
578:  Kiedy wróci Hollow Knight?
579:  Przypuszczam, że za dwa tygodnie w środę.
581:  To wszystko zależy od tego, jak bardzo zasię na kanale i u mnie.
585:  Ghost of Tsushima.
586:  Bo obawiam się, że Ghost of Tsushima może mieć syndrom Elden Ringa, czyli przejmie kanał na dobre.
593:  DLC do Elden Ringa wygodzi wcześniej, dlatego jest sesja wcześniej.
600:  Czekajcie, co tu się dzieje?
604:  Clairvie?
607:  Ja ją jakoś mgliście kojarzę.
623:  Będę na Perconie przez wszystkie dni, Anno.
628:  Kler V to nasza piastunka.
632:  Prawie, prawie pamiętałem.
635:  Uderzy kac growy ze zwolenną siłą.
636:  Ja teraz gram w same gry, po których uderza kac growy.
639:  Permanentnie jest kacowany.
640:  Laurentius?
640:  To naprawdę ty?
640:  Gdzie jesteś?
641:  On... On uciekł.
654:  To jest babunia, która nam pomagała.
656:  Aaa!
661:  Okej.
665:  La petit cochon!
666:  Petit cochon!
675:  Nie zauważyłem wcześniej tego klucza na murze.
678:  Haty Laurentiusa.
682:  Clavicula Salomonis, Clavicula Salomonis.
689:  Ja czekam na stream zaplanowany na 15 maja, pisze Wiktor Brylonak.
692:  O nie, najgorzej!
694:  Tak, też będziemy grać.
695:  Tu się dzieją dziwne rzeczy, okej?
711:  Obawiam się, że to jest sen.
721:  Ok, teraz będzie jumpscare, zobaczycie.
726:  Ego, ty w porządku?
727:  Nie.
729:  Co się dzieje?
729:  Dlaczego uciekłeś?
731:  Dlaczego nie powiedziałeś mi, że mama cię chce?
733:  Ego, to było dla twojego dobra.
735:  To nie jest prawda.
736:  Nie chciałaś, żebym to wiedziała.
737:  Nie mów to.
738:  Jesteś żałosna!
739:  Żałosna!
744:  Widzicie, nie jestem w stanie przewidywiać, co się będzie działo w tej grze.
747:  To jest niesamowite.
753:  Klucz może jeszcze cyrkl i przewidzące oko iluminatu.
755:  Ja doliczę, ja liczę, że się pojawią iluminaci, jak już byli alchemicy.
758:  Kazelko piekielno-jamieniczego ognia trybutuje, za co serdecznie dziękuję.
