🔴 A co, jeśli nie widać czapek-niewidek? | LIVE #25
🔗 https://www.youtube.com/watch?v=WG23y0uXbUk

141:  Muzyka
166:  Witam wszystkich na naszym comiesięcznym Q&A, moi drodzy.
171:  Dzisiaj towarzyszy nam, co kieruję jako wiadomość nową dla wszystkich tych, którzy nie towarzyszą zwykle nam podczas live'ów gamingowych.
182:  Ledowy jamnik, który wciąż jeszcze nie ma imienia, ale będzie podczas każdego live'u, każdego filmu.
188:  A film się niebawem zbliża, bo możecie się spodziewać w przyszłym tygodniu premiery.
193:  Jeszcze póki jestem przy ogłoszeniach drobnych, to wielkie podziękowania.
198:  Wprawdzie to był mój własny zakup, ale i tak warto wspomnieć dla sklepu Neonowo.
203:  To są ludzie, którzy robią takie wspaniałe rzeczy, moi drodzy.
206:  Jamnik LED-owy został przeze mnie i przez dobrych studentów ze sklepu Neonowo, bo to studencka inicjatywa, z tego co się doczytałem, zaprojektowany specjalnie, to znaczy to jest ten jamnik, moi drodzy, LED-nik, tak, który zmienia kolory.
221:  I jeszcze do tego wszystkiego dobrzy ludzie ze sklepu neonowo.pl
225:  powiedzieli, że dołączą kabel 4,5 metrowy, więc to jest jeszcze, moi drodzy, jeszcze oficjalnie najdłuższy jamnik, jaki jest dostępny w tym sklepie, więc jeszcze raz serdecznie dzięki dla wszystkich wspierających kanał, dzięki którym takie szalone zakupy w ogóle są możliwe.
242:  Mam nadzieję tradycyjnie, że nie będzie muzyka za głośna.
245:  Jest sporo nowych utworów na naszej plejce Q&A, ona jest podpięta pod, jak zawsze,
251:  opis filmu, tak samo macie tam też podpięty warsztat kartografa niepraktycznego, który tę mapę zrobił.
257:  Mówię takie podstawowe rzeczy, ponieważ wiem, że sporo nowych widzów pojawiło się na kanale po ostatnich premierach, więc też serdeczne powitania dla Was.
266:  No i jeszcze co do ogłoszeń drobnych i zaraz oddaję Wam głos i Waszym pytaniom, mianowicie przez najbliższy tydzień, to znaczy od środy w górę, od środy do środy mniej więcej, nie będzie live'ów, nie będzie też na najbliższy weekend,
278:  Natomiast będą filmy.
279:  Możecie się spodziewać przynajmniej jednej premiery i ona będzie o czymś związanym z czasem, nic nie mówię więcej.
287:  A oprócz tego możecie się spodziewać także we wtorek live'u gamingowego z Lies of Pi, natomiast najbliższy czwartek bodaj albo środę będzie Cyberpunk Phantom Liberty.
296:  Tyle z ogłoszeń drobnych, moi drodzy.
299:  Aludinus pisze, że zdążył wrócić z Kopernikonu na stream.
301:  No ja właśnie nie zdążyłem pojechać na Kopernikon, miałem w piątek, ale niestety 10 godzin tam i z powrotem do Torunia nie było do połączenia z sesją poprawkową, a sesję poprawkową mamy do teraz, moi drodzy, na AGH, dlatego że trzeba było zrobić dla 20 tysięcy ludzi Igrzyska Europejskie, tak?
320:  W czerwcu trzeba było zrobić Igrzyska Europejskie, bo jak wiadomo, w naszym kraju w ogóle
325:  O sport się nikt nie troszczy i mało pieniędzy idzie na sport, zdecydowanie więcej idzie na naukę, na wdrożenia, na badania, na reformę oświaty.
334:  Na sport idzie niewiele pieniędzy, zwłaszcza na budowę infrastruktury sportowej, drogich obiektów, które później muszą być oddawane prywatnym firmom, żeby te wynajmowały je na robienie koncertów.
344:  No ale mało, mało jest pieniędzy, no i dlatego się bardzo cieszę, że do Krakowa na Igrzyska Europejskie przyjechało no tyle osób, ile mniej więcej przychodzi na stream do Asmongolda.
354:  Więc myślę, że dobrze wydane pieniądze zdecydowanie.
