🔴 Bogu co boskie, cesarzowi co cesarskie, a co ludziom? | LIVE #26
🔗 https://www.youtube.com/watch?v=h0jZJNbmmew

138:  KONIEC!
162:  Witam wszystkich, moi drodzy, przy naszym niedzielnym spotkaniu, comiesięcznym.
168:  Q&A czas zaczynać.
169:  To jest ten format dla przypomnienia, w którym wy pytacie, a ja odpowiadam.
174:  A w każdym razie staram się, by z tych odpowiedzi jakaś narracja powstała.
177:  Witam serdecznie wszystkich widzów stałych i niestałych, jak zawsze.
180:  Witam wspierających kanał, dzięki którym wieża arcymagowska się rozwija.
186:  I witam wszystkich, którzy zabłądzili tutaj, w przestworze internetu, tułając się od jednej afery do drugiej, szukając ukojenia, być może nawet chcąc odpocząć sobie od wszystkiego, odetchnąć i jak to Tolkien kiedyś mawiał, uciec do innej rzeczywistości, ale nie od rzeczywistości, w której żyjemy.
203:  Mam tradycyjnie nadzieję, że muzyka nie zagłusza tej mojej narracji.
208:  Przeczytałem pierwszą rzecz, co tak dziwnie ta kamera i już jestem przerażony, ponieważ zmagam się cały czas z rozrobieniem odpowiedniego color gradingu.
216:  Mianowicie, ale nie robię tego w sposób super idealny, z tego prostego względu, że za moment, to znaczy za jakieś dwa miesiące będzie wymieniony obiektyw i już się pocę na samą myśl, moi drodzy.
226:  Jeżeli nigdy, ale to nigdy nie mieliście do czynienia z obiektywami, z wymienianiem ich, uprzedzam, nie róbcie tego, weźcie telefon, nagrywajcie z telefonu, nikt nie zauważy różnicy.
236:  Czy to prawdziwe jutrzejsze oglądanie psich kłamstw na live?
240:  Pyta Wojtek W. Tak jest, będziemy mieli Lies of Pi.
242:  Lies of Pi, moi drodzy, dla osób zainteresowanych grami typu Soulslike, jest bardzo irytujące i bardzo frustrujące, ale osadzone we wspaniałym świecie, w przepięknej rzeczywistości, neowiktoriańskiej częściowo, też Belle Epoque częściowo, steampunkowej, clockpunkowej, niektórzy by powiedzieli, bo tam występują automatony, no i w tej rzeczywistości wcielamy się w Pinokia.
