🔴 CO SIĘ SZERZY W NOWEJ WIEŻY?
🔗 https://www.youtube.com/watch?v=JRQ2HL8V0QA

37:  KONIEC
112:  Dzięki za oglądanie!
180:  Muzyka
273:  Zdjęcia i montaż
320:  Witam!
321:  Witam!
323:  Witam w nowej wieży!
328:  Witam wszystkich najserdeczniej!
332:  Witam już permanentnie, już na zawsze w świecie Warhammera Fantasy!
344:  To nie je greenscreen, moi drodzy!
346:  Witajcie!
355:  Mam nadzieję, że te artefakty, które są na kamerze, są czasowe, ponieważ oczywiście...
360:  że nie zaktualizowałem ustawień rozdzielczości.
364:  Moi drodzy, witajcie w ten wspaniały dzień, w ten dzień niedzielny.
369:  Gdzie różowe?
370:  Haha, dobre pytanie.
372:  Witajcie moi drodzy, jest potężnie.
377:  Widzę, że są artefakty na kamerce, bardzo mnie to martwi i tymczasem mamy od Sanji pakiety wspierania kanału, które mnie radują.
387:  Bardzo mnie martwią artefakty na kamerze.
389:  Mam nadzieję, że one nie będą się pojawiały już.
394:  Moi drodzy, moi drodzy, witajcie, witajcie najserdeczniej.
400:  Krzysztof stoi, tak jest.
401:  Będzie strumyk cały na stojąco, moi mili.
404:  Cały i absolutnie cały.
406:  Witajcie najserdeczniej.
407:  Zaraz sobie włączymy jakąś naszą standardową QA-ową muzyczkę, żeby było radośnie.
413:  Tak, to biurko elektryczne podnoszone.
416:  Greenskin przebija, ja wam dam Greenskin.
419:  Przebija, nie wiem co, jest jakiś problem z rozdziałką, ogarniemy to, mam nadzieję, bez żadnego problemu, moi drodzy.
427:  Zrobimy sobie dzisiaj dużo rzeczy.
428:  Nikt nie wie w zasadzie, co to będzie.
430:  Nikt nie wie.
431:  Znaczy wszyscy wiedzą, już wam mówię.
433:  Mianowicie zrobimy sobie to, o co prosiliście, nieskończoną liczbę razy.
439:  To znaczy zrobimy sobie buktur, ale specyficzny buktur,
443:  I spokojnie, ponieważ to, co widzicie tutaj, to nie jest cały księgozbiór.
447:  Następnie zrobimy test Sixteen Personalities, ponieważ straciłem całą godność, a tak szczerze o to dlatego, że prosiliście o to wiele razy.
456:  No i przede wszystkim obejrzymy sobie tę mapę.
458:  To jest mapa Jakubie Warhammera fantasy cała, wykonana przez niepraktycznego kartografa.
464:  Teraz mogę zapowiedzieć już to oficjalnie.
467:  podziękować niepraktycznemu kartografowi za zrobienie czegoś absolutnie przewspaniałego.
471:  To było w oryginale jeden metr na półtora, ale zrobiliśmy małe przeskalowanie do czterech metrów na dwa i pół, moi drodzy.
479:  Gdzie się kończy jamnik, który wystaje z górnej półki?
482:  Czekałem na to pytanie, Vermillion.
488:  Otóż kończy się tutaj.
490:  To jest bardzo długi jamnik.
492:  Ile zajęło układanie książek?
493:  Nie rozmawiajmy na ten temat.
495:  Zajęło bardzo dużo.
497:  Było to...
499:  Zajęło to bardzo dużo, ale jako się rzekło, to niestety nie jest lub na szczęście nie jest całość, moi drodzy.
507:  Więc tak, tak, dziękuję, dziękuję, cieszę się, że wam się podoba.
512:  Długo myślałem nad tym, co zrobić w tym naszym tełku, żeby było równie dobre jak ostatnie, do którego się wszyscy przyzwyczaili.
521:  Ja też tak mam, że jak się do czegoś przyzwyczaję, to już jest absolutny koniec, moi drodzy.
525:  Portal reference.
526:  Tak, to jest jamnik w portalu.
529:  Czy to miejsce wygląda na ciasne?
531:  To jest, moi drodzy, tylko część mojego miejsca, więc na szczęście nie jest za duszno.
536:  Ostatnio miałem tak, że klimatyzator wiał mi prosto w kark i chorowałem.
540:  Dobrze, że robisz nogi, może dasz radę wystać cały stream.
544:  To jest zdrowotne, moi drodzy.
546:  Tyle siedzę, że stwierdziłem, że przynajmniej podczas Q&A teraz będę stał.
551:  Tak, moi drodzy, jest dużo książek, jest pięknie.
554:  To prawda, uważam, że książki są nie tylko najlepszą dekoracją, ale książki są też idealnym izolatorem akustycznym.
562:  Bardzo mnie bawi, ponieważ ludzie wielokrotnie, jak właśnie zaczynają streamować, to wszystko pokrywają tymi ultradrogimi panelami Elgato lub podobnymi, dźwiękochłonnymi.
572:  Jest prostszy sposób, to znaczy książki, dużo książków.
576:  Dziękuję, dziękuję.
577:  To nie jest tło, naprawdę, to nie jest greenscreen.
