🔴 Chociaż krowie dasz kakao, nie wydoisz czekolady | LIVE #3
🔗 https://www.youtube.com/watch?v=TTa-380ajUY

2:  Witajcie serdecznie.
5:  Przepraszam za drobne opóźnienie.
8:  OBS mi jakoś szwankował.
9:  Mam nadzieję, że wszystko jest w porządku.
12:  Witam was wszystkich najserdeczniej podczas tego ze spokojniejszych naszych streamów.
17:  Spotykamy się dzisiaj...
19:  okolicznościowo, ponieważ świętujemy 24 tysiące subskrypcji, mieliśmy świętować 20 tysięcy, no i jest jak zawsze, dowozicie i jesteście niesamowici, więc te liczby się zmieniają, ale za to jest okazja, a tym lepsza, by dzisiaj ze sobą porozmawiać, więc Q&A, moi drodzy, jest zapalony Sojang w tle czekoladowy, jest zaparzona herbatka czekoladowa również, więc adekwatnie,
49:  Popił Krzysztof dla potwierdzenia.
51:  Witam serdecznie wszystkich, którzy wspierają kanał i są trybutariuszami, ponieważ mamy szkoły magii, to mamy z nami już magów ziemi i magów powietrza, więc nie ma, przepraszam, magów wody.
62:  Magia powietrza to jest za trzy miesiące, więc dzieją się rzeczy, moi drodzy.
66:  Tak, tak, herbatka czekoladowa jest jak najbardziej.
69:  W tle nam pogrywa...
70:  Spirit of Fire Jesse'ego Gallaghera, więc wszystko, moi drodzy, jest zgodne tematycznie.
77:  Cieszę się bardzo, że was tutaj widzę tłumnie.
82:  Jak to nie emanuje białym blaskiem?
84:  To straszne, to co słyszę.
86:  Krem pistacjowy jest pyszny, pisze Stach Mikołajczuk.
89:  Zgadzam się absolutnie.
91:  Mam nadzieję, że następnym razem świętujemy 30 tysięcy.
93:  Kto wie, zobaczymy, zobaczymy.
96:  Dzieją się absolutne rzeczy.
98:  Moi drodzy, przeglądam, czy przypadkiem nie ominęło mnie coś.
102:  Oczywiście, że pojawiło się pytanie o Undertale'a, czy będzie ogrywany.
105:  Pewnie tak, pewnie tak, wkrótce.
107:  Czy czytam opka na konkurs Polskiej Fundacji Fantastyki Naukowej?
111:  Jeszcze nie dostałem, ale dostałem opowiadania na drugi konkurs, w którym jestem jurorem i będą czytane.
118:  W każdym razie jestem w tym temacie stanowczo ponaglany.
122:  Która książka jest najlepsza?
123:  Pyta Grimhawk.
124:  I dlaczego jest to sztuka pierdzenia?
126:  Tak wiem...
128:  Zdekonspirowałem na czatach, ściśle mówiąc wczoraj i również na miniaturce, że będziemy sobie podczytywać sztukę pierdzenia wspaniałego autora, którego nazwiska nie jestem w stanie przeczytać poprawnie, ponieważ jest francuskie.
142:  Kiedy obiecane sąsy, pyta Fantores.
144:  Wtedy, kiedy będę mógł uczynić to poprawnie i zgodnie z regułami sztuki, to znaczy jak się nauczy obsługi kontrolera,
151:  Wygodnie mam, ponieważ możemy skończyć live'y wiedźmińskie, a biorąc pod uwagę fakt, że po 18 częściach, tak było już 18 dla tych z was, którzy nie wpadają na te live'y growe, to myślę, że jeszcze jakieś 30 części i wtedy spokojnie prawdopodobnie Krzysztof będzie przygotowany do Soulsów.
167:  Stream zczeszczenia pytajniczków w Wiedźminie będzie niebawem.
170:  Szybciej niż myślicie.
175:  to może poświętujemy 25 tysięcy.
177:  Chyba właśnie to robimy.
178:  Takie mam wrażenie.
