🔴 Co można począć, gdy trudno odpocząć? | LIVE #23
🔗 https://www.youtube.com/watch?v=d_qvzKBWrOY

139:  Dzięki za oglądanie!
164:  Witam wszystkich niedzielną porą, moi drodzy, na naszym comiesięcznym już tak się utarła tradycja Q&A.
172:  Miało być zwykle trzecią niedzielę każdego miesiąca, nie wiem, czy się finalnie tak udało.
177:  Witam serdecznie wszystkich, jak zawsze, stałych i niestałych widzów, witam wspierających, bardzo poszerzyło się nasze grono wspierających, dzięki przechojnym jamnikołajom, którzy nawiedzali streamy tego tygodniowe i zeszłotygodniowe w...
194:  Część widzów nawet powiedziała, że najnowsza jamnicza emoji, która jest już dostępna, to jest cyberpunkowa jamnica, wiki jamnica z Cyberpunka 2077, którą ogrywamy.
204:  W zasadzie powinna być z dedykacją dla NightFlash, która rozdała jakieś 15 pipsztelionów wsparć wśród wszystkich, więc jeszcze raz skorzystając z okazji dziękuję.
213:  Witajcie moi drodzy jeszcze w szczególnym tym czasie, kiedy przynajmniej dwa filmy jednocześnie się ukazują na temat, który jest nieprawdopodobnie hermetyczny, to znaczy punktozy akademickiej, więc czy to jest moment, w którym zaczynam, moi drodzy, nasz live od tego, żeby polecić wam kanał Naukowy Bełkot?
230:  Nie oszukujmy się, wszyscy subskrybujecie kanał Naukowy Bełkot, prawda?
234:  Oczywiście, że tak jest, natomiast mogliście jakimś cudem, nie wiem jak, ale mogliście
239:  przegapić ten absolutnie przewspaniały film Dawida pod tytułem Czy nauka polska upada?
244:  Absurdy punktów za publikację.
246:  Bardzo go polecam.
248:  A jeśli chcecie bardziej złośliwy take na ten temat, no to nie musicie daleko szukać, ponieważ jest zresztą podlinkowany tutaj na czacie film mój godzinny.
258:  w którym irytuje się, delikatnie rzecz ujmując, z tego powodu.
262:  Powodu, na temat którego dyskutujemy w rodzinie już nie pamiętam od kiedy, bo dziadek na ten temat narzekał, mama na ten temat do dzisiaj narzeka.
270:  Większość ludzi, którzy w ogóle jest w środowisku akademickim, w rodzinie na to narzeka, jak większość także przytomnych naukowców.
277:  Szkoda, że rządzą nami raczej tacy nieprzytomni.
280:  Zawsze powtarzam, że jeżeli narzekamy na magistra niełuki i szkodnictwa wyższego, to pamiętajcie, że jemu
287:  Ktoś dał doktorat.
289:  Ktoś dał habilitację, tak?
291:  Ktoś ją zrecenzował, nie?
294:  Nie powinno nam to umykać.
296:  Dzięki serdeczne na wszystkie wiadomości, wsparcia.
298:  W tym filmie mój wylen Agma się dobrze polecał, pisze Ptyś Różowy.
302:  A propos dobrych filmów ze świetnymi antybohaterami, moi drodzy, Oppenheimer.
307:  Wczoraj byłem, w swoją drogą, w znakomitym towarzystwie.
311:  Bardzo polecam.
313:  Bardzo.
313:  Znaczy, znakomite to towarzystwo to swoją drogą polecam, ale polecam także Oppenheimera.
318:  Przy czym od razu zaznaczę, że ja mam problem z tymi filmami Nolana, które nie mają muzyki Hansa Zimmera.
325:  Trochę rzeczeczkę tak, ja mam problem z grami Blizzarda, które nie mają cinematicu.
330:  Dla mnie muzyka Hansa Zimmera jest tak samo istotną częścią filmów Christophera Nolana, jak cinematyki były istotną częścią doświadczenia growego w Starcrafcie czy Warcrafcie, czy gdziekolwiek indziej.
341:  Więc tym samym odpowiadam na pytanie Arwen Winchester o wrażenia po Oppenheimerze.
346:  Zgadzam się bardzo też z recenzją Filipa na kanale Bez Schematu.
