🔴 Czemu w bezklasowym społeczeństwie robi się klasyfikację? | LIVE #22
🔗 https://www.youtube.com/watch?v=y8mS87EXGeg

1:  Cześć.
146:  KONIEC!
169:  Witam wszystkich serdecznie w wygłuszonej wieży nakładem środków, sił i wsparć drogich trybutariuszy wspierających niniejszy kanał.
181:  Na wypadek, gdyby ktoś mi nie wierzył albo nie słyszał, bowiem nie ma ani trenowanego ucha, jak to niektórzy audiofile, albo słuchawek, albo innych rzeczy.
192:  Proszę bardzo, moi drodzy, oto będzie dowód.
195:  Tu widać...
196:  Kawałek adaptacji akustycznej.
199:  Niestety tylko kawałek.
201:  Reszty nie zobaczycie, ale sprawia się dobrze.
204:  Ja przynajmniej jestem zadowolony, że wreszcie jak będę prowadził zajęcia, a wtedy nie mam siły rzeczy muzyki, to nie będę słyszał pogłosu.
212:  Więc witam jeszcze raz wszystkich serdecznie moi drodzy.
216:  wszystkich widzów stałych i niestałych.
218:  Widzę, że parę osób pisze, że wpadło pierwszy raz na kanał, więc serdecznie pozdrawiam i tych serdecznie pozdrawiam także tych, którzy wpadli na live'a po raz pierwszy.
229:  Strasznie, moi drodzy, dzisiaj było gorąco.
232:  Gorąco!
233:  Upał, jakby sam Lucyper węgla do kotłów nakładał.
240:  Czy nakłada się do kotłów węgla?
242:  Nie wiem, nie znam się na tym, ale było strasznie gorąco, moi drodzy.
246:  Dobrze, że teraz już chłodzenie włączone, mam nadzieję, że u was w porządku.
249:  Piszecie, że słychać różnicę.
251:  To mnie cieszy, to mnie cieszy.
253:  Jamnik na mikrofonie wzbogaca akustykę, pisze JustWhitely.
257:  Tak, tak moi drodzy, to jest wszystko, prawda jest taka, że to wcale nie była firma Proton, którą serdecznie pozdrawiam z Krakowa, a konkretnie z Alverni, jeśli mnie pamięć nie myli, a nie dość, że wymierzyła tutaj wszystko, zważyła, wiecie tak, w dobrym systemie edukacji, ważone i mierzone, więc dobre,
274:  To jeszcze do tego wszystkiego dopasowali odpowiednie ekrany, zrobili to wszystko w ciągu, nie wiem, połowy dnia i prawdę że jeszcze więcej mi zajęło czasu robienie na nowo cable managementu i ogarnianie stanowiska streamingowego raz jeszcze.
287:  Straszne.
288:  Diabelski żart dzisiaj był, tak moi drodzy, absolutnie.
291:  Albo słyszę różnice, albo to efekt...
293:  placebo.
294:  Tak, jest to bardzo możliwe, moi drodzy.
298:  Witam też serdecznie wszystkich naszych moderujących.
300:  Ostatnie dni to koszmar, piszecie.
302:  Tak, Lucyper to jest stara forma, stara Polska Lucyfera współczesnego.
308:  Tak było, nie zmyślam.
309:  Na coś mi się, moi drodzy, te studia przydały.
311:  To znaczy mogę się wymieniać z wami triwiami oraz bezużyteczną wiedzą.
315:  I skoro już mowa o triwiach i bezużytecznej wiedzy, zanim, moi drodzy, przejdziemy do
320:  głównych punktów naszego programu, a jest ich sporo, to znaczy po pierwsze odpowiedzi na wasze pytania, po drugie pokaz wszystkich jamników z Pyrkonu, które przywiozłem, a jest tego sporo i po trzecie, powiedział Krzysztof, nie licząc za pomocą kciuka, nie wiem dlaczego, jeszcze będziemy oglądać Lulu & Friends, ponieważ należy, to zanim to wszystko,
339:  Szybkie ogłoszenie drobne z mojej strony, mianowicie jest genialny post, który się pojawił na fejsie.
345:  Jeżeli Krzysztof wchodzi na fejsa i cytuje go, to znaczy, że dzieją się rzeczy.
348:  To, co tutaj widzicie, to jest librus dla tych, którzy nie mieli do czynienia z tym cudownym wynalazkiem.
354:  I zanim przeczytam, co tutaj jest napisane, to jeszcze podziękuję serdecznie Kamie Grinberg za podarowanie 10 wsparć.
361:  Kama Grinberg jest jam nikołajką, więc po górę dziękujcie Kamie serdecznie za to.
365:  10 szczęśliwców będzie się mogło posłuchiwać jamniczymi emoji-mi.
368:  I dziękuję też Lien Smoczycy za dołączenie do grona wspierających.
372:  No i co powiedziawszy, moi drodzy?
374:  Domyślacie się, co to jest?
375:  Tak, tak, te kolorowe, długaśne szlaczki to tegoroczny librus mojego syna.
380:  Zadałam sobie trud i na potrzeby tego postu policzyłam.
