🔴 Czy w lustrze można przejrzeć na oczy? | LIVE #12
🔗 https://www.youtube.com/watch?v=MyHNjkx3XhQ

3:  Zdjęcia i montaż
44:  Dziękuje za oglądanie!
83:  Dzięki za oglądanie!
134:  Witam wszystkich Was najserdeczniej w ten nasz niedzielny wieczór, kiedy spotykamy się już co trzecią niedzielę miesiąca, zauważyłem.
147:  Tak to się zrobiło na naszym live Q&A, podczas którego Wy zadajecie pytania, a ja próbuję znaleźć na nie odpowiedzi, jak również próbuję wepchnąć krzesło pod biurko.
158:  Moi drodzy, ale na sam początek, zanim zacznę
163:  odpowiadać na wasze pytania.
164:  Pozwólcie, że odwrócę schemat.
167:  Ja wam zadam pytanie.
169:  Jak myślicie, dlaczego jest tak, że w kulturze lustra postrzegane są jako coś złego, jako coś, co ja wiem, kojarzy się z narcyzmem, z egotyzmem, ba, niekiedy nawet zabija?
183:  Tak mamy przy okazji Bazyliszka, który spojrzawszy w lustro od razu umiera.
188:  Jak to jest?
190:  Zwłaszcza w czasach, w których, zauważmy, lustro to jest jedna, jedyna rzecz, która pokazuje świat takim, jakim on jest.
198:  Kiedy nie ma filtrów na Instagramie, kiedy nie ma korekty w Photoshopie.
204:  To jest ciekawe.
206:  Myślę, że powinniśmy zacząć patrzeć na lustra inaczej niż, nie wiem, robił to Jorge Luis Borges na przykład w fikcjach, gdzie Borges napisał, że lustra są mu wstrętne, ponieważ pomnażają byty ludzkie.
218:  Tak, symbol samouwielbienia to samo, Damianie, absolutnie.
221:  Juliusz pisze, że miło się widzieć i słyszeć z wzajemnością, moi drodzy, wprawdzie ja was tylko widzę, ale wyobrażam sobie, że to jest nasza rozmowa cykliczna.
229:  Mam dla was zresztą dzisiaj dużo niespodzianek, to znaczy jedną, ale to jest dużo, jak na, umówmy się, jak na dzisiejsze czasy, jedna niespodzianka to jest dużo.
238:  I lustra też odzwierciedlają naszą naturę.
239:  Może dlatego się tak tego boimy, prawda?
242:  Żeby nie zobaczyć tego, jakimi jesteśmy naprawdę.
245:  Ja się nauczyłem lubić lustra.
