🔴 Czy ślepej wierze dobrze patrzy z oczu? | LIVE #24
🔗 https://www.youtube.com/watch?v=BeWcWaRmQ3M

140:  Dzięki za oglądanie!
165:  Witam wszystkich serdecznie na naszym comiesięcznym live'ie w trzecią niedzielę miesiąca, jak to źle brzmi.
174:  Witajcie wszyscy najserdeczniej, moi drodzy.
176:  Dzisiaj zacznę od szybkiej informacji, mianowicie w przyszłym tygodniu nie będzie praktycznie żadnych strumyków.
184:  Może we wtorek się coś uda zrobić, a to z tego względu, że jestem o zgrozo w przestrzeni rzeczywistej.
191:  Ja wiem, jest to dramatyczne absolutnie, to znaczy tutaj będę, będę we Wrocławiu, więc witam serdecznie ludzi z Wrocławia już teraz, a zobaczymy się jeszcze niecyfrowo, czyli lepiej, mianowicie, znaczy nie, żartowałem, mianowicie na Dniach Fantastyki to będzie w Centrum Kultury Zamek, ale nie tylko, ponieważ Krzysztof niestety został zakontraktowany również, moi drodzy, w środę w Miejskiej Bibliotece Publicznej im.
217:  Tadeusza Różewicza o Zgrozo.
219:  Wolałbym, żeby to był Andrzej Sapkowski, ale cóż, nie można wybierać przesadnie i będę tutaj mówić o mapach w światach fantasy o 17 w środę, natomiast w pozostałe dni jestem tutaj i będzie też panel, żeby nie było, że tylko o sobie mówię.
233:  Proszę bardzo, Kosi, Rafała Kosika, który był u nas ostatnio, a jakże, na spotkaniu dotyczącym wspaniałej skądinąd książki bez przypadku, to jest pierwsza dzisiejsza.
244:  Gdzie ja znale... Zgubiłem.
247:  Jest tak niestety ta książka ułożona, że nie mam jak jej wyciągnąć, więc bez przypadku musicie mi uwierzyć, że to jest taki tytuł.
253:  I oprócz tego będziemy mieć jeszcze dyskusję, moi drodzy.
256:  Ona będzie w sobotę bodajże, tylko nie umiem jej niestety znaleźć.
259:  Umiem ją znaleźć.
260:  Rafał Kosik, ja i Robert Wegner, moi drodzy.
263:  Czy cyberpunk jest wciąż żywy?
265:  Przy okazji dziękuję Anulinusowi serdecznie za podarowanie, wsparcie i bycie Jan Mikołajem.
269:  Więc moi drodzy, to tyle, jeżeli chodzi o ogłoszenia drobne.
271:  Więc jeszcze raz.
272:  Dni Fantastyki, Wrocław, przyszły tydzień, środa, piątek i sobota.
277:  Wtedy jest Krzysztof.
278:  A!
278:  I ze mną będzie można pogadać na tematy niezwiązane z konwentem i związane z konwentem w tym slocie tutaj.
286:  To znaczy między 17.15 a 18.45 w sobotę.
287:  Zaznaczam,
293:  Co powiedziawszy, będzie koniec już ogłoszeń drobnych na dzisiaj.
296:  Czy będzie Olga Arystokarczuk we Wrocławiu?
298:  Tam rezyduje Fundacja Olgi Arystokarczuk, która, przypominam, to fundacja w ostatnim czasie zrobiła
308:  Czy zrobili drugi festiwal Góry Literatury?
310:  Tyle wiem.
311:  Natomiast jeżeli chodzi o pozostałą działalność fundacji Doblistki, to jak dotąd inna fundacja innej Doblistki jest bardziej aktywna, to znaczy Fundacja Szymborskiej.
320:  Czy to w końcu ten stream, na którym odpowiem na pytanie z tytułu, pyta Marcin Gałązka, nigdy nie będzie streamu, na którym odpowiem na pytanie z tytułu.
327:  To jest, mam wrażenie, już taki leitmotiv tego kanału, który się będzie przewieł, ale jestem usprawiedliwiony, moi drodzy, ponieważ część z tych tytułów i innych frazesów kradnę bezczelnie z książki Myśli Nieuczesane Stanisława Jerzego Leca, a tak naprawdę trochę je przeformułowuję.
345:  Krzysztofie, czy nie jesteś jeszcze zdigitalizowany?
347:  Będziesz musiał przegrać świadomość do mięsnego ciała.
349:  Mówiłem, moi drodzy, że ten cyberpagnasz będzie cały czas nam towarzyszył.
353:  Jest taka książka swoją drogą,
355:  Pod tytułem Modyfikowany Węgiel, o której wam często mówię i w tejże książce pojawia się fantastyczna formuła resleeve, czyli zmienić ciało jak rękawiczkę.
363:  Wtedy przenosimy rzeczywiście świadomość, transferujemy ją do innej cielesności.
368:  To otwiera oczywiście legion różnego rodzaju tematów.
370:  Nawiasem mówiąc właśnie też z Rafałem Kosikiem, o tym sporo rozmawialiśmy.
374:  Tyle wam polecam tę rozmowę, że może pokażę.
376:  o czym mowa.
377:  Mam nadzieję, że mi się uda do tego szybko doklikać.
380:  To nigdy się nie udaje, moi drodzy, ponieważ ja nigdy nie wiem, co jest na moim własnym kanale.
384:  Teraz będziecie narzekać, że jest biały YouTube, a mianowicie w zakładce o rozmowy, jak się pisze cyberpunka.
391:  Tu rozmawialiśmy z Rafałem Kosikiem.
392:  Mega polecam!
393:  Rafał Kosik, przemądry człowiek.
395:  Czy będę mówić o mapach mentalnych?
397:  Nie, będę mówić wyłącznie o mapach światów nieistniejących, taki Warhammer Fantasy na przykład, nie?
403:  I tym, w jaki sposób wykreślanie tych map różni się od tworzenia map w naszej rzeczywistości.
408:  Jedna rzecz mogę wam już spoilowo za...
412:  podać, mianowicie Stefan Ekman kiedyś w takiej książce Hillbilly Dragons powiedział zajebiście, że kreślenie mapy dla świata fantasy różni się od kreślenia mapy dla naszego świata bardzo prostą rzeczą, to znaczy w tym pierwszym przypadku kreśląc mapy równocześnie wyobrażamy sobie świat, dlatego tylu pisarzy fantasy ma mapki, czego na przykład nie rozumiała jedna z wybitnych.
432:  krytyczek literackich w programie Księgarnia, do którego zaproszono Roberta Wegnera.
436:  Swoją drogą ten program został usunięty już ze stron TVN-u.
440:  Ciekawe dlaczego.
441:  Mianowicie Agata Passen.
442:  I Agata Passen uważa, że to dlatego, że to jest dziecięca literatura, taka, z której się wyrasta.
447:  To swoją drogą też jest sformułowanie, o które się pokusił inny
451:  Wybitny, absolutnie wybitny krytyk Michał Rusinek na ostatnim festiwalu, już nawet nie komentowałem tego przesadnie, może to włączę przy okazji jakiegoś mojego szerszego komentarza dotyczącego kultury w Polsce i konwentów, mianowicie Rusinek powiedział, to jest ten, który nie lubi, że jak się do niego pisze per vitam maile, że z fantastyki wyrażcza się tak jak z pryszczy.
472:  To jest taki, wiecie, ten współczujący, lewicowy, pełen takiej świadomości, wrażliwego słowa, dyskursu, czułości jak czuły narrator, dyskurs lewicowej krytyki publicystycznej w Polsce i literackiej także.
489:  Bardzo, bardzo sympatyczna wypowiedź.
492:  Ona była swoją drogą na Festiwalu Literatury Dziecięcej i Młodzieżowej, więc nawet widziałem, że babeczki, które z nim rozmawiały, wtedy się skrzywiły.
499:  Obiecuję, że ten wątek powróci, jak tylko zrobię materiał, mam nadzieję, że kiedyś on wreszcie powstanie na temat konwentów.
506:  Stwierdziłem, że wypadałoby pojechać pierd na parę konwentów i potem zrobić materiał o tym, co do czego już widziałem wcześniej, że jest słuszne i prawdziwe, a mianowicie, że na konwenty walą ludzie drzwiami i oknami, a na takie spotkania poetyckie to powiedzmy przyjdzie 15 osób i będzie dobrze.
521:  Czy będę oglądał Asokę?
522:  Jest w planach Asoka, ponieważ tam są dżedaje, moi drodzy.
525:  Jeżeli gdzieś się pojawiają dżedaje w Star Warsach, to Krzysztof ogląda, ponieważ to jest magia.
530:  Natomiast jeżeli będę mieć kolejny serial o tym, jak nadrzemnik na pustyni strzela pił-pił do robotów, to darujcie, ale ja już nie mam siły.
537:  To znaczy, Gwiezdne Wojny dla mnie są interesujące w tym właśnie wymiarze mistycznym, dżedajowym, magicznym.
543:  Jak chcę zobaczyć sobie pił-pił w kosmosie, to oglądam Star Treka, zwłaszcza, że wtedy dostanę jeszcze fajny komentarz polityczny, bo akurat Star Trek w tym zawsze był dobry.
551:  Iga, dzięki za wsparcie od 5 miesięcy, nadrałem w streamie Dark Souls 3 od 7 rano, ojej, ja się tam tyle nadanerwowałem, bogowie, bogowie.
559:  Łukaszu, też dziękuję Ci za wsparcie, modyfikowany węgiel, znośna ekranizacja na Netflixie, dzięki Ci za wsparcie 5 miesięcy, tak, potwierdzam, pierwszy sezon modyfikowanego węgla na Netflixie, możecie spokojnie obejrzeć, Netflix Altered Carbon to się nazywa, już Wam pokazuję, mam nadzieję, że mi się uda w to wklikać radośnie.
577:  Proszę bardzo, udało mi się w to flikać radośnie.
580:  To jest to.
580:  Swoją drogą zawsze, moi drodzy, jak jest Cyberpunk, to będziecie mieć ten Cyan i Magenta, ale ewentualnie jakieś jego warianty.
587:  Więc pierwszy sezon polecam.
589:  Jest fajnie.
589:  Jeżeli się wam bardzo spodoba, to można wtedy też wgryźć się w drugi, ale przestrzegam, że jest tam sporo Netflixizmów.
596:  Okej?
597:  Będzie dużo Netflixizmów.
598:  Teraz zauważyłem, że jest nierówno.
601:  Nie chcę, żeby było nierówno.
602:  Zaraz zrobię tak, żeby było równo dla was, tylko muszę to jakoś sensowniej ogarnąć.
608:  Mam nadzieję, że się uda to zrobić relatywnie szybko.
610:  Krzysztof nie lubi, jak jest nierówno.
612:  Jak jest nierówno, jest źle.
614:  Dobrze, teraz powinno być równiej.
616:  Czy będzie równiej?
617:  Zobaczymy.
618:  Powinniście mieć równiej.
621:  Jak się wabi jamniczor z mikrofonu?
623:  Nie został nazwany, moi drodzy.
624:  A w ogóle przy okazji jeszcze bardzo dziękuję wszystkim wspierającym kanał, bo przez to została poczyniona inwestycja.
629:  Już ostatnio mówiłem to na live'ie
632:  który mieliśmy growy, mianowicie takie lampy są kupione tutaj.
636:  Jeszcze tutaj są stare lampy, będzie wymieniana we wtorek, ale bardzo dziękuję.
641:  Tradycyjnie podkreślam, że wszelkie wsparcie, które płynie na ten kanał jest reinwestowane po to, żebyście mieli lepsze efekty dźwiękowe i wizualne.
651:  O, Asoka.
651:  Drugie pytanie o Asokę.
653:  Czyli nie tylko ja tak hajpuję.
654:  Pałac Pamięci Hitchiki.
656:  To jest ciekawe pytanie, król czy cieniu.
658:  Ja się o Pałacach Pamięci dowiedziałem u Johna Crowleya.
