🔴 Gołębiami brukowany Kraków 💩 ma z tych ptaków | LIVE #31
🔗 https://www.youtube.com/watch?v=NsqoiW-BTq4

141:  KONIEC
169:  Witam wszystkich moi drodzy.
171:  Dzisiaj powitał nas, chyba w 4K z tego co widzę, nowy jamnik zaprojektowany przez Dominikę Jamnikotwórczynię Klimczak.
180:  Jamnik z tajemnym gest, który się obraca, albo giz dla tych wszystkich, którzy tak jak ja oglądają Code Geass albo oglądali i są zachwyceni tą animką.
189:  Więc jamnicze i serdeczne pozdrowienia dla Dominiki za upiększanie kanału stałe.
194:  Dziękuję także wszystkim wspierającym za to, że przez to, że mogliśmy zrobić sobie nowy internet w wieży, to teraz transmisja jest w 4K i tak będzie, moi drodzy, od tej pory na live'ach.
204:  Z tego, co widzę, wszystko jest w porządku i działa.
208:  YouTube twierdzi, że musi być minimum 60 megabitów na sekundę uploadu, żeby działał live w 4K.
214:  W związku z powyższym my mamy 860.
216:  Myślę, że to jest wystarczająca nadwyżka.
220:  I równocześnie, moi drodzy, widzimy się bez mikrofonu po raz pierwszy, to znaczy mikrofon jest pozakadrowy, mam nadzieję, że to będzie wszystko dobrze wyglądało i będzie też dobrze słyszalne, więc witam Was wszystkich po tej krótkiej przerwie technicznej i wprowadzeniu na naszym comiesięcznym Q&A.
236:  Będziemy też, moi drodzy, od kwietnia wprowadzali nowy format live'ów, taki bezgamingowy, więc czuwajcie.
243:  Krzysztof wziął Rutiną Skorbin, jest wyraźny, tak jest.
247:  Rutinę Skorbin również musiałem wziąć dlatego, że chorowałem przez ostatni tydzień, dlatego też nie było tak dużo kontentu na kanale, ale to się zmieni moi mili, ponieważ w planach jest film z serii dla każdego coś przykrego.
257:  I właśnie, co najważniejsze, nowy internet nie wybuchł, a wierzcie mi, były przesłanki ku temu, że mógł.
264:  To znaczy jak na początku ekipa zakładała tutaj internet, to wiecie, ponieważ wszyscy jesteśmy nauczeni myśleniami nie bez schematu, tylko myślenia według schematu, no to przywieźli mi taki rak serwerowy z wielkimi, gigantycznymi routerami, które jak zaczęły robić... to ja stwierdziłem, że cała inwestycja w adaptację akustyczną poszła w gwizdek.
284:  No więc trzeba było trzecią firmę zatrudnić, która zrobiła konfigurację i wszystko działa.
289:  Muzyka troszeczkę za głośno.
290:  Wiedziałem, że tak będzie.
292:  Wiedziałem, że tak będzie.
293:  Oddajcie jam mikrofon.
295:  Słychać tak samo praktycznie.
297:  Oczywista sprawa.
298:  Przekoczykujesz za głośną muzykę.
301:  Muzyka zostanie, moi drodzy, ściszona maksymalnie w takim razie.
304:  Mam nadzieję, że będzie dobrze.
305:  Informujcie mnie, jeżeli będę już mieć na stałe ustawienia, to wtedy będziemy je powtarzać po prostu następnym razem.
312:  bo Krzysztof już nie może być przygłośniony.
315:  Jezu, jakie to wyraźne, pisze Kuroi Yukihime.
317:  Podobno, moi drodzy, jakieś 10-15% Was wszystkich ogląda to na dużych telewizorach, więc mam nadzieję, że będzie wszystko w porządku.
324:  W 4K widać wszystkie zmarszczki Krzysztofa, wszystkie tzw.
327:  niedoskonałości skórne, co w zasadzie, moi drodzy, jest asumptem do tego, żeby wstępnie zapowiedzieć, że wokół tematów związanych z wyglądem ogólnie pojmowanym będzie najbliższe dla każdego coś przykrego we wtorek o godzinie 17.00.
341:  Serio słychać praktycznie identycznie, fantastyczna sprawa.
346:  Pozdrawiam serdecznie, wracam do pisania listu motywacyjnego do nowej pracy, pisze Truskawka, moi drodzy.
352:  Trzymamy kciuki za truskawkę.
354:  Nie wiem dlaczego zadzwoniła moja szuflada.
357:  Wyraźnie musiałem trącić jamnikiem dzwonka.
